[{'X': 0.7116677761077881, 'Y': 0.7505965232849121, 'Z': -0.0001027162215905264}, {'X': 0.6421971917152405, 'Y': 0.7492087483406067, 'Z': 0.03368942439556122}, {'X': 0.5940226912498474, 'Y': 0.6841670274734497, 'Z': 0.049577534198760986}, {'X': 0.5606977939605713, 'Y': 0.62137770652771, 'Z': 0.05813978984951973}, {'X': 0.5306264162063599, 'Y': 0.5998015403747559, 'Z': 0.06608037650585175}, {'X': 0.6219164729118347, 'Y': 0.5239204168319702, 'Z': 0.029227325692772865}, {'X': 0.6042832732200623, 'Y': 0.4050651490688324, 'Z': 0.03770582750439644}, {'X': 0.5923935770988464, 'Y': 0.3315329849720001, 'Z': 0.04182965308427811}, {'X': 0.5823056697845459, 'Y': 0.27693966031074524, 'Z': 0.04255300015211105}, {'X': 0.6604012846946716, 'Y': 0.4975942075252533, 'Z': 0.013495429418981075}, {'X': 0.6370729207992554, 'Y': 0.3691132664680481, 'Z': 0.016276467591524124}, {'X': 0.618520975112915, 'Y': 0.28323623538017273, 'Z': 0.006763914134353399}, {'X': 0.6051627993583679, 'Y': 0.22284173965454102, 'Z': -0.0028344416059553623}, {'X': 0.7028685808181763, 'Y': 0.49592819809913635, 'Z': 0.0020514321513473988}, {'X': 0.6810258030891418, 'Y': 0.3703707456588745, 'Z': 0.004573131445795298}, {'X': 0.6612715721130371, 'Y': 0.2906734049320221, 'Z': -0.0025813435204327106}, {'X': 0.6457862257957458, 'Y': 0.23180228471755981, 'Z': -0.006256893277168274}, {'X': 0.7465531826019287, 'Y': 0.516178548336029, 'Z': -0.00344941858202219}, {'X': 0.7348583936691284, 'Y': 0.41217443346977234, 'Z': -0.006606483832001686}, {'X': 0.7228561043739319, 'Y': 0.34955835342407227, 'Z': -0.011293917894363403}, {'X': 0.7094942331314087, 'Y': 0.2997118830680847, 'Z': -0.015349557623267174}]
[{'X': 0.7196201086044312, 'Y': 0.7652261257171631, 'Z': -8.049412281252444e-05}, {'X': 0.6496269702911377, 'Y': 0.7538256049156189, 'Z': 0.019497189670801163}, {'X': 0.5972930788993835, 'Y': 0.6830877661705017, 'Z': 0.028320111334323883}, {'X': 0.5628311634063721, 'Y': 0.614322304725647, 'Z': 0.02919113077223301}, {'X': 0.5311917066574097, 'Y': 0.5876599550247192, 'Z': 0.02917528711259365}, {'X': 0.6241675019264221, 'Y': 0.5181695818901062, 'Z': 0.029345721006393433}, {'X': 0.6051496863365173, 'Y': 0.4045703709125519, 'Z': 0.030555712059140205}, {'X': 0.5936869978904724, 'Y': 0.33439868688583374, 'Z': 0.02607974037528038}, {'X': 0.5818376541137695, 'Y': 0.27764251828193665, 'Z': 0.02106865495443344}, {'X': 0.6607449054718018, 'Y': 0.49149206280708313, 'Z': 0.012691715732216835}, {'X': 0.6356613636016846, 'Y': 0.3665756583213806, 'Z': 0.013868226669728756}, {'X': 0.6187263131141663, 'Y': 0.2846422493457794, 'Z': -0.0014835274778306484}, {'X': 0.6046315431594849, 'Y': 0.22202065587043762, 'Z': -0.015531305223703384}, {'X': 0.7022804617881775, 'Y': 0.49042245745658875, 'Z': -0.0021646737586706877}, {'X': 0.6800432205200195, 'Y': 0.3671644330024719, 'Z': -0.004151932429522276}, {'X': 0.6621354818344116, 'Y': 0.28994977474212646, 'Z': -0.01831204630434513}, {'X': 0.6461330056190491, 'Y': 0.23050019145011902, 'Z': -0.02801288478076458}, {'X': 0.7469010353088379, 'Y': 0.5128389000892639, 'Z': -0.014096069149672985}, {'X': 0.7356947660446167, 'Y': 0.4163818657398224, 'Z': -0.020524561405181885}, {'X': 0.724219024181366, 'Y': 0.35420119762420654, 'Z': -0.03209429606795311}, {'X': 0.7095128893852234, 'Y': 0.3003253936767578, 'Z': -0.04152190312743187}]
[{'X': 0.7263917326927185, 'Y': 0.7870059609413147, 'Z': -5.9524838434299454e-05}, {'X': 0.656680703163147, 'Y': 0.7635397911071777, 'Z': -0.0016646276926621795}, {'X': 0.6010812520980835, 'Y': 0.6860407590866089, 'Z': -0.001812956528738141}, {'X': 0.565750241279602, 'Y': 0.6173385977745056, 'Z': -0.008126825094223022}, {'X': 0.5328017473220825, 'Y': 0.5892356634140015, 'Z': -0.015849648043513298}, {'X': 0.6274165511131287, 'Y': 0.5170484185218811, 'Z': 0.016054457053542137}, {'X': 0.6064688563346863, 'Y': 0.4044521450996399, 'Z': 0.00776494387537241}, {'X': 0.5943780541419983, 'Y': 0.337096631526947, 'Z': -0.003714580088853836}, {'X': 0.5840857028961182, 'Y': 0.276468962430954, 'Z': -0.012542454525828362}, {'X': 0.6632528305053711, 'Y': 0.4893411695957184, 'Z': 0.0019442749908193946}, {'X': 0.6382454633712769, 'Y': 0.36125385761260986, 'Z': -0.0023724078200757504}, {'X': 0.6216667294502258, 'Y': 0.2830352485179901, 'Z': -0.022188061848282814}, {'X': 0.6077247858047485, 'Y': 0.2160925269126892, 'Z': -0.03856493532657623}, {'X': 0.7030074596405029, 'Y': 0.4885178506374359, 'Z': -0.015305045060813427}, {'X': 0.6830421090126038, 'Y': 0.36399534344673157, 'Z': -0.02593270316720009}, {'X': 0.6656564474105835, 'Y': 0.28749868273735046, 'Z': -0.04743976145982742}, {'X': 0.6496902108192444, 'Y': 0.22448647022247314, 'Z': -0.06283886730670929}, {'X': 0.7474961280822754, 'Y': 0.5124319195747375, 'Z': -0.03140975907444954}, {'X': 0.7383976578712463, 'Y': 0.4165283739566803, 'Z': -0.05018498748540878}, {'X': 0.7281692028045654, 'Y': 0.3540070056915283, 'Z': -0.06916482746601105}, {'X': 0.7150413393974304, 'Y': 0.29774534702301025, 'Z': -0.08314375579357147}]
[{'X': 0.7245467901229858, 'Y': 0.7754349708557129, 'Z': -5.738963227486238e-05}, {'X': 0.654902458190918, 'Y': 0.7618510127067566, 'Z': 0.004756420385092497}, {'X': 0.6008803844451904, 'Y': 0.6877813339233398, 'Z': 0.006357850972563028}, {'X': 0.5645264983177185, 'Y': 0.6189934611320496, 'Z': 0.0007121543167158961}, {'X': 0.5295369625091553, 'Y': 0.592659592628479, 'Z': -0.006678553763777018}, {'X': 0.6281041502952576, 'Y': 0.5099610090255737, 'Z': 0.024812698364257812}, {'X': 0.6081058979034424, 'Y': 0.39820152521133423, 'Z': 0.01856764778494835}, {'X': 0.5967702865600586, 'Y': 0.32974183559417725, 'Z': 0.007155361119657755}, {'X': 0.5867605805397034, 'Y': 0.2702879309654236, 'Z': -0.001832995330914855}, {'X': 0.6659314036369324, 'Y': 0.4842202663421631, 'Z': 0.010348595678806305}, {'X': 0.6413466334342957, 'Y': 0.358655720949173, 'Z': 0.00933090690523386}, {'X': 0.625691831111908, 'Y': 0.27758634090423584, 'Z': -0.007878782227635384}, {'X': 0.6125924587249756, 'Y': 0.21334582567214966, 'Z': -0.021543560549616814}, {'X': 0.7075881361961365, 'Y': 0.48587414622306824, 'Z': -0.005908003076910973}, {'X': 0.6867597103118896, 'Y': 0.3610396385192871, 'Z': -0.011218954809010029}, {'X': 0.669136643409729, 'Y': 0.2848789095878601, 'Z': -0.03209701552987099}, {'X': 0.6524741649627686, 'Y': 0.2243661880493164, 'Z': -0.04584306478500366}, {'X': 0.7529674172401428, 'Y': 0.510989248752594, 'Z': -0.02123873494565487}, {'X': 0.7432904243469238, 'Y': 0.41541755199432373, 'Z': -0.03487249091267586}, {'X': 0.7328205108642578, 'Y': 0.3536369800567627, 'Z': -0.05290645733475685}, {'X': 0.7177693247795105, 'Y': 0.29854440689086914, 'Z': -0.06632685661315918}]
[{'X': 0.7267469167709351, 'Y': 0.7714783549308777, 'Z': -5.98530714341905e-05}, {'X': 0.6533654928207397, 'Y': 0.7555912137031555, 'Z': 0.029993334785103798}, {'X': 0.6009716987609863, 'Y': 0.6817138195037842, 'Z': 0.04642392694950104}, {'X': 0.5666117668151855, 'Y': 0.6113498210906982, 'Z': 0.05510621517896652}, {'X': 0.5348553657531738, 'Y': 0.5872058272361755, 'Z': 0.06425221264362335}, {'X': 0.6287217736244202, 'Y': 0.5147036910057068, 'Z': 0.041170332580804825}, {'X': 0.6111725568771362, 'Y': 0.39865028858184814, 'Z': 0.05051345378160477}, {'X': 0.6009751558303833, 'Y': 0.3263109028339386, 'Z': 0.04862978681921959}, {'X': 0.5897368788719177, 'Y': 0.26819083094596863, 'Z': 0.04410924017429352}, {'X': 0.6672260761260986, 'Y': 0.4880514144897461, 'Z': 0.025159046053886414}, {'X': 0.643183708190918, 'Y': 0.35725313425064087, 'Z': 0.033868685364723206}, {'X': 0.6270549893379211, 'Y': 0.27357107400894165, 'Z': 0.021757157519459724}, {'X': 0.6136099696159363, 'Y': 0.21134942770004272, 'Z': 0.007630420848727226}, {'X': 0.7103572487831116, 'Y': 0.48736807703971863, 'Z': 0.011751038953661919}, {'X': 0.6884394288063049, 'Y': 0.3598756790161133, 'Z': 0.01551036722958088}, {'X': 0.6720290780067444, 'Y': 0.28033527731895447, 'Z': 0.003596376394852996}, {'X': 0.6575968265533447, 'Y': 0.2186688780784607, 'Z': -0.005778497084975243}, {'X': 0.7568759918212891, 'Y': 0.510137677192688, 'Z': 0.002949211047962308}, {'X': 0.7450694441795349, 'Y': 0.4152352809906006, 'Z': 0.0014725284418091178}, {'X': 0.7344462275505066, 'Y': 0.3551502227783203, 'Z': -0.007059511728584766}, {'X': 0.7212017774581909, 'Y': 0.3023408055305481, 'Z': -0.014734501019120216}]
[{'X': 0.7285932302474976, 'Y': 0.7659257054328918, 'Z': -9.657911868998781e-05}, {'X': 0.6588238477706909, 'Y': 0.7539407014846802, 'Z': 0.009012932889163494}, {'X': 0.6026268601417542, 'Y': 0.6799208521842957, 'Z': 0.01725940778851509}, {'X': 0.5671342611312866, 'Y': 0.6121809482574463, 'Z': 0.018233243376016617}, {'X': 0.5340719223022461, 'Y': 0.5857225656509399, 'Z': 0.01770852506160736}, {'X': 0.6296996474266052, 'Y': 0.5107461214065552, 'Z': 0.024242408573627472}, {'X': 0.6105484962463379, 'Y': 0.4051867127418518, 'Z': 0.021125657483935356}, {'X': 0.6016969084739685, 'Y': 0.33393537998199463, 'Z': 0.012902420945465565}, {'X': 0.5926085114479065, 'Y': 0.27272504568099976, 'Z': 0.00246054888702929}, {'X': 0.6659256219863892, 'Y': 0.4830474257469177, 'Z': 0.008479309268295765}, {'X': 0.6411944031715393, 'Y': 0.3636951148509979, 'Z': 0.009620324708521366}, {'X': 0.6255738735198975, 'Y': 0.28170159459114075, 'Z': -0.006485747639089823}, {'X': 0.6115614175796509, 'Y': 0.21642065048217773, 'Z': -0.023253336548805237}, {'X': 0.7069717645645142, 'Y': 0.4843572974205017, 'Z': -0.008173915557563305}, {'X': 0.6864862442016602, 'Y': 0.36931586265563965, 'Z': -0.013932853005826473}, {'X': 0.6705476641654968, 'Y': 0.2949163317680359, 'Z': -0.032256729900836945}, {'X': 0.6545853018760681, 'Y': 0.23644384741783142, 'Z': -0.04737047851085663}, {'X': 0.7520737648010254, 'Y': 0.5097630023956299, 'Z': -0.02423854172229767}, {'X': 0.7429535984992981, 'Y': 0.42719757556915283, 'Z': -0.03998163715004921}, {'X': 0.7306129336357117, 'Y': 0.3807724118232727, 'Z': -0.05676426738500595}, {'X': 0.7143135070800781, 'Y': 0.3482210636138916, 'Z': -0.06954985111951828}]
[{'X': 0.711445152759552, 'Y': 0.7353504300117493, 'Z': -9.486730414209887e-05}, {'X': 0.6455981135368347, 'Y': 0.7390168905258179, 'Z': 0.027431514114141464}, {'X': 0.598141610622406, 'Y': 0.6742944717407227, 'Z': 0.04786159098148346}, {'X': 0.5638598203659058, 'Y': 0.613702654838562, 'Z': 0.05994594469666481}, {'X': 0.532689094543457, 'Y': 0.589795708656311, 'Z': 0.07353144139051437}, {'X': 0.6306226253509521, 'Y': 0.5150676965713501, 'Z': 0.05167142674326897}, {'X': 0.6110774874687195, 'Y': 0.40085911750793457, 'Z': 0.06209876388311386}, {'X': 0.5999340415000916, 'Y': 0.32852596044540405, 'Z': 0.06434319913387299}, {'X': 0.5893675088882446, 'Y': 0.2729579508304596, 'Z': 0.0620272271335125}, {'X': 0.666940450668335, 'Y': 0.48951709270477295, 'Z': 0.035364601761102676}, {'X': 0.6461608409881592, 'Y': 0.36256980895996094, 'Z': 0.041183482855558395}, {'X': 0.6296664476394653, 'Y': 0.2772969901561737, 'Z': 0.030038991943001747}, {'X': 0.6160423159599304, 'Y': 0.2166571021080017, 'Z': 0.021644625812768936}, {'X': 0.7070503234863281, 'Y': 0.48951321840286255, 'Z': 0.021165287122130394}, {'X': 0.6900229454040527, 'Y': 0.3672005534172058, 'Z': 0.02271447516977787}, {'X': 0.6729972958564758, 'Y': 0.30080172419548035, 'Z': 0.015376300550997257}, {'X': 0.6552684307098389, 'Y': 0.257846474647522, 'Z': 0.014465263113379478}, {'X': 0.7504624128341675, 'Y': 0.5126074552536011, 'Z': 0.009319528937339783}, {'X': 0.7462045550346375, 'Y': 0.4211288392543793, 'Z': -0.004231706727296114}, {'X': 0.7366365194320679, 'Y': 0.40205955505371094, 'Z': -0.00980670191347599}, {'X': 0.7238144874572754, 'Y': 0.41043996810913086, 'Z': -0.0061871022917330265}]
[{'X': 0.7207474708557129, 'Y': 0.7468065619468689, 'Z': -0.00013443884381558746}, {'X': 0.6515641808509827, 'Y': 0.7510988116264343, 'Z': 0.005118056200444698}, {'X': 0.599715530872345, 'Y': 0.675747811794281, 'Z': 0.02912037819623947}, {'X': 0.5681766867637634, 'Y': 0.6060751080513, 'Z': 0.04758058860898018}, {'X': 0.5403667688369751, 'Y': 0.5839327573776245, 'Z': 0.06717108935117722}, {'X': 0.6323946714401245, 'Y': 0.5045136213302612, 'Z': 0.06898047029972076}, {'X': 0.6156275868415833, 'Y': 0.40220844745635986, 'Z': 0.08860094845294952}, {'X': 0.6032828688621521, 'Y': 0.3358607292175293, 'Z': 0.09292542934417725}, {'X': 0.5929126143455505, 'Y': 0.2851566672325134, 'Z': 0.09122831374406815}, {'X': 0.6695116758346558, 'Y': 0.477889746427536, 'Z': 0.05804373323917389}, {'X': 0.6556345820426941, 'Y': 0.36483055353164673, 'Z': 0.06742383539676666}, {'X': 0.6387253999710083, 'Y': 0.2901948094367981, 'Z': 0.052882809191942215}, {'X': 0.6244825124740601, 'Y': 0.24627938866615295, 'Z': 0.04226410761475563}, {'X': 0.7091854810714722, 'Y': 0.48084497451782227, 'Z': 0.04179740324616432}, {'X': 0.6985167860984802, 'Y': 0.3726547360420227, 'Z': 0.02739694155752659}, {'X': 0.6834275722503662, 'Y': 0.353097528219223, 'Z': -0.005542673170566559}, {'X': 0.6721470355987549, 'Y': 0.366560697555542, 'Z': -0.018574044108390808}, {'X': 0.751178503036499, 'Y': 0.5039143562316895, 'Z': 0.0258795116096735}, {'X': 0.7486933469772339, 'Y': 0.4245392680168152, 'Z': -0.009095253422856331}, {'X': 0.7412338852882385, 'Y': 0.40902721881866455, 'Z': -0.040258292108774185}, {'X': 0.7325644493103027, 'Y': 0.42779386043548584, 'Z': -0.05568726733326912}]
[{'X': 0.7264347672462463, 'Y': 0.761608898639679, 'Z': -0.00011036539945052937}, {'X': 0.6580243706703186, 'Y': 0.7498487830162048, 'Z': -0.0020151755306869745}, {'X': 0.601388692855835, 'Y': 0.6724857687950134, 'Z': 0.016142958775162697}, {'X': 0.5646148920059204, 'Y': 0.605789303779602, 'Z': 0.028470680117607117}, {'X': 0.5342392325401306, 'Y': 0.5867712497711182, 'Z': 0.03939131647348404}, {'X': 0.6335664391517639, 'Y': 0.5109624266624451, 'Z': 0.060357481241226196}, {'X': 0.617196261882782, 'Y': 0.4053996503353119, 'Z': 0.07340027391910553}, {'X': 0.6061187982559204, 'Y': 0.3362310528755188, 'Z': 0.07202214747667313}, {'X': 0.5987213850021362, 'Y': 0.2815590798854828, 'Z': 0.06854993104934692}, {'X': 0.6694273352622986, 'Y': 0.4824349880218506, 'Z': 0.050099413841962814}, {'X': 0.652528703212738, 'Y': 0.36367881298065186, 'Z': 0.05372581258416176}, {'X': 0.6343913078308105, 'Y': 0.29155290126800537, 'Z': 0.03971478343009949}, {'X': 0.6182059645652771, 'Y': 0.24864846467971802, 'Z': 0.030887655913829803}, {'X': 0.7076930403709412, 'Y': 0.48080652952194214, 'Z': 0.03288950398564339}, {'X': 0.6953827142715454, 'Y': 0.3690553903579712, 'Z': 0.012608346529304981}, {'X': 0.6838263273239136, 'Y': 0.36888372898101807, 'Z': -0.03161017969250679}, {'X': 0.6763299107551575, 'Y': 0.3993106484413147, 'Z': -0.04968968406319618}, {'X': 0.7493473887443542, 'Y': 0.49728596210479736, 'Z': 0.017457613721489906}, {'X': 0.7447054982185364, 'Y': 0.4171820282936096, 'Z': -0.01895119622349739}, {'X': 0.7395568490028381, 'Y': 0.41292232275009155, 'Z': -0.05578896775841713}, {'X': 0.7338833212852478, 'Y': 0.4384394884109497, 'Z': -0.07441785931587219}]
[{'X': 0.7262586355209351, 'Y': 0.760951042175293, 'Z': -0.00012313622573856264}, {'X': 0.6548806428909302, 'Y': 0.7427622079849243, 'Z': 0.002347887959331274}, {'X': 0.5999423861503601, 'Y': 0.6673347353935242, 'Z': 0.01705740951001644}, {'X': 0.5634845495223999, 'Y': 0.6048139929771423, 'Z': 0.022817013785243034}, {'X': 0.5338658094406128, 'Y': 0.5822213888168335, 'Z': 0.02842794917523861}, {'X': 0.6364539265632629, 'Y': 0.499589741230011, 'Z': 0.07028035819530487}, {'X': 0.6184785962104797, 'Y': 0.3996025323867798, 'Z': 0.0829874724149704}, {'X': 0.6052501201629639, 'Y': 0.3311677873134613, 'Z': 0.08085893094539642}, {'X': 0.5933778285980225, 'Y': 0.2788187265396118, 'Z': 0.0758831650018692}, {'X': 0.6720977425575256, 'Y': 0.47264736890792847, 'Z': 0.055028967559337616}, {'X': 0.658704400062561, 'Y': 0.35880041122436523, 'Z': 0.05662492290139198}, {'X': 0.6394545435905457, 'Y': 0.2880813777446747, 'Z': 0.04158714786171913}, {'X': 0.6216742396354675, 'Y': 0.246614009141922, 'Z': 0.03081987053155899}, {'X': 0.7105318903923035, 'Y': 0.47147122025489807, 'Z': 0.031230414286255836}, {'X': 0.6995990872383118, 'Y': 0.36104512214660645, 'Z': 0.004141733981668949}, {'X': 0.6845179796218872, 'Y': 0.37729334831237793, 'Z': -0.04140786826610565}, {'X': 0.6745456457138062, 'Y': 0.422342449426651, 'Z': -0.05906624346971512}, {'X': 0.7518926858901978, 'Y': 0.48752251267433167, 'Z': 0.01029999740421772}, {'X': 0.7440659999847412, 'Y': 0.40852826833724976, 'Z': -0.03667626902461052}, {'X': 0.7328605055809021, 'Y': 0.4219900667667389, 'Z': -0.0769726112484932}, {'X': 0.7229442000389099, 'Y': 0.4647384285926819, 'Z': -0.09547289460897446}]
[{'X': 0.7155277729034424, 'Y': 0.7586495876312256, 'Z': -0.00012677993800025433}, {'X': 0.6484023332595825, 'Y': 0.7458311319351196, 'Z': 0.007563125342130661}, {'X': 0.5978757739067078, 'Y': 0.6722323298454285, 'Z': 0.024518819525837898}, {'X': 0.5642341375350952, 'Y': 0.6113417744636536, 'Z': 0.035355307161808014}, {'X': 0.5361291170120239, 'Y': 0.5919215679168701, 'Z': 0.046923283487558365}, {'X': 0.6325262188911438, 'Y': 0.5097562670707703, 'Z': 0.06539630144834518}, {'X': 0.6198866963386536, 'Y': 0.40642428398132324, 'Z': 0.0808974951505661}, {'X': 0.6102129220962524, 'Y': 0.3391607999801636, 'Z': 0.08156886696815491}, {'X': 0.6000490188598633, 'Y': 0.2887938916683197, 'Z': 0.07848085463047028}, {'X': 0.668781578540802, 'Y': 0.4892299771308899, 'Z': 0.04856078326702118}, {'X': 0.6592869758605957, 'Y': 0.37654316425323486, 'Z': 0.05081271752715111}, {'X': 0.6432442665100098, 'Y': 0.3055248558521271, 'Z': 0.03462743014097214}, {'X': 0.6271181702613831, 'Y': 0.26229196786880493, 'Z': 0.02485843375325203}, {'X': 0.707163393497467, 'Y': 0.49448397755622864, 'Z': 0.027545569464564323}, {'X': 0.7010985016822815, 'Y': 0.3885106146335602, 'Z': 0.011026986874639988}, {'X': 0.6878384351730347, 'Y': 0.37215620279312134, 'Z': -0.022977737709879875}, {'X': 0.6748915910720825, 'Y': 0.38432878255844116, 'Z': -0.03624730184674263}, {'X': 0.7471972703933716, 'Y': 0.5178083181381226, 'Z': 0.005922797601670027}, {'X': 0.7448391914367676, 'Y': 0.4395665228366852, 'Z': -0.028186365962028503}, {'X': 0.7355920672416687, 'Y': 0.4239967465400696, 'Z': -0.056606896221637726}, {'X': 0.7235747575759888, 'Y': 0.4397466778755188, 'Z': -0.07121637463569641}]
