[{'X': 0.7003713250160217, 'Y': 0.8961168527603149, 'Z': -5.979101115372032e-05}, {'X': 0.6492992639541626, 'Y': 0.8578821420669556, 'Z': -0.0017975685186684132}, {'X': 0.6183125376701355, 'Y': 0.775902509689331, 'Z': 0.004588759038597345}, {'X': 0.598408043384552, 'Y': 0.7103124260902405, 'Z': 0.008305894210934639}, {'X': 0.5779524445533752, 'Y': 0.6769015192985535, 'Z': 0.01160813495516777}, {'X': 0.6600624322891235, 'Y': 0.6732240915298462, 'Z': 0.02773328498005867}, {'X': 0.6436750292778015, 'Y': 0.5844375491142273, 'Z': 0.022324541583657265}, {'X': 0.6336796879768372, 'Y': 0.5297665596008301, 'Z': 0.009977960959076881}, {'X': 0.6255279183387756, 'Y': 0.48120540380477905, 'Z': -0.0027085666079074144}, {'X': 0.6929210424423218, 'Y': 0.6629555821418762, 'Z': 0.01711917109787464}, {'X': 0.6882482767105103, 'Y': 0.5606628656387329, 'Z': 0.019495518878102303}, {'X': 0.6820339560508728, 'Y': 0.4963822364807129, 'Z': 0.001429051044397056}, {'X': 0.6774685978889465, 'Y': 0.4450976252555847, 'Z': -0.013909455388784409}, {'X': 0.7243368625640869, 'Y': 0.6719099879264832, 'Z': 0.0025234261993318796}, {'X': 0.7252708673477173, 'Y': 0.5738714933395386, 'Z': 0.0019159110961481929}, {'X': 0.720698893070221, 'Y': 0.5134073495864868, 'Z': -0.01245051622390747}, {'X': 0.7153076529502869, 'Y': 0.46180081367492676, 'Z': -0.024733081459999084}, {'X': 0.7545982003211975, 'Y': 0.6980642676353455, 'Z': -0.01236452255398035}, {'X': 0.7663958668708801, 'Y': 0.6227961182594299, 'Z': -0.019760459661483765}, {'X': 0.7702815532684326, 'Y': 0.5723357200622559, 'Z': -0.03085636906325817}, {'X': 0.7698445916175842, 'Y': 0.5268242359161377, 'Z': -0.03991428390145302}]
[{'X': 0.7065927386283875, 'Y': 0.9032259583473206, 'Z': -2.866123031708412e-05}, {'X': 0.6533514261245728, 'Y': 0.8655878305435181, 'Z': -0.00688526825979352}, {'X': 0.6183280944824219, 'Y': 0.7830554246902466, 'Z': -0.006272017490118742}, {'X': 0.5955638289451599, 'Y': 0.7156851291656494, 'Z': -0.008058622479438782}, {'X': 0.5750923752784729, 'Y': 0.6790329813957214, 'Z': -0.01087560597807169}, {'X': 0.6589299440383911, 'Y': 0.6713787913322449, 'Z': 0.026118308305740356}, {'X': 0.6405876278877258, 'Y': 0.5813115239143372, 'Z': 0.021267985925078392}, {'X': 0.6308078765869141, 'Y': 0.5258775949478149, 'Z': 0.008894570171833038}, {'X': 0.6227080225944519, 'Y': 0.47637420892715454, 'Z': -0.002876953687518835}, {'X': 0.6918437480926514, 'Y': 0.6608271598815918, 'Z': 0.018070803955197334}, {'X': 0.687608003616333, 'Y': 0.5581533312797546, 'Z': 0.022513769567012787}, {'X': 0.6826503872871399, 'Y': 0.4958098232746124, 'Z': 0.006614540703594685}, {'X': 0.6787639260292053, 'Y': 0.443917453289032, 'Z': -0.007301714271306992}, {'X': 0.7233405113220215, 'Y': 0.6701880097389221, 'Z': 0.005269413813948631}, {'X': 0.7245378494262695, 'Y': 0.5710539221763611, 'Z': 0.0060258107259869576}, {'X': 0.7205371856689453, 'Y': 0.5127220153808594, 'Z': -0.006654567085206509}, {'X': 0.715376079082489, 'Y': 0.46092861890792847, 'Z': -0.01793842948973179}, {'X': 0.7544046640396118, 'Y': 0.6967982053756714, 'Z': -0.008287977427244186}, {'X': 0.7661005258560181, 'Y': 0.6213021278381348, 'Z': -0.014642218127846718}, {'X': 0.7701334357261658, 'Y': 0.571654736995697, 'Z': -0.025113657116889954}, {'X': 0.7700182795524597, 'Y': 0.5254549980163574, 'Z': -0.034399956464767456}]
[{'X': 0.7009345293045044, 'Y': 0.8910230398178101, 'Z': -7.253827061504126e-05}, {'X': 0.6487218737602234, 'Y': 0.8608942031860352, 'Z': -0.004111147485673428}, {'X': 0.6169996857643127, 'Y': 0.7821139097213745, 'Z': -0.0005636014975607395}, {'X': 0.5973871946334839, 'Y': 0.7158340215682983, 'Z': 0.0006917588179931045}, {'X': 0.5751045346260071, 'Y': 0.6819615364074707, 'Z': 0.0005429895245470107}, {'X': 0.6584042906761169, 'Y': 0.6733174324035645, 'Z': 0.021598495543003082}, {'X': 0.6419124007225037, 'Y': 0.5844883322715759, 'Z': 0.014031925238668919}, {'X': 0.632527768611908, 'Y': 0.528842568397522, 'Z': 0.00017781004135031253}, {'X': 0.6252408027648926, 'Y': 0.479534775018692, 'Z': -0.011356253176927567}, {'X': 0.6907550692558289, 'Y': 0.6627931594848633, 'Z': 0.011758191511034966}, {'X': 0.6865494847297668, 'Y': 0.5613782405853271, 'Z': 0.012277472764253616}, {'X': 0.6813427805900574, 'Y': 0.496518075466156, 'Z': -0.007189662661403418}, {'X': 0.678151547908783, 'Y': 0.44322702288627625, 'Z': -0.023571332916617393}, {'X': 0.7219473123550415, 'Y': 0.6728699803352356, 'Z': -0.0018736169440671802}, {'X': 0.7228775024414062, 'Y': 0.574962317943573, 'Z': -0.003452764358371496}, {'X': 0.7199875712394714, 'Y': 0.5148038864135742, 'Z': -0.0181334987282753}, {'X': 0.7169227004051208, 'Y': 0.4633130729198456, 'Z': -0.030985750257968903}, {'X': 0.7522110939025879, 'Y': 0.700291097164154, 'Z': -0.01578153669834137}, {'X': 0.7635093927383423, 'Y': 0.6244277358055115, 'Z': -0.02185135893523693}, {'X': 0.7676829099655151, 'Y': 0.573794424533844, 'Z': -0.0327751450240612}, {'X': 0.7684698104858398, 'Y': 0.5277646780014038, 'Z': -0.04227011650800705}]
[{'X': 0.7059329748153687, 'Y': 0.8968237638473511, 'Z': -3.805270534940064e-05}, {'X': 0.6504316329956055, 'Y': 0.8582711219787598, 'Z': -0.0009559702011756599}, {'X': 0.616500973701477, 'Y': 0.7759591341018677, 'Z': 0.0042939805425703526}, {'X': 0.5944685339927673, 'Y': 0.7102245688438416, 'Z': 0.007210742682218552}, {'X': 0.5714304447174072, 'Y': 0.6777645349502563, 'Z': 0.00915765855461359}, {'X': 0.6577108502388, 'Y': 0.6699268817901611, 'Z': 0.032279789447784424}, {'X': 0.6412532925605774, 'Y': 0.5830638408660889, 'Z': 0.029816608875989914}, {'X': 0.6313384175300598, 'Y': 0.5282109975814819, 'Z': 0.01984766684472561}, {'X': 0.6232492327690125, 'Y': 0.48007825016975403, 'Z': 0.010806214064359665}, {'X': 0.6900129914283752, 'Y': 0.6601987481117249, 'Z': 0.023643268272280693}, {'X': 0.6848885416984558, 'Y': 0.5575578212738037, 'Z': 0.0312950499355793}, {'X': 0.6803659200668335, 'Y': 0.4955208897590637, 'Z': 0.018776414915919304}, {'X': 0.6771151423454285, 'Y': 0.4441365897655487, 'Z': 0.0073174950666725636}, {'X': 0.7212207317352295, 'Y': 0.6680286526679993, 'Z': 0.010973871685564518}, {'X': 0.7221100330352783, 'Y': 0.5711144208908081, 'Z': 0.014989739283919334}, {'X': 0.7187908887863159, 'Y': 0.513293981552124, 'Z': 0.004516724497079849}, {'X': 0.7144855260848999, 'Y': 0.46412792801856995, 'Z': -0.003948151133954525}, {'X': 0.7525538802146912, 'Y': 0.6916239261627197, 'Z': -0.0021451429929584265}, {'X': 0.7621419429779053, 'Y': 0.617713987827301, 'Z': -0.006712773814797401}, {'X': 0.7663083076477051, 'Y': 0.5680915713310242, 'Z': -0.016126923263072968}, {'X': 0.7670649290084839, 'Y': 0.5226680636405945, 'Z': -0.023972226306796074}]
[{'X': 0.7053825855255127, 'Y': 0.8949732780456543, 'Z': -3.955074862460606e-05}, {'X': 0.651992917060852, 'Y': 0.8618073463439941, 'Z': -0.003958235029131174}, {'X': 0.6171700358390808, 'Y': 0.7776378393173218, 'Z': -0.0003588791296351701}, {'X': 0.5965170860290527, 'Y': 0.711207389831543, 'Z': 0.0009242371306754649}, {'X': 0.5737364292144775, 'Y': 0.6779880523681641, 'Z': 0.001254004891961813}, {'X': 0.6578659415245056, 'Y': 0.669803261756897, 'Z': 0.022453414276242256}, {'X': 0.6405156254768372, 'Y': 0.5854052305221558, 'Z': 0.015368576161563396}, {'X': 0.6309887170791626, 'Y': 0.5331457257270813, 'Z': 0.003773118369281292}, {'X': 0.6236755847930908, 'Y': 0.48464304208755493, 'Z': -0.006207221653312445}, {'X': 0.6910847425460815, 'Y': 0.6604188084602356, 'Z': 0.014556367881596088}, {'X': 0.6852771043777466, 'Y': 0.5591358542442322, 'Z': 0.018333135172724724}, {'X': 0.6812394261360168, 'Y': 0.49759966135025024, 'Z': 0.005446634255349636}, {'X': 0.6796295046806335, 'Y': 0.44609689712524414, 'Z': -0.004718550480902195}, {'X': 0.7226393818855286, 'Y': 0.6682023406028748, 'Z': 0.0029196382965892553}, {'X': 0.7230383157730103, 'Y': 0.5709316730499268, 'Z': 0.003107935655862093}, {'X': 0.7200537919998169, 'Y': 0.5125283002853394, 'Z': -0.00949930027127266}, {'X': 0.7168550491333008, 'Y': 0.4625113308429718, 'Z': -0.01868230290710926}, {'X': 0.7535910606384277, 'Y': 0.6931865811347961, 'Z': -0.008882853202521801}, {'X': 0.7628099918365479, 'Y': 0.6191745400428772, 'Z': -0.015152281150221825}, {'X': 0.7681175470352173, 'Y': 0.5683861374855042, 'Z': -0.025434575974941254}, {'X': 0.7705910205841064, 'Y': 0.5218514204025269, 'Z': -0.03368430584669113}]
[{'X': 0.7063863277435303, 'Y': 0.9042049050331116, 'Z': -1.74249926203629e-05}, {'X': 0.6510122418403625, 'Y': 0.8587780594825745, 'Z': -0.008786968886852264}, {'X': 0.6158167719841003, 'Y': 0.7748704552650452, 'Z': -0.00905246939510107}, {'X': 0.5919660329818726, 'Y': 0.7092711329460144, 'Z': -0.011778175830841064}, {'X': 0.5673022270202637, 'Y': 0.6756537556648254, 'Z': -0.015484184958040714}, {'X': 0.6584289073944092, 'Y': 0.6688515543937683, 'Z': 0.021997250616550446}, {'X': 0.6415805816650391, 'Y': 0.5811775922775269, 'Z': 0.017036274075508118}, {'X': 0.6309717297554016, 'Y': 0.5296895503997803, 'Z': 0.007405467797070742}, {'X': 0.6222960948944092, 'Y': 0.4827304482460022, 'Z': -0.001592598157003522}, {'X': 0.6916618347167969, 'Y': 0.6589490175247192, 'Z': 0.014946473762392998}, {'X': 0.6872138977050781, 'Y': 0.5543844699859619, 'Z': 0.018912550061941147}, {'X': 0.6822600364685059, 'Y': 0.494230180978775, 'Z': 0.006419794168323278}, {'X': 0.6782122850418091, 'Y': 0.44226333498954773, 'Z': -0.003940246533602476}, {'X': 0.7222775816917419, 'Y': 0.6674370765686035, 'Z': 0.0033560646697878838}, {'X': 0.7246274948120117, 'Y': 0.5691483020782471, 'Z': 0.004384719766676426}, {'X': 0.7205895781517029, 'Y': 0.5123932957649231, 'Z': -0.008245402947068214}, {'X': 0.7157274484634399, 'Y': 0.4615495204925537, 'Z': -0.017941821366548538}, {'X': 0.7525418996810913, 'Y': 0.6931803226470947, 'Z': -0.009411497041583061}, {'X': 0.7637565732002258, 'Y': 0.6211667060852051, 'Z': -0.015988457947969437}, {'X': 0.76817786693573, 'Y': 0.5729715824127197, 'Z': -0.02787967585027218}, {'X': 0.7695826292037964, 'Y': 0.527891993522644, 'Z': -0.03759180009365082}]
[{'X': 0.7094253301620483, 'Y': 0.9098576903343201, 'Z': -1.3339628821995575e-05}, {'X': 0.6519408822059631, 'Y': 0.85924232006073, 'Z': -0.015422714874148369}, {'X': 0.6133439540863037, 'Y': 0.7732610106468201, 'Z': -0.017407312989234924}, {'X': 0.5875858068466187, 'Y': 0.7055708765983582, 'Z': -0.020691365003585815}, {'X': 0.5651719570159912, 'Y': 0.6720513105392456, 'Z': -0.023629505187273026}, {'X': 0.6580960750579834, 'Y': 0.6671562790870667, 'Z': 0.01657547987997532}, {'X': 0.6407697200775146, 'Y': 0.5790997743606567, 'Z': 0.013442909345030785}, {'X': 0.630943775177002, 'Y': 0.5275923609733582, 'Z': 0.006848614197224379}, {'X': 0.6237465143203735, 'Y': 0.48078587651252747, 'Z': -0.001399005763232708}, {'X': 0.6920727491378784, 'Y': 0.6574530005455017, 'Z': 0.01358966063708067}, {'X': 0.6871495246887207, 'Y': 0.5529669523239136, 'Z': 0.017418578267097473}, {'X': 0.6817318201065063, 'Y': 0.4932287037372589, 'Z': 0.007555023301392794}, {'X': 0.6777387261390686, 'Y': 0.4404928982257843, 'Z': -0.00044584827264770865}, {'X': 0.7232117056846619, 'Y': 0.6656948924064636, 'Z': 0.004925076849758625}, {'X': 0.7256999015808105, 'Y': 0.5679581165313721, 'Z': 0.0051397583447396755}, {'X': 0.7207521796226501, 'Y': 0.5110011100769043, 'Z': -0.005545661319047213}, {'X': 0.7149703502655029, 'Y': 0.4597828686237335, 'Z': -0.013001440092921257}, {'X': 0.7539936304092407, 'Y': 0.6916985511779785, 'Z': -0.00485664838925004}, {'X': 0.7652992010116577, 'Y': 0.6227088570594788, 'Z': -0.012606377713382244}, {'X': 0.7695958614349365, 'Y': 0.5752792954444885, 'Z': -0.024303341284394264}, {'X': 0.7699101567268372, 'Y': 0.5294907093048096, 'Z': -0.0335102379322052}]
[{'X': 0.704362154006958, 'Y': 0.898203432559967, 'Z': -4.1917170165106654e-05}, {'X': 0.6514609456062317, 'Y': 0.858634889125824, 'Z': 0.0021024318411946297}, {'X': 0.6191434264183044, 'Y': 0.7756950855255127, 'Z': 0.011433101259171963}, {'X': 0.5996725559234619, 'Y': 0.7070257663726807, 'Z': 0.01667114719748497}, {'X': 0.578903317451477, 'Y': 0.6740519404411316, 'Z': 0.022352226078510284}, {'X': 0.6602663993835449, 'Y': 0.6745396256446838, 'Z': 0.03194363787770271}, {'X': 0.6437727212905884, 'Y': 0.5843990445137024, 'Z': 0.031126098707318306}, {'X': 0.6343901753425598, 'Y': 0.5280987024307251, 'Z': 0.022198230028152466}, {'X': 0.6271629929542542, 'Y': 0.4791831970214844, 'Z': 0.011692548170685768}, {'X': 0.6942191123962402, 'Y': 0.6628643870353699, 'Z': 0.021789535880088806}, {'X': 0.6902881264686584, 'Y': 0.5585321187973022, 'Z': 0.02768903598189354}, {'X': 0.6846479177474976, 'Y': 0.49254488945007324, 'Z': 0.010352634824812412}, {'X': 0.6811791062355042, 'Y': 0.4406365156173706, 'Z': -0.004916967358440161}, {'X': 0.7262718081474304, 'Y': 0.6712338924407959, 'Z': 0.008483413606882095}, {'X': 0.7276514768600464, 'Y': 0.571608304977417, 'Z': 0.011797364801168442}, {'X': 0.7239996194839478, 'Y': 0.5108091831207275, 'Z': 0.0008704875945113599}, {'X': 0.7200778722763062, 'Y': 0.45931097865104675, 'Z': -0.010270372964441776}, {'X': 0.7567009925842285, 'Y': 0.6973332762718201, 'Z': -0.00479635875672102}, {'X': 0.7690925002098083, 'Y': 0.6212499737739563, 'Z': -0.008991837501525879}, {'X': 0.7725400924682617, 'Y': 0.5714459419250488, 'Z': -0.01821068674325943}, {'X': 0.7724413871765137, 'Y': 0.526778519153595, 'Z': -0.026345157995820045}]
[{'X': 0.7088823318481445, 'Y': 0.9081941246986389, 'Z': 2.434827592878719e-06}, {'X': 0.655383288860321, 'Y': 0.8626591563224792, 'Z': -0.005824673920869827}, {'X': 0.6212548017501831, 'Y': 0.7798439860343933, 'Z': -0.0020259402226656675}, {'X': 0.5986822247505188, 'Y': 0.7116047739982605, 'Z': -0.001760555082000792}, {'X': 0.5778964757919312, 'Y': 0.6762474179267883, 'Z': -0.0013756651896983385}, {'X': 0.6635642647743225, 'Y': 0.6732116937637329, 'Z': 0.034090086817741394}, {'X': 0.6463393568992615, 'Y': 0.5837775468826294, 'Z': 0.03275066241621971}, {'X': 0.6355879902839661, 'Y': 0.5312622785568237, 'Z': 0.023562273010611534}, {'X': 0.6263572573661804, 'Y': 0.4839574098587036, 'Z': 0.01402988750487566}, {'X': 0.6967657804489136, 'Y': 0.6615912318229675, 'Z': 0.02734307572245598}, {'X': 0.6926194429397583, 'Y': 0.5569334626197815, 'Z': 0.03326139599084854}, {'X': 0.6858505010604858, 'Y': 0.4948720335960388, 'Z': 0.019560251384973526}, {'X': 0.6800368428230286, 'Y': 0.44263648986816406, 'Z': 0.008469224907457829}, {'X': 0.7281191349029541, 'Y': 0.6695049405097961, 'Z': 0.015231437981128693}, {'X': 0.7298957705497742, 'Y': 0.5698063373565674, 'Z': 0.01971479505300522}, {'X': 0.7248712778091431, 'Y': 0.5119892358779907, 'Z': 0.009802511893212795}, {'X': 0.7189028263092041, 'Y': 0.4600299000740051, 'Z': 0.0010744897881522775}, {'X': 0.7590484023094177, 'Y': 0.695224404335022, 'Z': 0.0026714757550507784}, {'X': 0.7705236673355103, 'Y': 0.6230064630508423, 'Z': -0.0016024862416088581}, {'X': 0.7738951444625854, 'Y': 0.5741310715675354, 'Z': -0.011277579702436924}, {'X': 0.7732896208763123, 'Y': 0.5276219844818115, 'Z': -0.019734440371394157}]
[{'X': 0.7083492875099182, 'Y': 0.8999653458595276, 'Z': -3.16421028401237e-05}, {'X': 0.6561907529830933, 'Y': 0.8571086525917053, 'Z': 0.0015900740399956703}, {'X': 0.6244099140167236, 'Y': 0.7752531170845032, 'Z': 0.00807987805455923}, {'X': 0.6042637825012207, 'Y': 0.7081218957901001, 'Z': 0.010376980528235435}, {'X': 0.5825486779212952, 'Y': 0.6757379174232483, 'Z': 0.012637976557016373}, {'X': 0.6666015982627869, 'Y': 0.6678079962730408, 'Z': 0.03778807818889618}, {'X': 0.6495456099510193, 'Y': 0.5827950239181519, 'Z': 0.03901016339659691}, {'X': 0.6394438743591309, 'Y': 0.5288964509963989, 'Z': 0.030323650687932968}, {'X': 0.6306767463684082, 'Y': 0.4801621437072754, 'Z': 0.021171901375055313}, {'X': 0.6995590329170227, 'Y': 0.6572505831718445, 'Z': 0.028990862891077995}, {'X': 0.696155309677124, 'Y': 0.5557717084884644, 'Z': 0.038717370480298996}, {'X': 0.6902136206626892, 'Y': 0.4944969117641449, 'Z': 0.025819974020123482}, {'X': 0.6848756670951843, 'Y': 0.44403159618377686, 'Z': 0.014578566886484623}, {'X': 0.7311957478523254, 'Y': 0.6665487289428711, 'Z': 0.015876514837145805}, {'X': 0.7334272265434265, 'Y': 0.5690387487411499, 'Z': 0.022954890504479408}, {'X': 0.7294285297393799, 'Y': 0.5115725994110107, 'Z': 0.014018087647855282}, {'X': 0.723707914352417, 'Y': 0.4611216187477112, 'Z': 0.005954310763627291}, {'X': 0.7618808746337891, 'Y': 0.6934636831283569, 'Z': 0.0028754340019077063}, {'X': 0.77398681640625, 'Y': 0.6210322976112366, 'Z': 0.001289017265662551}, {'X': 0.7782589793205261, 'Y': 0.5730969309806824, 'Z': -0.006722767371684313}, {'X': 0.7782348990440369, 'Y': 0.528810977935791, 'Z': -0.013227632269263268}]
[{'X': 0.7139949202537537, 'Y': 0.8952311873435974, 'Z': -2.2067248210078105e-05}, {'X': 0.6651933193206787, 'Y': 0.8548480272293091, 'Z': -0.004888557828962803}, {'X': 0.6321865320205688, 'Y': 0.7778453826904297, 'Z': -0.003584647784009576}, {'X': 0.6105790138244629, 'Y': 0.7135133147239685, 'Z': -0.005677967797964811}, {'X': 0.5882537961006165, 'Y': 0.6800057291984558, 'Z': -0.009509141556918621}, {'X': 0.6696898937225342, 'Y': 0.6819668412208557, 'Z': 0.030770840123295784}, {'X': 0.65660160779953, 'Y': 0.6078909039497375, 'Z': 0.023704366758465767}, {'X': 0.6477823257446289, 'Y': 0.5811389088630676, 'Z': 0.0059080286882817745}, {'X': 0.641725480556488, 'Y': 0.5685790181159973, 'Z': -0.010246765799820423}, {'X': 0.7012912631034851, 'Y': 0.6671640276908875, 'Z': 0.024437300860881805}, {'X': 0.6945510506629944, 'Y': 0.5722272992134094, 'Z': 0.02990296296775341}, {'X': 0.6876946687698364, 'Y': 0.5160436630249023, 'Z': 0.015000847168266773}, {'X': 0.681009829044342, 'Y': 0.46696728467941284, 'Z': 0.0020645326003432274}, {'X': 0.7330183386802673, 'Y': 0.6713799834251404, 'Z': 0.013011655770242214}, {'X': 0.7326033711433411, 'Y': 0.5755792856216431, 'Z': 0.0160965695977211}, {'X': 0.7289844751358032, 'Y': 0.5209686160087585, 'Z': 0.008888214826583862}, {'X': 0.7238022089004517, 'Y': 0.47285938262939453, 'Z': 0.0030040983110666275}, {'X': 0.764940619468689, 'Y': 0.694413959980011, 'Z': 0.0015457953559234738}, {'X': 0.7757367491722107, 'Y': 0.6228041648864746, 'Z': -0.0014363606460392475}, {'X': 0.7798110842704773, 'Y': 0.5732558965682983, 'Z': -0.006218135356903076}, {'X': 0.7795283794403076, 'Y': 0.5267363786697388, 'Z': -0.008548417128622532}]
