[{'X': 0.7111655473709106, 'Y': 0.8288142681121826, 'Z': -0.00013248244067654014}, {'X': 0.6457371115684509, 'Y': 0.7951406240463257, 'Z': -0.020959477871656418}, {'X': 0.607628345489502, 'Y': 0.6891845464706421, 'Z': -0.030299628153443336}, {'X': 0.5891530513763428, 'Y': 0.6017217636108398, 'Z': -0.04729641601443291}, {'X': 0.563217043876648, 'Y': 0.5526973605155945, 'Z': -0.06824270635843277}, {'X': 0.6665991544723511, 'Y': 0.5489465594291687, 'Z': 0.010451518930494785}, {'X': 0.6779015064239502, 'Y': 0.43501704931259155, 'Z': -0.003794185584411025}, {'X': 0.6794389486312866, 'Y': 0.3551008999347687, 'Z': -0.02237187698483467}, {'X': 0.680179238319397, 'Y': 0.28392288088798523, 'Z': -0.03556601703166962}, {'X': 0.7066596150398254, 'Y': 0.5396087765693665, 'Z': -0.005680240225046873}, {'X': 0.7107725143432617, 'Y': 0.41169047355651855, 'Z': -0.020868642255663872}, {'X': 0.7091138958930969, 'Y': 0.3246105909347534, 'Z': -0.04780041053891182}, {'X': 0.7101530432701111, 'Y': 0.2511046528816223, 'Z': -0.062449097633361816}, {'X': 0.7471965551376343, 'Y': 0.5613023638725281, 'Z': -0.027163919061422348}, {'X': 0.7520086765289307, 'Y': 0.42807736992836, 'Z': -0.04739147424697876}, {'X': 0.7503622174263, 'Y': 0.34387221932411194, 'Z': -0.07703904807567596}, {'X': 0.7501925230026245, 'Y': 0.2701733708381653, 'Z': -0.10206497460603714}, {'X': 0.7884141206741333, 'Y': 0.6084699630737305, 'Z': -0.05153364688158035}, {'X': 0.8075817227363586, 'Y': 0.5217985510826111, 'Z': -0.07114959508180618}, {'X': 0.821445882320404, 'Y': 0.45662379264831543, 'Z': -0.0908317118883133}, {'X': 0.8362835049629211, 'Y': 0.3896993398666382, 'Z': -0.10815037041902542}]
[{'X': 0.7123927474021912, 'Y': 0.8241729736328125, 'Z': -0.00013272881915327162}, {'X': 0.6498709917068481, 'Y': 0.7951138019561768, 'Z': -0.022604243829846382}, {'X': 0.6100142598152161, 'Y': 0.691584587097168, 'Z': -0.03713274374604225}, {'X': 0.5883743166923523, 'Y': 0.6024251580238342, 'Z': -0.05962788313627243}, {'X': 0.5588335394859314, 'Y': 0.5505122542381287, 'Z': -0.08633092045783997}, {'X': 0.6665591597557068, 'Y': 0.5513571500778198, 'Z': -0.0024065037723630667}, {'X': 0.6777270436286926, 'Y': 0.43842679262161255, 'Z': -0.02427838370203972}, {'X': 0.677361011505127, 'Y': 0.3566809892654419, 'Z': -0.0492875874042511}, {'X': 0.6765942573547363, 'Y': 0.28200292587280273, 'Z': -0.06645539402961731}, {'X': 0.7061982750892639, 'Y': 0.5426208972930908, 'Z': -0.019790131598711014}, {'X': 0.7093716859817505, 'Y': 0.4149542450904846, 'Z': -0.04146447777748108}, {'X': 0.7082576751708984, 'Y': 0.32649436593055725, 'Z': -0.0744442269206047}, {'X': 0.7090013027191162, 'Y': 0.25099390745162964, 'Z': -0.09201376140117645}, {'X': 0.7471281886100769, 'Y': 0.5661814212799072, 'Z': -0.04275313392281532}, {'X': 0.7511656880378723, 'Y': 0.4341237545013428, 'Z': -0.07192476838827133}, {'X': 0.750640332698822, 'Y': 0.3475850820541382, 'Z': -0.10840249806642532}, {'X': 0.7507418394088745, 'Y': 0.269987553358078, 'Z': -0.1388958990573883}, {'X': 0.7877299189567566, 'Y': 0.6146821975708008, 'Z': -0.067415252327919}, {'X': 0.8056251406669617, 'Y': 0.5282009243965149, 'Z': -0.09581813961267471}, {'X': 0.8176999688148499, 'Y': 0.4641817808151245, 'Z': -0.12215062975883484}, {'X': 0.8299553394317627, 'Y': 0.3976258635520935, 'Z': -0.14502792060375214}]
[{'X': 0.7121086716651917, 'Y': 0.8151141405105591, 'Z': -0.0001273403177037835}, {'X': 0.6499640345573425, 'Y': 0.791079044342041, 'Z': -0.024360187351703644}, {'X': 0.6109827756881714, 'Y': 0.6918347477912903, 'Z': -0.03991132229566574}, {'X': 0.5884014368057251, 'Y': 0.6045451760292053, 'Z': -0.06488857418298721}, {'X': 0.5605907440185547, 'Y': 0.5516397953033447, 'Z': -0.0942358747124672}, {'X': 0.665087103843689, 'Y': 0.5557359457015991, 'Z': -0.004618785809725523}, {'X': 0.6751819849014282, 'Y': 0.4415839612483978, 'Z': -0.0283419918268919}, {'X': 0.6752862930297852, 'Y': 0.35612034797668457, 'Z': -0.05656041204929352}, {'X': 0.6752403974533081, 'Y': 0.2787281274795532, 'Z': -0.07651083916425705}, {'X': 0.7042752504348755, 'Y': 0.5449851155281067, 'Z': -0.021984128281474113}, {'X': 0.7074574828147888, 'Y': 0.4202275276184082, 'Z': -0.04757335036993027}, {'X': 0.7068142294883728, 'Y': 0.3312440812587738, 'Z': -0.08295820653438568}, {'X': 0.7076061964035034, 'Y': 0.25563615560531616, 'Z': -0.10389888286590576}, {'X': 0.7447022795677185, 'Y': 0.569340169429779, 'Z': -0.04606340453028679}, {'X': 0.7505954504013062, 'Y': 0.43929070234298706, 'Z': -0.07814909517765045}, {'X': 0.7513729929924011, 'Y': 0.3497040569782257, 'Z': -0.11803778260946274}, {'X': 0.7523590326309204, 'Y': 0.26936376094818115, 'Z': -0.15159261226654053}, {'X': 0.7837172150611877, 'Y': 0.6199555993080139, 'Z': -0.07140356302261353}, {'X': 0.8035678863525391, 'Y': 0.536404013633728, 'Z': -0.1031867265701294}, {'X': 0.8165480494499207, 'Y': 0.4758695960044861, 'Z': -0.13223902881145477}, {'X': 0.8284270763397217, 'Y': 0.4134972393512726, 'Z': -0.1577734500169754}]
[{'X': 0.7074586749076843, 'Y': 0.8220354914665222, 'Z': -0.00012858063564635813}, {'X': 0.6461611986160278, 'Y': 0.7935824990272522, 'Z': -0.022141028195619583}, {'X': 0.6088709831237793, 'Y': 0.6901061534881592, 'Z': -0.0370916984975338}, {'X': 0.5882364511489868, 'Y': 0.6019832491874695, 'Z': -0.05975761637091637}, {'X': 0.5569967031478882, 'Y': 0.552650511264801, 'Z': -0.08710454404354095}, {'X': 0.6660296320915222, 'Y': 0.5530211329460144, 'Z': -0.006104036699980497}, {'X': 0.6768171191215515, 'Y': 0.4426272511482239, 'Z': -0.028149712830781937}, {'X': 0.6757770776748657, 'Y': 0.36083531379699707, 'Z': -0.05261579900979996}, {'X': 0.6747143864631653, 'Y': 0.28425440192222595, 'Z': -0.06903459131717682}, {'X': 0.7048404216766357, 'Y': 0.5438499450683594, 'Z': -0.02398919314146042}, {'X': 0.7082135081291199, 'Y': 0.41999319195747375, 'Z': -0.04855501651763916}, {'X': 0.7060993313789368, 'Y': 0.3312644064426422, 'Z': -0.08205181360244751}, {'X': 0.7068542838096619, 'Y': 0.2542452812194824, 'Z': -0.0991356372833252}, {'X': 0.745134711265564, 'Y': 0.567768931388855, 'Z': -0.04632324352860451}, {'X': 0.7494921684265137, 'Y': 0.4377298355102539, 'Z': -0.0771721675992012}, {'X': 0.7491292357444763, 'Y': 0.35019463300704956, 'Z': -0.11387772113084793}, {'X': 0.7503171563148499, 'Y': 0.2699229121208191, 'Z': -0.14390380680561066}, {'X': 0.784968376159668, 'Y': 0.6173603534698486, 'Z': -0.07056991010904312}, {'X': 0.8029967546463013, 'Y': 0.5329105257987976, 'Z': -0.09873605519533157}, {'X': 0.8144150376319885, 'Y': 0.4699150323867798, 'Z': -0.1240401640534401}, {'X': 0.8260135054588318, 'Y': 0.4031822681427002, 'Z': -0.14608719944953918}]
[{'X': 0.7151570916175842, 'Y': 0.808850884437561, 'Z': -5.289375621941872e-05}, {'X': 0.7097871899604797, 'Y': 0.7614699602127075, 'Z': -0.024377960711717606}, {'X': 0.6928389668464661, 'Y': 0.6514028310775757, 'Z': -0.03675888478755951}, {'X': 0.6726200580596924, 'Y': 0.5654194951057434, 'Z': -0.052172016352415085}, {'X': 0.65072101354599, 'Y': 0.5118101835250854, 'Z': -0.06725459545850754}, {'X': 0.7029003500938416, 'Y': 0.5511566400527954, 'Z': -0.010455068200826645}, {'X': 0.7081467509269714, 'Y': 0.4335407614707947, 'Z': -0.03032330423593521}, {'X': 0.7093151807785034, 'Y': 0.3443686366081238, 'Z': -0.0573771595954895}, {'X': 0.7093336582183838, 'Y': 0.2678427994251251, 'Z': -0.08192263543605804}, {'X': 0.6974794864654541, 'Y': 0.5554569959640503, 'Z': -0.02534697763621807}, {'X': 0.698582112789154, 'Y': 0.4326023459434509, 'Z': -0.050672709941864014}, {'X': 0.7000420689582825, 'Y': 0.34219563007354736, 'Z': -0.07750479876995087}, {'X': 0.7018851041793823, 'Y': 0.2603833079338074, 'Z': -0.09256253391504288}, {'X': 0.6975606083869934, 'Y': 0.5912386178970337, 'Z': -0.045317213982343674}, {'X': 0.6985840797424316, 'Y': 0.4637240767478943, 'Z': -0.08088942617177963}, {'X': 0.7069051265716553, 'Y': 0.3697068691253662, 'Z': -0.12104526907205582}, {'X': 0.7123886346817017, 'Y': 0.28330329060554504, 'Z': -0.14814689755439758}, {'X': 0.6990727186203003, 'Y': 0.6476611495018005, 'Z': -0.06814005225896835}, {'X': 0.7076813578605652, 'Y': 0.5696092844009399, 'Z': -0.10717447102069855}, {'X': 0.7145482301712036, 'Y': 0.5291377902030945, 'Z': -0.13917337357997894}, {'X': 0.7175343632698059, 'Y': 0.4860081672668457, 'Z': -0.16373176872730255}]
[{'X': 0.7135285139083862, 'Y': 0.8178895711898804, 'Z': -0.00010439171455800533}, {'X': 0.6570858955383301, 'Y': 0.7944589853286743, 'Z': -0.018511753529310226}, {'X': 0.6213673949241638, 'Y': 0.6927292346954346, 'Z': -0.03741389885544777}, {'X': 0.5978639125823975, 'Y': 0.6083669662475586, 'Z': -0.06377767771482468}, {'X': 0.5698552131652832, 'Y': 0.560032844543457, 'Z': -0.09314633160829544}, {'X': 0.6672359704971313, 'Y': 0.5659031271934509, 'Z': -0.013650224544107914}, {'X': 0.6742551326751709, 'Y': 0.45127764344215393, 'Z': -0.04142209142446518}, {'X': 0.6708181500434875, 'Y': 0.36687004566192627, 'Z': -0.06880618631839752}, {'X': 0.6677507162094116, 'Y': 0.29072484374046326, 'Z': -0.08828083425760269}, {'X': 0.7038389444351196, 'Y': 0.5513083338737488, 'Z': -0.03674855828285217}, {'X': 0.7030250430107117, 'Y': 0.422635555267334, 'Z': -0.06791917979717255}, {'X': 0.7027799487113953, 'Y': 0.33408093452453613, 'Z': -0.09587140381336212}, {'X': 0.7039819359779358, 'Y': 0.2577555179595947, 'Z': -0.11063047498464584}, {'X': 0.7421985864639282, 'Y': 0.5716936588287354, 'Z': -0.06590825319290161}, {'X': 0.7448805570602417, 'Y': 0.44191044569015503, 'Z': -0.10791832953691483}, {'X': 0.7479209899902344, 'Y': 0.3475426435470581, 'Z': -0.14500048756599426}, {'X': 0.7501908540725708, 'Y': 0.2621150314807892, 'Z': -0.17410671710968018}, {'X': 0.779595136642456, 'Y': 0.6189390420913696, 'Z': -0.09568459540605545}, {'X': 0.7984850406646729, 'Y': 0.5385336875915527, 'Z': -0.13368162512779236}, {'X': 0.8107040524482727, 'Y': 0.4889901280403137, 'Z': -0.15982268750667572}, {'X': 0.8210631608963013, 'Y': 0.4390336275100708, 'Z': -0.18361546099185944}]
[{'X': 0.7168658375740051, 'Y': 0.8427240252494812, 'Z': -4.306435221224092e-05}, {'X': 0.6524640321731567, 'Y': 0.7996413111686707, 'Z': -0.023313341662287712}, {'X': 0.6110774874687195, 'Y': 0.6841907501220703, 'Z': -0.043536312878131866}, {'X': 0.5903146862983704, 'Y': 0.594530463218689, 'Z': -0.06919809430837631}, {'X': 0.5722390413284302, 'Y': 0.5421108603477478, 'Z': -0.09847288578748703}, {'X': 0.666316032409668, 'Y': 0.5573762059211731, 'Z': -0.03412304446101189}, {'X': 0.6723456382751465, 'Y': 0.4444614350795746, 'Z': -0.061289116740226746}, {'X': 0.675098717212677, 'Y': 0.37038561701774597, 'Z': -0.08201224356889725}, {'X': 0.6714071035385132, 'Y': 0.2972204089164734, 'Z': -0.10121925920248032}, {'X': 0.7094774842262268, 'Y': 0.5529823899269104, 'Z': -0.05213535949587822}, {'X': 0.7112244963645935, 'Y': 0.43062737584114075, 'Z': -0.09722457826137543}, {'X': 0.7078714370727539, 'Y': 0.3421555757522583, 'Z': -0.13701339066028595}, {'X': 0.7057499885559082, 'Y': 0.25691550970077515, 'Z': -0.16686654090881348}, {'X': 0.7524672150611877, 'Y': 0.5755175948143005, 'Z': -0.07115009427070618}, {'X': 0.7532424330711365, 'Y': 0.4757438600063324, 'Z': -0.12347058206796646}, {'X': 0.7469702959060669, 'Y': 0.46250516176223755, 'Z': -0.155399352312088}, {'X': 0.7432628273963928, 'Y': 0.45092833042144775, 'Z': -0.17677588760852814}, {'X': 0.7927550077438354, 'Y': 0.618994951248169, 'Z': -0.09385748952627182}, {'X': 0.807217001914978, 'Y': 0.5321599245071411, 'Z': -0.13426394760608673}, {'X': 0.8140385150909424, 'Y': 0.46147361397743225, 'Z': -0.16752561926841736}, {'X': 0.8169867992401123, 'Y': 0.38516244292259216, 'Z': -0.200421541929245}]
[{'X': 0.7065636515617371, 'Y': 0.8349100351333618, 'Z': -7.967188867041841e-05}, {'X': 0.6551532745361328, 'Y': 0.7853829860687256, 'Z': -0.029003502801060677}, {'X': 0.6171571016311646, 'Y': 0.6731992363929749, 'Z': -0.0443904846906662}, {'X': 0.5931500792503357, 'Y': 0.5937138795852661, 'Z': -0.0681573748588562}, {'X': 0.5719590783119202, 'Y': 0.5481063723564148, 'Z': -0.09730701148509979}, {'X': 0.6784331202507019, 'Y': 0.5545523762702942, 'Z': 0.005029596854001284}, {'X': 0.6833398938179016, 'Y': 0.4428223967552185, 'Z': -0.0168011337518692}, {'X': 0.6840900778770447, 'Y': 0.3764292299747467, 'Z': -0.030458219349384308}, {'X': 0.6820010542869568, 'Y': 0.32193776965141296, 'Z': -0.03670252859592438}, {'X': 0.7154708504676819, 'Y': 0.5583677291870117, 'Z': -0.014210347086191177}, {'X': 0.7168495655059814, 'Y': 0.4420505166053772, 'Z': -0.05285438895225525}, {'X': 0.7118425369262695, 'Y': 0.36988091468811035, 'Z': -0.0987200140953064}, {'X': 0.7029774188995361, 'Y': 0.3046795725822449, 'Z': -0.12959064543247223}, {'X': 0.7544134259223938, 'Y': 0.5831490755081177, 'Z': -0.038302551954984665}, {'X': 0.7408850193023682, 'Y': 0.506462574005127, 'Z': -0.09571603685617447}, {'X': 0.7111586332321167, 'Y': 0.5610765218734741, 'Z': -0.13741928339004517}, {'X': 0.6874140501022339, 'Y': 0.6081711053848267, 'Z': -0.14798152446746826}, {'X': 0.7929208278656006, 'Y': 0.6179935932159424, 'Z': -0.06726925820112228}, {'X': 0.7970874905586243, 'Y': 0.5209184885025024, 'Z': -0.08917194604873657}, {'X': 0.800513744354248, 'Y': 0.44928357005119324, 'Z': -0.11504770815372467}, {'X': 0.799490213394165, 'Y': 0.37209421396255493, 'Z': -0.13891978561878204}]
[{'X': 0.7172285318374634, 'Y': 0.8859421014785767, 'Z': -7.838207966415212e-05}, {'X': 0.6522918939590454, 'Y': 0.8058100342750549, 'Z': 0.010514290072023869}, {'X': 0.6167384386062622, 'Y': 0.6809784173965454, 'Z': 0.01749367266893387}, {'X': 0.5930202603340149, 'Y': 0.601235032081604, 'Z': 0.011382422409951687}, {'X': 0.5717650651931763, 'Y': 0.5487050414085388, 'Z': 0.0034353993833065033}, {'X': 0.673775851726532, 'Y': 0.5600249171257019, 'Z': 0.06477226316928864}, {'X': 0.6785335540771484, 'Y': 0.442861407995224, 'Z': 0.05888079106807709}, {'X': 0.6785017848014832, 'Y': 0.3748094439506531, 'Z': 0.05494130775332451}, {'X': 0.6773830056190491, 'Y': 0.31757795810699463, 'Z': 0.05676013603806496}, {'X': 0.7078529596328735, 'Y': 0.5689303874969482, 'Z': 0.03423381969332695}, {'X': 0.6977135539054871, 'Y': 0.4405360519886017, 'Z': -0.00018370532779954374}, {'X': 0.6857386231422424, 'Y': 0.400961697101593, 'Z': -0.026451466605067253}, {'X': 0.6771137118339539, 'Y': 0.38444414734840393, 'Z': -0.0369282141327858}, {'X': 0.7415311932563782, 'Y': 0.590633749961853, 'Z': -0.002054658718407154}, {'X': 0.7166448831558228, 'Y': 0.5243425369262695, 'Z': -0.058113645762205124}, {'X': 0.6909754276275635, 'Y': 0.6177327036857605, 'Z': -0.06832011044025421}, {'X': 0.6764447689056396, 'Y': 0.6957131624221802, 'Z': -0.05403173342347145}, {'X': 0.777052640914917, 'Y': 0.6255334615707397, 'Z': -0.03892230987548828}, {'X': 0.7745187282562256, 'Y': 0.526168704032898, 'Z': -0.08210562914609909}, {'X': 0.769248902797699, 'Y': 0.46052634716033936, 'Z': -0.1080351397395134}, {'X': 0.7638214230537415, 'Y': 0.3917385935783386, 'Z': -0.12209751456975937}]
[{'X': 0.7069609761238098, 'Y': 0.8652756214141846, 'Z': -5.334624802344479e-05}, {'X': 0.6460763812065125, 'Y': 0.7873574495315552, 'Z': -0.01267270278185606}, {'X': 0.6101909875869751, 'Y': 0.6696303486824036, 'Z': -0.015472828410565853}, {'X': 0.5857506990432739, 'Y': 0.5887081623077393, 'Z': -0.021840941160917282}, {'X': 0.568153440952301, 'Y': 0.5333892107009888, 'Z': -0.03059501387178898}, {'X': 0.6715013384819031, 'Y': 0.5516191720962524, 'Z': 0.023913661018013954}, {'X': 0.6769279837608337, 'Y': 0.4219095706939697, 'Z': -0.001992888981476426}, {'X': 0.6771997809410095, 'Y': 0.3613545298576355, 'Z': -0.019452834501862526}, {'X': 0.6746754050254822, 'Y': 0.32074394822120667, 'Z': -0.02750169299542904}, {'X': 0.7062693238258362, 'Y': 0.5650320649147034, 'Z': 0.005288695450872183}, {'X': 0.7018422484397888, 'Y': 0.44839149713516235, 'Z': -0.05554432049393654}, {'X': 0.6843397617340088, 'Y': 0.44586125016212463, 'Z': -0.10135352611541748}, {'X': 0.672333300113678, 'Y': 0.47738412022590637, 'Z': -0.122591532766819}, {'X': 0.7392076849937439, 'Y': 0.592221200466156, 'Z': -0.01596110872924328}, {'X': 0.7224513292312622, 'Y': 0.5457310080528259, 'Z': -0.0816558450460434}, {'X': 0.6937529444694519, 'Y': 0.6287099123001099, 'Z': -0.10635918378829956}, {'X': 0.6741580367088318, 'Y': 0.7062007188796997, 'Z': -0.10093699395656586}, {'X': 0.775299608707428, 'Y': 0.6363939046859741, 'Z': -0.03819122537970543}, {'X': 0.7690819501876831, 'Y': 0.5445126891136169, 'Z': -0.09291282296180725}, {'X': 0.755868673324585, 'Y': 0.4946296811103821, 'Z': -0.13005931675434113}, {'X': 0.7421085834503174, 'Y': 0.4569636285305023, 'Z': -0.1496681123971939}]
[{'X': 0.7063368558883667, 'Y': 0.8309842348098755, 'Z': -8.819743379717693e-05}, {'X': 0.6504780054092407, 'Y': 0.7756748199462891, 'Z': -0.014604826457798481}, {'X': 0.6130834817886353, 'Y': 0.6611806154251099, 'Z': -0.01620403118431568}, {'X': 0.5897128582000732, 'Y': 0.5827325582504272, 'Z': -0.021384239196777344}, {'X': 0.5647417306900024, 'Y': 0.5337774753570557, 'Z': -0.033395539969205856}, {'X': 0.6720123887062073, 'Y': 0.5427342653274536, 'Z': 0.018721379339694977}, {'X': 0.6788573265075684, 'Y': 0.42880740761756897, 'Z': -0.008411921560764313}, {'X': 0.6796750426292419, 'Y': 0.3781195878982544, 'Z': -0.025623345747590065}, {'X': 0.6773726344108582, 'Y': 0.34403613209724426, 'Z': -0.03159144148230553}, {'X': 0.7081354856491089, 'Y': 0.5548368096351624, 'Z': -0.00011725248623406515}, {'X': 0.704515814781189, 'Y': 0.4467869997024536, 'Z': -0.06449218094348907}, {'X': 0.6860247850418091, 'Y': 0.4501141905784607, 'Z': -0.10861010104417801}, {'X': 0.6720141768455505, 'Y': 0.4799030125141144, 'Z': -0.13087895512580872}, {'X': 0.7434349060058594, 'Y': 0.5824306011199951, 'Z': -0.02123127318918705}, {'X': 0.7253347039222717, 'Y': 0.5432006120681763, 'Z': -0.08735379576683044}, {'X': 0.6966789960861206, 'Y': 0.6333164572715759, 'Z': -0.10692350566387177}, {'X': 0.6780920028686523, 'Y': 0.7095168828964233, 'Z': -0.09868650883436203}, {'X': 0.7816301584243774, 'Y': 0.625321090221405, 'Z': -0.04613079875707626}, {'X': 0.7713301777839661, 'Y': 0.5349294543266296, 'Z': -0.0904308408498764}, {'X': 0.7556318640708923, 'Y': 0.4926580786705017, 'Z': -0.12018239498138428}, {'X': 0.7403188347816467, 'Y': 0.45923981070518494, 'Z': -0.13601386547088623}]
