[{'X': 0.668103814125061, 'Y': 0.6688681840896606, 'Z': -8.64241155795753e-05}, {'X': 0.6009334325790405, 'Y': 0.6450375318527222, 'Z': -0.018426790833473206}, {'X': 0.5501934289932251, 'Y': 0.5793159604072571, 'Z': -0.020608875900506973}, {'X': 0.5210739374160767, 'Y': 0.5120946168899536, 'Z': -0.030547846108675003}, {'X': 0.49780187010765076, 'Y': 0.4673267900943756, 'Z': -0.033703673630952835}, {'X': 0.6018187403678894, 'Y': 0.46601974964141846, 'Z': 0.023381086066365242}, {'X': 0.5941163301467896, 'Y': 0.37519699335098267, 'Z': 0.027960877865552902}, {'X': 0.594755232334137, 'Y': 0.32350587844848633, 'Z': 0.027070630341768265}, {'X': 0.5958825945854187, 'Y': 0.28076988458633423, 'Z': 0.02215399779379368}, {'X': 0.6401777267456055, 'Y': 0.455902636051178, 'Z': 0.017705755308270454}, {'X': 0.6319912075996399, 'Y': 0.3508915901184082, 'Z': 0.022488102316856384}, {'X': 0.6297257542610168, 'Y': 0.2955494523048401, 'Z': 0.00969641748815775}, {'X': 0.6295802593231201, 'Y': 0.25337690114974976, 'Z': -0.00047653476940467954}, {'X': 0.6756918430328369, 'Y': 0.461569219827652, 'Z': 0.007078483235090971}, {'X': 0.6688336133956909, 'Y': 0.3667922616004944, 'Z': 0.009630652144551277}, {'X': 0.6640214920043945, 'Y': 0.3158118724822998, 'Z': 7.722857117187232e-05}, {'X': 0.6588181257247925, 'Y': 0.27660492062568665, 'Z': -0.010655873455107212}, {'X': 0.7121708393096924, 'Y': 0.48302358388900757, 'Z': -0.006312700919806957}, {'X': 0.7087758183479309, 'Y': 0.41009727120399475, 'Z': -0.011934742331504822}, {'X': 0.704103946685791, 'Y': 0.3674808144569397, 'Z': -0.02164611406624317}, {'X': 0.6965813636779785, 'Y': 0.3291690945625305, 'Z': -0.02763933315873146}]
[{'X': 0.6703227758407593, 'Y': 0.6674402356147766, 'Z': -8.373709715669975e-05}, {'X': 0.6028869152069092, 'Y': 0.6456850171089172, 'Z': -0.02141994796693325}, {'X': 0.5515453219413757, 'Y': 0.5828102827072144, 'Z': -0.028936374932527542}, {'X': 0.5221511721611023, 'Y': 0.5164846181869507, 'Z': -0.04379355162382126}, {'X': 0.4991178512573242, 'Y': 0.4698556661605835, 'Z': -0.051250822842121124}, {'X': 0.6014005541801453, 'Y': 0.46528366208076477, 'Z': 0.014171089045703411}, {'X': 0.5935249328613281, 'Y': 0.3746429681777954, 'Z': 0.01482382882386446}, {'X': 0.5942263603210449, 'Y': 0.32392972707748413, 'Z': 0.013203579001128674}, {'X': 0.5959576964378357, 'Y': 0.2821268141269684, 'Z': 0.008615800179541111}, {'X': 0.6392862796783447, 'Y': 0.45446524024009705, 'Z': 0.008487324230372906}, {'X': 0.6310081481933594, 'Y': 0.34812718629837036, 'Z': 0.009462759830057621}, {'X': 0.6292410492897034, 'Y': 0.29309576749801636, 'Z': -0.0034485897049307823}, {'X': 0.6300032138824463, 'Y': 0.25207841396331787, 'Z': -0.012300167232751846}, {'X': 0.6742337346076965, 'Y': 0.4600324034690857, 'Z': -0.002529194112867117}, {'X': 0.667481541633606, 'Y': 0.3632546663284302, 'Z': -0.0034675924107432365}, {'X': 0.6632985472679138, 'Y': 0.3124823272228241, 'Z': -0.012761746533215046}, {'X': 0.6588494181632996, 'Y': 0.27382344007492065, 'Z': -0.023125192150473595}, {'X': 0.7105122208595276, 'Y': 0.4818820655345917, 'Z': -0.016040518879890442}, {'X': 0.7066459655761719, 'Y': 0.40850579738616943, 'Z': -0.02489454299211502}, {'X': 0.702190637588501, 'Y': 0.36677080392837524, 'Z': -0.035085685551166534}, {'X': 0.6955431699752808, 'Y': 0.3293418288230896, 'Z': -0.041138291358947754}]
[{'X': 0.6695172190666199, 'Y': 0.6692630052566528, 'Z': -9.40588943194598e-05}, {'X': 0.6013566851615906, 'Y': 0.6443712711334229, 'Z': -0.019285360351204872}, {'X': 0.5497657656669617, 'Y': 0.5791484117507935, 'Z': -0.02170664817094803}, {'X': 0.5200644731521606, 'Y': 0.5117303729057312, 'Z': -0.031633567065000534}, {'X': 0.49751901626586914, 'Y': 0.4657478630542755, 'Z': -0.035302046686410904}, {'X': 0.6016873121261597, 'Y': 0.46782171726226807, 'Z': 0.023050537332892418}, {'X': 0.5939627885818481, 'Y': 0.37636566162109375, 'Z': 0.02729269675910473}, {'X': 0.5949482321739197, 'Y': 0.324278324842453, 'Z': 0.024863602593541145}, {'X': 0.5963627696037292, 'Y': 0.28085488080978394, 'Z': 0.019037868827581406}, {'X': 0.640661358833313, 'Y': 0.4581191837787628, 'Z': 0.01754741743206978}, {'X': 0.6319296956062317, 'Y': 0.3520420789718628, 'Z': 0.022432204335927963}, {'X': 0.6301301717758179, 'Y': 0.2956230938434601, 'Z': 0.008612803183495998}, {'X': 0.6307039260864258, 'Y': 0.25208187103271484, 'Z': -0.0029276367276906967}, {'X': 0.6768522262573242, 'Y': 0.46366074681282043, 'Z': 0.006917525548487902}, {'X': 0.668765664100647, 'Y': 0.3669458031654358, 'Z': 0.010257832705974579}, {'X': 0.6642632484436035, 'Y': 0.3148338794708252, 'Z': 3.72343638446182e-05}, {'X': 0.6600626707077026, 'Y': 0.27396684885025024, 'Z': -0.01185331679880619}, {'X': 0.7136111855506897, 'Y': 0.48516541719436646, 'Z': -0.006325855385512114}, {'X': 0.7097596526145935, 'Y': 0.4110053777694702, 'Z': -0.009706907905638218}, {'X': 0.7047042846679688, 'Y': 0.3682155907154083, 'Z': -0.01830037496984005}, {'X': 0.6971532702445984, 'Y': 0.3298008143901825, 'Z': -0.025225017219781876}]
[{'X': 0.6699869632720947, 'Y': 0.6637932658195496, 'Z': -9.200337808579206e-05}, {'X': 0.6016078591346741, 'Y': 0.6428559422492981, 'Z': -0.021600782871246338}, {'X': 0.5510603785514832, 'Y': 0.5788713097572327, 'Z': -0.023711204528808594}, {'X': 0.522873044013977, 'Y': 0.5121656656265259, 'Z': -0.0322670042514801}, {'X': 0.503380298614502, 'Y': 0.46487224102020264, 'Z': -0.03365860506892204}, {'X': 0.6012576818466187, 'Y': 0.4657701253890991, 'Z': 0.019952984526753426}, {'X': 0.5939011573791504, 'Y': 0.3749716877937317, 'Z': 0.026150433346629143}, {'X': 0.5941447019577026, 'Y': 0.32347699999809265, 'Z': 0.02501820959150791}, {'X': 0.5953752398490906, 'Y': 0.28186190128326416, 'Z': 0.01964770443737507}, {'X': 0.6401199102401733, 'Y': 0.45550504326820374, 'Z': 0.017652161419391632}, {'X': 0.6310290694236755, 'Y': 0.3505614399909973, 'Z': 0.025480683892965317}, {'X': 0.6285046935081482, 'Y': 0.2952593266963959, 'Z': 0.014090051874518394}, {'X': 0.6289882659912109, 'Y': 0.25330573320388794, 'Z': 0.0033307685516774654}, {'X': 0.676119863986969, 'Y': 0.46080344915390015, 'Z': 0.010231774300336838}, {'X': 0.668049156665802, 'Y': 0.3652762770652771, 'Z': 0.015858113765716553}, {'X': 0.6630440950393677, 'Y': 0.3136330842971802, 'Z': 0.00793136190623045}, {'X': 0.6589791774749756, 'Y': 0.27299004793167114, 'Z': -0.0031569136772304773}, {'X': 0.7125437259674072, 'Y': 0.4818701148033142, 'Z': 2.8909273169119842e-05}, {'X': 0.7099573016166687, 'Y': 0.40916216373443604, 'Z': -0.0005991437938064337}, {'X': 0.7056852579116821, 'Y': 0.3681841492652893, 'Z': -0.007329955231398344}, {'X': 0.6992679834365845, 'Y': 0.3315601348876953, 'Z': -0.013514304533600807}]
[{'X': 0.6641659736633301, 'Y': 0.6612889766693115, 'Z': -9.02615356608294e-05}, {'X': 0.6022887825965881, 'Y': 0.6385225653648376, 'Z': -0.02783847786486149}, {'X': 0.5564758777618408, 'Y': 0.5724818706512451, 'Z': -0.03403269872069359}, {'X': 0.5339269638061523, 'Y': 0.5025675296783447, 'Z': -0.04395866021513939}, {'X': 0.5252984762191772, 'Y': 0.4537030756473541, 'Z': -0.04557359963655472}, {'X': 0.6026068329811096, 'Y': 0.4677871763706207, 'Z': 0.018993182107806206}, {'X': 0.5946672558784485, 'Y': 0.378993958234787, 'Z': 0.026307357475161552}, {'X': 0.5945767164230347, 'Y': 0.3297728896141052, 'Z': 0.024673348292708397}, {'X': 0.595771074295044, 'Y': 0.29026108980178833, 'Z': 0.01674589328467846}, {'X': 0.6394113302230835, 'Y': 0.45711714029312134, 'Z': 0.017042191699147224}, {'X': 0.6305973529815674, 'Y': 0.3523150384426117, 'Z': 0.025199344381690025}, {'X': 0.626926064491272, 'Y': 0.2984183728694916, 'Z': 0.01108497753739357}, {'X': 0.6263390779495239, 'Y': 0.2586284279823303, 'Z': -0.0029591808561235666}, {'X': 0.6737589836120605, 'Y': 0.461014986038208, 'Z': 0.010075089521706104}, {'X': 0.6674531102180481, 'Y': 0.3666450083255768, 'Z': 0.016085879877209663}, {'X': 0.6611807346343994, 'Y': 0.31375858187675476, 'Z': 0.0051560308784246445}, {'X': 0.655357837677002, 'Y': 0.2721017599105835, 'Z': -0.0095869991928339}, {'X': 0.7095264792442322, 'Y': 0.48116612434387207, 'Z': -0.0006958382437005639}, {'X': 0.7078632712364197, 'Y': 0.40940895676612854, 'Z': 0.0012305377749726176}, {'X': 0.7031368613243103, 'Y': 0.36640340089797974, 'Z': -0.00636602658778429}, {'X': 0.6964132785797119, 'Y': 0.3280702829360962, 'Z': -0.013035863637924194}]
[{'X': 0.6678553819656372, 'Y': 0.6531293988227844, 'Z': -0.00010833860869752243}, {'X': 0.6046568155288696, 'Y': 0.6282749176025391, 'Z': -0.026424089446663857}, {'X': 0.5645216107368469, 'Y': 0.5591943264007568, 'Z': -0.0267163272947073}, {'X': 0.5580692887306213, 'Y': 0.48451951146125793, 'Z': -0.028376039117574692}, {'X': 0.570068359375, 'Y': 0.44163936376571655, 'Z': -0.021238144487142563}, {'X': 0.600452184677124, 'Y': 0.47032421827316284, 'Z': 0.014045183546841145}, {'X': 0.5927309393882751, 'Y': 0.380405068397522, 'Z': 0.01690237782895565}, {'X': 0.593231737613678, 'Y': 0.3307318687438965, 'Z': 0.013576452620327473}, {'X': 0.5959914922714233, 'Y': 0.28895431756973267, 'Z': 0.005491254385560751}, {'X': 0.6372238397598267, 'Y': 0.45945969223976135, 'Z': 0.013929723761975765}, {'X': 0.6290624141693115, 'Y': 0.35363030433654785, 'Z': 0.013653603382408619}, {'X': 0.6267902255058289, 'Y': 0.3001323938369751, 'Z': -0.00570058636367321}, {'X': 0.6285052299499512, 'Y': 0.25974512100219727, 'Z': -0.021426081657409668}, {'X': 0.6715127229690552, 'Y': 0.4624183177947998, 'Z': 0.009151114150881767}, {'X': 0.6654744744300842, 'Y': 0.3685261011123657, 'Z': 0.00825938954949379}, {'X': 0.6602959036827087, 'Y': 0.3173271417617798, 'Z': -0.004049410577863455}, {'X': 0.6569734811782837, 'Y': 0.2751532196998596, 'Z': -0.018348725512623787}, {'X': 0.7071428298950195, 'Y': 0.47921139001846313, 'Z': 0.0012079286389052868}, {'X': 0.7043325304985046, 'Y': 0.4094426929950714, 'Z': -0.001290273736231029}, {'X': 0.7014274597167969, 'Y': 0.3670687675476074, 'Z': -0.010114573873579502}, {'X': 0.6974204182624817, 'Y': 0.3272112011909485, 'Z': -0.01630634441971779}]
[{'X': 0.6684343218803406, 'Y': 0.6435354948043823, 'Z': -0.00010000764450524002}, {'X': 0.6088963150978088, 'Y': 0.6067027449607849, 'Z': -0.02194821648299694}, {'X': 0.5795885324478149, 'Y': 0.5311126112937927, 'Z': -0.012218598276376724}, {'X': 0.6015406250953674, 'Y': 0.4627128541469574, 'Z': -0.0011145509779453278}, {'X': 0.6291000843048096, 'Y': 0.44035688042640686, 'Z': 0.026151401922106743}, {'X': 0.6001383066177368, 'Y': 0.45670419931411743, 'Z': 0.034651923924684525}, {'X': 0.5947974324226379, 'Y': 0.3720722794532776, 'Z': 0.036663271486759186}, {'X': 0.5950884819030762, 'Y': 0.3275916874408722, 'Z': 0.032947640866041183}, {'X': 0.5978224873542786, 'Y': 0.2906099557876587, 'Z': 0.024065345525741577}, {'X': 0.633643627166748, 'Y': 0.4486319124698639, 'Z': 0.032842881977558136}, {'X': 0.6301317811012268, 'Y': 0.35043299198150635, 'Z': 0.03063119389116764}, {'X': 0.6311906576156616, 'Y': 0.304590106010437, 'Z': 0.010786961764097214}, {'X': 0.6342483758926392, 'Y': 0.27295592427253723, 'Z': -0.001526910811662674}, {'X': 0.6643882989883423, 'Y': 0.4538225531578064, 'Z': 0.025207500904798508}, {'X': 0.6641399264335632, 'Y': 0.3665962517261505, 'Z': 0.023617861792445183}, {'X': 0.6622714996337891, 'Y': 0.3209407925605774, 'Z': 0.00657767103984952}, {'X': 0.6618577241897583, 'Y': 0.2844407856464386, 'Z': -0.005657235626131296}, {'X': 0.6968021392822266, 'Y': 0.4741416275501251, 'Z': 0.01258270163089037}, {'X': 0.695030152797699, 'Y': 0.4123041033744812, 'Z': 0.007111547514796257}, {'X': 0.6928969621658325, 'Y': 0.37303462624549866, 'Z': -0.004022965207695961}, {'X': 0.6915422081947327, 'Y': 0.33554786443710327, 'Z': -0.009211880154907703}]
[{'X': 0.6684343218803406, 'Y': 0.6435354948043823, 'Z': -0.00010000764450524002}, {'X': 0.6088963150978088, 'Y': 0.6067027449607849, 'Z': -0.02194821648299694}, {'X': 0.5795885324478149, 'Y': 0.5311126112937927, 'Z': -0.012218598276376724}, {'X': 0.6015406250953674, 'Y': 0.4627128541469574, 'Z': -0.0011145509779453278}, {'X': 0.6291000843048096, 'Y': 0.44035688042640686, 'Z': 0.026151401922106743}, {'X': 0.6001383066177368, 'Y': 0.45670419931411743, 'Z': 0.034651923924684525}, {'X': 0.5947974324226379, 'Y': 0.3720722794532776, 'Z': 0.036663271486759186}, {'X': 0.5950884819030762, 'Y': 0.3275916874408722, 'Z': 0.032947640866041183}, {'X': 0.5978224873542786, 'Y': 0.2906099557876587, 'Z': 0.024065345525741577}, {'X': 0.633643627166748, 'Y': 0.4486319124698639, 'Z': 0.032842881977558136}, {'X': 0.6301317811012268, 'Y': 0.35043299198150635, 'Z': 0.03063119389116764}, {'X': 0.6311906576156616, 'Y': 0.304590106010437, 'Z': 0.010786961764097214}, {'X': 0.6342483758926392, 'Y': 0.27295592427253723, 'Z': -0.001526910811662674}, {'X': 0.6643882989883423, 'Y': 0.4538225531578064, 'Z': 0.025207500904798508}, {'X': 0.6641399264335632, 'Y': 0.3665962517261505, 'Z': 0.023617861792445183}, {'X': 0.6622714996337891, 'Y': 0.3209407925605774, 'Z': 0.00657767103984952}, {'X': 0.6618577241897583, 'Y': 0.2844407856464386, 'Z': -0.005657235626131296}, {'X': 0.6968021392822266, 'Y': 0.4741416275501251, 'Z': 0.01258270163089037}, {'X': 0.695030152797699, 'Y': 0.4123041033744812, 'Z': 0.007111547514796257}, {'X': 0.6928969621658325, 'Y': 0.37303462624549866, 'Z': -0.004022965207695961}, {'X': 0.6915422081947327, 'Y': 0.33554786443710327, 'Z': -0.009211880154907703}]
[{'X': 0.6690688133239746, 'Y': 0.647598147392273, 'Z': -9.243366366717964e-05}, {'X': 0.6126915216445923, 'Y': 0.6053040623664856, 'Z': -0.018971633166074753}, {'X': 0.581151008605957, 'Y': 0.5234758257865906, 'Z': -0.00891624391078949}, {'X': 0.6070325374603271, 'Y': 0.4461086094379425, 'Z': 0.0014705243520438671}, {'X': 0.6448408961296082, 'Y': 0.4225422143936157, 'Z': 0.02616485208272934}, {'X': 0.5975049734115601, 'Y': 0.4594152271747589, 'Z': 0.04822124168276787}, {'X': 0.5941306948661804, 'Y': 0.38174259662628174, 'Z': 0.045502372086048126}, {'X': 0.5975317358970642, 'Y': 0.3405655026435852, 'Z': 0.040083300322294235}, {'X': 0.6014162302017212, 'Y': 0.3056298494338989, 'Z': 0.03343304991722107}, {'X': 0.6302214860916138, 'Y': 0.4485088586807251, 'Z': 0.04448438435792923}, {'X': 0.6273546814918518, 'Y': 0.35855814814567566, 'Z': 0.038834746927022934}, {'X': 0.6297749876976013, 'Y': 0.31371355056762695, 'Z': 0.02228233963251114}, {'X': 0.6326502561569214, 'Y': 0.28444981575012207, 'Z': 0.014381987042725086}, {'X': 0.6596559286117554, 'Y': 0.45211535692214966, 'Z': 0.03464647755026817}, {'X': 0.6592572331428528, 'Y': 0.37311428785324097, 'Z': 0.02968929335474968}, {'X': 0.6580511331558228, 'Y': 0.3313821256160736, 'Z': 0.01390239130705595}, {'X': 0.6574621796607971, 'Y': 0.2994532585144043, 'Z': 0.006071370095014572}, {'X': 0.6905226707458496, 'Y': 0.47310003638267517, 'Z': 0.018872564658522606}, {'X': 0.6866360306739807, 'Y': 0.41774654388427734, 'Z': 0.012421141378581524}, {'X': 0.6836646199226379, 'Y': 0.3803403973579407, 'Z': 0.0034587308764457703}, {'X': 0.6804594993591309, 'Y': 0.3445471525192261, 'Z': 0.0020496610086411238}]
[{'X': 0.6654044389724731, 'Y': 0.6380645036697388, 'Z': -7.177648512879387e-05}, {'X': 0.6135691404342651, 'Y': 0.5901850461959839, 'Z': -0.025294095277786255}, {'X': 0.5961146950721741, 'Y': 0.5085107088088989, 'Z': -0.0247651319950819}, {'X': 0.6183251738548279, 'Y': 0.4316202402114868, 'Z': -0.025152847170829773}, {'X': 0.6400133967399597, 'Y': 0.38786551356315613, 'Z': -0.01646961085498333}, {'X': 0.5990039706230164, 'Y': 0.4479045867919922, 'Z': 0.03126751258969307}, {'X': 0.5994800329208374, 'Y': 0.3720652163028717, 'Z': 0.024101026356220245}, {'X': 0.6047692894935608, 'Y': 0.335129052400589, 'Z': 0.014845434576272964}, {'X': 0.6103005409240723, 'Y': 0.30611544847488403, 'Z': 0.007785505149513483}, {'X': 0.6310092210769653, 'Y': 0.4436179995536804, 'Z': 0.027850942686200142}, {'X': 0.6301976442337036, 'Y': 0.36236536502838135, 'Z': 0.018877269700169563}, {'X': 0.6314575672149658, 'Y': 0.32073402404785156, 'Z': 0.0001754417025949806}, {'X': 0.6333675980567932, 'Y': 0.29149767756462097, 'Z': -0.007128140423446894}, {'X': 0.6603875160217285, 'Y': 0.45349815487861633, 'Z': 0.017321689054369926}, {'X': 0.661247193813324, 'Y': 0.3808785676956177, 'Z': 0.006007226184010506}, {'X': 0.6584674119949341, 'Y': 0.34104466438293457, 'Z': -0.016621319577097893}, {'X': 0.6571093797683716, 'Y': 0.3077523112297058, 'Z': -0.02835448645055294}, {'X': 0.6909081339836121, 'Y': 0.48033607006073, 'Z': 0.0026723805349320173}, {'X': 0.6871762275695801, 'Y': 0.42915984988212585, 'Z': -0.01279304176568985}, {'X': 0.6822081208229065, 'Y': 0.3902236819267273, 'Z': -0.03088817186653614}, {'X': 0.6773674488067627, 'Y': 0.3497723340988159, 'Z': -0.040325310081243515}]
[{'X': 0.6736502647399902, 'Y': 0.6433847546577454, 'Z': -6.887622294016182e-05}, {'X': 0.6191900968551636, 'Y': 0.5848881006240845, 'Z': -0.02808910422027111}, {'X': 0.6007431149482727, 'Y': 0.5001940727233887, 'Z': -0.025532832369208336}, {'X': 0.6177041530609131, 'Y': 0.41899317502975464, 'Z': -0.0239865742623806}, {'X': 0.6365259885787964, 'Y': 0.36970090866088867, 'Z': -0.008597220294177532}, {'X': 0.5999245643615723, 'Y': 0.4417189955711365, 'Z': 0.045963872224092484}, {'X': 0.5973250269889832, 'Y': 0.3692307770252228, 'Z': 0.04478737711906433}, {'X': 0.6021498441696167, 'Y': 0.33590543270111084, 'Z': 0.0357973612844944}, {'X': 0.6065614223480225, 'Y': 0.3146396279335022, 'Z': 0.026606356725096703}, {'X': 0.6352701187133789, 'Y': 0.43607330322265625, 'Z': 0.04824104160070419}, {'X': 0.6333526372909546, 'Y': 0.35051292181015015, 'Z': 0.04275394231081009}, {'X': 0.6357825398445129, 'Y': 0.3180510103702545, 'Z': 0.02970663458108902}, {'X': 0.6361227631568909, 'Y': 0.3024691641330719, 'Z': 0.029828594997525215}, {'X': 0.6679703593254089, 'Y': 0.44749101996421814, 'Z': 0.040802326053380966}, {'X': 0.6647518873214722, 'Y': 0.3740188479423523, 'Z': 0.02824428863823414}, {'X': 0.660997748374939, 'Y': 0.35015004873275757, 'Z': 0.011103694327175617}, {'X': 0.6569774150848389, 'Y': 0.33343467116355896, 'Z': 0.008280321955680847}, {'X': 0.7013322710990906, 'Y': 0.4730106294155121, 'Z': 0.030003275722265244}, {'X': 0.6932004690170288, 'Y': 0.42281466722488403, 'Z': 0.01640816032886505}, {'X': 0.6859159469604492, 'Y': 0.3892571032047272, 'Z': 0.00237499107606709}, {'X': 0.6783576011657715, 'Y': 0.3564481735229492, 'Z': -0.002103258389979601}]
