[{'X': 0.7681333422660828, 'Y': 0.7025385499000549, 'Z': -5.864857666892931e-05}, {'X': 0.6902652382850647, 'Y': 0.667601466178894, 'Z': -0.00966116413474083}, {'X': 0.6438097953796387, 'Y': 0.5954975485801697, 'Z': 0.0032083839178085327}, {'X': 0.6195172071456909, 'Y': 0.5161956548690796, 'Z': 0.008368944749236107}, {'X': 0.599920392036438, 'Y': 0.45993709564208984, 'Z': 0.014969732612371445}, {'X': 0.6671477556228638, 'Y': 0.5262308120727539, 'Z': 0.0574357807636261}, {'X': 0.6395205855369568, 'Y': 0.4380575716495514, 'Z': 0.0643497034907341}, {'X': 0.6261545419692993, 'Y': 0.3839802145957947, 'Z': 0.05878479778766632}, {'X': 0.6166121363639832, 'Y': 0.3362119197845459, 'Z': 0.05077899619936943}, {'X': 0.7057083249092102, 'Y': 0.5069298148155212, 'Z': 0.051536865532398224}, {'X': 0.6808499693870544, 'Y': 0.4092528820037842, 'Z': 0.0663108229637146}, {'X': 0.666347861289978, 'Y': 0.35106831789016724, 'Z': 0.04599549248814583}, {'X': 0.6549727320671082, 'Y': 0.29919177293777466, 'Z': 0.028349094092845917}, {'X': 0.7473676204681396, 'Y': 0.5027357935905457, 'Z': 0.03941112011671066}, {'X': 0.7307131290435791, 'Y': 0.4121810495853424, 'Z': 0.04837841913104057}, {'X': 0.7179820537567139, 'Y': 0.35729163885116577, 'Z': 0.02904037944972515}, {'X': 0.705825924873352, 'Y': 0.31036514043807983, 'Z': 0.012511104345321655}, {'X': 0.7915762662887573, 'Y': 0.5108955502510071, 'Z': 0.025667697191238403}, {'X': 0.7879191040992737, 'Y': 0.4382665157318115, 'Z': 0.022382190451025963}, {'X': 0.7816758155822754, 'Y': 0.39039382338523865, 'Z': 0.011186081916093826}, {'X': 0.7709658145904541, 'Y': 0.3449587821960449, 'Z': 0.003121312242001295}]
[{'X': 0.7609602808952332, 'Y': 0.6991678476333618, 'Z': -4.946270928485319e-05}, {'X': 0.6873551607131958, 'Y': 0.6674834489822388, 'Z': -0.014915731735527515}, {'X': 0.6428736448287964, 'Y': 0.5964513421058655, 'Z': -0.006580957677215338}, {'X': 0.620444655418396, 'Y': 0.5195840001106262, 'Z': -0.005583927035331726}, {'X': 0.5999313592910767, 'Y': 0.4632747173309326, 'Z': -0.0032415008172392845}, {'X': 0.6684156060218811, 'Y': 0.5235676765441895, 'Z': 0.04455630108714104}, {'X': 0.6394243836402893, 'Y': 0.43631914258003235, 'Z': 0.04666537046432495}, {'X': 0.6236443519592285, 'Y': 0.3840042054653168, 'Z': 0.037568770349025726}, {'X': 0.6136465668678284, 'Y': 0.33798760175704956, 'Z': 0.02679140493273735}, {'X': 0.7064145803451538, 'Y': 0.504783034324646, 'Z': 0.03875308111310005}, {'X': 0.6809508204460144, 'Y': 0.40899738669395447, 'Z': 0.0463639460504055}, {'X': 0.6649379134178162, 'Y': 0.3513684868812561, 'Z': 0.020035289227962494}, {'X': 0.6533177495002747, 'Y': 0.3026527464389801, 'Z': -0.0008522876887582242}, {'X': 0.7468597292900085, 'Y': 0.5007368922233582, 'Z': 0.026338396593928337}, {'X': 0.7322477102279663, 'Y': 0.41090521216392517, 'Z': 0.031937677413225174}, {'X': 0.718982994556427, 'Y': 0.3565349578857422, 'Z': 0.006554551888257265}, {'X': 0.7064231634140015, 'Y': 0.3110884428024292, 'Z': -0.01349518820643425}, {'X': 0.7895830273628235, 'Y': 0.5094180107116699, 'Z': 0.01294615212827921}, {'X': 0.7865994572639465, 'Y': 0.43683353066444397, 'Z': 0.007242056541144848}, {'X': 0.7791582942008972, 'Y': 0.3887365460395813, 'Z': -0.007963573560118675}, {'X': 0.7672463059425354, 'Y': 0.344241201877594, 'Z': -0.019035426899790764}]
[{'X': 0.7664980888366699, 'Y': 0.7022956013679504, 'Z': -7.274827657965943e-05}, {'X': 0.6892317533493042, 'Y': 0.6700776815414429, 'Z': -0.009994441643357277}, {'X': 0.6427961587905884, 'Y': 0.5969653725624084, 'Z': 0.0032849940471351147}, {'X': 0.6191932559013367, 'Y': 0.518678605556488, 'Z': 0.00924084335565567}, {'X': 0.600334644317627, 'Y': 0.46329963207244873, 'Z': 0.017916331067681313}, {'X': 0.6690318584442139, 'Y': 0.5248911380767822, 'Z': 0.05169910192489624}, {'X': 0.6398840546607971, 'Y': 0.43618321418762207, 'Z': 0.057625170797109604}, {'X': 0.6255354881286621, 'Y': 0.38237088918685913, 'Z': 0.052645523101091385}, {'X': 0.6158128976821899, 'Y': 0.33602336049079895, 'Z': 0.045004889369010925}, {'X': 0.7073624730110168, 'Y': 0.5048828721046448, 'Z': 0.04525386914610863}, {'X': 0.6815034747123718, 'Y': 0.4054408669471741, 'Z': 0.05805562809109688}, {'X': 0.6666772961616516, 'Y': 0.3469313383102417, 'Z': 0.03868651017546654}, {'X': 0.6563585996627808, 'Y': 0.2976071834564209, 'Z': 0.021058980375528336}, {'X': 0.7480329871177673, 'Y': 0.5001541972160339, 'Z': 0.033420927822589874}, {'X': 0.730539858341217, 'Y': 0.4086745083332062, 'Z': 0.04260982573032379}, {'X': 0.7179304957389832, 'Y': 0.3534843325614929, 'Z': 0.026360418647527695}, {'X': 0.7066683769226074, 'Y': 0.30784809589385986, 'Z': 0.011291380040347576}, {'X': 0.791114091873169, 'Y': 0.5083589553833008, 'Z': 0.019557472318410873}, {'X': 0.7860686779022217, 'Y': 0.43487513065338135, 'Z': 0.017686039209365845}, {'X': 0.7787777781486511, 'Y': 0.3876524865627289, 'Z': 0.008660233579576015}, {'X': 0.7681794166564941, 'Y': 0.3437873423099518, 'Z': 0.0015259244246408343}]
[{'X': 0.766181468963623, 'Y': 0.7026234865188599, 'Z': -6.0253874835325405e-05}, {'X': 0.6913823485374451, 'Y': 0.670652449131012, 'Z': -0.01411505974829197}, {'X': 0.6445184350013733, 'Y': 0.5956340432167053, 'Z': -0.0068324836902320385}, {'X': 0.6207820773124695, 'Y': 0.5160764455795288, 'Z': -0.007187507580965757}, {'X': 0.5998844504356384, 'Y': 0.45833656191825867, 'Z': -0.005390212871134281}, {'X': 0.6681168675422668, 'Y': 0.5201135873794556, 'Z': 0.04339204728603363}, {'X': 0.6388710141181946, 'Y': 0.43316733837127686, 'Z': 0.04905885085463524}, {'X': 0.624517023563385, 'Y': 0.3805052638053894, 'Z': 0.043449461460113525}, {'X': 0.6151925325393677, 'Y': 0.3343632221221924, 'Z': 0.034740060567855835}, {'X': 0.706699013710022, 'Y': 0.5007585883140564, 'Z': 0.03769560530781746}, {'X': 0.6797060370445251, 'Y': 0.40339240431785583, 'Z': 0.049889616668224335}, {'X': 0.6647599935531616, 'Y': 0.34666967391967773, 'Z': 0.02977180667221546}, {'X': 0.6542461514472961, 'Y': 0.2980897128582001, 'Z': 0.011662016622722149}, {'X': 0.7476273775100708, 'Y': 0.4966420531272888, 'Z': 0.02621348761022091}, {'X': 0.7297252416610718, 'Y': 0.4061320126056671, 'Z': 0.03510310500860214}, {'X': 0.7166278958320618, 'Y': 0.3514840602874756, 'Z': 0.017163965851068497}, {'X': 0.7046032547950745, 'Y': 0.3052554130554199, 'Z': 0.0007168279262259603}, {'X': 0.7910845279693604, 'Y': 0.5056487917900085, 'Z': 0.013112848624587059}, {'X': 0.785643458366394, 'Y': 0.4322616755962372, 'Z': 0.011717570014297962}, {'X': 0.7782303094863892, 'Y': 0.3854353427886963, 'Z': 0.001795936725102365}, {'X': 0.7668432593345642, 'Y': 0.3413034677505493, 'Z': -0.005921096540987492}]
[{'X': 0.7646150588989258, 'Y': 0.6932291984558105, 'Z': -5.8897247072309256e-05}, {'X': 0.6871542930603027, 'Y': 0.6642529964447021, 'Z': -0.0073212492279708385}, {'X': 0.6401052474975586, 'Y': 0.5888539552688599, 'Z': 0.005728575401008129}, {'X': 0.6168217062950134, 'Y': 0.5106103420257568, 'Z': 0.010513459332287312}, {'X': 0.5988898277282715, 'Y': 0.4527256488800049, 'Z': 0.01973891071975231}, {'X': 0.6637802124023438, 'Y': 0.5127427577972412, 'Z': 0.05507494509220123}, {'X': 0.6351048350334167, 'Y': 0.4252207577228546, 'Z': 0.06775723397731781}, {'X': 0.6211610436439514, 'Y': 0.3724457621574402, 'Z': 0.06839612871408463}, {'X': 0.6118372678756714, 'Y': 0.32763761281967163, 'Z': 0.06389898806810379}, {'X': 0.7032511830329895, 'Y': 0.49299710988998413, 'Z': 0.04716935008764267}, {'X': 0.6773507595062256, 'Y': 0.394164502620697, 'Z': 0.06278079748153687}, {'X': 0.6634521484375, 'Y': 0.3390089273452759, 'Z': 0.04800209775567055}, {'X': 0.6547708511352539, 'Y': 0.29531729221343994, 'Z': 0.03373638167977333}, {'X': 0.7437676191329956, 'Y': 0.48800477385520935, 'Z': 0.034536201506853104}, {'X': 0.727185845375061, 'Y': 0.3972374200820923, 'Z': 0.04656926169991493}, {'X': 0.7140410542488098, 'Y': 0.34226974844932556, 'Z': 0.033910755068063736}, {'X': 0.7029476165771484, 'Y': 0.29750335216522217, 'Z': 0.0208089929074049}, {'X': 0.7855260968208313, 'Y': 0.49609440565109253, 'Z': 0.020425839349627495}, {'X': 0.7772740721702576, 'Y': 0.42175352573394775, 'Z': 0.022088726982474327}, {'X': 0.7684342861175537, 'Y': 0.3752223551273346, 'Z': 0.015590313822031021}, {'X': 0.7568549513816833, 'Y': 0.3315046429634094, 'Z': 0.01048255991190672}]
[{'X': 0.7564815282821655, 'Y': 0.6802033185958862, 'Z': -3.4602049709064886e-05}, {'X': 0.682772696018219, 'Y': 0.6501771807670593, 'Z': 0.0011847829446196556}, {'X': 0.640866219997406, 'Y': 0.5769186615943909, 'Z': 0.021998438984155655}, {'X': 0.6204497814178467, 'Y': 0.5038172006607056, 'Z': 0.03339698538184166}, {'X': 0.6044474244117737, 'Y': 0.44902119040489197, 'Z': 0.04785754531621933}, {'X': 0.663601279258728, 'Y': 0.5068394541740417, 'Z': 0.060032207518815994}, {'X': 0.6366788148880005, 'Y': 0.41863226890563965, 'Z': 0.07000411301851273}, {'X': 0.6226458549499512, 'Y': 0.36630433797836304, 'Z': 0.07053176313638687}, {'X': 0.6139878630638123, 'Y': 0.3218133747577667, 'Z': 0.06736332178115845}, {'X': 0.6995867490768433, 'Y': 0.48762133717536926, 'Z': 0.0489468052983284}, {'X': 0.6745414137840271, 'Y': 0.3904014825820923, 'Z': 0.05966432765126228}, {'X': 0.6603807210922241, 'Y': 0.3346666991710663, 'Z': 0.04148690402507782}, {'X': 0.6508299112319946, 'Y': 0.29128944873809814, 'Z': 0.026276128366589546}, {'X': 0.738054633140564, 'Y': 0.4822053611278534, 'Z': 0.032761115580797195}, {'X': 0.7217567563056946, 'Y': 0.39260339736938477, 'Z': 0.04063677415251732}, {'X': 0.708952009677887, 'Y': 0.33756548166275024, 'Z': 0.021185221150517464}, {'X': 0.6977088451385498, 'Y': 0.2933785319328308, 'Z': 0.004393360577523708}, {'X': 0.7790845036506653, 'Y': 0.4906409978866577, 'Z': 0.016608158126473427}, {'X': 0.7666012644767761, 'Y': 0.419403612613678, 'Z': 0.015475469641387463}, {'X': 0.7554730176925659, 'Y': 0.3720383644104004, 'Z': 0.001763656735420227}, {'X': 0.7403802871704102, 'Y': 0.3300100564956665, 'Z': -0.009155365638434887}]
[{'X': 0.7585665583610535, 'Y': 0.6629388928413391, 'Z': -7.5032607128378e-05}, {'X': 0.6854902505874634, 'Y': 0.6319999098777771, 'Z': 0.003107642289251089}, {'X': 0.6446533203125, 'Y': 0.5679168701171875, 'Z': 0.01901785098016262}, {'X': 0.6232145428657532, 'Y': 0.4979799687862396, 'Z': 0.025476636365056038}, {'X': 0.6073853373527527, 'Y': 0.4446395933628082, 'Z': 0.033984385430812836}, {'X': 0.6661863327026367, 'Y': 0.5013310313224792, 'Z': 0.06651470810174942}, {'X': 0.6398093104362488, 'Y': 0.4179510176181793, 'Z': 0.07257936149835587}, {'X': 0.6276720762252808, 'Y': 0.367618203163147, 'Z': 0.06574290245771408}, {'X': 0.621044397354126, 'Y': 0.3246886730194092, 'Z': 0.05650542303919792}, {'X': 0.7002479434013367, 'Y': 0.4831680357456207, 'Z': 0.0528833270072937}, {'X': 0.6738123893737793, 'Y': 0.39348506927490234, 'Z': 0.05940653383731842}, {'X': 0.6594147086143494, 'Y': 0.33743852376937866, 'Z': 0.04146195203065872}, {'X': 0.6496281027793884, 'Y': 0.2922319769859314, 'Z': 0.026189448311924934}, {'X': 0.7373384237289429, 'Y': 0.47779762744903564, 'Z': 0.03270935267210007}, {'X': 0.7192246317863464, 'Y': 0.3931651711463928, 'Z': 0.03898807242512703}, {'X': 0.7036463022232056, 'Y': 0.3377003073692322, 'Z': 0.01823166012763977}, {'X': 0.6896247267723083, 'Y': 0.29305046796798706, 'Z': 0.0018311350140720606}, {'X': 0.7774155735969543, 'Y': 0.48553478717803955, 'Z': 0.012119739316403866}, {'X': 0.7646418809890747, 'Y': 0.41694480180740356, 'Z': 0.00749559048563242}, {'X': 0.7514638900756836, 'Y': 0.3691626191139221, 'Z': -0.007535964250564575}, {'X': 0.7343364357948303, 'Y': 0.32637113332748413, 'Z': -0.01954294927418232}]
[{'X': 0.7761585116386414, 'Y': 0.6515624523162842, 'Z': -7.027907849987969e-05}, {'X': 0.6985916495323181, 'Y': 0.6254640817642212, 'Z': -0.003069167025387287}, {'X': 0.6487468481063843, 'Y': 0.5610116720199585, 'Z': 0.01786739192903042}, {'X': 0.6228841543197632, 'Y': 0.49159687757492065, 'Z': 0.027050882577896118}, {'X': 0.6063273549079895, 'Y': 0.44086137413978577, 'Z': 0.03607342019677162}, {'X': 0.6697946190834045, 'Y': 0.4956764876842499, 'Z': 0.08110880851745605}, {'X': 0.6414973139762878, 'Y': 0.41638556122779846, 'Z': 0.09485098719596863}, {'X': 0.6316062211990356, 'Y': 0.3675404191017151, 'Z': 0.09387673437595367}, {'X': 0.6282470226287842, 'Y': 0.32283902168273926, 'Z': 0.08860766887664795}, {'X': 0.7060017585754395, 'Y': 0.4768240749835968, 'Z': 0.07269511371850967}, {'X': 0.677833080291748, 'Y': 0.3944341242313385, 'Z': 0.08912412822246552}, {'X': 0.6634454131126404, 'Y': 0.3422735929489136, 'Z': 0.08143053203821182}, {'X': 0.6559489369392395, 'Y': 0.3022471070289612, 'Z': 0.0778275653719902}, {'X': 0.742799699306488, 'Y': 0.47167590260505676, 'Z': 0.0562388114631176}, {'X': 0.7276402711868286, 'Y': 0.39051198959350586, 'Z': 0.05783173814415932}, {'X': 0.7154020667076111, 'Y': 0.34469956159591675, 'Z': 0.039115335792303085}, {'X': 0.7027754783630371, 'Y': 0.30821913480758667, 'Z': 0.03064724989235401}, {'X': 0.7836253046989441, 'Y': 0.47878310084342957, 'Z': 0.03860381618142128}, {'X': 0.7717159986495972, 'Y': 0.42659232020378113, 'Z': 0.010667337104678154}, {'X': 0.7542421221733093, 'Y': 0.4209222197532654, 'Z': -0.014084122143685818}, {'X': 0.7358410358428955, 'Y': 0.4263688027858734, 'Z': -0.0219113752245903}]
[{'X': 0.7899137735366821, 'Y': 0.6431092023849487, 'Z': -8.648118819110096e-05}, {'X': 0.7098366618156433, 'Y': 0.612504780292511, 'Z': 0.00876379944384098}, {'X': 0.6543968915939331, 'Y': 0.5482942461967468, 'Z': 0.036494091153144836}, {'X': 0.6271073222160339, 'Y': 0.48102715611457825, 'Z': 0.05414080247282982}, {'X': 0.6242148280143738, 'Y': 0.4333774149417877, 'Z': 0.0747847855091095}, {'X': 0.6717022061347961, 'Y': 0.4853123426437378, 'Z': 0.09819789975881577}, {'X': 0.6457781791687012, 'Y': 0.41194048523902893, 'Z': 0.10010503977537155}, {'X': 0.6386348009109497, 'Y': 0.3764486312866211, 'Z': 0.08013775199651718}, {'X': 0.6387966871261597, 'Y': 0.36071327328681946, 'Z': 0.062319133430719376}, {'X': 0.7064211368560791, 'Y': 0.46267712116241455, 'Z': 0.08889546245336533}, {'X': 0.6799357533454895, 'Y': 0.3795895576477051, 'Z': 0.09315823763608932}, {'X': 0.6656383872032166, 'Y': 0.34953421354293823, 'Z': 0.06876367330551147}, {'X': 0.6612468957901001, 'Y': 0.34910720586776733, 'Z': 0.04972181096673012}, {'X': 0.7433733940124512, 'Y': 0.45776501297950745, 'Z': 0.07042303681373596}, {'X': 0.7232140302658081, 'Y': 0.37618327140808105, 'Z': 0.05466131120920181}, {'X': 0.7167303562164307, 'Y': 0.3828696608543396, 'Z': 0.014434144832193851}, {'X': 0.7143014073371887, 'Y': 0.40504568815231323, 'Z': -0.007170707918703556}, {'X': 0.7837253212928772, 'Y': 0.46400463581085205, 'Z': 0.05649571120738983}, {'X': 0.7703433632850647, 'Y': 0.42855018377304077, 'Z': 0.024242475628852844}, {'X': 0.7679930925369263, 'Y': 0.4581320285797119, 'Z': -0.010424779728055}, {'X': 0.7664119601249695, 'Y': 0.48956379294395447, 'Z': -0.031244821846485138}]
[{'X': 0.8017154335975647, 'Y': 0.6289867162704468, 'Z': -7.019136683084071e-05}, {'X': 0.7159839272499084, 'Y': 0.5898776650428772, 'Z': 0.006791895721107721}, {'X': 0.6552751660346985, 'Y': 0.5261293649673462, 'Z': 0.033919114619493484}, {'X': 0.6355627775192261, 'Y': 0.4584544003009796, 'Z': 0.05723652243614197}, {'X': 0.6560041904449463, 'Y': 0.42682909965515137, 'Z': 0.09177368134260178}, {'X': 0.6770776510238647, 'Y': 0.46971988677978516, 'Z': 0.09730658680200577}, {'X': 0.6513063907623291, 'Y': 0.3963090181350708, 'Z': 0.09832289069890976}, {'X': 0.6544536352157593, 'Y': 0.4127621352672577, 'Z': 0.0800711065530777}, {'X': 0.6646284461021423, 'Y': 0.44499874114990234, 'Z': 0.0667433887720108}, {'X': 0.7127673029899597, 'Y': 0.45120465755462646, 'Z': 0.08834189176559448}, {'X': 0.6874433159828186, 'Y': 0.3613864481449127, 'Z': 0.08403538912534714}, {'X': 0.6823060512542725, 'Y': 0.3816683292388916, 'Z': 0.05110783874988556}, {'X': 0.6907908916473389, 'Y': 0.4240039587020874, 'Z': 0.033783964812755585}, {'X': 0.7507129907608032, 'Y': 0.44934484362602234, 'Z': 0.0723041296005249}, {'X': 0.7316224575042725, 'Y': 0.3660179376602173, 'Z': 0.057812854647636414}, {'X': 0.7277644872665405, 'Y': 0.4122426509857178, 'Z': 0.027510249987244606}, {'X': 0.7322343587875366, 'Y': 0.4585944414138794, 'Z': 0.017282824963331223}, {'X': 0.7914549112319946, 'Y': 0.46019914746284485, 'Z': 0.05898495763540268}, {'X': 0.7765887379646301, 'Y': 0.4286242425441742, 'Z': 0.04064452275633812}, {'X': 0.7722499370574951, 'Y': 0.47212663292884827, 'Z': 0.02279619686305523}, {'X': 0.7724688649177551, 'Y': 0.5096332430839539, 'Z': 0.016521016135811806}]
[{'X': 0.8031802773475647, 'Y': 0.6126542091369629, 'Z': -0.00011276976147200912}, {'X': 0.7203145027160645, 'Y': 0.5796434283256531, 'Z': 0.006279639434069395}, {'X': 0.6595357656478882, 'Y': 0.5227599143981934, 'Z': 0.0335715226829052}, {'X': 0.6318651437759399, 'Y': 0.45892056822776794, 'Z': 0.054952818900346756}, {'X': 0.6425102353096008, 'Y': 0.41713768243789673, 'Z': 0.08466588705778122}, {'X': 0.6880491375923157, 'Y': 0.466782808303833, 'Z': 0.10393586754798889}, {'X': 0.661384105682373, 'Y': 0.3953510522842407, 'Z': 0.10790925472974777}, {'X': 0.6636224389076233, 'Y': 0.3975682258605957, 'Z': 0.0823233500123024}, {'X': 0.6740952730178833, 'Y': 0.42096835374832153, 'Z': 0.05878879502415657}, {'X': 0.7241163849830627, 'Y': 0.45079758763313293, 'Z': 0.095353864133358}, {'X': 0.6981677412986755, 'Y': 0.36831343173980713, 'Z': 0.09719125181436539}, {'X': 0.6914554834365845, 'Y': 0.37406089901924133, 'Z': 0.06134457513689995}, {'X': 0.6981498003005981, 'Y': 0.40851980447769165, 'Z': 0.03906761854887009}, {'X': 0.759488046169281, 'Y': 0.44893985986709595, 'Z': 0.07974227517843246}, {'X': 0.7415410876274109, 'Y': 0.372297465801239, 'Z': 0.07141899317502975}, {'X': 0.7330749034881592, 'Y': 0.39309820532798767, 'Z': 0.03765374794602394}, {'X': 0.7331882119178772, 'Y': 0.4288009703159332, 'Z': 0.02230786718428135}, {'X': 0.7958019971847534, 'Y': 0.45816266536712646, 'Z': 0.06586066633462906}, {'X': 0.7839531898498535, 'Y': 0.4335643947124481, 'Z': 0.05033022165298462}, {'X': 0.7772735953330994, 'Y': 0.46522092819213867, 'Z': 0.032732099294662476}, {'X': 0.7749646306037903, 'Y': 0.5007226467132568, 'Z': 0.0269997026771307}]
