[{'X': 0.8267250657081604, 'Y': 0.7052934169769287, 'Z': -0.00012427310866769403}, {'X': 0.7329586744308472, 'Y': 0.6775648593902588, 'Z': -0.027569176629185677}, {'X': 0.6655638217926025, 'Y': 0.5783815979957581, 'Z': -0.030337588861584663}, {'X': 0.6342589855194092, 'Y': 0.4825860857963562, 'Z': -0.04360217601060867}, {'X': 0.6044999957084656, 'Y': 0.41764944791793823, 'Z': -0.053095992654561996}, {'X': 0.722561240196228, 'Y': 0.4311523139476776, 'Z': 0.02537297084927559}, {'X': 0.7092440724372864, 'Y': 0.31284099817276, 'Z': 0.024292180314660072}, {'X': 0.705674946308136, 'Y': 0.24279119074344635, 'Z': 0.01749829575419426}, {'X': 0.7055588960647583, 'Y': 0.18440572917461395, 'Z': 0.009391248226165771}, {'X': 0.775465190410614, 'Y': 0.4175185561180115, 'Z': 0.020057963207364082}, {'X': 0.7574387192726135, 'Y': 0.2860564589500427, 'Z': 0.0295424684882164}, {'X': 0.7486764192581177, 'Y': 0.20947441458702087, 'Z': 0.013855264522135258}, {'X': 0.7449168562889099, 'Y': 0.14603036642074585, 'Z': 0.0020769312977790833}, {'X': 0.8256796002388, 'Y': 0.42649564146995544, 'Z': 0.009218269027769566}, {'X': 0.8143790364265442, 'Y': 0.3064117431640625, 'Z': 0.015211310237646103}, {'X': 0.804997980594635, 'Y': 0.2357104867696762, 'Z': 0.0007293443195521832}, {'X': 0.7965101599693298, 'Y': 0.17694607377052307, 'Z': -0.015484551899135113}, {'X': 0.8767464756965637, 'Y': 0.45464447140693665, 'Z': -0.006506354082375765}, {'X': 0.8762586116790771, 'Y': 0.3622173070907593, 'Z': -0.011413179337978363}, {'X': 0.8703110218048096, 'Y': 0.30822286009788513, 'Z': -0.02505333535373211}, {'X': 0.8612387776374817, 'Y': 0.25836652517318726, 'Z': -0.036886151880025864}]
[{'X': 0.8271762132644653, 'Y': 0.7032697200775146, 'Z': -0.0001271040819119662}, {'X': 0.733015239238739, 'Y': 0.6732296943664551, 'Z': -0.028833433985710144}, {'X': 0.6664796471595764, 'Y': 0.5746753811836243, 'Z': -0.03100215457379818}, {'X': 0.6355335712432861, 'Y': 0.47909003496170044, 'Z': -0.04279046505689621}, {'X': 0.6077015399932861, 'Y': 0.4129878282546997, 'Z': -0.04979852959513664}, {'X': 0.7235224843025208, 'Y': 0.4272539019584656, 'Z': 0.03076402097940445}, {'X': 0.7089525461196899, 'Y': 0.30859342217445374, 'Z': 0.033065129071474075}, {'X': 0.7052967548370361, 'Y': 0.23950475454330444, 'Z': 0.026888815686106682}, {'X': 0.7058343887329102, 'Y': 0.1824536770582199, 'Z': 0.01864759624004364}, {'X': 0.7765461206436157, 'Y': 0.4146580994129181, 'Z': 0.027756139636039734}, {'X': 0.7575297951698303, 'Y': 0.28341808915138245, 'Z': 0.04106391593813896}, {'X': 0.7484906315803528, 'Y': 0.20923008024692535, 'Z': 0.026957016438245773}, {'X': 0.745232343673706, 'Y': 0.1490797996520996, 'Z': 0.01620393618941307}, {'X': 0.826333224773407, 'Y': 0.423506498336792, 'Z': 0.01894747093319893}, {'X': 0.8149374723434448, 'Y': 0.3041691184043884, 'Z': 0.02765389159321785}, {'X': 0.8051656484603882, 'Y': 0.2337462157011032, 'Z': 0.014679990708827972}, {'X': 0.7967529296875, 'Y': 0.17570625245571136, 'Z': 0.00017684666090644896}, {'X': 0.8763201832771301, 'Y': 0.45156165957450867, 'Z': 0.005112904589623213}, {'X': 0.8754738569259644, 'Y': 0.360333651304245, 'Z': 0.002438201103359461}, {'X': 0.869483470916748, 'Y': 0.3069860339164734, 'Z': -0.009983544237911701}, {'X': 0.8605395555496216, 'Y': 0.25765734910964966, 'Z': -0.020668519660830498}]
[{'X': 0.8271762132644653, 'Y': 0.7032697200775146, 'Z': -0.0001271040819119662}, {'X': 0.733015239238739, 'Y': 0.6732296943664551, 'Z': -0.028833433985710144}, {'X': 0.6664796471595764, 'Y': 0.5746753811836243, 'Z': -0.03100215457379818}, {'X': 0.6355335712432861, 'Y': 0.47909003496170044, 'Z': -0.04279046505689621}, {'X': 0.6077015399932861, 'Y': 0.4129878282546997, 'Z': -0.04979852959513664}, {'X': 0.7235224843025208, 'Y': 0.4272539019584656, 'Z': 0.03076402097940445}, {'X': 0.7089525461196899, 'Y': 0.30859342217445374, 'Z': 0.033065129071474075}, {'X': 0.7052967548370361, 'Y': 0.23950475454330444, 'Z': 0.026888815686106682}, {'X': 0.7058343887329102, 'Y': 0.1824536770582199, 'Z': 0.01864759624004364}, {'X': 0.7765461206436157, 'Y': 0.4146580994129181, 'Z': 0.027756139636039734}, {'X': 0.7575297951698303, 'Y': 0.28341808915138245, 'Z': 0.04106391593813896}, {'X': 0.7484906315803528, 'Y': 0.20923008024692535, 'Z': 0.026957016438245773}, {'X': 0.745232343673706, 'Y': 0.1490797996520996, 'Z': 0.01620393618941307}, {'X': 0.826333224773407, 'Y': 0.423506498336792, 'Z': 0.01894747093319893}, {'X': 0.8149374723434448, 'Y': 0.3041691184043884, 'Z': 0.02765389159321785}, {'X': 0.8051656484603882, 'Y': 0.2337462157011032, 'Z': 0.014679990708827972}, {'X': 0.7967529296875, 'Y': 0.17570625245571136, 'Z': 0.00017684666090644896}, {'X': 0.8763201832771301, 'Y': 0.45156165957450867, 'Z': 0.005112904589623213}, {'X': 0.8754738569259644, 'Y': 0.360333651304245, 'Z': 0.002438201103359461}, {'X': 0.869483470916748, 'Y': 0.3069860339164734, 'Z': -0.009983544237911701}, {'X': 0.8605395555496216, 'Y': 0.25765734910964966, 'Z': -0.020668519660830498}]
[{'X': 0.8263411521911621, 'Y': 0.7018004655838013, 'Z': -0.00012478847929742187}, {'X': 0.7329239845275879, 'Y': 0.6732977628707886, 'Z': -0.032655514776706696}, {'X': 0.6659656763076782, 'Y': 0.5756180882453918, 'Z': -0.03815833106637001}, {'X': 0.6356317400932312, 'Y': 0.48019909858703613, 'Z': -0.05333447456359863}, {'X': 0.6088939309120178, 'Y': 0.41227033734321594, 'Z': -0.06396491825580597}, {'X': 0.7240553498268127, 'Y': 0.4289032220840454, 'Z': 0.020751437172293663}, {'X': 0.7099485993385315, 'Y': 0.3095657527446747, 'Z': 0.01598958671092987}, {'X': 0.7070484757423401, 'Y': 0.23967745900154114, 'Z': 0.006382450461387634}, {'X': 0.7084166407585144, 'Y': 0.18130949139595032, 'Z': -0.003043617121875286}, {'X': 0.7773154377937317, 'Y': 0.4165381193161011, 'Z': 0.016810627654194832}, {'X': 0.7587144374847412, 'Y': 0.28479284048080444, 'Z': 0.022994663566350937}, {'X': 0.7507312297821045, 'Y': 0.21057528257369995, 'Z': 0.004942179191857576}, {'X': 0.7482013702392578, 'Y': 0.15050163865089417, 'Z': -0.008086677640676498}, {'X': 0.8273820281028748, 'Y': 0.4255833625793457, 'Z': 0.006841639522463083}, {'X': 0.8153346180915833, 'Y': 0.3053169548511505, 'Z': 0.009761124849319458}, {'X': 0.8064895272254944, 'Y': 0.2344311624765396, 'Z': -0.006622716784477234}, {'X': 0.7985666394233704, 'Y': 0.17584483325481415, 'Z': -0.022743448615074158}, {'X': 0.8781510591506958, 'Y': 0.4536210000514984, 'Z': -0.008117971010506153}, {'X': 0.8766518235206604, 'Y': 0.3614589273929596, 'Z': -0.014846641570329666}, {'X': 0.8708242177963257, 'Y': 0.3075290322303772, 'Z': -0.028301017358899117}, {'X': 0.8614550828933716, 'Y': 0.25692427158355713, 'Z': -0.040082335472106934}]
[{'X': 0.8307129144668579, 'Y': 0.7028759717941284, 'Z': -0.00011708162492141128}, {'X': 0.7363660335540771, 'Y': 0.6742010116577148, 'Z': -0.0311684962362051}, {'X': 0.667610228061676, 'Y': 0.572593092918396, 'Z': -0.031920600682497025}, {'X': 0.636150598526001, 'Y': 0.47553548216819763, 'Z': -0.04337392747402191}, {'X': 0.6089351177215576, 'Y': 0.4082714021205902, 'Z': -0.04922075942158699}, {'X': 0.7234823107719421, 'Y': 0.4269995093345642, 'Z': 0.028122548013925552}, {'X': 0.7099507451057434, 'Y': 0.305865615606308, 'Z': 0.028676101937890053}, {'X': 0.7066783905029297, 'Y': 0.23534895479679108, 'Z': 0.0237293504178524}, {'X': 0.7068759799003601, 'Y': 0.17679737508296967, 'Z': 0.017627142369747162}, {'X': 0.7775248885154724, 'Y': 0.4137074053287506, 'Z': 0.025062184780836105}, {'X': 0.7583349347114563, 'Y': 0.2812020778656006, 'Z': 0.03653886169195175}, {'X': 0.7497289180755615, 'Y': 0.206647589802742, 'Z': 0.023419102653861046}, {'X': 0.7464803457260132, 'Y': 0.1460232138633728, 'Z': 0.013759586028754711}, {'X': 0.8278648853302002, 'Y': 0.42106619477272034, 'Z': 0.015713214874267578}, {'X': 0.8168249130249023, 'Y': 0.30208277702331543, 'Z': 0.022189827635884285}, {'X': 0.8082695603370667, 'Y': 0.2293517291545868, 'Z': 0.00865259300917387}, {'X': 0.7989816069602966, 'Y': 0.16910696029663086, 'Z': -0.007336736656725407}, {'X': 0.8787297010421753, 'Y': 0.44716307520866394, 'Z': 0.0008722187485545874}, {'X': 0.8767414689064026, 'Y': 0.35436683893203735, 'Z': -0.004075694363564253}, {'X': 0.8707830905914307, 'Y': 0.2995922863483429, 'Z': -0.017678717151284218}, {'X': 0.8600582480430603, 'Y': 0.24869538843631744, 'Z': -0.028479352593421936}]
[{'X': 0.8290553689002991, 'Y': 0.7027405500411987, 'Z': -0.000127048057038337}, {'X': 0.7346396446228027, 'Y': 0.6726077198982239, 'Z': -0.026683388277888298}, {'X': 0.6671227812767029, 'Y': 0.5705298185348511, 'Z': -0.02705913968384266}, {'X': 0.6364260315895081, 'Y': 0.4741710424423218, 'Z': -0.03814025968313217}, {'X': 0.6077021360397339, 'Y': 0.40816977620124817, 'Z': -0.04453195258975029}, {'X': 0.7237294912338257, 'Y': 0.4274052679538727, 'Z': 0.030372880399227142}, {'X': 0.7100937962532043, 'Y': 0.3070250153541565, 'Z': 0.029113629832863808}, {'X': 0.7063805460929871, 'Y': 0.23655545711517334, 'Z': 0.02130540832877159}, {'X': 0.706174373626709, 'Y': 0.17764869332313538, 'Z': 0.012680385261774063}, {'X': 0.7778593301773071, 'Y': 0.4144425690174103, 'Z': 0.025196081027388573}, {'X': 0.7599830031394958, 'Y': 0.2813459038734436, 'Z': 0.03449837490916252}, {'X': 0.751906156539917, 'Y': 0.20508618652820587, 'Z': 0.017546307295560837}, {'X': 0.7484365105628967, 'Y': 0.14298486709594727, 'Z': 0.005720697343349457}, {'X': 0.8282659649848938, 'Y': 0.4223437011241913, 'Z': 0.01416153833270073}, {'X': 0.8161872625350952, 'Y': 0.30056267976760864, 'Z': 0.020225221291184425}, {'X': 0.8074432611465454, 'Y': 0.22752885520458221, 'Z': 0.0056625353172421455}, {'X': 0.7984139323234558, 'Y': 0.16697832942008972, 'Z': -0.010794836096465588}, {'X': 0.879231333732605, 'Y': 0.44882985949516296, 'Z': -0.0014250515960156918}, {'X': 0.8781296610832214, 'Y': 0.35446205735206604, 'Z': -0.005505645647644997}, {'X': 0.8725225925445557, 'Y': 0.299942284822464, 'Z': -0.01797362044453621}, {'X': 0.8628952503204346, 'Y': 0.2498159259557724, 'Z': -0.028004541993141174}]
[{'X': 0.8298419713973999, 'Y': 0.699383020401001, 'Z': -0.00012124129716539755}, {'X': 0.7343946695327759, 'Y': 0.6700642704963684, 'Z': -0.029377460479736328}, {'X': 0.6666254997253418, 'Y': 0.5698302984237671, 'Z': -0.031063588336110115}, {'X': 0.6361794471740723, 'Y': 0.47265249490737915, 'Z': -0.041887249797582626}, {'X': 0.6085284948348999, 'Y': 0.4068973958492279, 'Z': -0.04762447252869606}, {'X': 0.7237374782562256, 'Y': 0.4252840280532837, 'Z': 0.023918500170111656}, {'X': 0.7103269100189209, 'Y': 0.30363550782203674, 'Z': 0.02138495072722435}, {'X': 0.707006573677063, 'Y': 0.2330387830734253, 'Z': 0.014098424464464188}, {'X': 0.7075296640396118, 'Y': 0.17485809326171875, 'Z': 0.0064901141449809074}, {'X': 0.7773627638816833, 'Y': 0.41180306673049927, 'Z': 0.020737310871481895}, {'X': 0.7587538957595825, 'Y': 0.27727991342544556, 'Z': 0.029116498306393623}, {'X': 0.750808596611023, 'Y': 0.2009681910276413, 'Z': 0.014170501381158829}, {'X': 0.7481271028518677, 'Y': 0.1390874683856964, 'Z': 0.003954018000513315}, {'X': 0.8274664878845215, 'Y': 0.41970959305763245, 'Z': 0.011689565144479275}, {'X': 0.8151534199714661, 'Y': 0.2974150478839874, 'Z': 0.015541693195700645}, {'X': 0.8065266609191895, 'Y': 0.22483721375465393, 'Z': 0.00159089092630893}, {'X': 0.7979341745376587, 'Y': 0.1642657369375229, 'Z': -0.013542864471673965}, {'X': 0.8778395652770996, 'Y': 0.44675755500793457, 'Z': -0.0018757295329123735}, {'X': 0.877051830291748, 'Y': 0.3533695340156555, 'Z': -0.008046948350965977}, {'X': 0.8723421692848206, 'Y': 0.2987437844276428, 'Z': -0.021518966183066368}, {'X': 0.8635809421539307, 'Y': 0.24804693460464478, 'Z': -0.03226103633642197}]
[{'X': 0.8298419713973999, 'Y': 0.699383020401001, 'Z': -0.00012124129716539755}, {'X': 0.7343946695327759, 'Y': 0.6700642704963684, 'Z': -0.029377460479736328}, {'X': 0.6666254997253418, 'Y': 0.5698302984237671, 'Z': -0.031063588336110115}, {'X': 0.6361794471740723, 'Y': 0.47265249490737915, 'Z': -0.041887249797582626}, {'X': 0.6085284948348999, 'Y': 0.4068973958492279, 'Z': -0.04762447252869606}, {'X': 0.7237374782562256, 'Y': 0.4252840280532837, 'Z': 0.023918500170111656}, {'X': 0.7103269100189209, 'Y': 0.30363550782203674, 'Z': 0.02138495072722435}, {'X': 0.707006573677063, 'Y': 0.2330387830734253, 'Z': 0.014098424464464188}, {'X': 0.7075296640396118, 'Y': 0.17485809326171875, 'Z': 0.0064901141449809074}, {'X': 0.7773627638816833, 'Y': 0.41180306673049927, 'Z': 0.020737310871481895}, {'X': 0.7587538957595825, 'Y': 0.27727991342544556, 'Z': 0.029116498306393623}, {'X': 0.750808596611023, 'Y': 0.2009681910276413, 'Z': 0.014170501381158829}, {'X': 0.7481271028518677, 'Y': 0.1390874683856964, 'Z': 0.003954018000513315}, {'X': 0.8274664878845215, 'Y': 0.41970959305763245, 'Z': 0.011689565144479275}, {'X': 0.8151534199714661, 'Y': 0.2974150478839874, 'Z': 0.015541693195700645}, {'X': 0.8065266609191895, 'Y': 0.22483721375465393, 'Z': 0.00159089092630893}, {'X': 0.7979341745376587, 'Y': 0.1642657369375229, 'Z': -0.013542864471673965}, {'X': 0.8778395652770996, 'Y': 0.44675755500793457, 'Z': -0.0018757295329123735}, {'X': 0.877051830291748, 'Y': 0.3533695340156555, 'Z': -0.008046948350965977}, {'X': 0.8723421692848206, 'Y': 0.2987437844276428, 'Z': -0.021518966183066368}, {'X': 0.8635809421539307, 'Y': 0.24804693460464478, 'Z': -0.03226103633642197}]
[{'X': 0.8253464102745056, 'Y': 0.6984635591506958, 'Z': -9.898255666485056e-05}, {'X': 0.7329449653625488, 'Y': 0.6690064668655396, 'Z': -0.029184678569436073}, {'X': 0.6674878597259521, 'Y': 0.5698146820068359, 'Z': -0.03496154770255089}, {'X': 0.6374450922012329, 'Y': 0.4746565818786621, 'Z': -0.04998492822051048}, {'X': 0.6078464388847351, 'Y': 0.408259779214859, 'Z': -0.06240295618772507}, {'X': 0.723548948764801, 'Y': 0.42307141423225403, 'Z': 0.017344150692224503}, {'X': 0.7088218331336975, 'Y': 0.3048408031463623, 'Z': 0.012857595458626747}, {'X': 0.7042206525802612, 'Y': 0.2363314926624298, 'Z': 0.0025064304936677217}, {'X': 0.7040064930915833, 'Y': 0.1784812957048416, 'Z': -0.008210656233131886}, {'X': 0.7762876152992249, 'Y': 0.4104982018470764, 'Z': 0.01036903541535139}, {'X': 0.7564396858215332, 'Y': 0.27945780754089355, 'Z': 0.01662367768585682}, {'X': 0.7462141513824463, 'Y': 0.20326292514801025, 'Z': -0.0014019067166373134}, {'X': 0.7415509223937988, 'Y': 0.14048874378204346, 'Z': -0.014702766202390194}, {'X': 0.8271363377571106, 'Y': 0.4212717115879059, 'Z': -0.00223473459482193}, {'X': 0.8161468505859375, 'Y': 0.300092875957489, 'Z': -0.0003727335424628109}, {'X': 0.805483877658844, 'Y': 0.2302194982767105, 'Z': -0.01839776150882244}, {'X': 0.7957496047019958, 'Y': 0.17266643047332764, 'Z': -0.036616746336221695}, {'X': 0.8790205717086792, 'Y': 0.45242199301719666, 'Z': -0.018845876678824425}, {'X': 0.8801447749137878, 'Y': 0.3598260283470154, 'Z': -0.02929897978901863}, {'X': 0.8743780851364136, 'Y': 0.30546748638153076, 'Z': -0.04722759127616882}, {'X': 0.8647237420082092, 'Y': 0.2548033595085144, 'Z': -0.06194855645298958}]
[{'X': 0.825424313545227, 'Y': 0.695744514465332, 'Z': -0.00010369324445491657}, {'X': 0.732329785823822, 'Y': 0.6664811968803406, 'Z': -0.031139744445681572}, {'X': 0.6658469438552856, 'Y': 0.5677897930145264, 'Z': -0.03629263490438461}, {'X': 0.6357408761978149, 'Y': 0.47255414724349976, 'Z': -0.05040687322616577}, {'X': 0.6072368025779724, 'Y': 0.4060361683368683, 'Z': -0.06122082844376564}, {'X': 0.7226479053497314, 'Y': 0.4209400713443756, 'Z': 0.02133285440504551}, {'X': 0.7086300253868103, 'Y': 0.30365753173828125, 'Z': 0.018513619899749756}, {'X': 0.7051680088043213, 'Y': 0.2352423369884491, 'Z': 0.008441261947154999}, {'X': 0.705739438533783, 'Y': 0.1782544106245041, 'Z': -0.0028891374822705984}, {'X': 0.7756227850914001, 'Y': 0.40779703855514526, 'Z': 0.01599368080496788}, {'X': 0.7570385336875916, 'Y': 0.2772306203842163, 'Z': 0.02487754076719284}, {'X': 0.748076319694519, 'Y': 0.20191502571105957, 'Z': 0.00811285525560379}, {'X': 0.7449002265930176, 'Y': 0.140852153301239, 'Z': -0.00441594747826457}, {'X': 0.8261850476264954, 'Y': 0.41766446828842163, 'Z': 0.004592361859977245}, {'X': 0.8157015442848206, 'Y': 0.29767128825187683, 'Z': 0.009510640054941177}, {'X': 0.8058692216873169, 'Y': 0.22806119918823242, 'Z': -0.007551498711109161}, {'X': 0.797093391418457, 'Y': 0.17084957659244537, 'Z': -0.025132926180958748}, {'X': 0.8779942393302917, 'Y': 0.44785255193710327, 'Z': -0.011593827977776527}, {'X': 0.8793518543243408, 'Y': 0.3561839759349823, 'Z': -0.01899218000471592}, {'X': 0.8745441436767578, 'Y': 0.30242082476615906, 'Z': -0.03493611142039299}, {'X': 0.8658140897750854, 'Y': 0.2526542842388153, 'Z': -0.04801303520798683}]
[{'X': 0.828809916973114, 'Y': 0.6921515464782715, 'Z': -0.00012486439663916826}, {'X': 0.7343056797981262, 'Y': 0.6658076643943787, 'Z': -0.03392552211880684}, {'X': 0.6657962799072266, 'Y': 0.5659844279289246, 'Z': -0.03780237212777138}, {'X': 0.6352892518043518, 'Y': 0.4675028622150421, 'Z': -0.048306480050086975}, {'X': 0.6073312759399414, 'Y': 0.40057680010795593, 'Z': -0.05226612463593483}, {'X': 0.7208982110023499, 'Y': 0.4222884476184845, 'Z': 0.019722433760762215}, {'X': 0.7062336206436157, 'Y': 0.3041641116142273, 'Z': 0.01683248020708561}, {'X': 0.7034810185432434, 'Y': 0.2347540408372879, 'Z': 0.006840195041149855}, {'X': 0.7046715021133423, 'Y': 0.17675353586673737, 'Z': -0.005167871247977018}, {'X': 0.7754383087158203, 'Y': 0.4058072566986084, 'Z': 0.017360303550958633}, {'X': 0.7561689615249634, 'Y': 0.27467429637908936, 'Z': 0.02376864291727543}, {'X': 0.7488121390342712, 'Y': 0.20016056299209595, 'Z': 0.006079459097236395}, {'X': 0.7479186058044434, 'Y': 0.1380670666694641, 'Z': -0.008340989239513874}, {'X': 0.8268305063247681, 'Y': 0.41276219487190247, 'Z': 0.008776918053627014}, {'X': 0.8168538212776184, 'Y': 0.2938259243965149, 'Z': 0.012139858677983284}, {'X': 0.8106656074523926, 'Y': 0.22493618726730347, 'Z': -0.004867271985858679}, {'X': 0.8048459887504578, 'Y': 0.16600003838539124, 'Z': -0.024176640436053276}, {'X': 0.879590630531311, 'Y': 0.4399257004261017, 'Z': -0.005228089168667793}, {'X': 0.8818202614784241, 'Y': 0.3475567400455475, 'Z': -0.012335257604718208}, {'X': 0.8801753520965576, 'Y': 0.29445332288742065, 'Z': -0.02838515117764473}, {'X': 0.8744866251945496, 'Y': 0.2428141087293625, 'Z': -0.04164445772767067}]
