[{'X': 0.797926127910614, 'Y': 0.6236802339553833, 'Z': -0.00013930867135059088}, {'X': 0.7100395560264587, 'Y': 0.6064172983169556, 'Z': -0.03880058601498604}, {'X': 0.6433284878730774, 'Y': 0.5205088257789612, 'Z': -0.05036897584795952}, {'X': 0.6104671955108643, 'Y': 0.4334384799003601, 'Z': -0.0680040568113327}, {'X': 0.584733247756958, 'Y': 0.37154480814933777, 'Z': -0.0810386911034584}, {'X': 0.7035874724388123, 'Y': 0.37472712993621826, 'Z': 0.005840826779603958}, {'X': 0.695297122001648, 'Y': 0.25966203212738037, 'Z': -0.0008459648233838379}, {'X': 0.6941226720809937, 'Y': 0.19192391633987427, 'Z': -0.010381263680756092}, {'X': 0.6962021589279175, 'Y': 0.1369699239730835, 'Z': -0.020042255520820618}, {'X': 0.7545039653778076, 'Y': 0.36160507798194885, 'Z': 0.006815914064645767}, {'X': 0.741824209690094, 'Y': 0.23328641057014465, 'Z': 0.006633330602198839}, {'X': 0.7376828193664551, 'Y': 0.16231068968772888, 'Z': -0.010217912495136261}, {'X': 0.7392167448997498, 'Y': 0.10415448248386383, 'Z': -0.020554805174469948}, {'X': 0.8030177354812622, 'Y': 0.3699774742126465, 'Z': 0.0018155161524191499}, {'X': 0.7951493263244629, 'Y': 0.2536413073539734, 'Z': 4.714016540674493e-05}, {'X': 0.7898327708244324, 'Y': 0.18839387595653534, 'Z': -0.013468435034155846}, {'X': 0.7853749990463257, 'Y': 0.13459113240242004, 'Z': -0.02725342847406864}, {'X': 0.8524816036224365, 'Y': 0.3964700698852539, 'Z': -0.009125377982854843}, {'X': 0.8504989147186279, 'Y': 0.3075149357318878, 'Z': -0.016316508874297142}, {'X': 0.8464469909667969, 'Y': 0.2558591365814209, 'Z': -0.028998209163546562}, {'X': 0.8392751812934875, 'Y': 0.20852844417095184, 'Z': -0.038056496530771255}]
[{'X': 0.7957438230514526, 'Y': 0.6246111392974854, 'Z': -0.00013273007061798126}, {'X': 0.7081245183944702, 'Y': 0.6074526309967041, 'Z': -0.036343175917863846}, {'X': 0.6426241993904114, 'Y': 0.5195697546005249, 'Z': -0.046650778502225876}, {'X': 0.6100672483444214, 'Y': 0.4316805899143219, 'Z': -0.06286559998989105}, {'X': 0.5841853618621826, 'Y': 0.3706921339035034, 'Z': -0.07393737882375717}, {'X': 0.70298171043396, 'Y': 0.37256529927253723, 'Z': 0.00821696501225233}, {'X': 0.694430947303772, 'Y': 0.2568741738796234, 'Z': 0.0026174532249569893}, {'X': 0.6929948329925537, 'Y': 0.18942144513130188, 'Z': -0.006632090080529451}, {'X': 0.694534420967102, 'Y': 0.1341419667005539, 'Z': -0.017072787508368492}, {'X': 0.7539364099502563, 'Y': 0.3603014647960663, 'Z': 0.00595605606213212}, {'X': 0.7423924207687378, 'Y': 0.2307625114917755, 'Z': 0.006469585932791233}, {'X': 0.7373715043067932, 'Y': 0.15972259640693665, 'Z': -0.010614338330924511}, {'X': 0.7378832101821899, 'Y': 0.10207997262477875, 'Z': -0.02141411602497101}, {'X': 0.8025092482566833, 'Y': 0.36990776658058167, 'Z': -0.0018112986581400037}, {'X': 0.7957333922386169, 'Y': 0.2521171271800995, 'Z': -0.0038050918374210596}, {'X': 0.7893797755241394, 'Y': 0.18472525477409363, 'Z': -0.018482783809304237}, {'X': 0.7839072346687317, 'Y': 0.12928879261016846, 'Z': -0.03367280587553978}, {'X': 0.8518702983856201, 'Y': 0.3982877731323242, 'Z': -0.015757307410240173}, {'X': 0.8508569002151489, 'Y': 0.30806997418403625, 'Z': -0.0241108201444149}, {'X': 0.8464369773864746, 'Y': 0.25472432374954224, 'Z': -0.03811768814921379}, {'X': 0.8382965326309204, 'Y': 0.20574696362018585, 'Z': -0.04786031320691109}]
[{'X': 0.7969018816947937, 'Y': 0.6280266642570496, 'Z': -0.00011148124758619815}, {'X': 0.7082176804542542, 'Y': 0.6088607311248779, 'Z': -0.03588064759969711}, {'X': 0.6419769525527954, 'Y': 0.5220400094985962, 'Z': -0.04780346900224686}, {'X': 0.6096522808074951, 'Y': 0.4357309341430664, 'Z': -0.06520166993141174}, {'X': 0.5837171077728271, 'Y': 0.37542009353637695, 'Z': -0.07553175091743469}, {'X': 0.7025895118713379, 'Y': 0.37926724553108215, 'Z': -0.001884365570731461}, {'X': 0.6936623454093933, 'Y': 0.26237982511520386, 'Z': -0.0128647331148386}, {'X': 0.6920408606529236, 'Y': 0.1961551457643509, 'Z': -0.023274587467312813}, {'X': 0.6921804547309875, 'Y': 0.14135338366031647, 'Z': -0.033029694110155106}, {'X': 0.7538143992424011, 'Y': 0.36676597595214844, 'Z': -0.004600709304213524}, {'X': 0.7410877346992493, 'Y': 0.23613686859607697, 'Z': -0.00860416516661644}, {'X': 0.7360178232192993, 'Y': 0.1641361266374588, 'Z': -0.026793958619236946}, {'X': 0.7357785701751709, 'Y': 0.10354557633399963, 'Z': -0.03844665735960007}, {'X': 0.801774263381958, 'Y': 0.37655195593833923, 'Z': -0.012550580315291882}, {'X': 0.7937994599342346, 'Y': 0.25784167647361755, 'Z': -0.017780384048819542}, {'X': 0.7878336906433105, 'Y': 0.1890038102865219, 'Z': -0.03256222605705261}, {'X': 0.7814152836799622, 'Y': 0.13185915350914001, 'Z': -0.048918891698122025}, {'X': 0.8501196503639221, 'Y': 0.40475523471832275, 'Z': -0.025903047993779182}, {'X': 0.8484125733375549, 'Y': 0.31351253390312195, 'Z': -0.036713387817144394}, {'X': 0.8440721035003662, 'Y': 0.2585078179836273, 'Z': -0.05173831060528755}, {'X': 0.8353449106216431, 'Y': 0.2071164846420288, 'Z': -0.06325886398553848}]
[{'X': 0.7946853637695312, 'Y': 0.6309366822242737, 'Z': -0.00012101513857487589}, {'X': 0.7058753967285156, 'Y': 0.6117067337036133, 'Z': -0.032850973308086395}, {'X': 0.640021562576294, 'Y': 0.5212691426277161, 'Z': -0.04217836260795593}, {'X': 0.6072677373886108, 'Y': 0.43219900131225586, 'Z': -0.058386240154504776}, {'X': 0.5810340642929077, 'Y': 0.3692602217197418, 'Z': -0.06802051514387131}, {'X': 0.7011576890945435, 'Y': 0.37650805711746216, 'Z': 0.006731835193932056}, {'X': 0.6909312009811401, 'Y': 0.25803816318511963, 'Z': 0.00028807297348976135}, {'X': 0.6891376376152039, 'Y': 0.19087865948677063, 'Z': -0.007803470827639103}, {'X': 0.6900134682655334, 'Y': 0.1352209746837616, 'Z': -0.017236661165952682}, {'X': 0.7530918717384338, 'Y': 0.3639342784881592, 'Z': 0.002206777688115835}, {'X': 0.740020215511322, 'Y': 0.23152591288089752, 'Z': 0.0012898823479190469}, {'X': 0.7345255017280579, 'Y': 0.16120579838752747, 'Z': -0.015536799095571041}, {'X': 0.7351210713386536, 'Y': 0.10402007400989532, 'Z': -0.025936728343367577}, {'X': 0.8016371726989746, 'Y': 0.3738175630569458, 'Z': -0.00731397420167923}, {'X': 0.794879674911499, 'Y': 0.2539585828781128, 'Z': -0.010325659066438675}, {'X': 0.7887169122695923, 'Y': 0.1859898418188095, 'Z': -0.02465408481657505}, {'X': 0.7830628752708435, 'Y': 0.1301925629377365, 'Z': -0.04084804654121399}, {'X': 0.8504483699798584, 'Y': 0.4026047885417938, 'Z': -0.02235654927790165}, {'X': 0.8491320013999939, 'Y': 0.31003695726394653, 'Z': -0.0314469039440155}, {'X': 0.8439959287643433, 'Y': 0.25496530532836914, 'Z': -0.04595373570919037}, {'X': 0.8347864151000977, 'Y': 0.20390357077121735, 'Z': -0.05605965480208397}]
[{'X': 0.796342134475708, 'Y': 0.627871036529541, 'Z': -0.00010574472980806604}, {'X': 0.7078105807304382, 'Y': 0.6107892394065857, 'Z': -0.03728092461824417}, {'X': 0.6409507989883423, 'Y': 0.523234486579895, 'Z': -0.04944441467523575}, {'X': 0.6083337068557739, 'Y': 0.43535876274108887, 'Z': -0.06764794886112213}, {'X': 0.581544816493988, 'Y': 0.37582021951675415, 'Z': -0.07942487299442291}, {'X': 0.7019133567810059, 'Y': 0.37788525223731995, 'Z': 0.0005799919599667192}, {'X': 0.6919049024581909, 'Y': 0.2626512944698334, 'Z': -0.008692488074302673}, {'X': 0.6899054646492004, 'Y': 0.19575609266757965, 'Z': -0.01896779239177704}, {'X': 0.6906590461730957, 'Y': 0.14034631848335266, 'Z': -0.02940763346850872}, {'X': 0.7531975507736206, 'Y': 0.36481714248657227, 'Z': -0.0010929108830168843}, {'X': 0.7392039895057678, 'Y': 0.2353828251361847, 'Z': -0.003428051248192787}, {'X': 0.7335280179977417, 'Y': 0.16312304139137268, 'Z': -0.0211673304438591}, {'X': 0.7337251305580139, 'Y': 0.1021309494972229, 'Z': -0.0323292538523674}, {'X': 0.8013730645179749, 'Y': 0.3743305206298828, 'Z': -0.008130083791911602}, {'X': 0.7936660051345825, 'Y': 0.258452445268631, 'Z': -0.012586239725351334}, {'X': 0.7879911065101624, 'Y': 0.19055169820785522, 'Z': -0.028143957257270813}, {'X': 0.7827581167221069, 'Y': 0.1334281712770462, 'Z': -0.04441845044493675}, {'X': 0.8499405384063721, 'Y': 0.4022420644760132, 'Z': -0.02084934152662754}, {'X': 0.8472940325737, 'Y': 0.3134204149246216, 'Z': -0.03157138079404831}, {'X': 0.8426564931869507, 'Y': 0.2596266567707062, 'Z': -0.046836066991090775}, {'X': 0.8342609405517578, 'Y': 0.20881357789039612, 'Z': -0.058047834783792496}]
[{'X': 0.796192467212677, 'Y': 0.6325109004974365, 'Z': -0.00012356662773527205}, {'X': 0.7075400352478027, 'Y': 0.6136488914489746, 'Z': -0.034666385501623154}, {'X': 0.6414230465888977, 'Y': 0.5260426998138428, 'Z': -0.04478589445352554}, {'X': 0.6086975336074829, 'Y': 0.4368828237056732, 'Z': -0.06093044951558113}, {'X': 0.5835500955581665, 'Y': 0.3753599226474762, 'Z': -0.071257084608078}, {'X': 0.7022914886474609, 'Y': 0.38338515162467957, 'Z': 0.004611893091350794}, {'X': 0.6924198865890503, 'Y': 0.2670578360557556, 'Z': -0.0016564064426347613}, {'X': 0.6893588900566101, 'Y': 0.19918622076511383, 'Z': -0.009573792107403278}, {'X': 0.688877284526825, 'Y': 0.14433689415454865, 'Z': -0.018625034019351006}, {'X': 0.7537626028060913, 'Y': 0.3700149655342102, 'Z': 0.003110904712229967}, {'X': 0.7405075430870056, 'Y': 0.23852476477622986, 'Z': 0.003560562152415514}, {'X': 0.7342639565467834, 'Y': 0.16529381275177002, 'Z': -0.012028907425701618}, {'X': 0.7336221933364868, 'Y': 0.10543861985206604, 'Z': -0.02180325612425804}, {'X': 0.8023887872695923, 'Y': 0.37887561321258545, 'Z': -0.0033224993385374546}, {'X': 0.7949178814888, 'Y': 0.2603742480278015, 'Z': -0.005002544727176428}, {'X': 0.7885466814041138, 'Y': 0.19276642799377441, 'Z': -0.018282722681760788}, {'X': 0.7824843525886536, 'Y': 0.13719987869262695, 'Z': -0.033053431659936905}, {'X': 0.851294219493866, 'Y': 0.405503511428833, 'Z': -0.015229287557303905}, {'X': 0.8501253724098206, 'Y': 0.31564852595329285, 'Z': -0.02379925735294819}, {'X': 0.846019446849823, 'Y': 0.26234081387519836, 'Z': -0.03700605779886246}, {'X': 0.8380798697471619, 'Y': 0.21278005838394165, 'Z': -0.046705279499292374}]
[{'X': 0.7981603741645813, 'Y': 0.6368297934532166, 'Z': -0.00014161858416628093}, {'X': 0.7089589834213257, 'Y': 0.6173553466796875, 'Z': -0.036312758922576904}, {'X': 0.6414431929588318, 'Y': 0.5279799699783325, 'Z': -0.04659640043973923}, {'X': 0.609149694442749, 'Y': 0.4383791387081146, 'Z': -0.06260552257299423}, {'X': 0.5839715600013733, 'Y': 0.3753420114517212, 'Z': -0.07147681713104248}, {'X': 0.701714038848877, 'Y': 0.38405904173851013, 'Z': 0.0022397981956601143}, {'X': 0.6926025152206421, 'Y': 0.26615867018699646, 'Z': -0.0056815557181835175}, {'X': 0.6903525590896606, 'Y': 0.19802226126194, 'Z': -0.014734936878085136}, {'X': 0.6899648308753967, 'Y': 0.14200785756111145, 'Z': -0.02415090799331665}, {'X': 0.7536033987998962, 'Y': 0.3698962330818176, 'Z': 0.0012222068617120385}, {'X': 0.7404083609580994, 'Y': 0.23693838715553284, 'Z': 0.0010642233537510037}, {'X': 0.7347686886787415, 'Y': 0.16250814497470856, 'Z': -0.015710843726992607}, {'X': 0.7340532541275024, 'Y': 0.09996089339256287, 'Z': -0.026912396773695946}, {'X': 0.8017799258232117, 'Y': 0.3779260218143463, 'Z': -0.005357172805815935}, {'X': 0.7936460971832275, 'Y': 0.2574291229248047, 'Z': -0.007439226843416691}, {'X': 0.7878186106681824, 'Y': 0.18712739646434784, 'Z': -0.021275712177157402}, {'X': 0.7814909219741821, 'Y': 0.12842437624931335, 'Z': -0.03785918653011322}, {'X': 0.8502130508422852, 'Y': 0.40416961908340454, 'Z': -0.017455123364925385}, {'X': 0.8488190174102783, 'Y': 0.3118143677711487, 'Z': -0.025796210393309593}, {'X': 0.8449150919914246, 'Y': 0.2569369077682495, 'Z': -0.040193039923906326}, {'X': 0.8368402719497681, 'Y': 0.20549413561820984, 'Z': -0.05061425641179085}]
[{'X': 0.7992240786552429, 'Y': 0.6338101029396057, 'Z': -0.00012370858166832477}, {'X': 0.71045982837677, 'Y': 0.6178680062294006, 'Z': -0.039457328617572784}, {'X': 0.6435437798500061, 'Y': 0.5287106037139893, 'Z': -0.05215618014335632}, {'X': 0.6109017133712769, 'Y': 0.44004154205322266, 'Z': -0.0705534890294075}, {'X': 0.5843637585639954, 'Y': 0.377836674451828, 'Z': -0.08214366436004639}, {'X': 0.7023966312408447, 'Y': 0.3836199641227722, 'Z': -0.00017707371443975717}, {'X': 0.6933057308197021, 'Y': 0.2669292390346527, 'Z': -0.01125948503613472}, {'X': 0.691784679889679, 'Y': 0.19943420588970184, 'Z': -0.021499117836356163}, {'X': 0.692535400390625, 'Y': 0.14396046102046967, 'Z': -0.030726784840226173}, {'X': 0.7542877793312073, 'Y': 0.3694567382335663, 'Z': -0.0012770160101354122}, {'X': 0.7406246066093445, 'Y': 0.239663764834404, 'Z': -0.002654553856700659}, {'X': 0.7349213361740112, 'Y': 0.1670430302619934, 'Z': -0.01973707787692547}, {'X': 0.7348269820213318, 'Y': 0.10659843683242798, 'Z': -0.03029811754822731}, {'X': 0.8029089570045471, 'Y': 0.3776673674583435, 'Z': -0.0077200080268085}, {'X': 0.7947031855583191, 'Y': 0.25919321179389954, 'Z': -0.01123768649995327}, {'X': 0.7888618111610413, 'Y': 0.19018861651420593, 'Z': -0.025732919573783875}, {'X': 0.7827208042144775, 'Y': 0.13252153992652893, 'Z': -0.04186109080910683}, {'X': 0.8522047996520996, 'Y': 0.40459418296813965, 'Z': -0.02060808055102825}, {'X': 0.8508702516555786, 'Y': 0.3132876753807068, 'Z': -0.029889853671193123}, {'X': 0.8469780683517456, 'Y': 0.25912734866142273, 'Z': -0.044127751141786575}, {'X': 0.838478684425354, 'Y': 0.2078094184398651, 'Z': -0.054854899644851685}]
[{'X': 0.8000049591064453, 'Y': 0.6333935856819153, 'Z': -0.0001086816264432855}, {'X': 0.7110511064529419, 'Y': 0.6162811517715454, 'Z': -0.037697870284318924}, {'X': 0.6437085270881653, 'Y': 0.528069019317627, 'Z': -0.04837581515312195}, {'X': 0.6107852458953857, 'Y': 0.4400888681411743, 'Z': -0.06618952006101608}, {'X': 0.584713876247406, 'Y': 0.3785964846611023, 'Z': -0.07719610631465912}, {'X': 0.7029761075973511, 'Y': 0.38265910744667053, 'Z': 0.009976759552955627}, {'X': 0.6951943635940552, 'Y': 0.26579561829566956, 'Z': 0.0021582823246717453}, {'X': 0.6937583088874817, 'Y': 0.19841644167900085, 'Z': -0.007360260933637619}, {'X': 0.6948854923248291, 'Y': 0.14394524693489075, 'Z': -0.01602206751704216}, {'X': 0.7545643448829651, 'Y': 0.3693608045578003, 'Z': 0.00870141014456749}, {'X': 0.7414955496788025, 'Y': 0.24057698249816895, 'Z': 0.011728672310709953}, {'X': 0.735248327255249, 'Y': 0.16826757788658142, 'Z': -0.004313829354941845}, {'X': 0.7348014116287231, 'Y': 0.10903771221637726, 'Z': -0.01407559309154749}, {'X': 0.8033067584037781, 'Y': 0.3778567314147949, 'Z': 0.0013141271192580462}, {'X': 0.7960267663002014, 'Y': 0.2607942819595337, 'Z': 0.0015578879974782467}, {'X': 0.7903441786766052, 'Y': 0.19236482679843903, 'Z': -0.012813718058168888}, {'X': 0.7844176888465881, 'Y': 0.13569404184818268, 'Z': -0.02866574376821518}, {'X': 0.8529146909713745, 'Y': 0.40452900528907776, 'Z': -0.012804543599486351}, {'X': 0.8529200553894043, 'Y': 0.314745157957077, 'Z': -0.020111460238695145}, {'X': 0.8491831421852112, 'Y': 0.26137110590934753, 'Z': -0.03343300521373749}, {'X': 0.8407695293426514, 'Y': 0.21165569126605988, 'Z': -0.04355769231915474}]
[{'X': 0.8006159067153931, 'Y': 0.6321011781692505, 'Z': -9.727474389364943e-05}, {'X': 0.7113654017448425, 'Y': 0.6171094179153442, 'Z': -0.03954441845417023}, {'X': 0.6438063979148865, 'Y': 0.527686357498169, 'Z': -0.05161214992403984}, {'X': 0.6107016205787659, 'Y': 0.4391726553440094, 'Z': -0.06977935135364532}, {'X': 0.5844293236732483, 'Y': 0.37836918234825134, 'Z': -0.08158469200134277}, {'X': 0.7033237814903259, 'Y': 0.38177409768104553, 'Z': 0.000627240922767669}, {'X': 0.6942221522331238, 'Y': 0.2658542990684509, 'Z': -0.010654374025762081}, {'X': 0.6929253935813904, 'Y': 0.19829241931438446, 'Z': -0.02189798094332218}, {'X': 0.6947615146636963, 'Y': 0.14285022020339966, 'Z': -0.03200029209256172}, {'X': 0.7549226880073547, 'Y': 0.36817467212677, 'Z': -0.0007620694814249873}, {'X': 0.7416926622390747, 'Y': 0.23955434560775757, 'Z': -0.001589127816259861}, {'X': 0.7361457347869873, 'Y': 0.1669812798500061, 'Z': -0.019004708155989647}, {'X': 0.7364657521247864, 'Y': 0.10733331739902496, 'Z': -0.029062682762742043}, {'X': 0.8039594292640686, 'Y': 0.3769000172615051, 'Z': -0.00797134917229414}, {'X': 0.796013593673706, 'Y': 0.2596539855003357, 'Z': -0.011443757452070713}, {'X': 0.7897990942001343, 'Y': 0.1911786049604416, 'Z': -0.026709992438554764}, {'X': 0.7841256856918335, 'Y': 0.13412955403327942, 'Z': -0.04221762716770172}, {'X': 0.8539464473724365, 'Y': 0.4046165347099304, 'Z': -0.02156386524438858}, {'X': 0.8531568050384521, 'Y': 0.31558161973953247, 'Z': -0.03186318278312683}, {'X': 0.8493183851242065, 'Y': 0.26198479533195496, 'Z': -0.04607909545302391}, {'X': 0.8416232466697693, 'Y': 0.2115957885980606, 'Z': -0.056521229445934296}]
[{'X': 0.796838641166687, 'Y': 0.6332736015319824, 'Z': -0.00014100249973125756}, {'X': 0.7093240022659302, 'Y': 0.615597128868103, 'Z': -0.03835757449269295}, {'X': 0.6428015828132629, 'Y': 0.5277245044708252, 'Z': -0.05151774361729622}, {'X': 0.6098387241363525, 'Y': 0.43759071826934814, 'Z': -0.06928643584251404}, {'X': 0.5839865207672119, 'Y': 0.3746008574962616, 'Z': -0.0810742899775505}, {'X': 0.7020314335823059, 'Y': 0.3832017779350281, 'Z': -0.0045584943145513535}, {'X': 0.6906493306159973, 'Y': 0.2654227018356323, 'Z': -0.014110230840742588}, {'X': 0.6880449056625366, 'Y': 0.19601847231388092, 'Z': -0.024675516411662102}, {'X': 0.6890206336975098, 'Y': 0.14000511169433594, 'Z': -0.03469820320606232}, {'X': 0.7541913390159607, 'Y': 0.3687455952167511, 'Z': -0.0046582408249378204}, {'X': 0.7387127876281738, 'Y': 0.23588308691978455, 'Z': -0.007333591114729643}, {'X': 0.7319524884223938, 'Y': 0.16294923424720764, 'Z': -0.023785140365362167}, {'X': 0.7317085862159729, 'Y': 0.1029282808303833, 'Z': -0.03355557844042778}, {'X': 0.803123414516449, 'Y': 0.37813013792037964, 'Z': -0.009116706438362598}, {'X': 0.7958474159240723, 'Y': 0.25874006748199463, 'Z': -0.012562586925923824}, {'X': 0.7899240851402283, 'Y': 0.19352351129055023, 'Z': -0.026667611673474312}, {'X': 0.7847931385040283, 'Y': 0.14004641771316528, 'Z': -0.04153052717447281}, {'X': 0.8520105481147766, 'Y': 0.40586909651756287, 'Z': -0.01928010955452919}, {'X': 0.8510385751724243, 'Y': 0.3152308166027069, 'Z': -0.029008153825998306}, {'X': 0.8472344279289246, 'Y': 0.2620239853858948, 'Z': -0.04481584578752518}, {'X': 0.83943772315979, 'Y': 0.21203437447547913, 'Z': -0.05613246187567711}]
