[{'X': 0.7332475781440735, 'Y': 0.9107006788253784, 'Z': -9.005687752505764e-05}, {'X': 0.6226993203163147, 'Y': 0.8538209199905396, 'Z': -0.012506100349128246}, {'X': 0.5624326467514038, 'Y': 0.7096803188323975, 'Z': -0.006485363468527794}, {'X': 0.5396662354469299, 'Y': 0.5864019393920898, 'Z': -0.015853174030780792}, {'X': 0.5241003036499023, 'Y': 0.49218249320983887, 'Z': -0.016862735152244568}, {'X': 0.642071008682251, 'Y': 0.5624786019325256, 'Z': 0.07647516578435898}, {'X': 0.6275379061698914, 'Y': 0.4285430312156677, 'Z': 0.08547528833150864}, {'X': 0.6179711818695068, 'Y': 0.3486407995223999, 'Z': 0.088619165122509}, {'X': 0.6126251816749573, 'Y': 0.2848774194717407, 'Z': 0.08581161499023438}, {'X': 0.7039154171943665, 'Y': 0.5507601499557495, 'Z': 0.05507955327630043}, {'X': 0.6936002373695374, 'Y': 0.3956315517425537, 'Z': 0.080656498670578}, {'X': 0.6799439787864685, 'Y': 0.30976593494415283, 'Z': 0.07398828864097595}, {'X': 0.673812747001648, 'Y': 0.24040082097053528, 'Z': 0.06786175072193146}, {'X': 0.7588242292404175, 'Y': 0.5619713664054871, 'Z': 0.02371983230113983}, {'X': 0.7630460262298584, 'Y': 0.4157400131225586, 'Z': 0.034229837357997894}, {'X': 0.7592333555221558, 'Y': 0.32669681310653687, 'Z': 0.026885904371738434}, {'X': 0.7565290927886963, 'Y': 0.2492372691631317, 'Z': 0.00879931915551424}, {'X': 0.812600314617157, 'Y': 0.5939332842826843, 'Z': -0.010534599423408508}, {'X': 0.8149727582931519, 'Y': 0.4726032018661499, 'Z': -0.0191503893584013}, {'X': 0.8135004043579102, 'Y': 0.40039384365081787, 'Z': -0.03124758042395115}, {'X': 0.8113468289375305, 'Y': 0.3269958794116974, 'Z': -0.04164933040738106}]
[{'X': 0.7283005714416504, 'Y': 0.90655118227005, 'Z': -8.493554923916236e-05}, {'X': 0.6214977502822876, 'Y': 0.8555946350097656, 'Z': -0.015960343182086945}, {'X': 0.5627521872520447, 'Y': 0.7121069431304932, 'Z': -0.013055493123829365}, {'X': 0.5407401919364929, 'Y': 0.5880119204521179, 'Z': -0.02368788979947567}, {'X': 0.5260912775993347, 'Y': 0.4999698996543884, 'Z': -0.02849513292312622}, {'X': 0.6406118869781494, 'Y': 0.5627284646034241, 'Z': 0.06473813205957413}, {'X': 0.6255877614021301, 'Y': 0.4260846972465515, 'Z': 0.07179803401231766}, {'X': 0.6170388460159302, 'Y': 0.34770727157592773, 'Z': 0.07533259689807892}, {'X': 0.6136751174926758, 'Y': 0.28367140889167786, 'Z': 0.07378769665956497}, {'X': 0.700976550579071, 'Y': 0.550409197807312, 'Z': 0.043874774128198624}, {'X': 0.6888018846511841, 'Y': 0.3923647701740265, 'Z': 0.06160680577158928}, {'X': 0.6757981777191162, 'Y': 0.3067771792411804, 'Z': 0.05209428071975708}, {'X': 0.6704509258270264, 'Y': 0.23624160885810852, 'Z': 0.04470585659146309}, {'X': 0.7558653354644775, 'Y': 0.563377857208252, 'Z': 0.01406752411276102}, {'X': 0.7578377723693848, 'Y': 0.4141215980052948, 'Z': 0.017606627196073532}, {'X': 0.7525915503501892, 'Y': 0.32773739099502563, 'Z': 0.0073995087295770645}, {'X': 0.748277485370636, 'Y': 0.2530907988548279, 'Z': -0.010116973891854286}, {'X': 0.8105195164680481, 'Y': 0.5995670557022095, 'Z': -0.018638646230101585}, {'X': 0.8162240982055664, 'Y': 0.47372424602508545, 'Z': -0.029620489105582237}, {'X': 0.8167934417724609, 'Y': 0.3988795280456543, 'Z': -0.04410899430513382}, {'X': 0.8155844211578369, 'Y': 0.3235837519168854, 'Z': -0.05594222620129585}]
[{'X': 0.7292904257774353, 'Y': 0.9042177796363831, 'Z': -8.337465988006443e-05}, {'X': 0.6224587559700012, 'Y': 0.8549615740776062, 'Z': -0.01930532604455948}, {'X': 0.5617449879646301, 'Y': 0.7130152583122253, 'Z': -0.018063582479953766}, {'X': 0.5401951670646667, 'Y': 0.58869868516922, 'Z': -0.029828466475009918}, {'X': 0.5290600061416626, 'Y': 0.497345894575119, 'Z': -0.03536685183644295}, {'X': 0.6418818235397339, 'Y': 0.5636882185935974, 'Z': 0.06388251483440399}, {'X': 0.626720666885376, 'Y': 0.43053072690963745, 'Z': 0.07157805562019348}, {'X': 0.6186180114746094, 'Y': 0.35217398405075073, 'Z': 0.07421048730611801}, {'X': 0.6153944134712219, 'Y': 0.2893216907978058, 'Z': 0.07183357328176498}, {'X': 0.7029703259468079, 'Y': 0.5512929558753967, 'Z': 0.04619239643216133}, {'X': 0.690119206905365, 'Y': 0.39621293544769287, 'Z': 0.06846443563699722}, {'X': 0.6765366196632385, 'Y': 0.3091595768928528, 'Z': 0.059429820626974106}, {'X': 0.6703422665596008, 'Y': 0.23842132091522217, 'Z': 0.050899095833301544}, {'X': 0.7580053806304932, 'Y': 0.5631060004234314, 'Z': 0.019282372668385506}, {'X': 0.7595580220222473, 'Y': 0.41603899002075195, 'Z': 0.029197806492447853}, {'X': 0.754138171672821, 'Y': 0.32803478837013245, 'Z': 0.021851908415555954}, {'X': 0.7501741647720337, 'Y': 0.25227808952331543, 'Z': 0.004161858931183815}, {'X': 0.8128299117088318, 'Y': 0.5971851944923401, 'Z': -0.011618574149906635}, {'X': 0.8180046677589417, 'Y': 0.47546857595443726, 'Z': -0.019494226202368736}, {'X': 0.8161637783050537, 'Y': 0.402403861284256, 'Z': -0.03276481106877327}, {'X': 0.8122800588607788, 'Y': 0.32975244522094727, 'Z': -0.046229831874370575}]
[{'X': 0.7292755842208862, 'Y': 0.9096235036849976, 'Z': -7.809152884874493e-05}, {'X': 0.6247605681419373, 'Y': 0.8552899360656738, 'Z': -0.017772646620869637}, {'X': 0.5643076300621033, 'Y': 0.7124263048171997, 'Z': -0.01615007594227791}, {'X': 0.5421376824378967, 'Y': 0.5896611213684082, 'Z': -0.028760535642504692}, {'X': 0.5319840908050537, 'Y': 0.4953771233558655, 'Z': -0.03350915387272835}, {'X': 0.6438021063804626, 'Y': 0.5607444643974304, 'Z': 0.07065553218126297}, {'X': 0.6304135322570801, 'Y': 0.42853081226348877, 'Z': 0.07781413942575455}, {'X': 0.6229901313781738, 'Y': 0.3488466739654541, 'Z': 0.07970476895570755}, {'X': 0.6201167702674866, 'Y': 0.28663885593414307, 'Z': 0.07843273133039474}, {'X': 0.7032744288444519, 'Y': 0.5500777363777161, 'Z': 0.051501475274562836}, {'X': 0.6910881996154785, 'Y': 0.39815521240234375, 'Z': 0.07476000487804413}, {'X': 0.6792280673980713, 'Y': 0.31139546632766724, 'Z': 0.06516416370868683}, {'X': 0.6747963428497314, 'Y': 0.24076718091964722, 'Z': 0.05658553168177605}, {'X': 0.7569596767425537, 'Y': 0.5637384653091431, 'Z': 0.02249789796769619}, {'X': 0.7616833448410034, 'Y': 0.4193146526813507, 'Z': 0.030587974935770035}, {'X': 0.7601430416107178, 'Y': 0.3289446234703064, 'Z': 0.02070547826588154}, {'X': 0.7599347233772278, 'Y': 0.2506321966648102, 'Z': 0.003284837817773223}, {'X': 0.810164213180542, 'Y': 0.5990630388259888, 'Z': -0.010950558818876743}, {'X': 0.8151392936706543, 'Y': 0.4773860573768616, 'Z': -0.021928494796156883}, {'X': 0.8152308464050293, 'Y': 0.4053085446357727, 'Z': -0.036796268075704575}, {'X': 0.8140235543251038, 'Y': 0.33248814940452576, 'Z': -0.05141870677471161}]
[{'X': 0.7210693359375, 'Y': 0.8970127105712891, 'Z': -0.00010033582657342777}, {'X': 0.6172474026679993, 'Y': 0.8508123159408569, 'Z': -0.02028626948595047}, {'X': 0.5594362020492554, 'Y': 0.7083625793457031, 'Z': -0.02014964446425438}, {'X': 0.5391111373901367, 'Y': 0.5846869349479675, 'Z': -0.032174330204725266}, {'X': 0.5274547934532166, 'Y': 0.4965968132019043, 'Z': -0.03902804106473923}, {'X': 0.6403751969337463, 'Y': 0.561967670917511, 'Z': 0.059671975672245026}, {'X': 0.6245422959327698, 'Y': 0.4269333481788635, 'Z': 0.06539388746023178}, {'X': 0.6145380735397339, 'Y': 0.3501278758049011, 'Z': 0.06781072169542313}, {'X': 0.6094200015068054, 'Y': 0.2878073453903198, 'Z': 0.06470585614442825}, {'X': 0.7006068825721741, 'Y': 0.5505183935165405, 'Z': 0.04135413467884064}, {'X': 0.6907958388328552, 'Y': 0.3944440186023712, 'Z': 0.059047501534223557}, {'X': 0.6797680854797363, 'Y': 0.30863887071609497, 'Z': 0.04847753047943115}, {'X': 0.6756895184516907, 'Y': 0.23882529139518738, 'Z': 0.03983927145600319}, {'X': 0.7547149062156677, 'Y': 0.5646490454673767, 'Z': 0.014328505843877792}, {'X': 0.7594102025032043, 'Y': 0.417598158121109, 'Z': 0.019301854074001312}, {'X': 0.7556585669517517, 'Y': 0.33096086978912354, 'Z': 0.0075558144599199295}, {'X': 0.7529276013374329, 'Y': 0.2565302550792694, 'Z': -0.012156911194324493}, {'X': 0.8081645369529724, 'Y': 0.6015175580978394, 'Z': -0.016538536176085472}, {'X': 0.8160490393638611, 'Y': 0.478468656539917, 'Z': -0.027638880535960197}, {'X': 0.8166850805282593, 'Y': 0.4048766493797302, 'Z': -0.04348422586917877}, {'X': 0.8153525590896606, 'Y': 0.33146119117736816, 'Z': -0.05632878839969635}]
[{'X': 0.728324830532074, 'Y': 0.9072920680046082, 'Z': -0.00010652920900611207}, {'X': 0.6210985779762268, 'Y': 0.8571153283119202, 'Z': -0.0180895384401083}, {'X': 0.5609427094459534, 'Y': 0.7133799195289612, 'Z': -0.014977585524320602}, {'X': 0.538463294506073, 'Y': 0.5883274078369141, 'Z': -0.0245736725628376}, {'X': 0.5257599949836731, 'Y': 0.4988690912723541, 'Z': -0.02682703360915184}, {'X': 0.6400232911109924, 'Y': 0.5643892884254456, 'Z': 0.06738222390413284}, {'X': 0.623052716255188, 'Y': 0.43005430698394775, 'Z': 0.07608070969581604}, {'X': 0.6130953431129456, 'Y': 0.3525441288948059, 'Z': 0.08026367425918579}, {'X': 0.6084099411964417, 'Y': 0.289737731218338, 'Z': 0.07835463434457779}, {'X': 0.6999970078468323, 'Y': 0.5506787896156311, 'Z': 0.049575693905353546}, {'X': 0.6874674558639526, 'Y': 0.39393481612205505, 'Z': 0.07116702198982239}, {'X': 0.6752751469612122, 'Y': 0.30885857343673706, 'Z': 0.06374002248048782}, {'X': 0.6707422733306885, 'Y': 0.23931121826171875, 'Z': 0.057568274438381195}, {'X': 0.7545946836471558, 'Y': 0.5622669458389282, 'Z': 0.022715458646416664}, {'X': 0.7556902766227722, 'Y': 0.41425859928131104, 'Z': 0.029856346547603607}, {'X': 0.7511201500892639, 'Y': 0.3275259733200073, 'Z': 0.021288612857460976}, {'X': 0.7472602128982544, 'Y': 0.2519471049308777, 'Z': 0.003996740095317364}, {'X': 0.8091044425964355, 'Y': 0.5971856713294983, 'Z': -0.007387952879071236}, {'X': 0.8135920763015747, 'Y': 0.47443991899490356, 'Z': -0.016752181574702263}, {'X': 0.8140158653259277, 'Y': 0.4012607932090759, 'Z': -0.03048606589436531}, {'X': 0.8125806450843811, 'Y': 0.32682329416275024, 'Z': -0.04177844896912575}]
[{'X': 0.7286512851715088, 'Y': 0.902995765209198, 'Z': -0.00011822138912975788}, {'X': 0.6220866441726685, 'Y': 0.8554048538208008, 'Z': -0.01724928244948387}, {'X': 0.5604680180549622, 'Y': 0.7141663432121277, 'Z': -0.014201318845152855}, {'X': 0.5384363532066345, 'Y': 0.5893141627311707, 'Z': -0.022588174790143967}, {'X': 0.5293599367141724, 'Y': 0.5006474852561951, 'Z': -0.024749403819441795}, {'X': 0.6434416174888611, 'Y': 0.5669191479682922, 'Z': 0.06192764639854431}, {'X': 0.6254017949104309, 'Y': 0.4320997893810272, 'Z': 0.0709783062338829}, {'X': 0.6133018136024475, 'Y': 0.3565255403518677, 'Z': 0.07535531371831894}, {'X': 0.6058855652809143, 'Y': 0.29444846510887146, 'Z': 0.07435490936040878}, {'X': 0.7037388682365417, 'Y': 0.5532615184783936, 'Z': 0.046244896948337555}, {'X': 0.689848005771637, 'Y': 0.39922040700912476, 'Z': 0.06803335249423981}, {'X': 0.6754445433616638, 'Y': 0.3160881996154785, 'Z': 0.060239046812057495}, {'X': 0.6683542132377625, 'Y': 0.24791863560676575, 'Z': 0.053856585174798965}, {'X': 0.7571550607681274, 'Y': 0.5645200610160828, 'Z': 0.022339018061757088}, {'X': 0.7567048668861389, 'Y': 0.4186769723892212, 'Z': 0.02931709587574005}, {'X': 0.7517581582069397, 'Y': 0.3323745131492615, 'Z': 0.01791207119822502}, {'X': 0.7476930618286133, 'Y': 0.2571008503437042, 'Z': -0.0003065535565838218}, {'X': 0.8097771406173706, 'Y': 0.5994623303413391, 'Z': -0.004230865277349949}, {'X': 0.8124000430107117, 'Y': 0.47760099172592163, 'Z': -0.016045691445469856}, {'X': 0.81242436170578, 'Y': 0.4048501253128052, 'Z': -0.032370418310165405}, {'X': 0.8099329471588135, 'Y': 0.332409530878067, 'Z': -0.045682452619075775}]
[{'X': 0.7317774891853333, 'Y': 0.9087594747543335, 'Z': -9.548021625960246e-05}, {'X': 0.6215407252311707, 'Y': 0.8577958941459656, 'Z': -0.015729723498225212}, {'X': 0.5598939061164856, 'Y': 0.717811644077301, 'Z': -0.01252246554940939}, {'X': 0.5375218987464905, 'Y': 0.5935759544372559, 'Z': -0.02088599093258381}, {'X': 0.5265277624130249, 'Y': 0.503504753112793, 'Z': -0.023463765159249306}, {'X': 0.6392281651496887, 'Y': 0.5663487911224365, 'Z': 0.0731196328997612}, {'X': 0.6221797466278076, 'Y': 0.43300360441207886, 'Z': 0.08607867360115051}, {'X': 0.6129723191261292, 'Y': 0.355732262134552, 'Z': 0.0930231437087059}, {'X': 0.6088656783103943, 'Y': 0.2917707562446594, 'Z': 0.09446699917316437}, {'X': 0.7006986737251282, 'Y': 0.551829993724823, 'Z': 0.057290587574243546}, {'X': 0.6877917051315308, 'Y': 0.399450421333313, 'Z': 0.0820196196436882}, {'X': 0.675216555595398, 'Y': 0.3163270950317383, 'Z': 0.07549925148487091}, {'X': 0.6702322959899902, 'Y': 0.24803274869918823, 'Z': 0.06937798857688904}, {'X': 0.7557083368301392, 'Y': 0.5617907047271729, 'Z': 0.03237423673272133}, {'X': 0.7558391094207764, 'Y': 0.41673538088798523, 'Z': 0.04131626710295677}, {'X': 0.7520923018455505, 'Y': 0.3319321870803833, 'Z': 0.03318958356976509}, {'X': 0.7491653561592102, 'Y': 0.25811588764190674, 'Z': 0.01686825044453144}, {'X': 0.8099038600921631, 'Y': 0.5944300889968872, 'Z': 0.004914839286357164}, {'X': 0.8116592168807983, 'Y': 0.4712013900279999, 'Z': -0.002782112918794155}, {'X': 0.8117420673370361, 'Y': 0.39867907762527466, 'Z': -0.015165112912654877}, {'X': 0.8097273707389832, 'Y': 0.326017290353775, 'Z': -0.026234112679958344}]
[{'X': 0.7263543605804443, 'Y': 0.9096158742904663, 'Z': -0.00012580830662045628}, {'X': 0.6191257238388062, 'Y': 0.8594311475753784, 'Z': -0.01828928478062153}, {'X': 0.5581965446472168, 'Y': 0.7167132496833801, 'Z': -0.017877385020256042}, {'X': 0.5360565185546875, 'Y': 0.5907102823257446, 'Z': -0.02972893789410591}, {'X': 0.5265920162200928, 'Y': 0.49808788299560547, 'Z': -0.035711463540792465}, {'X': 0.6412443518638611, 'Y': 0.5673270225524902, 'Z': 0.06592414528131485}, {'X': 0.62255859375, 'Y': 0.4339877665042877, 'Z': 0.07183990627527237}, {'X': 0.610227644443512, 'Y': 0.3579244017601013, 'Z': 0.07344034314155579}, {'X': 0.6024755239486694, 'Y': 0.2957676947116852, 'Z': 0.07207706570625305}, {'X': 0.7011552453041077, 'Y': 0.5532534718513489, 'Z': 0.04868220165371895}, {'X': 0.6891021728515625, 'Y': 0.39809247851371765, 'Z': 0.06802275776863098}, {'X': 0.6759333610534668, 'Y': 0.3134915232658386, 'Z': 0.058700114488601685}, {'X': 0.6685726642608643, 'Y': 0.24394753575325012, 'Z': 0.05155442655086517}, {'X': 0.7546323537826538, 'Y': 0.5651041269302368, 'Z': 0.022056877613067627}, {'X': 0.7571774125099182, 'Y': 0.41795581579208374, 'Z': 0.02745984122157097}, {'X': 0.7534589767456055, 'Y': 0.3310471475124359, 'Z': 0.015413331799209118}, {'X': 0.7490774393081665, 'Y': 0.2542016804218292, 'Z': -0.003528999164700508}, {'X': 0.8070935606956482, 'Y': 0.6011073589324951, 'Z': -0.006758101750165224}, {'X': 0.812303900718689, 'Y': 0.4762555658817291, 'Z': -0.01844331994652748}, {'X': 0.8140416741371155, 'Y': 0.401937335729599, 'Z': -0.03393471613526344}, {'X': 0.8129103183746338, 'Y': 0.3275580108165741, 'Z': -0.04654967784881592}]
[{'X': 0.7251137495040894, 'Y': 0.9036595821380615, 'Z': -9.710442100185901e-05}, {'X': 0.6222612857818604, 'Y': 0.854898989200592, 'Z': -0.020091136917471886}, {'X': 0.5622280836105347, 'Y': 0.7128978371620178, 'Z': -0.019029371440410614}, {'X': 0.5404399633407593, 'Y': 0.5886828303337097, 'Z': -0.030157599598169327}, {'X': 0.5295353531837463, 'Y': 0.4996083080768585, 'Z': -0.03181915357708931}, {'X': 0.6395025253295898, 'Y': 0.5638530850410461, 'Z': 0.06260725855827332}, {'X': 0.6217765808105469, 'Y': 0.4323604702949524, 'Z': 0.06458961963653564}, {'X': 0.6111224889755249, 'Y': 0.3572472929954529, 'Z': 0.06486131250858307}, {'X': 0.605485200881958, 'Y': 0.29914525151252747, 'Z': 0.06172680854797363}, {'X': 0.7000584006309509, 'Y': 0.5506828427314758, 'Z': 0.044276826083660126}, {'X': 0.6873700022697449, 'Y': 0.3961261510848999, 'Z': 0.062427815049886703}, {'X': 0.6767989993095398, 'Y': 0.31099042296409607, 'Z': 0.0525406114757061}, {'X': 0.673733651638031, 'Y': 0.24167004227638245, 'Z': 0.04424045979976654}, {'X': 0.7550234794616699, 'Y': 0.5645419359207153, 'Z': 0.016968412324786186}, {'X': 0.7576192617416382, 'Y': 0.4178870618343353, 'Z': 0.020189395174384117}, {'X': 0.757219672203064, 'Y': 0.3286367356777191, 'Z': 0.009009323082864285}, {'X': 0.7579615712165833, 'Y': 0.2500367760658264, 'Z': -0.009757045656442642}, {'X': 0.8095743656158447, 'Y': 0.6023604273796082, 'Z': -0.014235459268093109}, {'X': 0.8136897683143616, 'Y': 0.4811069071292877, 'Z': -0.027769969776272774}, {'X': 0.8139112591743469, 'Y': 0.40912964940071106, 'Z': -0.044595129787921906}, {'X': 0.8120828866958618, 'Y': 0.3350333571434021, 'Z': -0.05932718142867088}]
[{'X': 0.7248544096946716, 'Y': 0.9076167345046997, 'Z': -0.00011377433111192659}, {'X': 0.6248972415924072, 'Y': 0.8601482510566711, 'Z': -0.022899318486452103}, {'X': 0.5661700367927551, 'Y': 0.719323992729187, 'Z': -0.02357291989028454}, {'X': 0.5466313362121582, 'Y': 0.5963612198829651, 'Z': -0.03171949088573456}, {'X': 0.5345377922058105, 'Y': 0.51454758644104, 'Z': -0.03104485012590885}, {'X': 0.6452096104621887, 'Y': 0.5752674341201782, 'Z': 0.039913687855005264}, {'X': 0.6200811862945557, 'Y': 0.4485173225402832, 'Z': 0.035406600683927536}, {'X': 0.6026952862739563, 'Y': 0.37643229961395264, 'Z': 0.02831212431192398}, {'X': 0.590118408203125, 'Y': 0.31820327043533325, 'Z': 0.02006842941045761}, {'X': 0.7078590989112854, 'Y': 0.5608183145523071, 'Z': 0.024017293006181717}, {'X': 0.6931816935539246, 'Y': 0.4054659903049469, 'Z': 0.032118577510118484}, {'X': 0.6800463199615479, 'Y': 0.31993433833122253, 'Z': 0.01739707589149475}, {'X': 0.6731123924255371, 'Y': 0.25173455476760864, 'Z': 0.005195786710828543}, {'X': 0.7630798816680908, 'Y': 0.5741593241691589, 'Z': 0.0022466378286480904}, {'X': 0.7641834616661072, 'Y': 0.42553502321243286, 'Z': -0.0006086574867367744}, {'X': 0.7594408392906189, 'Y': 0.33622971177101135, 'Z': -0.015989894047379494}, {'X': 0.7546173930168152, 'Y': 0.2589479386806488, 'Z': -0.03522217646241188}, {'X': 0.8164190649986267, 'Y': 0.6127282977104187, 'Z': -0.02351035363972187}, {'X': 0.8231143355369568, 'Y': 0.49166035652160645, 'Z': -0.04061644896864891}, {'X': 0.8234823942184448, 'Y': 0.4194272756576538, 'Z': -0.06175770238041878}, {'X': 0.8209712505340576, 'Y': 0.3449416756629944, 'Z': -0.07836385816335678}]
