[{'X': 0.6264737844467163, 'Y': 0.4624996483325958, 'Z': -8.474729838781059e-05}, {'X': 0.548051655292511, 'Y': 0.5547376275062561, 'Z': -0.005435813684016466}, {'X': 0.5359077453613281, 'Y': 0.6716993451118469, 'Z': -0.018615612760186195}, {'X': 0.5704025030136108, 'Y': 0.7544474005699158, 'Z': -0.018807416781783104}, {'X': 0.6045541167259216, 'Y': 0.8086286187171936, 'Z': -0.015659434720873833}, {'X': 0.5874805450439453, 'Y': 0.7814344763755798, 'Z': -0.10219601541757584}, {'X': 0.5900076031684875, 'Y': 0.9467908143997192, 'Z': -0.1290586292743683}, {'X': 0.5905971527099609, 'Y': 1.0317349433898926, 'Z': -0.13756467401981354}, {'X': 0.5896766781806946, 'Y': 1.082535982131958, 'Z': -0.1355307549238205}, {'X': 0.6554087400436401, 'Y': 0.7794204354286194, 'Z': -0.08828136324882507}, {'X': 0.673624575138092, 'Y': 0.9460000991821289, 'Z': -0.10548549145460129}, {'X': 0.6744343638420105, 'Y': 1.0290910005569458, 'Z': -0.098383828997612}, {'X': 0.6716216206550598, 'Y': 1.0824692249298096, 'Z': -0.09800649434328079}, {'X': 0.7122992873191833, 'Y': 0.744059681892395, 'Z': -0.06696604937314987}, {'X': 0.7005990743637085, 'Y': 0.8488377332687378, 'Z': -0.04092451184988022}, {'X': 0.6763282418251038, 'Y': 0.8070916533470154, 'Z': -0.0007391265826299787}, {'X': 0.6601828932762146, 'Y': 0.7619068026542664, 'Z': 0.013551624491810799}, {'X': 0.7548205852508545, 'Y': 0.6948691606521606, 'Z': -0.04565494880080223}, {'X': 0.7246531248092651, 'Y': 0.7814695835113525, 'Z': -0.00823952630162239}, {'X': 0.6977680921554565, 'Y': 0.7539750337600708, 'Z': 0.024647487327456474}, {'X': 0.6860918998718262, 'Y': 0.7154121994972229, 'Z': 0.04591929912567139}]
[{'X': 0.6647844314575195, 'Y': 0.7922513484954834, 'Z': -6.68165012029931e-05}, {'X': 0.6038381457328796, 'Y': 0.740156888961792, 'Z': -0.03497829660773277}, {'X': 0.5588830709457397, 'Y': 0.6718733906745911, 'Z': -0.062141649425029755}, {'X': 0.5315991640090942, 'Y': 0.6165590286254883, 'Z': -0.08981011062860489}, {'X': 0.5088647603988647, 'Y': 0.5817752480506897, 'Z': -0.1121133416891098}, {'X': 0.6288201212882996, 'Y': 0.5761354565620422, 'Z': -0.05949603393673897}, {'X': 0.6139417886734009, 'Y': 0.4800441861152649, 'Z': -0.09800449013710022}, {'X': 0.6052775979042053, 'Y': 0.4292204678058624, 'Z': -0.12312301993370056}, {'X': 0.5975046753883362, 'Y': 0.38352108001708984, 'Z': -0.13925018906593323}, {'X': 0.6769500374794006, 'Y': 0.5704777240753174, 'Z': -0.06673608720302582}, {'X': 0.6969979405403137, 'Y': 0.4630236327648163, 'Z': -0.09974776208400726}, {'X': 0.7025144100189209, 'Y': 0.41216039657592773, 'Z': -0.11897288262844086}, {'X': 0.7024080157279968, 'Y': 0.37581920623779297, 'Z': -0.13791289925575256}, {'X': 0.7141047120094299, 'Y': 0.5850928425788879, 'Z': -0.07706957310438156}, {'X': 0.7367757558822632, 'Y': 0.49026158452033997, 'Z': -0.10564159601926804}, {'X': 0.7404333353042603, 'Y': 0.4481610059738159, 'Z': -0.11860183626413345}, {'X': 0.7361290454864502, 'Y': 0.414863646030426, 'Z': -0.13340061902999878}, {'X': 0.745292603969574, 'Y': 0.6167219877243042, 'Z': -0.09254396706819534}, {'X': 0.766136884689331, 'Y': 0.552164614200592, 'Z': -0.11924523115158081}, {'X': 0.7653096318244934, 'Y': 0.5169440507888794, 'Z': -0.13114814460277557}, {'X': 0.7560659050941467, 'Y': 0.4872472286224365, 'Z': -0.1412605196237564}]
[{'X': 0.6559885144233704, 'Y': 0.7608903646469116, 'Z': 6.507614671136253e-06}, {'X': 0.6001886129379272, 'Y': 0.7192856073379517, 'Z': -0.04774026945233345}, {'X': 0.5603356957435608, 'Y': 0.661003589630127, 'Z': -0.07550932466983795}, {'X': 0.5354588031768799, 'Y': 0.6105249524116516, 'Z': -0.10408493131399155}, {'X': 0.5059772729873657, 'Y': 0.5817850232124329, 'Z': -0.1274375170469284}, {'X': 0.6216908693313599, 'Y': 0.5436974167823792, 'Z': -0.04459027200937271}, {'X': 0.6065834760665894, 'Y': 0.4567212164402008, 'Z': -0.06784853339195251}, {'X': 0.5964617729187012, 'Y': 0.4086688756942749, 'Z': -0.09347739815711975}, {'X': 0.587832510471344, 'Y': 0.3644123077392578, 'Z': -0.1145496591925621}, {'X': 0.6647078990936279, 'Y': 0.5415163040161133, 'Z': -0.04129467532038689}, {'X': 0.6773838400840759, 'Y': 0.4381009340286255, 'Z': -0.05598224326968193}, {'X': 0.6830748319625854, 'Y': 0.3821324110031128, 'Z': -0.08048182725906372}, {'X': 0.6874074339866638, 'Y': 0.33902961015701294, 'Z': -0.10029442608356476}, {'X': 0.6994069814682007, 'Y': 0.5601096153259277, 'Z': -0.04443640634417534}, {'X': 0.7211810350418091, 'Y': 0.47347813844680786, 'Z': -0.0592009536921978}, {'X': 0.7316997647285461, 'Y': 0.4252491593360901, 'Z': -0.08066168427467346}, {'X': 0.7369206547737122, 'Y': 0.3866409361362457, 'Z': -0.09989029169082642}, {'X': 0.7301830053329468, 'Y': 0.5944112539291382, 'Z': -0.052619025111198425}, {'X': 0.7589074373245239, 'Y': 0.5360454320907593, 'Z': -0.07345503568649292}, {'X': 0.7735522389411926, 'Y': 0.5033122301101685, 'Z': -0.08728685230016708}, {'X': 0.7831282615661621, 'Y': 0.47443848848342896, 'Z': -0.09762050211429596}]
[{'X': 0.6597378849983215, 'Y': 0.7337867021560669, 'Z': -2.4543016479583457e-05}, {'X': 0.5987190008163452, 'Y': 0.699175238609314, 'Z': -0.048425931483507156}, {'X': 0.5599685907363892, 'Y': 0.6415193676948547, 'Z': -0.0709475725889206}, {'X': 0.5351344347000122, 'Y': 0.5895389318466187, 'Z': -0.09383127838373184}, {'X': 0.507912814617157, 'Y': 0.5536080598831177, 'Z': -0.11006059497594833}, {'X': 0.6215347051620483, 'Y': 0.517683744430542, 'Z': -0.03704684227705002}, {'X': 0.606174647808075, 'Y': 0.4334934949874878, 'Z': -0.059114862233400345}, {'X': 0.595862627029419, 'Y': 0.386298269033432, 'Z': -0.08408156782388687}, {'X': 0.5863261818885803, 'Y': 0.3439185917377472, 'Z': -0.10009908676147461}, {'X': 0.6656293869018555, 'Y': 0.5132350325584412, 'Z': -0.03220405429601669}, {'X': 0.6774322390556335, 'Y': 0.41450703144073486, 'Z': -0.039755407720804214}, {'X': 0.6855754256248474, 'Y': 0.36211925745010376, 'Z': -0.06239082291722298}, {'X': 0.6904433369636536, 'Y': 0.322003573179245, 'Z': -0.08078069239854813}, {'X': 0.7013184428215027, 'Y': 0.5303341150283813, 'Z': -0.03455561399459839}, {'X': 0.7247534394264221, 'Y': 0.44687938690185547, 'Z': -0.04334556311368942}, {'X': 0.7389817237854004, 'Y': 0.39900973439216614, 'Z': -0.06444978713989258}, {'X': 0.7458849549293518, 'Y': 0.35924232006073, 'Z': -0.08344682306051254}, {'X': 0.7335261702537537, 'Y': 0.5637643933296204, 'Z': -0.04157447814941406}, {'X': 0.7640295028686523, 'Y': 0.5056051015853882, 'Z': -0.05853689834475517}, {'X': 0.7846325635910034, 'Y': 0.4730057716369629, 'Z': -0.06922116130590439}, {'X': 0.7994154691696167, 'Y': 0.4408593475818634, 'Z': -0.07735330611467361}]
[{'X': 0.6655884981155396, 'Y': 0.7249240875244141, 'Z': -4.354697466624202e-06}, {'X': 0.6011364459991455, 'Y': 0.6905869841575623, 'Z': -0.041737549006938934}, {'X': 0.5614335536956787, 'Y': 0.6332612633705139, 'Z': -0.06207789108157158}, {'X': 0.5360457897186279, 'Y': 0.5818811058998108, 'Z': -0.08550439774990082}, {'X': 0.5074672102928162, 'Y': 0.5461016893386841, 'Z': -0.1072113886475563}, {'X': 0.6252228021621704, 'Y': 0.5089210867881775, 'Z': -0.019734608009457588}, {'X': 0.6086199283599854, 'Y': 0.4287030100822449, 'Z': -0.036509718745946884}, {'X': 0.5955554246902466, 'Y': 0.38126224279403687, 'Z': -0.06050696596503258}, {'X': 0.5827873349189758, 'Y': 0.34000763297080994, 'Z': -0.07944384962320328}, {'X': 0.6703026294708252, 'Y': 0.5041468739509583, 'Z': -0.017809461802244186}, {'X': 0.6776408553123474, 'Y': 0.41281184554100037, 'Z': -0.02003890834748745}, {'X': 0.6835313439369202, 'Y': 0.355685293674469, 'Z': -0.04162736237049103}, {'X': 0.6879705786705017, 'Y': 0.31018102169036865, 'Z': -0.05993744358420372}, {'X': 0.707194983959198, 'Y': 0.5222865343093872, 'Z': -0.023183459416031837}, {'X': 0.7244166135787964, 'Y': 0.4425654709339142, 'Z': -0.026371806859970093}, {'X': 0.7362975478172302, 'Y': 0.3898611068725586, 'Z': -0.04367930814623833}, {'X': 0.7431030869483948, 'Y': 0.3477720618247986, 'Z': -0.06078521907329559}, {'X': 0.7400968670845032, 'Y': 0.5570810437202454, 'Z': -0.033960215747356415}, {'X': 0.7691416144371033, 'Y': 0.5009300708770752, 'Z': -0.04759189859032631}, {'X': 0.7883081436157227, 'Y': 0.467024028301239, 'Z': -0.055138375610113144}, {'X': 0.8020932674407959, 'Y': 0.43382635712623596, 'Z': -0.06228187307715416}]
[{'X': 0.6762753129005432, 'Y': 0.7187334299087524, 'Z': -2.311796197318472e-05}, {'X': 0.6073634624481201, 'Y': 0.6886311769485474, 'Z': -0.04427304118871689}, {'X': 0.5651977062225342, 'Y': 0.6319806575775146, 'Z': -0.06666754186153412}, {'X': 0.5385018587112427, 'Y': 0.581417441368103, 'Z': -0.09187311679124832}, {'X': 0.5082851052284241, 'Y': 0.5463255643844604, 'Z': -0.11723889410495758}, {'X': 0.6269528269767761, 'Y': 0.5105910301208496, 'Z': -0.02899821102619171}, {'X': 0.6107091307640076, 'Y': 0.4264988303184509, 'Z': -0.04880715161561966}, {'X': 0.5977237224578857, 'Y': 0.3773041367530823, 'Z': -0.07405024766921997}, {'X': 0.5859614014625549, 'Y': 0.33428511023521423, 'Z': -0.09427208453416824}, {'X': 0.6736119389533997, 'Y': 0.5040048956871033, 'Z': -0.0255229901522398}, {'X': 0.680863618850708, 'Y': 0.4129563570022583, 'Z': -0.03309018537402153}, {'X': 0.6869181990623474, 'Y': 0.35466524958610535, 'Z': -0.05861064791679382}, {'X': 0.6923641562461853, 'Y': 0.30763837695121765, 'Z': -0.07971320301294327}, {'X': 0.7117569446563721, 'Y': 0.5206682682037354, 'Z': -0.028803005814552307}, {'X': 0.730684757232666, 'Y': 0.4417620301246643, 'Z': -0.03770369663834572}, {'X': 0.7430087327957153, 'Y': 0.39040493965148926, 'Z': -0.06017027795314789}, {'X': 0.7508583068847656, 'Y': 0.35083073377609253, 'Z': -0.08038907498121262}, {'X': 0.7459180951118469, 'Y': 0.5534721612930298, 'Z': -0.036998119205236435}, {'X': 0.7747461795806885, 'Y': 0.49873578548431396, 'Z': -0.05610951781272888}, {'X': 0.793159008026123, 'Y': 0.4657306671142578, 'Z': -0.06785514950752258}, {'X': 0.8065366744995117, 'Y': 0.43510207533836365, 'Z': -0.07878987491130829}]
[{'X': 0.6698147058486938, 'Y': 0.7199219465255737, 'Z': -4.699073906522244e-05}, {'X': 0.6062339544296265, 'Y': 0.682788074016571, 'Z': -0.05174706503748894}, {'X': 0.5687758922576904, 'Y': 0.6280693411827087, 'Z': -0.08044689148664474}, {'X': 0.5426560640335083, 'Y': 0.5794486403465271, 'Z': -0.1110447496175766}, {'X': 0.5071786046028137, 'Y': 0.5441949367523193, 'Z': -0.1419556885957718}, {'X': 0.6301266551017761, 'Y': 0.5049909949302673, 'Z': -0.043148528784513474}, {'X': 0.6144186854362488, 'Y': 0.4214189052581787, 'Z': -0.0691167488694191}, {'X': 0.6030733585357666, 'Y': 0.37266814708709717, 'Z': -0.09505242854356766}, {'X': 0.5929673314094543, 'Y': 0.32748663425445557, 'Z': -0.11252060532569885}, {'X': 0.6769489645957947, 'Y': 0.5006048679351807, 'Z': -0.03928811103105545}, {'X': 0.6833351850509644, 'Y': 0.40960943698883057, 'Z': -0.049715686589479446}, {'X': 0.6907345652580261, 'Y': 0.35302215814590454, 'Z': -0.07420241832733154}, {'X': 0.6968691349029541, 'Y': 0.3053164482116699, 'Z': -0.09410557150840759}, {'X': 0.7144743204116821, 'Y': 0.5184816122055054, 'Z': -0.041078995913267136}, {'X': 0.732246994972229, 'Y': 0.4406154155731201, 'Z': -0.052221134305000305}, {'X': 0.7441710233688354, 'Y': 0.3895019292831421, 'Z': -0.07514110952615738}, {'X': 0.750018298625946, 'Y': 0.34678220748901367, 'Z': -0.09564208984375}, {'X': 0.7482690215110779, 'Y': 0.5505200028419495, 'Z': -0.04870667681097984}, {'X': 0.7748439908027649, 'Y': 0.4959697723388672, 'Z': -0.06742831319570541}, {'X': 0.7930232882499695, 'Y': 0.4604376256465912, 'Z': -0.07590086758136749}, {'X': 0.8054304718971252, 'Y': 0.42407357692718506, 'Z': -0.08267521858215332}]
[{'X': 0.6694072484970093, 'Y': 0.7121191024780273, 'Z': 4.765479843626963e-06}, {'X': 0.6055494546890259, 'Y': 0.6795676350593567, 'Z': -0.04573703929781914}, {'X': 0.5637287497520447, 'Y': 0.6249949932098389, 'Z': -0.074884794652462}, {'X': 0.5323975682258606, 'Y': 0.5773046016693115, 'Z': -0.10620502382516861}, {'X': 0.49854958057403564, 'Y': 0.5478746891021729, 'Z': -0.14109139144420624}, {'X': 0.6259924173355103, 'Y': 0.5025432705879211, 'Z': -0.03941069170832634}, {'X': 0.610878586769104, 'Y': 0.42308610677719116, 'Z': -0.06337687373161316}, {'X': 0.6016132235527039, 'Y': 0.37233054637908936, 'Z': -0.09352372586727142}, {'X': 0.5944284200668335, 'Y': 0.32911211252212524, 'Z': -0.11599203944206238}, {'X': 0.6718589663505554, 'Y': 0.49902063608169556, 'Z': -0.03864334151148796}, {'X': 0.6814972758293152, 'Y': 0.41273799538612366, 'Z': -0.04711705818772316}, {'X': 0.6889944672584534, 'Y': 0.35177481174468994, 'Z': -0.07536185532808304}, {'X': 0.6953069567680359, 'Y': 0.30326366424560547, 'Z': -0.09870829433202744}, {'X': 0.7101753950119019, 'Y': 0.5162448287010193, 'Z': -0.044652048498392105}, {'X': 0.7303719520568848, 'Y': 0.4402104318141937, 'Z': -0.05499640852212906}, {'X': 0.7422336935997009, 'Y': 0.38610953092575073, 'Z': -0.08087057620286942}, {'X': 0.7494176626205444, 'Y': 0.34350645542144775, 'Z': -0.10393601655960083}, {'X': 0.7440182566642761, 'Y': 0.5497004985809326, 'Z': -0.0556611642241478}, {'X': 0.7711848020553589, 'Y': 0.4951604902744293, 'Z': -0.07658547908067703}, {'X': 0.7885578274726868, 'Y': 0.45644494891166687, 'Z': -0.09206145256757736}, {'X': 0.8019481897354126, 'Y': 0.4211113154888153, 'Z': -0.10691981762647629}]
[{'X': 0.664827287197113, 'Y': 0.7188178300857544, 'Z': -3.446749542490579e-05}, {'X': 0.6019079089164734, 'Y': 0.6829420924186707, 'Z': -0.03488237038254738}, {'X': 0.560952365398407, 'Y': 0.625712513923645, 'Z': -0.05721316486597061}, {'X': 0.5271085500717163, 'Y': 0.579576849937439, 'Z': -0.08400111645460129}, {'X': 0.48690152168273926, 'Y': 0.5511346459388733, 'Z': -0.11126340925693512}, {'X': 0.6269361972808838, 'Y': 0.5112659931182861, 'Z': -0.020167645066976547}, {'X': 0.6086024641990662, 'Y': 0.43225929141044617, 'Z': -0.0456756167113781}, {'X': 0.5966526865959167, 'Y': 0.38676053285598755, 'Z': -0.07302896678447723}, {'X': 0.5859019756317139, 'Y': 0.34707555174827576, 'Z': -0.08970198035240173}, {'X': 0.6715444326400757, 'Y': 0.5036019682884216, 'Z': -0.025209425017237663}, {'X': 0.6774311661720276, 'Y': 0.41479894518852234, 'Z': -0.03739083558320999}, {'X': 0.6855109333992004, 'Y': 0.35502341389656067, 'Z': -0.06009187549352646}, {'X': 0.6901445984840393, 'Y': 0.3055952191352844, 'Z': -0.08013520389795303}, {'X': 0.7087407112121582, 'Y': 0.5203102827072144, 'Z': -0.03611317276954651}, {'X': 0.7263076901435852, 'Y': 0.44125720858573914, 'Z': -0.049944303929805756}, {'X': 0.7378644347190857, 'Y': 0.3893454074859619, 'Z': -0.0661000981926918}, {'X': 0.7424368858337402, 'Y': 0.345366895198822, 'Z': -0.07711338996887207}, {'X': 0.742816686630249, 'Y': 0.5537498593330383, 'Z': -0.05058891698718071}, {'X': 0.7689659595489502, 'Y': 0.49701356887817383, 'Z': -0.06724444031715393}, {'X': 0.7859283089637756, 'Y': 0.4587195813655853, 'Z': -0.0672084242105484}, {'X': 0.7966551780700684, 'Y': 0.4191918671131134, 'Z': -0.0638245940208435}]
[{'X': 0.6577404737472534, 'Y': 0.7221440076828003, 'Z': -1.2665870599448681e-05}, {'X': 0.5883066654205322, 'Y': 0.6868825554847717, 'Z': -0.04162755608558655}, {'X': 0.5418915748596191, 'Y': 0.6280024647712708, 'Z': -0.06953103840351105}, {'X': 0.5068244934082031, 'Y': 0.5817540287971497, 'Z': -0.10182437300682068}, {'X': 0.47141754627227783, 'Y': 0.5506410002708435, 'Z': -0.13020551204681396}, {'X': 0.6089716553688049, 'Y': 0.5091979503631592, 'Z': -0.030731812119483948}, {'X': 0.5900181531906128, 'Y': 0.4261527955532074, 'Z': -0.06352879852056503}, {'X': 0.5749291181564331, 'Y': 0.383597731590271, 'Z': -0.09341958165168762}, {'X': 0.561966598033905, 'Y': 0.34777361154556274, 'Z': -0.10807140171527863}, {'X': 0.6556697487831116, 'Y': 0.5022695660591125, 'Z': -0.036835022270679474}, {'X': 0.665241003036499, 'Y': 0.4041163921356201, 'Z': -0.05391721427440643}, {'X': 0.6735184788703918, 'Y': 0.350088506937027, 'Z': -0.07748712599277496}, {'X': 0.6802661418914795, 'Y': 0.3068047761917114, 'Z': -0.09675565361976624}, {'X': 0.6946773529052734, 'Y': 0.5205029845237732, 'Z': -0.04892468824982643}, {'X': 0.7136459350585938, 'Y': 0.4349443316459656, 'Z': -0.06436236947774887}, {'X': 0.7230030298233032, 'Y': 0.3839716613292694, 'Z': -0.07951633632183075}, {'X': 0.7273353338241577, 'Y': 0.3430688977241516, 'Z': -0.09190146625041962}, {'X': 0.7300253510475159, 'Y': 0.5579991340637207, 'Z': -0.06647628545761108}, {'X': 0.7579358816146851, 'Y': 0.4940538704395294, 'Z': -0.08389027416706085}, {'X': 0.7703133821487427, 'Y': 0.456529438495636, 'Z': -0.08850836753845215}, {'X': 0.77605140209198, 'Y': 0.4239545464515686, 'Z': -0.09033674001693726}]
[{'X': 0.6113423109054565, 'Y': 0.694679856300354, 'Z': -4.094731411896646e-05}, {'X': 0.5526013374328613, 'Y': 0.6686019897460938, 'Z': -0.06540458649396896}, {'X': 0.507495105266571, 'Y': 0.6167482733726501, 'Z': -0.11879018694162369}, {'X': 0.4744596481323242, 'Y': 0.5888492465019226, 'Z': -0.16658209264278412}, {'X': 0.4418977200984955, 'Y': 0.5701336860656738, 'Z': -0.2203594595193863}, {'X': 0.5659580230712891, 'Y': 0.4793740212917328, 'Z': -0.10773676633834839}, {'X': 0.5629040002822876, 'Y': 0.3812884986400604, 'Z': -0.16349685192108154}, {'X': 0.5514108538627625, 'Y': 0.35051676630973816, 'Z': -0.21168383955955505}, {'X': 0.5386976599693298, 'Y': 0.34645208716392517, 'Z': -0.2446753829717636}, {'X': 0.613410472869873, 'Y': 0.48763999342918396, 'Z': -0.11060439795255661}, {'X': 0.6288071870803833, 'Y': 0.38932621479034424, 'Z': -0.16387586295604706}, {'X': 0.6334880590438843, 'Y': 0.3391581177711487, 'Z': -0.2025764286518097}, {'X': 0.6334317326545715, 'Y': 0.30655449628829956, 'Z': -0.2275822013616562}, {'X': 0.6546335220336914, 'Y': 0.5186370611190796, 'Z': -0.11965560913085938}, {'X': 0.6787157654762268, 'Y': 0.43414583802223206, 'Z': -0.1663840413093567}, {'X': 0.6884735226631165, 'Y': 0.38491910696029663, 'Z': -0.20548604428768158}, {'X': 0.6898072361946106, 'Y': 0.3443065583705902, 'Z': -0.23061145842075348}, {'X': 0.6899833679199219, 'Y': 0.5634998083114624, 'Z': -0.1315108835697174}, {'X': 0.7219536304473877, 'Y': 0.5019719004631042, 'Z': -0.17633266746997833}, {'X': 0.7390421628952026, 'Y': 0.4638622999191284, 'Z': -0.20330378413200378}, {'X': 0.7460517883300781, 'Y': 0.42342299222946167, 'Z': -0.2251560389995575}]
