[{'X': 0.7317650318145752, 'Y': 0.6909970045089722, 'Z': 3.0743939305466483e-07}, {'X': 0.6666628122329712, 'Y': 0.6564396619796753, 'Z': -0.01589738018810749}, {'X': 0.6255773305892944, 'Y': 0.5949398279190063, 'Z': -0.015926523134112358}, {'X': 0.6045213937759399, 'Y': 0.5402628183364868, 'Z': -0.015678076073527336}, {'X': 0.5834264159202576, 'Y': 0.5039872527122498, 'Z': -0.014339463785290718}, {'X': 0.6786444187164307, 'Y': 0.49761146306991577, 'Z': 0.00828912016004324}, {'X': 0.6601221561431885, 'Y': 0.4230034053325653, 'Z': 0.0042388769797980785}, {'X': 0.6521369218826294, 'Y': 0.3783067464828491, 'Z': -0.002170611871406436}, {'X': 0.6473034620285034, 'Y': 0.33964625000953674, 'Z': -0.007883625105023384}, {'X': 0.7201581001281738, 'Y': 0.4936525225639343, 'Z': 0.007005039602518082}, {'X': 0.7272302508354187, 'Y': 0.41264766454696655, 'Z': 0.007013876922428608}, {'X': 0.733306348323822, 'Y': 0.36182278394699097, 'Z': 0.0023596135433763266}, {'X': 0.7374216914176941, 'Y': 0.32445573806762695, 'Z': -0.0016251520719379187}, {'X': 0.7561874985694885, 'Y': 0.5078104138374329, 'Z': 0.0009337278897874057}, {'X': 0.7684561610221863, 'Y': 0.4463762044906616, 'Z': -0.005682579707354307}, {'X': 0.7754469513893127, 'Y': 0.40491777658462524, 'Z': -0.01300925761461258}, {'X': 0.7805829048156738, 'Y': 0.36910396814346313, 'Z': -0.01774733141064644}, {'X': 0.7897791862487793, 'Y': 0.532893180847168, 'Z': -0.007427248638123274}, {'X': 0.8131808638572693, 'Y': 0.48863542079925537, 'Z': -0.015368970111012459}, {'X': 0.8248600363731384, 'Y': 0.4595952332019806, 'Z': -0.019568229094147682}, {'X': 0.8356003165245056, 'Y': 0.4299547076225281, 'Z': -0.022103913128376007}]
[{'X': 0.7307055592536926, 'Y': 0.6891308426856995, 'Z': 3.121896554603154e-07}, {'X': 0.6668952703475952, 'Y': 0.6556036472320557, 'Z': -0.018091225996613503}, {'X': 0.6254212856292725, 'Y': 0.5971593260765076, 'Z': -0.02156265452504158}, {'X': 0.6045728921890259, 'Y': 0.5421873927116394, 'Z': -0.024511929601430893}, {'X': 0.583097517490387, 'Y': 0.5038244128227234, 'Z': -0.026361750438809395}, {'X': 0.6778403520584106, 'Y': 0.497614324092865, 'Z': 0.002018978353589773}, {'X': 0.6591523885726929, 'Y': 0.42324984073638916, 'Z': -0.004765503574162722}, {'X': 0.6512355804443359, 'Y': 0.3787783086299896, 'Z': -0.012723591178655624}, {'X': 0.6461330056190491, 'Y': 0.3399432599544525, 'Z': -0.019407672807574272}, {'X': 0.7192230820655823, 'Y': 0.49353769421577454, 'Z': 0.0006165126687847078}, {'X': 0.7263997197151184, 'Y': 0.41177040338516235, 'Z': -0.002142952289432287}, {'X': 0.732746422290802, 'Y': 0.3609400987625122, 'Z': -0.008065037429332733}, {'X': 0.7373411059379578, 'Y': 0.32253652811050415, 'Z': -0.013032704591751099}, {'X': 0.7551380395889282, 'Y': 0.5076720118522644, 'Z': -0.005416258703917265}, {'X': 0.7667956948280334, 'Y': 0.4459366798400879, 'Z': -0.014132682234048843}, {'X': 0.7739909291267395, 'Y': 0.40590357780456543, 'Z': -0.021553123369812965}, {'X': 0.7796565294265747, 'Y': 0.3712829351425171, 'Z': -0.026292851194739342}, {'X': 0.7890636324882507, 'Y': 0.5329846143722534, 'Z': -0.01383514516055584}, {'X': 0.8119434714317322, 'Y': 0.48788851499557495, 'Z': -0.022649677470326424}, {'X': 0.8240381479263306, 'Y': 0.4591125249862671, 'Z': -0.02648717537522316}, {'X': 0.8352566361427307, 'Y': 0.43020370602607727, 'Z': -0.028801830485463142}]
[{'X': 0.7321948409080505, 'Y': 0.6925156116485596, 'Z': 3.105469374986569e-07}, {'X': 0.6670224666595459, 'Y': 0.6570418477058411, 'Z': -0.016777848824858665}, {'X': 0.6257984042167664, 'Y': 0.5972120761871338, 'Z': -0.018785009160637856}, {'X': 0.6038950681686401, 'Y': 0.54277104139328, 'Z': -0.020629476755857468}, {'X': 0.5823748111724854, 'Y': 0.5044108629226685, 'Z': -0.021433813497424126}, {'X': 0.6779401898384094, 'Y': 0.4997403919696808, 'Z': 0.005791778210550547}, {'X': 0.6594834327697754, 'Y': 0.4250301420688629, 'Z': 2.704769258343731e-06}, {'X': 0.6512179374694824, 'Y': 0.37959593534469604, 'Z': -0.00765197305008769}, {'X': 0.6457666158676147, 'Y': 0.3399750590324402, 'Z': -0.014226069673895836}, {'X': 0.7193775177001953, 'Y': 0.49505770206451416, 'Z': 0.004232327453792095}, {'X': 0.7263346910476685, 'Y': 0.4128433167934418, 'Z': 0.0026524458080530167}, {'X': 0.7330101132392883, 'Y': 0.36134713888168335, 'Z': -0.0028857074212282896}, {'X': 0.7375752925872803, 'Y': 0.3227306008338928, 'Z': -0.0076344432309269905}, {'X': 0.7555912733078003, 'Y': 0.5089706182479858, 'Z': -0.0020952869672328234}, {'X': 0.7665508985519409, 'Y': 0.44678282737731934, 'Z': -0.009973661042749882}, {'X': 0.7741959691047668, 'Y': 0.40692418813705444, 'Z': -0.01752563565969467}, {'X': 0.7802407741546631, 'Y': 0.3727342188358307, 'Z': -0.022355420514941216}, {'X': 0.7896034717559814, 'Y': 0.5339710712432861, 'Z': -0.01076825987547636}, {'X': 0.8121602535247803, 'Y': 0.48853278160095215, 'Z': -0.019160160794854164}, {'X': 0.8246029019355774, 'Y': 0.45980578660964966, 'Z': -0.023283975198864937}, {'X': 0.8366121053695679, 'Y': 0.43077701330184937, 'Z': -0.025795048102736473}]
[{'X': 0.7323310375213623, 'Y': 0.6925531625747681, 'Z': 3.156977470553102e-07}, {'X': 0.6671804189682007, 'Y': 0.6582856178283691, 'Z': -0.016940677538514137}, {'X': 0.6259250044822693, 'Y': 0.5988830924034119, 'Z': -0.018260562792420387}, {'X': 0.6039448976516724, 'Y': 0.5445061922073364, 'Z': -0.01926346868276596}, {'X': 0.58282870054245, 'Y': 0.5067954063415527, 'Z': -0.018931420519948006}, {'X': 0.6790282726287842, 'Y': 0.5002858638763428, 'Z': 0.007668455131351948}, {'X': 0.660922110080719, 'Y': 0.4252000153064728, 'Z': 0.0029637166298925877}, {'X': 0.653038501739502, 'Y': 0.3804307281970978, 'Z': -0.0039000939577817917}, {'X': 0.6481379866600037, 'Y': 0.3416447043418884, 'Z': -0.009803269058465958}, {'X': 0.7203261852264404, 'Y': 0.49620893597602844, 'Z': 0.006671014707535505}, {'X': 0.7272117733955383, 'Y': 0.41520678997039795, 'Z': 0.006610197480767965}, {'X': 0.733473002910614, 'Y': 0.3645123839378357, 'Z': 0.0022036621812731028}, {'X': 0.737664520740509, 'Y': 0.32709747552871704, 'Z': -0.0016085340175777674}, {'X': 0.7565894722938538, 'Y': 0.510335385799408, 'Z': 0.0007172758923843503}, {'X': 0.7679107785224915, 'Y': 0.4487852156162262, 'Z': -0.005631371401250362}, {'X': 0.7749764323234558, 'Y': 0.4079955816268921, 'Z': -0.012053919956088066}, {'X': 0.7803775668144226, 'Y': 0.37275952100753784, 'Z': -0.016150010749697685}, {'X': 0.7906482815742493, 'Y': 0.5356605052947998, 'Z': -0.00772522296756506}, {'X': 0.8134108185768127, 'Y': 0.49106135964393616, 'Z': -0.015083246864378452}, {'X': 0.8251311779022217, 'Y': 0.46223166584968567, 'Z': -0.018509473651647568}, {'X': 0.8361434936523438, 'Y': 0.43302589654922485, 'Z': -0.020463963970541954}]
[{'X': 0.731908917427063, 'Y': 0.6911998391151428, 'Z': 3.204403924428334e-07}, {'X': 0.66666179895401, 'Y': 0.6571037173271179, 'Z': -0.01695854961872101}, {'X': 0.6254962086677551, 'Y': 0.5978928208351135, 'Z': -0.019046572968363762}, {'X': 0.603752613067627, 'Y': 0.5434889793395996, 'Z': -0.02085920050740242}, {'X': 0.5824811458587646, 'Y': 0.5060365796089172, 'Z': -0.02158503048121929}, {'X': 0.6787620782852173, 'Y': 0.5009042620658875, 'Z': 0.004639493767172098}, {'X': 0.6604816913604736, 'Y': 0.42555785179138184, 'Z': -0.0014563200529664755}, {'X': 0.6521585583686829, 'Y': 0.3796882927417755, 'Z': -0.009023206308484077}, {'X': 0.6468528509140015, 'Y': 0.33982282876968384, 'Z': -0.015390748158097267}, {'X': 0.7199224829673767, 'Y': 0.49686646461486816, 'Z': 0.003198273479938507}, {'X': 0.727333664894104, 'Y': 0.41452041268348694, 'Z': 0.00166358205024153}, {'X': 0.7339964509010315, 'Y': 0.3629765510559082, 'Z': -0.0033738133497536182}, {'X': 0.7386388778686523, 'Y': 0.3247957229614258, 'Z': -0.007632482796907425}, {'X': 0.7559980750083923, 'Y': 0.511024534702301, 'Z': -0.0029711471870541573}, {'X': 0.7675934433937073, 'Y': 0.44933459162712097, 'Z': -0.010582365095615387}, {'X': 0.7751389741897583, 'Y': 0.4092487692832947, 'Z': -0.017659306526184082}, {'X': 0.7811495065689087, 'Y': 0.3747340440750122, 'Z': -0.02210501953959465}, {'X': 0.7898210883140564, 'Y': 0.5360898971557617, 'Z': -0.011526615358889103}, {'X': 0.812735915184021, 'Y': 0.49121910333633423, 'Z': -0.019718606024980545}, {'X': 0.8251625299453735, 'Y': 0.46285930275917053, 'Z': -0.023513851687312126}, {'X': 0.8371233344078064, 'Y': 0.43421033024787903, 'Z': -0.02571837604045868}]
[{'X': 0.7315680980682373, 'Y': 0.6884685754776001, 'Z': 3.005269775258057e-07}, {'X': 0.6676226854324341, 'Y': 0.6550231575965881, 'Z': -0.016671929508447647}, {'X': 0.625832736492157, 'Y': 0.5937888026237488, 'Z': -0.01838676445186138}, {'X': 0.6028839349746704, 'Y': 0.5388084053993225, 'Z': -0.019787847995758057}, {'X': 0.5809344053268433, 'Y': 0.5027564167976379, 'Z': -0.020207198336720467}, {'X': 0.6784980297088623, 'Y': 0.4961360991001129, 'Z': 0.004055812489241362}, {'X': 0.660921037197113, 'Y': 0.42130303382873535, 'Z': -0.002190256956964731}, {'X': 0.6531871557235718, 'Y': 0.37694525718688965, 'Z': -0.009770305827260017}, {'X': 0.6486175060272217, 'Y': 0.33869457244873047, 'Z': -0.016170993447303772}, {'X': 0.7196407914161682, 'Y': 0.4925195872783661, 'Z': 0.0024787383154034615}, {'X': 0.7262213826179504, 'Y': 0.4114035964012146, 'Z': 0.0004937052726745605}, {'X': 0.7323800325393677, 'Y': 0.36056771874427795, 'Z': -0.004634576383978128}, {'X': 0.7371667623519897, 'Y': 0.32292166352272034, 'Z': -0.009007302112877369}, {'X': 0.7560840249061584, 'Y': 0.506452202796936, 'Z': -0.003758270526304841}, {'X': 0.7678271532058716, 'Y': 0.4449349641799927, 'Z': -0.011474684812128544}, {'X': 0.7754640579223633, 'Y': 0.4043387770652771, 'Z': -0.01831168495118618}, {'X': 0.7811478972434998, 'Y': 0.3694973587989807, 'Z': -0.02282140776515007}, {'X': 0.7898737192153931, 'Y': 0.5316852927207947, 'Z': -0.012362023815512657}, {'X': 0.8127462863922119, 'Y': 0.4878786504268646, 'Z': -0.020799454301595688}, {'X': 0.8244829177856445, 'Y': 0.4592376947402954, 'Z': -0.02466815710067749}, {'X': 0.8352693915367126, 'Y': 0.4306212067604065, 'Z': -0.02707013301551342}]
[{'X': 0.7309905290603638, 'Y': 0.684119701385498, 'Z': 2.9974859216963523e-07}, {'X': 0.6677722930908203, 'Y': 0.6501334309577942, 'Z': -0.017039556056261063}, {'X': 0.6260862350463867, 'Y': 0.590672492980957, 'Z': -0.01949206553399563}, {'X': 0.6039268970489502, 'Y': 0.5361587405204773, 'Z': -0.02156037837266922}, {'X': 0.5823429822921753, 'Y': 0.4995586574077606, 'Z': -0.0227026529610157}, {'X': 0.6794751882553101, 'Y': 0.491171658039093, 'Z': 0.0027434274088591337}, {'X': 0.6630887985229492, 'Y': 0.4149448871612549, 'Z': -0.0035334599670022726}, {'X': 0.6561054587364197, 'Y': 0.3700607419013977, 'Z': -0.011243149638175964}, {'X': 0.6517729759216309, 'Y': 0.3312098979949951, 'Z': -0.017902174964547157}, {'X': 0.7205089926719666, 'Y': 0.48841559886932373, 'Z': 0.0008571470971219242}, {'X': 0.726648211479187, 'Y': 0.40645939111709595, 'Z': -0.001513844821602106}, {'X': 0.7325230836868286, 'Y': 0.35584110021591187, 'Z': -0.007188649382442236}, {'X': 0.7369394898414612, 'Y': 0.317754328250885, 'Z': -0.012189839035272598}, {'X': 0.7567387223243713, 'Y': 0.50281822681427, 'Z': -0.005615388974547386}, {'X': 0.7679973840713501, 'Y': 0.4402473568916321, 'Z': -0.013671187683939934}, {'X': 0.7753745317459106, 'Y': 0.3989731967449188, 'Z': -0.0211171992123127}, {'X': 0.7807071208953857, 'Y': 0.363027423620224, 'Z': -0.026303932070732117}, {'X': 0.790529191493988, 'Y': 0.5283651947975159, 'Z': -0.01444836612790823}, {'X': 0.8131470084190369, 'Y': 0.4827614426612854, 'Z': -0.02308604307472706}, {'X': 0.8254560828208923, 'Y': 0.45366090536117554, 'Z': -0.027156980708241463}, {'X': 0.836707353591919, 'Y': 0.42453256249427795, 'Z': -0.029938414692878723}]
[{'X': 0.732296884059906, 'Y': 0.6866711974143982, 'Z': 3.1415837042914063e-07}, {'X': 0.6689929962158203, 'Y': 0.6516828536987305, 'Z': -0.01564953289926052}, {'X': 0.6280909180641174, 'Y': 0.5916820168495178, 'Z': -0.017533447593450546}, {'X': 0.6054068803787231, 'Y': 0.538114070892334, 'Z': -0.01915842853486538}, {'X': 0.5844544768333435, 'Y': 0.502865731716156, 'Z': -0.020065853372216225}, {'X': 0.683224618434906, 'Y': 0.4952062666416168, 'Z': 0.003108017612248659}, {'X': 0.6723694801330566, 'Y': 0.41682520508766174, 'Z': -0.0035303146578371525}, {'X': 0.6689023375511169, 'Y': 0.37044647336006165, 'Z': -0.01190820150077343}, {'X': 0.6680622100830078, 'Y': 0.32925450801849365, 'Z': -0.019293125718832016}, {'X': 0.7226710915565491, 'Y': 0.4923681914806366, 'Z': 0.0006212239386513829}, {'X': 0.7278897166252136, 'Y': 0.4091741740703583, 'Z': -0.0030940137803554535}, {'X': 0.7341748476028442, 'Y': 0.3572428226470947, 'Z': -0.01094099786132574}, {'X': 0.7400696873664856, 'Y': 0.3180168867111206, 'Z': -0.017673872411251068}, {'X': 0.7576723098754883, 'Y': 0.5066831707954407, 'Z': -0.006033413577824831}, {'X': 0.7693769931793213, 'Y': 0.4450710713863373, 'Z': -0.015205911360681057}, {'X': 0.7764789462089539, 'Y': 0.4038945138454437, 'Z': -0.024472136050462723}, {'X': 0.7819482684135437, 'Y': 0.3676868975162506, 'Z': -0.03106597438454628}, {'X': 0.7909769415855408, 'Y': 0.5327438116073608, 'Z': -0.014737660996615887}, {'X': 0.8136042356491089, 'Y': 0.48876067996025085, 'Z': -0.02386145293712616}, {'X': 0.8250950574874878, 'Y': 0.46022742986679077, 'Z': -0.028727030381560326}, {'X': 0.835563063621521, 'Y': 0.4310038387775421, 'Z': -0.032353196293115616}]
[{'X': 0.7326605916023254, 'Y': 0.6738038063049316, 'Z': 3.7127698249150853e-08}, {'X': 0.6704278588294983, 'Y': 0.6492444276809692, 'Z': -0.008721941150724888}, {'X': 0.6307164430618286, 'Y': 0.5947606563568115, 'Z': -0.008897071704268456}, {'X': 0.6084689497947693, 'Y': 0.5427648425102234, 'Z': -0.011517636477947235}, {'X': 0.5914831757545471, 'Y': 0.5098913908004761, 'Z': -0.012293653562664986}, {'X': 0.6860583424568176, 'Y': 0.5241366028785706, 'Z': 0.0176375862210989}, {'X': 0.683534562587738, 'Y': 0.47270068526268005, 'Z': 0.002261834917590022}, {'X': 0.6872886419296265, 'Y': 0.48798441886901855, 'Z': -0.013324943371117115}, {'X': 0.6927061676979065, 'Y': 0.5132734179496765, 'Z': -0.021071091294288635}, {'X': 0.7221413850784302, 'Y': 0.5093151330947876, 'Z': 0.0114379758015275}, {'X': 0.7197152972221375, 'Y': 0.4239169657230377, 'Z': 0.006570106837898493}, {'X': 0.7202072143554688, 'Y': 0.3705880045890808, 'Z': -0.003907670266926289}, {'X': 0.7226463556289673, 'Y': 0.32671594619750977, 'Z': -0.01243874616920948}, {'X': 0.7555204629898071, 'Y': 0.5150938630104065, 'Z': -0.00017614066018722951}, {'X': 0.7635043859481812, 'Y': 0.4452703893184662, 'Z': -0.009558980353176594}, {'X': 0.768844485282898, 'Y': 0.40213555097579956, 'Z': -0.020393142476677895}, {'X': 0.7716571688652039, 'Y': 0.36301612854003906, 'Z': -0.027873586863279343}, {'X': 0.7898192405700684, 'Y': 0.5364178419113159, 'Z': -0.01333453319966793}, {'X': 0.8095421195030212, 'Y': 0.4907416105270386, 'Z': -0.0199179295450449}, {'X': 0.8177757859230042, 'Y': 0.46128207445144653, 'Z': -0.02213282510638237}, {'X': 0.8223569989204407, 'Y': 0.43204188346862793, 'Z': -0.024156885221600533}]
[{'X': 0.7349947094917297, 'Y': 0.6708463430404663, 'Z': -1.2277529037874046e-07}, {'X': 0.6702758073806763, 'Y': 0.6485698819160461, 'Z': -0.0059521994553506374}, {'X': 0.6328436136245728, 'Y': 0.5962784886360168, 'Z': -0.0032674947287887335}, {'X': 0.6128166913986206, 'Y': 0.5420150756835938, 'Z': -0.003617603098973632}, {'X': 0.5998345017433167, 'Y': 0.5059623122215271, 'Z': -0.0017479569651186466}, {'X': 0.6849159598350525, 'Y': 0.5428590774536133, 'Z': 0.027955519035458565}, {'X': 0.6800504326820374, 'Y': 0.49441391229629517, 'Z': 0.012131559662520885}, {'X': 0.684259295463562, 'Y': 0.5233141183853149, 'Z': -0.004942901432514191}, {'X': 0.691726803779602, 'Y': 0.558911919593811, 'Z': -0.012957807630300522}, {'X': 0.718513548374176, 'Y': 0.5276885628700256, 'Z': 0.023370198905467987}, {'X': 0.7112659215927124, 'Y': 0.4538627564907074, 'Z': 0.021438568830490112}, {'X': 0.7061964869499207, 'Y': 0.4084904193878174, 'Z': 0.011613382026553154}, {'X': 0.7026342749595642, 'Y': 0.36620673537254333, 'Z': 0.0030263264197856188}, {'X': 0.7511216402053833, 'Y': 0.5287095904350281, 'Z': 0.012767771258950233}, {'X': 0.7514263391494751, 'Y': 0.460835337638855, 'Z': 0.006888727191835642}, {'X': 0.749390184879303, 'Y': 0.4160437285900116, 'Z': -0.0026648726779967546}, {'X': 0.7463396191596985, 'Y': 0.3748067319393158, 'Z': -0.009771435521543026}, {'X': 0.7867501378059387, 'Y': 0.5427947044372559, 'Z': 0.0006765881553292274}, {'X': 0.7990043759346008, 'Y': 0.49923890829086304, 'Z': -0.002517177490517497}, {'X': 0.7994036078453064, 'Y': 0.46987292170524597, 'Z': -0.003576794872060418}, {'X': 0.7966061234474182, 'Y': 0.4410640597343445, 'Z': -0.005155166145414114}]
[{'X': 0.7444519400596619, 'Y': 0.6639162302017212, 'Z': -1.481195539554392e-07}, {'X': 0.6819773316383362, 'Y': 0.6424003839492798, 'Z': -0.007237348239868879}, {'X': 0.6432225108146667, 'Y': 0.5911663770675659, 'Z': -0.005203912500292063}, {'X': 0.6233877539634705, 'Y': 0.5361794233322144, 'Z': -0.005485265515744686}, {'X': 0.6082265377044678, 'Y': 0.5001869797706604, 'Z': -0.00348010309971869}, {'X': 0.6955687999725342, 'Y': 0.5446977615356445, 'Z': 0.02371509186923504}, {'X': 0.6924216151237488, 'Y': 0.49612802267074585, 'Z': 0.009539947845041752}, {'X': 0.6933294534683228, 'Y': 0.5229325890541077, 'Z': -0.0061705089174211025}, {'X': 0.6969000101089478, 'Y': 0.5556476712226868, 'Z': -0.013874930329620838}, {'X': 0.729189932346344, 'Y': 0.5331094861030579, 'Z': 0.01980060525238514}, {'X': 0.724626362323761, 'Y': 0.4613429009914398, 'Z': 0.01873103715479374}, {'X': 0.7220467925071716, 'Y': 0.4177950620651245, 'Z': 0.010258615016937256}, {'X': 0.7205731868743896, 'Y': 0.3772278428077698, 'Z': 0.002064712345600128}, {'X': 0.7609903812408447, 'Y': 0.5364896059036255, 'Z': 0.010143526829779148}, {'X': 0.7621365785598755, 'Y': 0.469433069229126, 'Z': 0.004290254320949316}, {'X': 0.760974109172821, 'Y': 0.4244045615196228, 'Z': -0.00438615120947361}, {'X': 0.7579392194747925, 'Y': 0.3821868300437927, 'Z': -0.011273310519754887}, {'X': 0.7961844205856323, 'Y': 0.5511854887008667, 'Z': -0.000937985023483634}, {'X': 0.8085267543792725, 'Y': 0.5087377429008484, 'Z': -0.005058915354311466}, {'X': 0.8086415529251099, 'Y': 0.4794749319553375, 'Z': -0.005960742477327585}, {'X': 0.8040902614593506, 'Y': 0.4506140649318695, 'Z': -0.0076703280210494995}]
