[{'X': 0.6493279933929443, 'Y': 0.8176985383033752, 'Z': 3.6563940852829546e-07}, {'X': 0.5652610659599304, 'Y': 0.7675908207893372, 'Z': -0.027310192584991455}, {'X': 0.5103604793548584, 'Y': 0.6863219141960144, 'Z': -0.036805637180805206}, {'X': 0.4867708683013916, 'Y': 0.604665994644165, 'Z': -0.04611713066697121}, {'X': 0.4808430075645447, 'Y': 0.5302459001541138, 'Z': -0.05410105362534523}, {'X': 0.5892999172210693, 'Y': 0.5451366305351257, 'Z': 2.1677318727597594e-05}, {'X': 0.5619935989379883, 'Y': 0.447396457195282, 'Z': -0.016601936891674995}, {'X': 0.5448398590087891, 'Y': 0.3839651942253113, 'Z': -0.03332778811454773}, {'X': 0.5330657958984375, 'Y': 0.33007943630218506, 'Z': -0.046017732471227646}, {'X': 0.6484344005584717, 'Y': 0.530443012714386, 'Z': -0.003553117858245969}, {'X': 0.6609299778938293, 'Y': 0.40950682759284973, 'Z': -0.015803907066583633}, {'X': 0.6639094948768616, 'Y': 0.3307226002216339, 'Z': -0.030488982796669006}, {'X': 0.6625807285308838, 'Y': 0.2663928270339966, 'Z': -0.04177829995751381}, {'X': 0.6975027918815613, 'Y': 0.5436916351318359, 'Z': -0.013883600011467934}, {'X': 0.7240486741065979, 'Y': 0.4481271505355835, 'Z': -0.03245661407709122}, {'X': 0.7279185056686401, 'Y': 0.3797929286956787, 'Z': -0.04905121773481369}, {'X': 0.7243903875350952, 'Y': 0.31942451000213623, 'Z': -0.059749215841293335}, {'X': 0.7394477128982544, 'Y': 0.5772906541824341, 'Z': -0.027429727837443352}, {'X': 0.7793072462081909, 'Y': 0.5067117214202881, 'Z': -0.044411662966012955}, {'X': 0.7947136163711548, 'Y': 0.45195770263671875, 'Z': -0.05419861897826195}, {'X': 0.8006212711334229, 'Y': 0.39997464418411255, 'Z': -0.06059126928448677}]
[{'X': 0.6482567191123962, 'Y': 0.8108310699462891, 'Z': 3.669806005746068e-07}, {'X': 0.5645297169685364, 'Y': 0.7630587220191956, 'Z': -0.028855565935373306}, {'X': 0.5082276463508606, 'Y': 0.6837985515594482, 'Z': -0.039334531873464584}, {'X': 0.48436450958251953, 'Y': 0.6013503074645996, 'Z': -0.04935247451066971}, {'X': 0.47831884026527405, 'Y': 0.5264225602149963, 'Z': -0.057757314294576645}, {'X': 0.5885651707649231, 'Y': 0.5431253910064697, 'Z': -0.0012167664244771004}, {'X': 0.5611116290092468, 'Y': 0.4448949694633484, 'Z': -0.018954476341605186}, {'X': 0.5433821082115173, 'Y': 0.38147830963134766, 'Z': -0.036357153207063675}, {'X': 0.5308422446250916, 'Y': 0.32805365324020386, 'Z': -0.04933575168251991}, {'X': 0.6474597454071045, 'Y': 0.527762234210968, 'Z': -0.003949259407818317}, {'X': 0.6586509943008423, 'Y': 0.40770357847213745, 'Z': -0.01717568002641201}, {'X': 0.661868155002594, 'Y': 0.3294275104999542, 'Z': -0.03209564462304115}, {'X': 0.6613472104072571, 'Y': 0.26461759209632874, 'Z': -0.04336071386933327}, {'X': 0.696621835231781, 'Y': 0.5403929352760315, 'Z': -0.013638976961374283}, {'X': 0.7230361104011536, 'Y': 0.44614243507385254, 'Z': -0.03290655463933945}, {'X': 0.7272921204566956, 'Y': 0.3782997131347656, 'Z': -0.04919851943850517}, {'X': 0.7240232825279236, 'Y': 0.3173738718032837, 'Z': -0.05945555493235588}, {'X': 0.7388211488723755, 'Y': 0.5735293030738831, 'Z': -0.026705414056777954}, {'X': 0.777759850025177, 'Y': 0.5035896301269531, 'Z': -0.04414374381303787}, {'X': 0.792868971824646, 'Y': 0.44971781969070435, 'Z': -0.05383501201868057}, {'X': 0.7983894944190979, 'Y': 0.3982064723968506, 'Z': -0.0599791444838047}]
[{'X': 0.6495500802993774, 'Y': 0.8084428310394287, 'Z': 3.7827709320481517e-07}, {'X': 0.5653095841407776, 'Y': 0.7608618140220642, 'Z': -0.02951469086110592}, {'X': 0.5072449445724487, 'Y': 0.6826525330543518, 'Z': -0.04090446978807449}, {'X': 0.48050808906555176, 'Y': 0.6009915471076965, 'Z': -0.05162617564201355}, {'X': 0.4744855761528015, 'Y': 0.5257472395896912, 'Z': -0.0607573427259922}, {'X': 0.587185263633728, 'Y': 0.5402976870536804, 'Z': -0.0029321175534278154}, {'X': 0.5597441792488098, 'Y': 0.4416528344154358, 'Z': -0.02050151117146015}, {'X': 0.5426077842712402, 'Y': 0.37829965353012085, 'Z': -0.03745222091674805}, {'X': 0.5309369564056396, 'Y': 0.3251999020576477, 'Z': -0.05006805434823036}, {'X': 0.645908772945404, 'Y': 0.5250786542892456, 'Z': -0.005730846431106329}, {'X': 0.6570440530776978, 'Y': 0.4041280746459961, 'Z': -0.019422700628638268}, {'X': 0.6598739624023438, 'Y': 0.3250837028026581, 'Z': -0.03454266116023064}, {'X': 0.6588797569274902, 'Y': 0.26056358218193054, 'Z': -0.04584862291812897}, {'X': 0.6948105096817017, 'Y': 0.5377494692802429, 'Z': -0.015414104796946049}, {'X': 0.7212013602256775, 'Y': 0.4424922466278076, 'Z': -0.03546964377164841}, {'X': 0.7250716686248779, 'Y': 0.3740371763706207, 'Z': -0.052657127380371094}, {'X': 0.7213176488876343, 'Y': 0.3129446804523468, 'Z': -0.06339924037456512}, {'X': 0.7367200255393982, 'Y': 0.5702703595161438, 'Z': -0.02832227386534214}, {'X': 0.7758241891860962, 'Y': 0.5002692937850952, 'Z': -0.04646274819970131}, {'X': 0.7907122373580933, 'Y': 0.44633224606513977, 'Z': -0.05669305846095085}, {'X': 0.7963345646858215, 'Y': 0.3946491479873657, 'Z': -0.06315870583057404}]
[{'X': 0.6481176614761353, 'Y': 0.809287428855896, 'Z': 3.821189693553606e-07}, {'X': 0.5625752210617065, 'Y': 0.7607216238975525, 'Z': -0.030496366322040558}, {'X': 0.5034980773925781, 'Y': 0.6831430792808533, 'Z': -0.04246112331748009}, {'X': 0.4757235646247864, 'Y': 0.6002814769744873, 'Z': -0.05373349040746689}, {'X': 0.46985089778900146, 'Y': 0.5246856212615967, 'Z': -0.06327598541975021}, {'X': 0.585333526134491, 'Y': 0.5425183176994324, 'Z': -0.001853398629464209}, {'X': 0.5570401549339294, 'Y': 0.4439406394958496, 'Z': -0.01999254897236824}, {'X': 0.5387697815895081, 'Y': 0.380423367023468, 'Z': -0.03778728470206261}, {'X': 0.5260709524154663, 'Y': 0.32664749026298523, 'Z': -0.05103754997253418}, {'X': 0.643453061580658, 'Y': 0.5270059704780579, 'Z': -0.004213992040604353}, {'X': 0.6537427306175232, 'Y': 0.4069076180458069, 'Z': -0.018053501844406128}, {'X': 0.6559122800827026, 'Y': 0.32786500453948975, 'Z': -0.033543381839990616}, {'X': 0.6546822190284729, 'Y': 0.2627045810222626, 'Z': -0.04523114860057831}, {'X': 0.6918131709098816, 'Y': 0.5390028357505798, 'Z': -0.013739202171564102}, {'X': 0.717963457107544, 'Y': 0.4449869394302368, 'Z': -0.03364436328411102}, {'X': 0.7211885452270508, 'Y': 0.3762149214744568, 'Z': -0.050545141100883484}, {'X': 0.7173264622688293, 'Y': 0.3148763179779053, 'Z': -0.06117479130625725}, {'X': 0.733856737613678, 'Y': 0.5707651376724243, 'Z': -0.0267129335552454}, {'X': 0.7721197009086609, 'Y': 0.5010963678359985, 'Z': -0.0443863682448864}, {'X': 0.7865484952926636, 'Y': 0.4470452666282654, 'Z': -0.054169442504644394}, {'X': 0.792037308216095, 'Y': 0.395286500453949, 'Z': -0.060422878712415695}]
[{'X': 0.645134687423706, 'Y': 0.8061719536781311, 'Z': 3.905144296822982e-07}, {'X': 0.5593001842498779, 'Y': 0.7592586874961853, 'Z': -0.030112719163298607}, {'X': 0.501855731010437, 'Y': 0.6808512210845947, 'Z': -0.04107731953263283}, {'X': 0.4735192656517029, 'Y': 0.5978115200996399, 'Z': -0.05142341926693916}, {'X': 0.4629090428352356, 'Y': 0.5222700238227844, 'Z': -0.06020956113934517}, {'X': 0.5823165774345398, 'Y': 0.5438011884689331, 'Z': 1.63528438861249e-05}, {'X': 0.5534740090370178, 'Y': 0.4466238021850586, 'Z': -0.017231423407793045}, {'X': 0.5341347455978394, 'Y': 0.3838035464286804, 'Z': -0.03459757938981056}, {'X': 0.5205104947090149, 'Y': 0.3313223719596863, 'Z': -0.04741977900266647}, {'X': 0.6400212049484253, 'Y': 0.5280424952507019, 'Z': -0.002048525493592024}, {'X': 0.6493191719055176, 'Y': 0.4082490801811218, 'Z': -0.014008080586791039}, {'X': 0.6507291197776794, 'Y': 0.32905787229537964, 'Z': -0.028347883373498917}, {'X': 0.6490049958229065, 'Y': 0.26477402448654175, 'Z': -0.039395831525325775}, {'X': 0.6883707642555237, 'Y': 0.5396124124526978, 'Z': -0.011418559588491917}, {'X': 0.713769793510437, 'Y': 0.44370484352111816, 'Z': -0.029605485498905182}, {'X': 0.7169662714004517, 'Y': 0.37454771995544434, 'Z': -0.045951150357723236}, {'X': 0.7132315635681152, 'Y': 0.3137570023536682, 'Z': -0.056530728936195374}, {'X': 0.730032742023468, 'Y': 0.570787250995636, 'Z': -0.024315716698765755}, {'X': 0.7683508396148682, 'Y': 0.5003799200057983, 'Z': -0.04106559604406357}, {'X': 0.7831791639328003, 'Y': 0.4460150897502899, 'Z': -0.05083167552947998}, {'X': 0.7895987033843994, 'Y': 0.39422887563705444, 'Z': -0.05730203539133072}]
[{'X': 0.6440706849098206, 'Y': 0.7972134351730347, 'Z': 3.788979370256129e-07}, {'X': 0.5599369406700134, 'Y': 0.7515512108802795, 'Z': -0.03166790306568146}, {'X': 0.5025357007980347, 'Y': 0.6717424392700195, 'Z': -0.04307835176587105}, {'X': 0.47282660007476807, 'Y': 0.5871546864509583, 'Z': -0.053712569177150726}, {'X': 0.45935291051864624, 'Y': 0.5110652446746826, 'Z': -0.0626344382762909}, {'X': 0.5806751847267151, 'Y': 0.5398111939430237, 'Z': -0.000960841600317508}, {'X': 0.5521539449691772, 'Y': 0.4442663788795471, 'Z': -0.01885872334241867}, {'X': 0.5327938199043274, 'Y': 0.38196974992752075, 'Z': -0.03618396446108818}, {'X': 0.5183752775192261, 'Y': 0.33079439401626587, 'Z': -0.04883001372218132}, {'X': 0.6385385394096375, 'Y': 0.5238741636276245, 'Z': -0.0022866365034133196}, {'X': 0.6473255157470703, 'Y': 0.4053240418434143, 'Z': -0.014703292399644852}, {'X': 0.6481944918632507, 'Y': 0.32792365550994873, 'Z': -0.028710706159472466}, {'X': 0.6455146670341492, 'Y': 0.26440364122390747, 'Z': -0.039285652339458466}, {'X': 0.6878446936607361, 'Y': 0.5350931286811829, 'Z': -0.011146562173962593}, {'X': 0.7128729820251465, 'Y': 0.44042858481407166, 'Z': -0.03026258759200573}, {'X': 0.7155758142471313, 'Y': 0.3731803297996521, 'Z': -0.046489425003528595}, {'X': 0.7107239365577698, 'Y': 0.31392890214920044, 'Z': -0.05652783811092377}, {'X': 0.7304346561431885, 'Y': 0.5658491253852844, 'Z': -0.02360435575246811}, {'X': 0.7686923146247864, 'Y': 0.49709564447402954, 'Z': -0.041111454367637634}, {'X': 0.7833510637283325, 'Y': 0.44305121898651123, 'Z': -0.05113334581255913}, {'X': 0.7885640859603882, 'Y': 0.392141193151474, 'Z': -0.05755789205431938}]
[{'X': 0.6421287655830383, 'Y': 0.7927548289299011, 'Z': 3.495628959626629e-07}, {'X': 0.5597912073135376, 'Y': 0.7445116639137268, 'Z': -0.03127522021532059}, {'X': 0.503140926361084, 'Y': 0.6644003391265869, 'Z': -0.04326232150197029}, {'X': 0.4743715226650238, 'Y': 0.5810691118240356, 'Z': -0.054715875536203384}, {'X': 0.457116961479187, 'Y': 0.5060176253318787, 'Z': -0.0647023394703865}, {'X': 0.5811710357666016, 'Y': 0.5358890295028687, 'Z': -0.003952238243073225}, {'X': 0.5511889457702637, 'Y': 0.44105803966522217, 'Z': -0.024808596819639206}, {'X': 0.5299052000045776, 'Y': 0.37871789932250977, 'Z': -0.04439672455191612}, {'X': 0.5132558941841125, 'Y': 0.3252571225166321, 'Z': -0.05856146290898323}, {'X': 0.638560950756073, 'Y': 0.5193817615509033, 'Z': -0.006156865041702986}, {'X': 0.6481997966766357, 'Y': 0.4023187756538391, 'Z': -0.02244279533624649}, {'X': 0.6482189893722534, 'Y': 0.3240407109260559, 'Z': -0.038938745856285095}, {'X': 0.6447640657424927, 'Y': 0.25872156023979187, 'Z': -0.05096682906150818}, {'X': 0.6865177154541016, 'Y': 0.530152440071106, 'Z': -0.015558983199298382}, {'X': 0.712672233581543, 'Y': 0.4371550381183624, 'Z': -0.03766150400042534}, {'X': 0.7148039937019348, 'Y': 0.3695388436317444, 'Z': -0.05466771125793457}, {'X': 0.7092573046684265, 'Y': 0.3092416524887085, 'Z': -0.06473890691995621}, {'X': 0.7277441620826721, 'Y': 0.5616856217384338, 'Z': -0.028481535613536835}, {'X': 0.7665712237358093, 'Y': 0.4934196472167969, 'Z': -0.04753558337688446}, {'X': 0.7809624671936035, 'Y': 0.4389379322528839, 'Z': -0.05745462700724602}, {'X': 0.7848292589187622, 'Y': 0.3879106640815735, 'Z': -0.06350117921829224}]
[{'X': 0.6426593661308289, 'Y': 0.7843340635299683, 'Z': 3.337041789563955e-07}, {'X': 0.5588550567626953, 'Y': 0.7353355288505554, 'Z': -0.033629488199949265}, {'X': 0.5014958381652832, 'Y': 0.6510363817214966, 'Z': -0.04656103998422623}, {'X': 0.47219961881637573, 'Y': 0.5634863376617432, 'Z': -0.058600105345249176}, {'X': 0.4500572085380554, 'Y': 0.4885757863521576, 'Z': -0.06908904016017914}, {'X': 0.5772579908370972, 'Y': 0.5307855010032654, 'Z': -0.006353890057653189}, {'X': 0.5466001629829407, 'Y': 0.4367368519306183, 'Z': -0.029082084074616432}, {'X': 0.5248802900314331, 'Y': 0.3766263723373413, 'Z': -0.04997028037905693}, {'X': 0.5067154765129089, 'Y': 0.3246693015098572, 'Z': -0.06473633646965027}, {'X': 0.6344452500343323, 'Y': 0.5134243965148926, 'Z': -0.007681550923734903}, {'X': 0.641848087310791, 'Y': 0.3957398533821106, 'Z': -0.024813855066895485}, {'X': 0.6409773230552673, 'Y': 0.31800156831741333, 'Z': -0.04154680669307709}, {'X': 0.6371546983718872, 'Y': 0.2529791593551636, 'Z': -0.053669463843107224}, {'X': 0.6828221678733826, 'Y': 0.5239852666854858, 'Z': -0.01646212860941887}, {'X': 0.7079163789749146, 'Y': 0.4285873472690582, 'Z': -0.03973526507616043}, {'X': 0.7095105648040771, 'Y': 0.36311477422714233, 'Z': -0.05657403543591499}, {'X': 0.703707218170166, 'Y': 0.3049337863922119, 'Z': -0.06622301042079926}, {'X': 0.725804328918457, 'Y': 0.5555391311645508, 'Z': -0.02895198203623295}, {'X': 0.7646548748016357, 'Y': 0.4876188039779663, 'Z': -0.04870128259062767}, {'X': 0.7791122198104858, 'Y': 0.4340735971927643, 'Z': -0.058475300669670105}, {'X': 0.7821643948554993, 'Y': 0.38416552543640137, 'Z': -0.06428292393684387}]
[{'X': 0.6403995156288147, 'Y': 0.7762987613677979, 'Z': 2.882644309920579e-07}, {'X': 0.5604547262191772, 'Y': 0.7255222201347351, 'Z': -0.030901499092578888}, {'X': 0.5071126222610474, 'Y': 0.638357937335968, 'Z': -0.0412445031106472}, {'X': 0.47797876596450806, 'Y': 0.5514602661132812, 'Z': -0.051433321088552475}, {'X': 0.4538405239582062, 'Y': 0.48005691170692444, 'Z': -0.06026138365268707}, {'X': 0.5789474844932556, 'Y': 0.5325136184692383, 'Z': -0.0029795437585562468}, {'X': 0.5467075705528259, 'Y': 0.4396880269050598, 'Z': -0.02494625188410282}, {'X': 0.5238704085350037, 'Y': 0.37890589237213135, 'Z': -0.04465508460998535}, {'X': 0.5045209527015686, 'Y': 0.3271614909172058, 'Z': -0.05842163786292076}, {'X': 0.6351402401924133, 'Y': 0.5155794620513916, 'Z': -0.005080693867057562}, {'X': 0.6391112804412842, 'Y': 0.3990650475025177, 'Z': -0.022105082869529724}, {'X': 0.6357647180557251, 'Y': 0.3195434808731079, 'Z': -0.03880622237920761}, {'X': 0.6301323771476746, 'Y': 0.2541521489620209, 'Z': -0.0506952702999115}, {'X': 0.6835203170776367, 'Y': 0.5247607231140137, 'Z': -0.014449279755353928}, {'X': 0.7079954743385315, 'Y': 0.4299180507659912, 'Z': -0.03776209428906441}, {'X': 0.707798421382904, 'Y': 0.3633587062358856, 'Z': -0.05545991286635399}, {'X': 0.6998451948165894, 'Y': 0.3052554726600647, 'Z': -0.06546593457460403}, {'X': 0.7266533374786377, 'Y': 0.5543108582496643, 'Z': -0.027227330952882767}, {'X': 0.7665131688117981, 'Y': 0.4880405068397522, 'Z': -0.04674942418932915}, {'X': 0.7794708013534546, 'Y': 0.43345707654953003, 'Z': -0.05720857158303261}, {'X': 0.779227614402771, 'Y': 0.3829640746116638, 'Z': -0.06356607377529144}]
[{'X': 0.6388223767280579, 'Y': 0.7630912065505981, 'Z': 2.3399667270496138e-07}, {'X': 0.560185432434082, 'Y': 0.7108743190765381, 'Z': -0.03249157592654228}, {'X': 0.5112345218658447, 'Y': 0.6238031387329102, 'Z': -0.04112735018134117}, {'X': 0.488661527633667, 'Y': 0.5310470461845398, 'Z': -0.04968962073326111}, {'X': 0.4653913974761963, 'Y': 0.45712605118751526, 'Z': -0.05700621008872986}, {'X': 0.5804952383041382, 'Y': 0.539068341255188, 'Z': 0.0020962627604603767}, {'X': 0.5485997796058655, 'Y': 0.4534381031990051, 'Z': -0.016607828438282013}, {'X': 0.526617705821991, 'Y': 0.3934575021266937, 'Z': -0.03452203795313835}, {'X': 0.5095933675765991, 'Y': 0.3395424485206604, 'Z': -0.04833744093775749}, {'X': 0.6365333199501038, 'Y': 0.5203261375427246, 'Z': 0.0006293139886111021}, {'X': 0.6336702108383179, 'Y': 0.4077940583229065, 'Z': -0.014794645830988884}, {'X': 0.6262718439102173, 'Y': 0.3289218246936798, 'Z': -0.032437827438116074}, {'X': 0.6189939975738525, 'Y': 0.26438790559768677, 'Z': -0.04603223875164986}, {'X': 0.6853541135787964, 'Y': 0.5277565717697144, 'Z': -0.008370011113584042}, {'X': 0.7068531513214111, 'Y': 0.4338441491127014, 'Z': -0.03265441581606865}, {'X': 0.7043408155441284, 'Y': 0.36664310097694397, 'Z': -0.052017297595739365}, {'X': 0.6944441795349121, 'Y': 0.3092075288295746, 'Z': -0.06365742534399033}, {'X': 0.7303321957588196, 'Y': 0.555155873298645, 'Z': -0.0207616426050663}, {'X': 0.7692804932594299, 'Y': 0.49295616149902344, 'Z': -0.04221952706575394}, {'X': 0.7803599834442139, 'Y': 0.43787091970443726, 'Z': -0.05455582216382027}, {'X': 0.7765957117080688, 'Y': 0.3872927129268646, 'Z': -0.06282036751508713}]
[{'X': 0.6352534890174866, 'Y': 0.746364176273346, 'Z': -1.768755275577405e-08}, {'X': 0.5660561323165894, 'Y': 0.691072940826416, 'Z': -0.021901486441493034}, {'X': 0.5243324637413025, 'Y': 0.6030402183532715, 'Z': -0.02501007914543152}, {'X': 0.5102615356445312, 'Y': 0.5072356462478638, 'Z': -0.031346917152404785}, {'X': 0.500770092010498, 'Y': 0.42706236243247986, 'Z': -0.03672497346997261}, {'X': 0.5891768932342529, 'Y': 0.5451388359069824, 'Z': 0.024454819038510323}, {'X': 0.5543708801269531, 'Y': 0.47568026185035706, 'Z': 0.00832083635032177}, {'X': 0.5259290933609009, 'Y': 0.42550766468048096, 'Z': -0.00890367105603218}, {'X': 0.5032238960266113, 'Y': 0.3875633478164673, 'Z': -0.02120858244597912}, {'X': 0.6365761756896973, 'Y': 0.5244926810264587, 'Z': 0.020432382822036743}, {'X': 0.6229028701782227, 'Y': 0.41739562153816223, 'Z': 0.008642029948532581}, {'X': 0.6043881773948669, 'Y': 0.3446914255619049, 'Z': -0.007274396251887083}, {'X': 0.5867629647254944, 'Y': 0.2816908359527588, 'Z': -0.019421128556132317}, {'X': 0.6842039823532104, 'Y': 0.5272319316864014, 'Z': 0.008356749080121517}, {'X': 0.7015211582183838, 'Y': 0.43176862597465515, 'Z': -0.01364813931286335}, {'X': 0.6948198676109314, 'Y': 0.36763983964920044, 'Z': -0.030817221850156784}, {'X': 0.6784067153930664, 'Y': 0.31311899423599243, 'Z': -0.04047880694270134}, {'X': 0.7309360504150391, 'Y': 0.5509178042411804, 'Z': -0.006443795282393694}, {'X': 0.7682665586471558, 'Y': 0.4891635477542877, 'Z': -0.02481524646282196}, {'X': 0.7746075987815857, 'Y': 0.4350857734680176, 'Z': -0.03499344736337662}, {'X': 0.762956440448761, 'Y': 0.3841380774974823, 'Z': -0.04156919941306114}]
