[{'X': 0.7024691104888916, 'Y': 0.7486869096755981, 'Z': -6.168079562485218e-05}, {'X': 0.6397192478179932, 'Y': 0.7204780578613281, 'Z': -0.00556140998378396}, {'X': 0.5975691080093384, 'Y': 0.6395006775856018, 'Z': -0.009571286849677563}, {'X': 0.5717262029647827, 'Y': 0.5622690916061401, 'Z': -0.01893717236816883}, {'X': 0.5458781719207764, 'Y': 0.5170636177062988, 'Z': -0.0314309224486351}, {'X': 0.6448415517807007, 'Y': 0.5145241618156433, 'Z': 0.008802352473139763}, {'X': 0.6352783441543579, 'Y': 0.40651336312294006, 'Z': 0.009009444154798985}, {'X': 0.6323307752609253, 'Y': 0.34315359592437744, 'Z': 0.005438955966383219}, {'X': 0.6318924427032471, 'Y': 0.29061150550842285, 'Z': 0.001182269654236734}, {'X': 0.6824478507041931, 'Y': 0.5034844279289246, 'Z': 0.004322774708271027}, {'X': 0.6776849031448364, 'Y': 0.3848579525947571, 'Z': 0.004289109725505114}, {'X': 0.6775732040405273, 'Y': 0.31178057193756104, 'Z': -0.008044839836657047}, {'X': 0.6811230182647705, 'Y': 0.25513872504234314, 'Z': -0.01773141510784626}, {'X': 0.7181824445724487, 'Y': 0.515075147151947, 'Z': -0.0015346010914072394}, {'X': 0.7144113183021545, 'Y': 0.40001970529556274, 'Z': -0.0012375739170238376}, {'X': 0.7112876772880554, 'Y': 0.33157360553741455, 'Z': -0.01042974554002285}, {'X': 0.7106001973152161, 'Y': 0.27686408162117004, 'Z': -0.018117113038897514}, {'X': 0.7532422542572021, 'Y': 0.5446867346763611, 'Z': -0.008079510182142258}, {'X': 0.7535000443458557, 'Y': 0.4525843560695648, 'Z': -0.012859388254582882}, {'X': 0.7517280578613281, 'Y': 0.3991655707359314, 'Z': -0.021974647417664528}, {'X': 0.7491057515144348, 'Y': 0.3533376455307007, 'Z': -0.029429761692881584}]
[{'X': 0.7012211084365845, 'Y': 0.7514569163322449, 'Z': -6.76695053698495e-05}, {'X': 0.6378952264785767, 'Y': 0.7195720672607422, 'Z': -0.004785975906997919}, {'X': 0.5962057709693909, 'Y': 0.6384138464927673, 'Z': -0.0071820421144366264}, {'X': 0.5708935856819153, 'Y': 0.5615664124488831, 'Z': -0.015199677087366581}, {'X': 0.5462399125099182, 'Y': 0.5173435807228088, 'Z': -0.02680746652185917}, {'X': 0.6439600586891174, 'Y': 0.5115810632705688, 'Z': 0.019208718091249466}, {'X': 0.6348240375518799, 'Y': 0.40649861097335815, 'Z': 0.022405527532100677}, {'X': 0.6315804719924927, 'Y': 0.34380754828453064, 'Z': 0.018502866849303246}, {'X': 0.6307452917098999, 'Y': 0.2910958528518677, 'Z': 0.012911408208310604}, {'X': 0.6815760731697083, 'Y': 0.5012823343276978, 'Z': 0.014076858758926392}, {'X': 0.6764445304870605, 'Y': 0.3844883143901825, 'Z': 0.018025504425168037}, {'X': 0.6752336025238037, 'Y': 0.3113257884979248, 'Z': 0.005104723386466503}, {'X': 0.6775748133659363, 'Y': 0.2535121738910675, 'Z': -0.005394305102527142}, {'X': 0.7171372175216675, 'Y': 0.5136709213256836, 'Z': 0.007141538895666599}, {'X': 0.713405191898346, 'Y': 0.4006701111793518, 'Z': 0.010046944953501225}, {'X': 0.7097492814064026, 'Y': 0.33279967308044434, 'Z': 0.0006941381725482643}, {'X': 0.7084805965423584, 'Y': 0.2786220908164978, 'Z': -0.007525318302214146}, {'X': 0.7521344423294067, 'Y': 0.5431049466133118, 'Z': -0.0009106351062655449}, {'X': 0.7517971396446228, 'Y': 0.45320436358451843, 'Z': -0.0049957046285271645}, {'X': 0.7493085861206055, 'Y': 0.4000113308429718, 'Z': -0.014262371696531773}, {'X': 0.745968222618103, 'Y': 0.3546184301376343, 'Z': -0.02135620079934597}]
[{'X': 0.70359867811203, 'Y': 0.7562413215637207, 'Z': -6.725951243424788e-05}, {'X': 0.6398208141326904, 'Y': 0.7226208448410034, 'Z': -0.0020414278842508793}, {'X': 0.5963028073310852, 'Y': 0.6381030082702637, 'Z': -0.0018821064149960876}, {'X': 0.5709388256072998, 'Y': 0.5591356158256531, 'Z': -0.007702600210905075}, {'X': 0.5458859801292419, 'Y': 0.5159965753555298, 'Z': -0.015542862005531788}, {'X': 0.6430293917655945, 'Y': 0.5151837468147278, 'Z': 0.018463026732206345}, {'X': 0.6336967349052429, 'Y': 0.40679383277893066, 'Z': 0.021222423762083054}, {'X': 0.6312102675437927, 'Y': 0.34482401609420776, 'Z': 0.01765434816479683}, {'X': 0.6305833458900452, 'Y': 0.2926025390625, 'Z': 0.011397285386919975}, {'X': 0.6814216375350952, 'Y': 0.5044353604316711, 'Z': 0.011893431656062603}, {'X': 0.6754722595214844, 'Y': 0.38268280029296875, 'Z': 0.013974755071103573}, {'X': 0.6757234334945679, 'Y': 0.31100577116012573, 'Z': 0.0016971201403066516}, {'X': 0.6793791055679321, 'Y': 0.25360673666000366, 'Z': -0.007586115039885044}, {'X': 0.717134952545166, 'Y': 0.5148802399635315, 'Z': 0.0033791966270655394}, {'X': 0.712931752204895, 'Y': 0.3985905647277832, 'Z': 0.005182398948818445}, {'X': 0.7098172307014465, 'Y': 0.33199581503868103, 'Z': -0.003089173696935177}, {'X': 0.709180474281311, 'Y': 0.2786213457584381, 'Z': -0.010750455781817436}, {'X': 0.7520421147346497, 'Y': 0.54252690076828, 'Z': -0.005687300581485033}, {'X': 0.7522802352905273, 'Y': 0.44927293062210083, 'Z': -0.008728958666324615}, {'X': 0.7508673667907715, 'Y': 0.39654940366744995, 'Z': -0.017498070374131203}, {'X': 0.7479739189147949, 'Y': 0.35170114040374756, 'Z': -0.024177804589271545}]
[{'X': 0.7053261995315552, 'Y': 0.7498115301132202, 'Z': -7.29443272575736e-05}, {'X': 0.6411994695663452, 'Y': 0.7220412492752075, 'Z': -0.0013175362255424261}, {'X': 0.5963774919509888, 'Y': 0.6375195980072021, 'Z': -0.00041096677887253463}, {'X': 0.5705111026763916, 'Y': 0.5580939650535583, 'Z': -0.005796847864985466}, {'X': 0.5452184081077576, 'Y': 0.5157620906829834, 'Z': -0.012165000662207603}, {'X': 0.6431735157966614, 'Y': 0.5141520500183105, 'Z': 0.016530850902199745}, {'X': 0.6332134008407593, 'Y': 0.4048006534576416, 'Z': 0.018108883872628212}, {'X': 0.6308155059814453, 'Y': 0.3425446152687073, 'Z': 0.01550502609461546}, {'X': 0.6303423643112183, 'Y': 0.29057544469833374, 'Z': 0.010133332572877407}, {'X': 0.6815586090087891, 'Y': 0.502400279045105, 'Z': 0.00949729885905981}, {'X': 0.6754738688468933, 'Y': 0.378645122051239, 'Z': 0.010322298854589462}, {'X': 0.6758114099502563, 'Y': 0.306621253490448, 'Z': -0.0010981460800394416}, {'X': 0.6796180605888367, 'Y': 0.2487773597240448, 'Z': -0.009531251154839993}, {'X': 0.7173534035682678, 'Y': 0.5120645761489868, 'Z': 0.0008791962172836065}, {'X': 0.7130955457687378, 'Y': 0.3946610689163208, 'Z': 0.002593735232949257}, {'X': 0.7097225189208984, 'Y': 0.3286970257759094, 'Z': -0.004247975070029497}, {'X': 0.7089267373085022, 'Y': 0.2754259705543518, 'Z': -0.010960347019135952}, {'X': 0.7522202730178833, 'Y': 0.5394899845123291, 'Z': -0.008352639153599739}, {'X': 0.751459002494812, 'Y': 0.44548434019088745, 'Z': -0.011578795500099659}, {'X': 0.7499322295188904, 'Y': 0.3927450478076935, 'Z': -0.019697412848472595}, {'X': 0.7469320297241211, 'Y': 0.3475058078765869, 'Z': -0.02483276091516018}]
[{'X': 0.7048032879829407, 'Y': 0.7490962743759155, 'Z': -6.542744813486934e-05}, {'X': 0.6409700512886047, 'Y': 0.7216322422027588, 'Z': -0.005192373879253864}, {'X': 0.5964627265930176, 'Y': 0.6368164420127869, 'Z': -0.0065877619199454784}, {'X': 0.5709248185157776, 'Y': 0.5575807094573975, 'Z': -0.013478467240929604}, {'X': 0.5457335710525513, 'Y': 0.515224277973175, 'Z': -0.022173894569277763}, {'X': 0.6437917947769165, 'Y': 0.5134809017181396, 'Z': 0.012841281481087208}, {'X': 0.6338191032409668, 'Y': 0.40499842166900635, 'Z': 0.012834614142775536}, {'X': 0.6309584975242615, 'Y': 0.3429355025291443, 'Z': 0.008556745015084743}, {'X': 0.630634605884552, 'Y': 0.29058751463890076, 'Z': 0.002034154487773776}, {'X': 0.6820806264877319, 'Y': 0.5022348165512085, 'Z': 0.0068632313050329685}, {'X': 0.6761043071746826, 'Y': 0.3801007568836212, 'Z': 0.006594616454094648}, {'X': 0.6764665842056274, 'Y': 0.3087770342826843, 'Z': -0.00528682628646493}, {'X': 0.6810125112533569, 'Y': 0.25173693895339966, 'Z': -0.014181997627019882}, {'X': 0.7180492281913757, 'Y': 0.5127226710319519, 'Z': -0.0009730164892971516}, {'X': 0.7140607237815857, 'Y': 0.3954397141933441, 'Z': -0.00027947028866037726}, {'X': 0.7108471989631653, 'Y': 0.32947999238967896, 'Z': -0.008418104611337185}, {'X': 0.7108258008956909, 'Y': 0.2761143147945404, 'Z': -0.016189265996217728}, {'X': 0.7535331845283508, 'Y': 0.5406344532966614, 'Z': -0.009829163551330566}, {'X': 0.7528833150863647, 'Y': 0.44717854261398315, 'Z': -0.013608435168862343}, {'X': 0.7513403296470642, 'Y': 0.3947475850582123, 'Z': -0.022458486258983612}, {'X': 0.7489187121391296, 'Y': 0.3497670292854309, 'Z': -0.02909153886139393}]
[{'X': 0.7039145827293396, 'Y': 0.7353750467300415, 'Z': -7.807598012732342e-05}, {'X': 0.6382512450218201, 'Y': 0.7145700454711914, 'Z': -0.005549278575927019}, {'X': 0.5975247621536255, 'Y': 0.6413235068321228, 'Z': -0.008045834489166737}, {'X': 0.5722156167030334, 'Y': 0.5657867789268494, 'Z': -0.01453076396137476}, {'X': 0.5473423004150391, 'Y': 0.518114447593689, 'Z': -0.024978600442409515}, {'X': 0.6450054049491882, 'Y': 0.5138211846351624, 'Z': 0.011138983070850372}, {'X': 0.6333090662956238, 'Y': 0.40946346521377563, 'Z': 0.010047865100204945}, {'X': 0.6292582154273987, 'Y': 0.34538140892982483, 'Z': 0.0037522471975535154}, {'X': 0.6276342868804932, 'Y': 0.290399968624115, 'Z': -0.001109400182031095}, {'X': 0.6833044290542603, 'Y': 0.5011265277862549, 'Z': 0.009425967931747437}, {'X': 0.6788828372955322, 'Y': 0.38742467761039734, 'Z': 0.010510388761758804}, {'X': 0.677905797958374, 'Y': 0.3124775290489197, 'Z': -0.003646143479272723}, {'X': 0.680599570274353, 'Y': 0.2536962628364563, 'Z': -0.015605750493705273}, {'X': 0.7194709181785583, 'Y': 0.5100069642066956, 'Z': 0.00637311115860939}, {'X': 0.7168264389038086, 'Y': 0.39923322200775146, 'Z': 0.006727580446749926}, {'X': 0.7141364812850952, 'Y': 0.330217182636261, 'Z': -0.0033887545578181744}, {'X': 0.7135056257247925, 'Y': 0.2751428782939911, 'Z': -0.01192503236234188}, {'X': 0.7549037933349609, 'Y': 0.5369824767112732, 'Z': 0.0025908970274031162}, {'X': 0.756441056728363, 'Y': 0.44759294390678406, 'Z': -0.0011381846852600574}, {'X': 0.7544987797737122, 'Y': 0.39341646432876587, 'Z': -0.009202818386256695}, {'X': 0.7510278224945068, 'Y': 0.3463436961174011, 'Z': -0.016372479498386383}]
[{'X': 0.7041363716125488, 'Y': 0.7434039115905762, 'Z': -7.241709681693465e-05}, {'X': 0.6420095562934875, 'Y': 0.716118335723877, 'Z': -0.0068899658508598804}, {'X': 0.5998896360397339, 'Y': 0.6380897164344788, 'Z': -0.01144140399992466}, {'X': 0.5734391212463379, 'Y': 0.5632182359695435, 'Z': -0.021655457094311714}, {'X': 0.5474110841751099, 'Y': 0.5159960389137268, 'Z': -0.03527933359146118}, {'X': 0.6458171010017395, 'Y': 0.5101639628410339, 'Z': 0.01703444868326187}, {'X': 0.6331086158752441, 'Y': 0.40902918577194214, 'Z': 0.015421727672219276}, {'X': 0.6272628307342529, 'Y': 0.346848726272583, 'Z': 0.006610398180782795}, {'X': 0.6247127652168274, 'Y': 0.2933782935142517, 'Z': -0.0017988401232287288}, {'X': 0.6839236617088318, 'Y': 0.49714553356170654, 'Z': 0.011515476740896702}, {'X': 0.6789749264717102, 'Y': 0.3844638466835022, 'Z': 0.013164951466023922}, {'X': 0.6770944595336914, 'Y': 0.3111885190010071, 'Z': -0.0034358403645455837}, {'X': 0.6790304780006409, 'Y': 0.2525900602340698, 'Z': -0.017272979021072388}, {'X': 0.7203545570373535, 'Y': 0.5071578025817871, 'Z': 0.0034324834123253822}, {'X': 0.7176229357719421, 'Y': 0.3964153528213501, 'Z': 0.0032772505655884743}, {'X': 0.7142801880836487, 'Y': 0.32820019125938416, 'Z': -0.00851092766970396}, {'X': 0.7130097150802612, 'Y': 0.2722133696079254, 'Z': -0.01828083023428917}, {'X': 0.7561055421829224, 'Y': 0.5346236824989319, 'Z': -0.005707715637981892}, {'X': 0.7577257752418518, 'Y': 0.4468655288219452, 'Z': -0.010477358475327492}, {'X': 0.7554922699928284, 'Y': 0.392463743686676, 'Z': -0.019760914146900177}, {'X': 0.7518200874328613, 'Y': 0.34389662742614746, 'Z': -0.027714859694242477}]
[{'X': 0.709367036819458, 'Y': 0.7421538829803467, 'Z': -9.482057794230059e-05}, {'X': 0.6499736905097961, 'Y': 0.7110158801078796, 'Z': 0.001457161270081997}, {'X': 0.6065369248390198, 'Y': 0.627862811088562, 'Z': 0.0028216547798365355}, {'X': 0.5794163346290588, 'Y': 0.5548192262649536, 'Z': -0.001792936585843563}, {'X': 0.5523889064788818, 'Y': 0.5177924036979675, 'Z': -0.006640836596488953}, {'X': 0.6492056250572205, 'Y': 0.5247742533683777, 'Z': 0.026194164529442787}, {'X': 0.6348989605903625, 'Y': 0.44961920380592346, 'Z': 0.024835001677274704}, {'X': 0.6307885646820068, 'Y': 0.4146709442138672, 'Z': 0.01187105756253004}, {'X': 0.6292355060577393, 'Y': 0.3885481357574463, 'Z': -0.0032634285744279623}, {'X': 0.6838367581367493, 'Y': 0.5065996050834656, 'Z': 0.01632615737617016}, {'X': 0.6747252345085144, 'Y': 0.4012382924556732, 'Z': 0.020816568285226822}, {'X': 0.6711241602897644, 'Y': 0.3390563428401947, 'Z': 0.007159558590501547}, {'X': 0.6700872778892517, 'Y': 0.28661954402923584, 'Z': -0.008435622788965702}, {'X': 0.717141330242157, 'Y': 0.5078022480010986, 'Z': 0.00249802740290761}, {'X': 0.7120025157928467, 'Y': 0.3998591899871826, 'Z': 0.0077234297059476376}, {'X': 0.7052628993988037, 'Y': 0.3394361734390259, 'Z': 0.004466488026082516}, {'X': 0.699866771697998, 'Y': 0.2868838906288147, 'Z': -0.003494944190606475}, {'X': 0.7502285838127136, 'Y': 0.5262344479560852, 'Z': -0.010902727954089642}, {'X': 0.7523571252822876, 'Y': 0.4378873109817505, 'Z': -0.008707091212272644}, {'X': 0.7500138282775879, 'Y': 0.38774120807647705, 'Z': -0.010529286228120327}, {'X': 0.7465401887893677, 'Y': 0.3394867479801178, 'Z': -0.013094187714159489}]
[{'X': 0.7019988298416138, 'Y': 0.7124103903770447, 'Z': -5.8466175687499344e-05}, {'X': 0.6480249166488647, 'Y': 0.691700279712677, 'Z': -0.011705407872796059}, {'X': 0.609281063079834, 'Y': 0.6145715713500977, 'Z': -0.018316620960831642}, {'X': 0.5844716429710388, 'Y': 0.552848219871521, 'Z': -0.029481539502739906}, {'X': 0.5591140985488892, 'Y': 0.5130888819694519, 'Z': -0.04188211262226105}, {'X': 0.6495605707168579, 'Y': 0.5199452042579651, 'Z': 0.003309656400233507}, {'X': 0.6357441544532776, 'Y': 0.4559820592403412, 'Z': -0.031457141041755676}, {'X': 0.630588173866272, 'Y': 0.4765079915523529, 'Z': -0.06156942620873451}, {'X': 0.6329271793365479, 'Y': 0.5055581331253052, 'Z': -0.07649172842502594}, {'X': 0.6805301308631897, 'Y': 0.49987828731536865, 'Z': -0.005461912602186203}, {'X': 0.6716040968894958, 'Y': 0.4120352268218994, 'Z': -0.016529731452465057}, {'X': 0.663399875164032, 'Y': 0.37118545174598694, 'Z': -0.029452307149767876}, {'X': 0.6585043668746948, 'Y': 0.3380262851715088, 'Z': -0.03785266727209091}, {'X': 0.7134329676628113, 'Y': 0.5022884011268616, 'Z': -0.020669979974627495}, {'X': 0.7111106514930725, 'Y': 0.4046626091003418, 'Z': -0.028234953060746193}, {'X': 0.7042528390884399, 'Y': 0.3546031415462494, 'Z': -0.03657480701804161}, {'X': 0.6987562775611877, 'Y': 0.308929979801178, 'Z': -0.04320642724633217}, {'X': 0.7482670545578003, 'Y': 0.5222126841545105, 'Z': -0.03780975565314293}, {'X': 0.7527468800544739, 'Y': 0.4428142309188843, 'Z': -0.04306767135858536}, {'X': 0.7493831515312195, 'Y': 0.3967909812927246, 'Z': -0.04527634382247925}, {'X': 0.7436249256134033, 'Y': 0.3491383492946625, 'Z': -0.04621657356619835}]
[{'X': 0.7042794823646545, 'Y': 0.7331993579864502, 'Z': -8.127642649924383e-05}, {'X': 0.6501993536949158, 'Y': 0.7011419534683228, 'Z': -0.002799912355840206}, {'X': 0.6115708351135254, 'Y': 0.6189656257629395, 'Z': -0.0019181203097105026}, {'X': 0.5843443870544434, 'Y': 0.560539186000824, 'Z': -0.01023656502366066}, {'X': 0.560512363910675, 'Y': 0.5137945413589478, 'Z': -0.021519023925065994}, {'X': 0.6516590118408203, 'Y': 0.5270162224769592, 'Z': 0.034857604652643204}, {'X': 0.6349654197692871, 'Y': 0.46506714820861816, 'Z': 0.0035443089436739683}, {'X': 0.6269928216934204, 'Y': 0.5002552270889282, 'Z': -0.031214280053973198}, {'X': 0.6276119947433472, 'Y': 0.5405322313308716, 'Z': -0.047658730298280716}, {'X': 0.6803275942802429, 'Y': 0.507188618183136, 'Z': 0.020085668191313744}, {'X': 0.6728777885437012, 'Y': 0.4139813780784607, 'Z': 0.007251189090311527}, {'X': 0.6606613993644714, 'Y': 0.3893603980541229, 'Z': -0.012620048597455025}, {'X': 0.6515979766845703, 'Y': 0.380663126707077, 'Z': -0.023512307554483414}, {'X': 0.7109635472297668, 'Y': 0.5085079669952393, 'Z': -0.0014752896968275309}, {'X': 0.7118648886680603, 'Y': 0.40885353088378906, 'Z': -0.008808569982647896}, {'X': 0.7003230452537537, 'Y': 0.3649864196777344, 'Z': -0.021219488233327866}, {'X': 0.6896634101867676, 'Y': 0.3286204934120178, 'Z': -0.028323763981461525}, {'X': 0.742644190788269, 'Y': 0.5267465114593506, 'Z': -0.024917811155319214}, {'X': 0.7474088668823242, 'Y': 0.44902345538139343, 'Z': -0.028669873252511024}, {'X': 0.741274893283844, 'Y': 0.40237098932266235, 'Z': -0.029728302732110023}, {'X': 0.7318170070648193, 'Y': 0.35398584604263306, 'Z': -0.030679576098918915}]
[{'X': 0.7060761451721191, 'Y': 0.7298388481140137, 'Z': -8.833954780129716e-05}, {'X': 0.6543912887573242, 'Y': 0.7014771699905396, 'Z': -0.009612802416086197}, {'X': 0.6154441833496094, 'Y': 0.619820773601532, 'Z': -0.011947400867938995}, {'X': 0.5878683924674988, 'Y': 0.5589374899864197, 'Z': -0.02274174802005291}, {'X': 0.5599971413612366, 'Y': 0.512613832950592, 'Z': -0.03546246141195297}, {'X': 0.6487680673599243, 'Y': 0.5252843499183655, 'Z': 0.025577310472726822}, {'X': 0.631898045539856, 'Y': 0.4663205146789551, 'Z': -0.007654205430299044}, {'X': 0.6280494928359985, 'Y': 0.5048630833625793, 'Z': -0.04466113820672035}, {'X': 0.6313702464103699, 'Y': 0.5451706051826477, 'Z': -0.06434150785207748}, {'X': 0.677612841129303, 'Y': 0.5041905641555786, 'Z': 0.013799745589494705}, {'X': 0.6681274771690369, 'Y': 0.41239482164382935, 'Z': -0.00709940679371357}, {'X': 0.6592747569084167, 'Y': 0.3975125253200531, 'Z': -0.03475751355290413}, {'X': 0.6540992856025696, 'Y': 0.40280961990356445, 'Z': -0.05228719860315323}, {'X': 0.7085734009742737, 'Y': 0.5036744475364685, 'Z': -0.005415201652795076}, {'X': 0.7066027522087097, 'Y': 0.40756332874298096, 'Z': -0.018190518021583557}, {'X': 0.6955744624137878, 'Y': 0.37231385707855225, 'Z': -0.03444869443774223}, {'X': 0.6851673722267151, 'Y': 0.34933459758758545, 'Z': -0.04469369724392891}, {'X': 0.7412463426589966, 'Y': 0.5195870399475098, 'Z': -0.026914672926068306}, {'X': 0.7429637312889099, 'Y': 0.44553273916244507, 'Z': -0.03396274521946907}, {'X': 0.7362266182899475, 'Y': 0.4033852219581604, 'Z': -0.03857402130961418}, {'X': 0.7255017161369324, 'Y': 0.36115264892578125, 'Z': -0.043619051575660706}]
