[{'X': 0.599210262298584, 'Y': 0.6957559585571289, 'Z': -9.658376075094566e-05}, {'X': 0.521561861038208, 'Y': 0.6537299156188965, 'Z': -0.007548843044787645}, {'X': 0.4730415344238281, 'Y': 0.5710077285766602, 'Z': 0.004988679196685553}, {'X': 0.4500785768032074, 'Y': 0.48784852027893066, 'Z': 0.011060640215873718}, {'X': 0.4367509186267853, 'Y': 0.4348699152469635, 'Z': 0.02539994940161705}, {'X': 0.5304006934165955, 'Y': 0.46934300661087036, 'Z': 0.06011185795068741}, {'X': 0.5078451037406921, 'Y': 0.37473660707473755, 'Z': 0.07437597215175629}, {'X': 0.49761971831321716, 'Y': 0.32001835107803345, 'Z': 0.07243487238883972}, {'X': 0.4911348223686218, 'Y': 0.2761343717575073, 'Z': 0.06468664109706879}, {'X': 0.5776797533035278, 'Y': 0.4553174078464508, 'Z': 0.054745059460401535}, {'X': 0.5635042786598206, 'Y': 0.34313690662384033, 'Z': 0.08085988461971283}, {'X': 0.5532768368721008, 'Y': 0.28232449293136597, 'Z': 0.07169808447360992}, {'X': 0.547063410282135, 'Y': 0.2358843982219696, 'Z': 0.06008049100637436}, {'X': 0.6230329871177673, 'Y': 0.46053168177604675, 'Z': 0.04382024332880974}, {'X': 0.6189420223236084, 'Y': 0.35454052686691284, 'Z': 0.06409486383199692}, {'X': 0.6138395071029663, 'Y': 0.2957998514175415, 'Z': 0.06454005092382431}, {'X': 0.6079122424125671, 'Y': 0.24774427711963654, 'Z': 0.05922394245862961}, {'X': 0.6676928997039795, 'Y': 0.48370271921157837, 'Z': 0.03077685832977295}, {'X': 0.6774512529373169, 'Y': 0.40009087324142456, 'Z': 0.03830045834183693}, {'X': 0.6815551519393921, 'Y': 0.3504756689071655, 'Z': 0.040332160890102386}, {'X': 0.6811561584472656, 'Y': 0.3025035858154297, 'Z': 0.043657075613737106}]
[{'X': 0.5987423658370972, 'Y': 0.6964800357818604, 'Z': -9.455745748709887e-05}, {'X': 0.5219148993492126, 'Y': 0.655105471611023, 'Z': -0.010954633355140686}, {'X': 0.47320184111595154, 'Y': 0.5716133713722229, 'Z': -0.0020222763996571302}, {'X': 0.45061931014060974, 'Y': 0.48876532912254333, 'Z': 0.0010045404778793454}, {'X': 0.4368056058883667, 'Y': 0.4349510073661804, 'Z': 0.011690735816955566}, {'X': 0.5296553373336792, 'Y': 0.4686902165412903, 'Z': 0.050874870270490646}, {'X': 0.5071679949760437, 'Y': 0.375431627035141, 'Z': 0.06181182712316513}, {'X': 0.4967195689678192, 'Y': 0.32110610604286194, 'Z': 0.05710344389081001}, {'X': 0.4897189736366272, 'Y': 0.2777203917503357, 'Z': 0.04678455367684364}, {'X': 0.5772339701652527, 'Y': 0.4539446234703064, 'Z': 0.045530837029218674}, {'X': 0.5630340576171875, 'Y': 0.34270280599594116, 'Z': 0.06892545521259308}, {'X': 0.5525840520858765, 'Y': 0.2807510197162628, 'Z': 0.05729402229189873}, {'X': 0.5456407070159912, 'Y': 0.2338360995054245, 'Z': 0.04293146729469299}, {'X': 0.6227266788482666, 'Y': 0.4590052664279938, 'Z': 0.03454893082380295}, {'X': 0.6189634799957275, 'Y': 0.3537309765815735, 'Z': 0.05230170488357544}, {'X': 0.6132209897041321, 'Y': 0.29458391666412354, 'Z': 0.04933735728263855}, {'X': 0.6065334677696228, 'Y': 0.24654243886470795, 'Z': 0.04107822850346565}, {'X': 0.6677812933921814, 'Y': 0.48231297731399536, 'Z': 0.021277491003274918}, {'X': 0.6777827739715576, 'Y': 0.39947330951690674, 'Z': 0.02680264413356781}, {'X': 0.6813907027244568, 'Y': 0.35005950927734375, 'Z': 0.02679828740656376}, {'X': 0.6802817583084106, 'Y': 0.3023397922515869, 'Z': 0.027979692444205284}]
[{'X': 0.5992634892463684, 'Y': 0.6983217000961304, 'Z': -7.170236494857818e-05}, {'X': 0.5212483406066895, 'Y': 0.6571750640869141, 'Z': -0.011788726784288883}, {'X': 0.4720991253852844, 'Y': 0.5732148885726929, 'Z': -0.0033545074984431267}, {'X': 0.45039206743240356, 'Y': 0.4889456331729889, 'Z': -0.0005902266129851341}, {'X': 0.43510690331459045, 'Y': 0.4352264106273651, 'Z': 0.010262234136462212}, {'X': 0.5270714163780212, 'Y': 0.4695061147212982, 'Z': 0.048202089965343475}, {'X': 0.5043202638626099, 'Y': 0.3740684688091278, 'Z': 0.05982485041022301}, {'X': 0.49433213472366333, 'Y': 0.31949490308761597, 'Z': 0.0577818863093853}, {'X': 0.4878215789794922, 'Y': 0.2756512463092804, 'Z': 0.050267916172742844}, {'X': 0.5750794410705566, 'Y': 0.45452842116355896, 'Z': 0.04283412918448448}, {'X': 0.5604239106178284, 'Y': 0.34292545914649963, 'Z': 0.06572360545396805}, {'X': 0.5496460795402527, 'Y': 0.28186172246932983, 'Z': 0.05572348088026047}, {'X': 0.5428347587585449, 'Y': 0.23513935506343842, 'Z': 0.04302685707807541}, {'X': 0.6204062700271606, 'Y': 0.45930561423301697, 'Z': 0.03207971900701523}, {'X': 0.6171938180923462, 'Y': 0.353887677192688, 'Z': 0.0493042878806591}, {'X': 0.6117547750473022, 'Y': 0.2950364351272583, 'Z': 0.047150786966085434}, {'X': 0.6056195497512817, 'Y': 0.2472851574420929, 'Z': 0.039656493812799454}, {'X': 0.6651247143745422, 'Y': 0.4817467927932739, 'Z': 0.01890709437429905}, {'X': 0.6744232177734375, 'Y': 0.3972858190536499, 'Z': 0.02359534427523613}, {'X': 0.6777471303939819, 'Y': 0.347551167011261, 'Z': 0.022175267338752747}, {'X': 0.6764340400695801, 'Y': 0.29907292127609253, 'Z': 0.022743601351976395}]
[{'X': 0.5992634892463684, 'Y': 0.6983217000961304, 'Z': -7.170236494857818e-05}, {'X': 0.5212483406066895, 'Y': 0.6571750640869141, 'Z': -0.011788726784288883}, {'X': 0.4720991253852844, 'Y': 0.5732148885726929, 'Z': -0.0033545074984431267}, {'X': 0.45039206743240356, 'Y': 0.4889456331729889, 'Z': -0.0005902266129851341}, {'X': 0.43510690331459045, 'Y': 0.4352264106273651, 'Z': 0.010262234136462212}, {'X': 0.5270714163780212, 'Y': 0.4695061147212982, 'Z': 0.048202089965343475}, {'X': 0.5043202638626099, 'Y': 0.3740684688091278, 'Z': 0.05982485041022301}, {'X': 0.49433213472366333, 'Y': 0.31949490308761597, 'Z': 0.0577818863093853}, {'X': 0.4878215789794922, 'Y': 0.2756512463092804, 'Z': 0.050267916172742844}, {'X': 0.5750794410705566, 'Y': 0.45452842116355896, 'Z': 0.04283412918448448}, {'X': 0.5604239106178284, 'Y': 0.34292545914649963, 'Z': 0.06572360545396805}, {'X': 0.5496460795402527, 'Y': 0.28186172246932983, 'Z': 0.05572348088026047}, {'X': 0.5428347587585449, 'Y': 0.23513935506343842, 'Z': 0.04302685707807541}, {'X': 0.6204062700271606, 'Y': 0.45930561423301697, 'Z': 0.03207971900701523}, {'X': 0.6171938180923462, 'Y': 0.353887677192688, 'Z': 0.0493042878806591}, {'X': 0.6117547750473022, 'Y': 0.2950364351272583, 'Z': 0.047150786966085434}, {'X': 0.6056195497512817, 'Y': 0.2472851574420929, 'Z': 0.039656493812799454}, {'X': 0.6651247143745422, 'Y': 0.4817467927932739, 'Z': 0.01890709437429905}, {'X': 0.6744232177734375, 'Y': 0.3972858190536499, 'Z': 0.02359534427523613}, {'X': 0.6777471303939819, 'Y': 0.347551167011261, 'Z': 0.022175267338752747}, {'X': 0.6764340400695801, 'Y': 0.29907292127609253, 'Z': 0.022743601351976395}]
[{'X': 0.5987775325775146, 'Y': 0.6954500675201416, 'Z': -0.0001027344333124347}, {'X': 0.5211971402168274, 'Y': 0.6557096242904663, 'Z': -0.012160471640527248}, {'X': 0.47111183404922485, 'Y': 0.5738269686698914, 'Z': -0.0048980447463691235}, {'X': 0.4505089521408081, 'Y': 0.48946699500083923, 'Z': -0.0012412384385243058}, {'X': 0.43816396594047546, 'Y': 0.4354862868785858, 'Z': 0.013593840412795544}, {'X': 0.5251654982566833, 'Y': 0.46667611598968506, 'Z': 0.03714800998568535}, {'X': 0.5029836893081665, 'Y': 0.371372789144516, 'Z': 0.044039856642484665}, {'X': 0.49320217967033386, 'Y': 0.31655412912368774, 'Z': 0.03831949830055237}, {'X': 0.48631057143211365, 'Y': 0.27334916591644287, 'Z': 0.029182258993387222}, {'X': 0.5742191672325134, 'Y': 0.4517644941806793, 'Z': 0.03354157134890556}, {'X': 0.5606379508972168, 'Y': 0.33934515714645386, 'Z': 0.05118978023529053}, {'X': 0.5515743494033813, 'Y': 0.28053349256515503, 'Z': 0.03876788541674614}, {'X': 0.545513391494751, 'Y': 0.2378404587507248, 'Z': 0.02415982075035572}, {'X': 0.6196068525314331, 'Y': 0.4570203423500061, 'Z': 0.026065992191433907}, {'X': 0.6155914664268494, 'Y': 0.35102444887161255, 'Z': 0.039099693298339844}, {'X': 0.6108176708221436, 'Y': 0.2939196228981018, 'Z': 0.035167593508958817}, {'X': 0.6047727465629578, 'Y': 0.24739129841327667, 'Z': 0.02603406272828579}, {'X': 0.6638752222061157, 'Y': 0.48091769218444824, 'Z': 0.017097683623433113}, {'X': 0.6724042892456055, 'Y': 0.39815765619277954, 'Z': 0.020674385130405426}, {'X': 0.6762760877609253, 'Y': 0.3501792550086975, 'Z': 0.01956133171916008}, {'X': 0.6761581897735596, 'Y': 0.30231016874313354, 'Z': 0.020103896036744118}]
[{'X': 0.5995565056800842, 'Y': 0.6969596743583679, 'Z': -0.00010518525232328102}, {'X': 0.5222595930099487, 'Y': 0.6550523042678833, 'Z': -0.01098856795579195}, {'X': 0.4733177721500397, 'Y': 0.5717191100120544, 'Z': -0.0027938333805650473}, {'X': 0.45253074169158936, 'Y': 0.4885099232196808, 'Z': -1.2109861700082547e-06}, {'X': 0.4378208816051483, 'Y': 0.43503743410110474, 'Z': 0.010943537577986717}, {'X': 0.5276732444763184, 'Y': 0.46871960163116455, 'Z': 0.044741544872522354}, {'X': 0.5045334100723267, 'Y': 0.37368592619895935, 'Z': 0.054801784455776215}, {'X': 0.4941765069961548, 'Y': 0.3191606402397156, 'Z': 0.05216611176729202}, {'X': 0.487107515335083, 'Y': 0.2747979760169983, 'Z': 0.04450659081339836}, {'X': 0.5750300288200378, 'Y': 0.453541100025177, 'Z': 0.039056144654750824}, {'X': 0.5601077675819397, 'Y': 0.34232258796691895, 'Z': 0.06100545823574066}, {'X': 0.5501483678817749, 'Y': 0.2816087603569031, 'Z': 0.0508231483399868}, {'X': 0.5435948371887207, 'Y': 0.23516041040420532, 'Z': 0.038318030536174774}, {'X': 0.6196948289871216, 'Y': 0.45825275778770447, 'Z': 0.02822730876505375}, {'X': 0.6152306199073792, 'Y': 0.35297998785972595, 'Z': 0.043028149753808975}, {'X': 0.6102402210235596, 'Y': 0.2938164472579956, 'Z': 0.03873036801815033}, {'X': 0.6039974689483643, 'Y': 0.24478530883789062, 'Z': 0.03039768524467945}, {'X': 0.6636494994163513, 'Y': 0.48109251260757446, 'Z': 0.01548303198069334}, {'X': 0.6742178797721863, 'Y': 0.3967522084712982, 'Z': 0.018563952296972275}, {'X': 0.6787238717079163, 'Y': 0.3474169373512268, 'Z': 0.015427365899085999}, {'X': 0.67844557762146, 'Y': 0.2989066243171692, 'Z': 0.014904973097145557}]
[{'X': 0.6006004810333252, 'Y': 0.6967237591743469, 'Z': -0.00010925326205324382}, {'X': 0.5226654410362244, 'Y': 0.6523654460906982, 'Z': -0.006238400936126709}, {'X': 0.4739747643470764, 'Y': 0.569800078868866, 'Z': 0.004620432388037443}, {'X': 0.45227915048599243, 'Y': 0.4878493547439575, 'Z': 0.009955965913832188}, {'X': 0.43714219331741333, 'Y': 0.435355544090271, 'Z': 0.023860152810811996}, {'X': 0.5280100107192993, 'Y': 0.46520960330963135, 'Z': 0.049568068236112595}, {'X': 0.5046144723892212, 'Y': 0.3715953826904297, 'Z': 0.06094728037714958}, {'X': 0.49441108107566833, 'Y': 0.3174022436141968, 'Z': 0.05810750275850296}, {'X': 0.486400842666626, 'Y': 0.2741231918334961, 'Z': 0.050487544387578964}, {'X': 0.5755037069320679, 'Y': 0.4509851634502411, 'Z': 0.0427519865334034}, {'X': 0.5617481470108032, 'Y': 0.3398270905017853, 'Z': 0.06627245247364044}, {'X': 0.5525193214416504, 'Y': 0.27989423274993896, 'Z': 0.05731075257062912}, {'X': 0.5452842712402344, 'Y': 0.23569101095199585, 'Z': 0.045526616275310516}, {'X': 0.6201292276382446, 'Y': 0.45615193247795105, 'Z': 0.03149959817528725}, {'X': 0.6157339811325073, 'Y': 0.35069048404693604, 'Z': 0.04745003581047058}, {'X': 0.6106252074241638, 'Y': 0.2913493514060974, 'Z': 0.04482029378414154}, {'X': 0.6034471392631531, 'Y': 0.24304555356502533, 'Z': 0.0378437265753746}, {'X': 0.6634057760238647, 'Y': 0.4790845215320587, 'Z': 0.01872464455664158}, {'X': 0.6737502217292786, 'Y': 0.3940763473510742, 'Z': 0.023266667500138283}, {'X': 0.6777607798576355, 'Y': 0.3442828059196472, 'Z': 0.022144272923469543}, {'X': 0.6762158274650574, 'Y': 0.2954556345939636, 'Z': 0.02367064543068409}]
[{'X': 0.6043122410774231, 'Y': 0.6912319660186768, 'Z': -0.0001132201578002423}, {'X': 0.5241445302963257, 'Y': 0.648228108882904, 'Z': -0.006855652667582035}, {'X': 0.47346097230911255, 'Y': 0.5688874125480652, 'Z': 0.005578776355832815}, {'X': 0.45117735862731934, 'Y': 0.488180935382843, 'Z': 0.0123880784958601}, {'X': 0.4369381368160248, 'Y': 0.4337415397167206, 'Z': 0.027415141463279724}, {'X': 0.5272543430328369, 'Y': 0.4636528193950653, 'Z': 0.057211074978113174}, {'X': 0.5051640272140503, 'Y': 0.370708703994751, 'Z': 0.06793873012065887}, {'X': 0.49534323811531067, 'Y': 0.3163647949695587, 'Z': 0.06390340626239777}, {'X': 0.4877163767814636, 'Y': 0.272549569606781, 'Z': 0.056472111493349075}, {'X': 0.5741477608680725, 'Y': 0.44852977991104126, 'Z': 0.05114400014281273}, {'X': 0.5601540803909302, 'Y': 0.3384383022785187, 'Z': 0.07380011677742004}, {'X': 0.5504012703895569, 'Y': 0.2784046530723572, 'Z': 0.062166500836610794}, {'X': 0.5429421067237854, 'Y': 0.23365063965320587, 'Z': 0.049037277698516846}, {'X': 0.6191226840019226, 'Y': 0.4535010755062103, 'Z': 0.03950493410229683}, {'X': 0.614032506942749, 'Y': 0.34901419281959534, 'Z': 0.05377978831529617}, {'X': 0.6088824272155762, 'Y': 0.2891768217086792, 'Z': 0.047838710248470306}, {'X': 0.6020976305007935, 'Y': 0.24035286903381348, 'Z': 0.03886345028877258}, {'X': 0.6633692383766174, 'Y': 0.4768444895744324, 'Z': 0.02641015127301216}, {'X': 0.6729543209075928, 'Y': 0.3937499523162842, 'Z': 0.02884799987077713}, {'X': 0.6773263216018677, 'Y': 0.3436412215232849, 'Z': 0.024996740743517876}, {'X': 0.6768134236335754, 'Y': 0.2950390577316284, 'Z': 0.02434398978948593}]
[{'X': 0.6078319549560547, 'Y': 0.6870509386062622, 'Z': -0.00010982575622620061}, {'X': 0.5251920223236084, 'Y': 0.6485950350761414, 'Z': 0.008108307607471943}, {'X': 0.47315946221351624, 'Y': 0.5686439871788025, 'Z': 0.02761489525437355}, {'X': 0.44963330030441284, 'Y': 0.49010729789733887, 'Z': 0.037429094314575195}, {'X': 0.4375876188278198, 'Y': 0.4373122453689575, 'Z': 0.05354626104235649}, {'X': 0.5232359170913696, 'Y': 0.4643799960613251, 'Z': 0.08476574718952179}, {'X': 0.5043298602104187, 'Y': 0.37155160307884216, 'Z': 0.10662876069545746}, {'X': 0.49336308240890503, 'Y': 0.3205265700817108, 'Z': 0.11327178031206131}, {'X': 0.4833827614784241, 'Y': 0.2794104814529419, 'Z': 0.11182902008295059}, {'X': 0.5664237141609192, 'Y': 0.44570109248161316, 'Z': 0.07005655020475388}, {'X': 0.5537689328193665, 'Y': 0.3395826816558838, 'Z': 0.09946304559707642}, {'X': 0.5436590313911438, 'Y': 0.2830973267555237, 'Z': 0.0971529483795166}, {'X': 0.5347483158111572, 'Y': 0.23878639936447144, 'Z': 0.09068720787763596}, {'X': 0.6077226996421814, 'Y': 0.4444924592971802, 'Z': 0.04868092015385628}, {'X': 0.5990886688232422, 'Y': 0.343622088432312, 'Z': 0.06846947222948074}, {'X': 0.5945482850074768, 'Y': 0.2815227806568146, 'Z': 0.06726356595754623}, {'X': 0.5874437093734741, 'Y': 0.22857725620269775, 'Z': 0.05859474465250969}, {'X': 0.6495896577835083, 'Y': 0.45992010831832886, 'Z': 0.02542472817003727}, {'X': 0.6465532779693604, 'Y': 0.37660109996795654, 'Z': 0.02754366025328636}, {'X': 0.6475897431373596, 'Y': 0.32814574241638184, 'Z': 0.022707518190145493}, {'X': 0.6455212831497192, 'Y': 0.2811944782733917, 'Z': 0.019013680517673492}]
[{'X': 0.6066630482673645, 'Y': 0.6916768550872803, 'Z': -8.135008829412982e-05}, {'X': 0.5345843434333801, 'Y': 0.6576090455055237, 'Z': -0.013811206445097923}, {'X': 0.47777795791625977, 'Y': 0.5739875435829163, 'Z': -0.011143134906888008}, {'X': 0.4529821276664734, 'Y': 0.5010022521018982, 'Z': -0.010186613537371159}, {'X': 0.4445744752883911, 'Y': 0.4408966302871704, 'Z': -0.004088855814188719}, {'X': 0.5253841280937195, 'Y': 0.47254908084869385, 'Z': 0.00523906946182251}, {'X': 0.5051596164703369, 'Y': 0.37648317217826843, 'Z': 0.003884357400238514}, {'X': 0.49689266085624695, 'Y': 0.3232893943786621, 'Z': 0.00592196686193347}, {'X': 0.49134188890457153, 'Y': 0.27908605337142944, 'Z': 0.006748665124177933}, {'X': 0.5712606906890869, 'Y': 0.46171122789382935, 'Z': -0.006944279186427593}, {'X': 0.5565074682235718, 'Y': 0.34439823031425476, 'Z': -0.011230340227484703}, {'X': 0.5476518273353577, 'Y': 0.2785438001155853, 'Z': -0.02303227409720421}, {'X': 0.5443432927131653, 'Y': 0.232280895113945, 'Z': -0.025276703760027885}, {'X': 0.613882303237915, 'Y': 0.4764019250869751, 'Z': -0.02231178805232048}, {'X': 0.6103291511535645, 'Y': 0.3644898235797882, 'Z': -0.04711899533867836}, {'X': 0.6042652130126953, 'Y': 0.3050007224082947, 'Z': -0.07080817222595215}, {'X': 0.5969250798225403, 'Y': 0.2597461938858032, 'Z': -0.0839807391166687}, {'X': 0.6559675931930542, 'Y': 0.5105620622634888, 'Z': -0.035682130604982376}, {'X': 0.6362416744232178, 'Y': 0.47208279371261597, 'Z': -0.08212444186210632}, {'X': 0.6147559881210327, 'Y': 0.5165769457817078, 'Z': -0.10179504007101059}, {'X': 0.6009048819541931, 'Y': 0.5622278451919556, 'Z': -0.1007782518863678}]
[{'X': 0.6017794013023376, 'Y': 0.686409592628479, 'Z': -7.373136759269983e-05}, {'X': 0.529166579246521, 'Y': 0.6535416841506958, 'Z': -0.01557038351893425}, {'X': 0.47530949115753174, 'Y': 0.5763986110687256, 'Z': -0.01200796663761139}, {'X': 0.4541822373867035, 'Y': 0.5046852827072144, 'Z': -0.010561641305685043}, {'X': 0.44405147433280945, 'Y': 0.4519617557525635, 'Z': -0.0035204491578042507}, {'X': 0.5222791433334351, 'Y': 0.4756075143814087, 'Z': -0.0067506469786167145}, {'X': 0.5054941177368164, 'Y': 0.3813396096229553, 'Z': -0.01296672411262989}, {'X': 0.49981123208999634, 'Y': 0.32597607374191284, 'Z': -0.014277837239205837}, {'X': 0.49627578258514404, 'Y': 0.2779141366481781, 'Z': -0.018884360790252686}, {'X': 0.5659204125404358, 'Y': 0.46787670254707336, 'Z': -0.017325958237051964}, {'X': 0.5509469509124756, 'Y': 0.35688549280166626, 'Z': -0.0258290097117424}, {'X': 0.541920006275177, 'Y': 0.2933847904205322, 'Z': -0.0417180173099041}, {'X': 0.5365063548088074, 'Y': 0.2452201396226883, 'Z': -0.050683580338954926}, {'X': 0.6079786419868469, 'Y': 0.4833196699619293, 'Z': -0.03060094267129898}, {'X': 0.6057689189910889, 'Y': 0.3849053382873535, 'Z': -0.0581829771399498}, {'X': 0.5954031348228455, 'Y': 0.3353888988494873, 'Z': -0.08833111077547073}, {'X': 0.5806849002838135, 'Y': 0.2949196696281433, 'Z': -0.10589709877967834}, {'X': 0.6517057418823242, 'Y': 0.5153248310089111, 'Z': -0.04227456822991371}, {'X': 0.6408146619796753, 'Y': 0.47726961970329285, 'Z': -0.0899658203125}, {'X': 0.6240723729133606, 'Y': 0.5119505524635315, 'Z': -0.11403459310531616}, {'X': 0.6101937890052795, 'Y': 0.5439412593841553, 'Z': -0.1183658242225647}]
