[{'X': 0.7239835858345032, 'Y': 0.8618414402008057, 'Z': -0.00010886504605878145}, {'X': 0.6542965173721313, 'Y': 0.8356965780258179, 'Z': -0.042469825595617294}, {'X': 0.5954641103744507, 'Y': 0.7674462199211121, 'Z': -0.061969611793756485}, {'X': 0.5607894062995911, 'Y': 0.703429102897644, 'Z': -0.08456172049045563}, {'X': 0.5433006882667542, 'Y': 0.6590009927749634, 'Z': -0.10194455087184906}, {'X': 0.642613410949707, 'Y': 0.6120226383209229, 'Z': 0.011277909390628338}, {'X': 0.6053475141525269, 'Y': 0.5264667272567749, 'Z': 0.006057552061975002}, {'X': 0.5847342610359192, 'Y': 0.4751282334327698, 'Z': -0.007305668201297522}, {'X': 0.5684314370155334, 'Y': 0.43224436044692993, 'Z': -0.02257244475185871}, {'X': 0.6916281580924988, 'Y': 0.591925859451294, 'Z': 0.016079680994153023}, {'X': 0.6848881244659424, 'Y': 0.48285162448883057, 'Z': 0.022897787392139435}, {'X': 0.68318110704422, 'Y': 0.4192394018173218, 'Z': 0.0038036906626075506}, {'X': 0.6833255290985107, 'Y': 0.3679445683956146, 'Z': -0.012488920241594315}, {'X': 0.7358247637748718, 'Y': 0.6003099679946899, 'Z': 0.01208968460559845}, {'X': 0.7340456247329712, 'Y': 0.4966309368610382, 'Z': 0.011864916421473026}, {'X': 0.7308167815208435, 'Y': 0.43268439173698425, 'Z': -0.002969166496768594}, {'X': 0.7237025499343872, 'Y': 0.3780304789543152, 'Z': -0.016712352633476257}, {'X': 0.7802798748016357, 'Y': 0.6300753355026245, 'Z': 0.0022458836901932955}, {'X': 0.7930678129196167, 'Y': 0.552570104598999, 'Z': -0.006630195304751396}, {'X': 0.7996719479560852, 'Y': 0.5067914724349976, 'Z': -0.02038762904703617}, {'X': 0.8008759617805481, 'Y': 0.46221238374710083, 'Z': -0.0312575064599514}]
[{'X': 0.718029797077179, 'Y': 0.8631634712219238, 'Z': -5.0038845074595883e-05}, {'X': 0.653780996799469, 'Y': 0.8315496444702148, 'Z': -0.04773717746138573}, {'X': 0.5962198376655579, 'Y': 0.7610616683959961, 'Z': -0.06849949806928635}, {'X': 0.5628926157951355, 'Y': 0.692787230014801, 'Z': -0.09026546031236649}, {'X': 0.5430232286453247, 'Y': 0.6456121802330017, 'Z': -0.10928696393966675}, {'X': 0.6382498145103455, 'Y': 0.6078128218650818, 'Z': 0.0036407390143722296}, {'X': 0.6030741930007935, 'Y': 0.5218582153320312, 'Z': -0.002634322503581643}, {'X': 0.5836023092269897, 'Y': 0.4739154577255249, 'Z': -0.015064356848597527}, {'X': 0.5686361789703369, 'Y': 0.43160706758499146, 'Z': -0.030236324295401573}, {'X': 0.6881991028785706, 'Y': 0.5885111093521118, 'Z': 0.010492201894521713}, {'X': 0.6843597292900085, 'Y': 0.48027729988098145, 'Z': 0.014104892499744892}, {'X': 0.683036744594574, 'Y': 0.4156789779663086, 'Z': -0.003314355155453086}, {'X': 0.6822566390037537, 'Y': 0.36044761538505554, 'Z': -0.0185251422226429}, {'X': 0.7342391610145569, 'Y': 0.59636390209198, 'Z': 0.00835158210247755}, {'X': 0.7333167195320129, 'Y': 0.49330127239227295, 'Z': 0.008353782817721367}, {'X': 0.7282895445823669, 'Y': 0.43065088987350464, 'Z': -0.003102017566561699}, {'X': 0.721286416053772, 'Y': 0.37750503420829773, 'Z': -0.014128613285720348}, {'X': 0.7802698016166687, 'Y': 0.6249632835388184, 'Z': 0.0007908242987468839}, {'X': 0.7931535840034485, 'Y': 0.5477306842803955, 'Z': -0.0069711292162537575}, {'X': 0.7988169193267822, 'Y': 0.5017176866531372, 'Z': -0.01877443864941597}, {'X': 0.7989453077316284, 'Y': 0.4577956795692444, 'Z': -0.03048272803425789}]
[{'X': 0.7236325144767761, 'Y': 0.8443530797958374, 'Z': -9.513317490927875e-05}, {'X': 0.6578938364982605, 'Y': 0.8158581256866455, 'Z': -0.06044742837548256}, {'X': 0.603143572807312, 'Y': 0.7410866022109985, 'Z': -0.09006999433040619}, {'X': 0.5797356367111206, 'Y': 0.6626192927360535, 'Z': -0.11859369277954102}, {'X': 0.5828897356987, 'Y': 0.5998649001121521, 'Z': -0.1417747586965561}, {'X': 0.6357691287994385, 'Y': 0.6052065491676331, 'Z': -0.004643026273697615}, {'X': 0.6019459366798401, 'Y': 0.5146252512931824, 'Z': -0.012437989003956318}, {'X': 0.5829318761825562, 'Y': 0.46307316422462463, 'Z': -0.023985588923096657}, {'X': 0.5693949460983276, 'Y': 0.4215051531791687, 'Z': -0.039656415581703186}, {'X': 0.6848891377449036, 'Y': 0.5872036218643188, 'Z': 0.006144077982753515}, {'X': 0.6777206063270569, 'Y': 0.47663652896881104, 'Z': 0.009925545193254948}, {'X': 0.6750633716583252, 'Y': 0.41336196660995483, 'Z': -0.006972234696149826}, {'X': 0.6727566719055176, 'Y': 0.36003953218460083, 'Z': -0.02205464243888855}, {'X': 0.7287669777870178, 'Y': 0.5948183536529541, 'Z': 0.0077527351677417755}, {'X': 0.7263630628585815, 'Y': 0.4914703667163849, 'Z': 0.009306528605520725}, {'X': 0.7203206419944763, 'Y': 0.42903125286102295, 'Z': -0.002764651086181402}, {'X': 0.7116896510124207, 'Y': 0.3758585453033447, 'Z': -0.014970233663916588}, {'X': 0.7739591002464294, 'Y': 0.6200243830680847, 'Z': 0.0019877292215824127}, {'X': 0.7822396159172058, 'Y': 0.5427510142326355, 'Z': -0.005128412041813135}, {'X': 0.7854927182197571, 'Y': 0.49871712923049927, 'Z': -0.017921939492225647}, {'X': 0.7849740982055664, 'Y': 0.4564095139503479, 'Z': -0.030759844928979874}]
[{'X': 0.7174263596534729, 'Y': 0.8215029835700989, 'Z': -0.00010437596938572824}, {'X': 0.6514661312103271, 'Y': 0.7954532504081726, 'Z': -0.05532431975007057}, {'X': 0.5978835821151733, 'Y': 0.721148669719696, 'Z': -0.08402098715305328}, {'X': 0.5800790190696716, 'Y': 0.6379743218421936, 'Z': -0.11239195615053177}, {'X': 0.583550751209259, 'Y': 0.5705726146697998, 'Z': -0.13297966122627258}, {'X': 0.6302777528762817, 'Y': 0.6013025045394897, 'Z': -0.00766553683206439}, {'X': 0.5960407853126526, 'Y': 0.5147169232368469, 'Z': -0.021653709933161736}, {'X': 0.5768427848815918, 'Y': 0.4657999873161316, 'Z': -0.03608278930187225}, {'X': 0.5605325102806091, 'Y': 0.42428553104400635, 'Z': -0.04920162260532379}, {'X': 0.6785774827003479, 'Y': 0.5849496126174927, 'Z': -0.0009059282601810992}, {'X': 0.6712868809700012, 'Y': 0.47957879304885864, 'Z': -0.002797757973894477}, {'X': 0.6693509817123413, 'Y': 0.4206834137439728, 'Z': -0.021584080532193184}, {'X': 0.6680111289024353, 'Y': 0.36855894327163696, 'Z': -0.038155268877744675}, {'X': 0.7218366861343384, 'Y': 0.5928791761398315, 'Z': -0.0026384475640952587}, {'X': 0.7180109024047852, 'Y': 0.49405786395072937, 'Z': -0.0048385076224803925}, {'X': 0.7115930318832397, 'Y': 0.4340306520462036, 'Z': -0.02424524538218975}, {'X': 0.7030917406082153, 'Y': 0.380022257566452, 'Z': -0.044013410806655884}, {'X': 0.7667831778526306, 'Y': 0.6154134273529053, 'Z': -0.01072873454540968}, {'X': 0.7684831023216248, 'Y': 0.537346601486206, 'Z': -0.017078422009944916}, {'X': 0.7669533491134644, 'Y': 0.4935305416584015, 'Z': -0.03277980908751488}, {'X': 0.7634141445159912, 'Y': 0.4512287378311157, 'Z': -0.047843750566244125}]
[{'X': 0.7163391709327698, 'Y': 0.814080536365509, 'Z': -9.53446069615893e-05}, {'X': 0.6515254974365234, 'Y': 0.7847962379455566, 'Z': -0.03556175157427788}, {'X': 0.6027093529701233, 'Y': 0.7073854207992554, 'Z': -0.05248364061117172}, {'X': 0.5875822901725769, 'Y': 0.6257855296134949, 'Z': -0.07268857955932617}, {'X': 0.5875347852706909, 'Y': 0.567258358001709, 'Z': -0.0801699310541153}, {'X': 0.6311991810798645, 'Y': 0.5989801287651062, 'Z': 0.0005833969335071743}, {'X': 0.6038020849227905, 'Y': 0.5061832070350647, 'Z': -0.00959845632314682}, {'X': 0.5849939584732056, 'Y': 0.460671067237854, 'Z': -0.020005129277706146}, {'X': 0.5691546201705933, 'Y': 0.4253638982772827, 'Z': -0.031602028757333755}, {'X': 0.6778688430786133, 'Y': 0.5826396942138672, 'Z': -0.00177861494012177}, {'X': 0.6722919940948486, 'Y': 0.467257559299469, 'Z': -0.001507529872469604}, {'X': 0.6698724031448364, 'Y': 0.4078751504421234, 'Z': -0.01373305730521679}, {'X': 0.6695042848587036, 'Y': 0.36206817626953125, 'Z': -0.03032931312918663}, {'X': 0.720133364200592, 'Y': 0.5885672569274902, 'Z': -0.012265213765203953}, {'X': 0.7150255441665649, 'Y': 0.48367640376091003, 'Z': -0.013221049681305885}, {'X': 0.7124002575874329, 'Y': 0.42300945520401, 'Z': -0.02412332594394684}, {'X': 0.7085935473442078, 'Y': 0.37102365493774414, 'Z': -0.043141305446624756}, {'X': 0.7636428475379944, 'Y': 0.6100786924362183, 'Z': -0.027128534391522408}, {'X': 0.7623327970504761, 'Y': 0.5289508104324341, 'Z': -0.03289860486984253}, {'X': 0.7609465718269348, 'Y': 0.4845254421234131, 'Z': -0.042991455644369125}, {'X': 0.7580891847610474, 'Y': 0.44391411542892456, 'Z': -0.055916301906108856}]
[{'X': 0.7175449132919312, 'Y': 0.775386393070221, 'Z': -0.00013823095650877804}, {'X': 0.6643531918525696, 'Y': 0.7434793710708618, 'Z': -0.03720391169190407}, {'X': 0.6345964670181274, 'Y': 0.6583516001701355, 'Z': -0.04148314148187637}, {'X': 0.6583073735237122, 'Y': 0.5753551721572876, 'Z': -0.04305155947804451}, {'X': 0.6800960898399353, 'Y': 0.5311635136604309, 'Z': -0.032553039491176605}, {'X': 0.636900782585144, 'Y': 0.5875131487846375, 'Z': 0.014665723778307438}, {'X': 0.6141793727874756, 'Y': 0.5031184554100037, 'Z': 0.002852744422852993}, {'X': 0.6015584468841553, 'Y': 0.45777350664138794, 'Z': -0.009281372651457787}, {'X': 0.5928338766098022, 'Y': 0.41993311047554016, 'Z': -0.019256509840488434}, {'X': 0.6759870648384094, 'Y': 0.5727787613868713, 'Z': 0.011143403127789497}, {'X': 0.6648072004318237, 'Y': 0.48096686601638794, 'Z': -0.0011118383845314384}, {'X': 0.6592584848403931, 'Y': 0.431795209646225, 'Z': -0.016675764694809914}, {'X': 0.6573365330696106, 'Y': 0.4015704393386841, 'Z': -0.021982792764902115}, {'X': 0.7118448615074158, 'Y': 0.5768397450447083, 'Z': -0.0005981173599138856}, {'X': 0.708926796913147, 'Y': 0.4973827600479126, 'Z': -0.014580815099179745}, {'X': 0.7016023397445679, 'Y': 0.44881802797317505, 'Z': -0.03826044872403145}, {'X': 0.6958878040313721, 'Y': 0.40763401985168457, 'Z': -0.05134505778551102}, {'X': 0.7472807168960571, 'Y': 0.5990175008773804, 'Z': -0.018131563439965248}, {'X': 0.7444058656692505, 'Y': 0.5440918803215027, 'Z': -0.03856920823454857}, {'X': 0.7357723116874695, 'Y': 0.5040846467018127, 'Z': -0.05634566396474838}, {'X': 0.7265671491622925, 'Y': 0.4666772484779358, 'Z': -0.06404152512550354}]
[{'X': 0.7204341888427734, 'Y': 0.7767355442047119, 'Z': -0.00012778434029314667}, {'X': 0.658835232257843, 'Y': 0.7704417705535889, 'Z': -0.058610592037439346}, {'X': 0.6126760244369507, 'Y': 0.7127159833908081, 'Z': -0.08467210084199905}, {'X': 0.6153918504714966, 'Y': 0.6499395966529846, 'Z': -0.1064961701631546}, {'X': 0.6364063024520874, 'Y': 0.6143918037414551, 'Z': -0.12147124856710434}, {'X': 0.6281986236572266, 'Y': 0.6046507954597473, 'Z': -0.03306301310658455}, {'X': 0.602264404296875, 'Y': 0.5249820947647095, 'Z': -0.05267466604709625}, {'X': 0.5870336294174194, 'Y': 0.47885817289352417, 'Z': -0.07141478359699249}, {'X': 0.5763918161392212, 'Y': 0.4422837793827057, 'Z': -0.09041177481412888}, {'X': 0.6721794009208679, 'Y': 0.5865813493728638, 'Z': -0.025847403332591057}, {'X': 0.6681804656982422, 'Y': 0.4912998676300049, 'Z': -0.039265189319849014}, {'X': 0.6655657887458801, 'Y': 0.4311572015285492, 'Z': -0.06046750023961067}, {'X': 0.6651514172554016, 'Y': 0.3831709325313568, 'Z': -0.07913728803396225}, {'X': 0.7125536799430847, 'Y': 0.5899248123168945, 'Z': -0.0254816934466362}, {'X': 0.7106965184211731, 'Y': 0.4977318048477173, 'Z': -0.0329032763838768}, {'X': 0.7076823711395264, 'Y': 0.43898168206214905, 'Z': -0.047700412571430206}, {'X': 0.705600917339325, 'Y': 0.38802066445350647, 'Z': -0.06265118718147278}, {'X': 0.7549250721931458, 'Y': 0.6112261414527893, 'Z': -0.03349935635924339}, {'X': 0.7545416355133057, 'Y': 0.5429491996765137, 'Z': -0.04812917113304138}, {'X': 0.7500485777854919, 'Y': 0.5019898414611816, 'Z': -0.06154096871614456}, {'X': 0.7458380460739136, 'Y': 0.46559685468673706, 'Z': -0.07334212958812714}]
[{'X': 0.7223442792892456, 'Y': 0.8027842044830322, 'Z': -0.000101937708677724}, {'X': 0.6536871194839478, 'Y': 0.780250072479248, 'Z': -0.041833166033029556}, {'X': 0.5950128436088562, 'Y': 0.7079222202301025, 'Z': -0.05982399731874466}, {'X': 0.5782188177108765, 'Y': 0.6278481483459473, 'Z': -0.07873037457466125}, {'X': 0.5927082896232605, 'Y': 0.5663297176361084, 'Z': -0.08152765780687332}, {'X': 0.6311759948730469, 'Y': 0.5963491201400757, 'Z': 0.00912555307149887}, {'X': 0.5992039442062378, 'Y': 0.5123002529144287, 'Z': 0.0025770615320652723}, {'X': 0.580947995185852, 'Y': 0.47080427408218384, 'Z': -0.004677668213844299}, {'X': 0.5673616528511047, 'Y': 0.4404699206352234, 'Z': -0.015155197121202946}, {'X': 0.6785506010055542, 'Y': 0.5772303938865662, 'Z': 0.011106996797025204}, {'X': 0.6756945252418518, 'Y': 0.46999645233154297, 'Z': 0.01968260109424591}, {'X': 0.6752298474311829, 'Y': 0.4143049716949463, 'Z': 0.013911538757383823}, {'X': 0.6767914891242981, 'Y': 0.3711997866630554, 'Z': 0.006081467028707266}, {'X': 0.7199043035507202, 'Y': 0.5845394730567932, 'Z': 0.004686074331402779}, {'X': 0.7215521335601807, 'Y': 0.488949179649353, 'Z': 0.009171674959361553}, {'X': 0.7205811142921448, 'Y': 0.4319968819618225, 'Z': 0.0023729302920401096}, {'X': 0.717512309551239, 'Y': 0.3853239417076111, 'Z': -0.01126142404973507}, {'X': 0.7622781991958618, 'Y': 0.607528805732727, 'Z': -0.00808529369533062}, {'X': 0.7606642246246338, 'Y': 0.5375725030899048, 'Z': -0.012853559106588364}, {'X': 0.7572164535522461, 'Y': 0.5035002827644348, 'Z': -0.023894846439361572}, {'X': 0.7532564997673035, 'Y': 0.4770622253417969, 'Z': -0.031863462179899216}]
[{'X': 0.7235308885574341, 'Y': 0.8367271423339844, 'Z': -0.00011196695413673297}, {'X': 0.6603260040283203, 'Y': 0.8124755620956421, 'Z': -0.0536462627351284}, {'X': 0.6063104867935181, 'Y': 0.7433735132217407, 'Z': -0.07980319112539291}, {'X': 0.5794156193733215, 'Y': 0.6727496981620789, 'Z': -0.1038186252117157}, {'X': 0.5719197392463684, 'Y': 0.6178216338157654, 'Z': -0.11930971592664719}, {'X': 0.6447883248329163, 'Y': 0.6013662815093994, 'Z': -0.004959295503795147}, {'X': 0.6080896854400635, 'Y': 0.5159300565719604, 'Z': -0.0091025959700346}, {'X': 0.5910005569458008, 'Y': 0.46830224990844727, 'Z': -0.01809822954237461}, {'X': 0.5795426368713379, 'Y': 0.4308554232120514, 'Z': -0.03070307895541191}, {'X': 0.6917184591293335, 'Y': 0.5822359919548035, 'Z': 0.005821676924824715}, {'X': 0.6837979555130005, 'Y': 0.47561758756637573, 'Z': 0.01394778210669756}, {'X': 0.6823001503944397, 'Y': 0.41506093740463257, 'Z': 0.0017330368282273412}, {'X': 0.6824532151222229, 'Y': 0.36532095074653625, 'Z': -0.009541337378323078}, {'X': 0.7334652543067932, 'Y': 0.591602623462677, 'Z': 0.008780566044151783}, {'X': 0.7311444878578186, 'Y': 0.49088531732559204, 'Z': 0.012358908541500568}, {'X': 0.7269241809844971, 'Y': 0.4300549626350403, 'Z': 0.002621813677251339}, {'X': 0.7192105054855347, 'Y': 0.37924402952194214, 'Z': -0.009283865801990032}, {'X': 0.7757605910301208, 'Y': 0.6194062232971191, 'Z': 0.004332715179771185}, {'X': 0.7832041382789612, 'Y': 0.5451258420944214, 'Z': -0.0006564850336872041}, {'X': 0.7873418927192688, 'Y': 0.5042237639427185, 'Z': -0.013552431017160416}, {'X': 0.7862053513526917, 'Y': 0.4673442542552948, 'Z': -0.022966548800468445}]
[{'X': 0.7303799390792847, 'Y': 0.8475015759468079, 'Z': -9.543352643959224e-05}, {'X': 0.6661393046379089, 'Y': 0.8231679797172546, 'Z': -0.052216533571481705}, {'X': 0.611478865146637, 'Y': 0.7574623823165894, 'Z': -0.07542027533054352}, {'X': 0.5793884992599487, 'Y': 0.6919623613357544, 'Z': -0.09765489399433136}, {'X': 0.5624867677688599, 'Y': 0.6448382139205933, 'Z': -0.11434487998485565}, {'X': 0.6475747227668762, 'Y': 0.6074910163879395, 'Z': -0.006760071963071823}, {'X': 0.610762894153595, 'Y': 0.5219243764877319, 'Z': -0.011679879389703274}, {'X': 0.5929771065711975, 'Y': 0.472886860370636, 'Z': -0.020345289260149002}, {'X': 0.5802457928657532, 'Y': 0.4305523931980133, 'Z': -0.0306803360581398}, {'X': 0.694829523563385, 'Y': 0.5871344804763794, 'Z': 0.0068392981775105}, {'X': 0.6878789067268372, 'Y': 0.4826967120170593, 'Z': 0.01271137222647667}, {'X': 0.6865444779396057, 'Y': 0.42136889696121216, 'Z': -0.002325639594346285}, {'X': 0.6863309741020203, 'Y': 0.3707210421562195, 'Z': -0.015645576640963554}, {'X': 0.7380686402320862, 'Y': 0.5942561626434326, 'Z': 0.012885237112641335}, {'X': 0.737255334854126, 'Y': 0.49551787972450256, 'Z': 0.014525612816214561}, {'X': 0.7323558926582336, 'Y': 0.43520382046699524, 'Z': 0.006260271649807692}, {'X': 0.7246212363243103, 'Y': 0.3865237832069397, 'Z': -0.002444152720272541}, {'X': 0.7811827063560486, 'Y': 0.6207185387611389, 'Z': 0.01239036861807108}, {'X': 0.7918893098831177, 'Y': 0.5476513504981995, 'Z': 0.0075596473179757595}, {'X': 0.7970333695411682, 'Y': 0.5061004161834717, 'Z': -0.0037181235384196043}, {'X': 0.7968245148658752, 'Y': 0.4676017165184021, 'Z': -0.012279544025659561}]
[{'X': 0.7298184037208557, 'Y': 0.8542922139167786, 'Z': -9.058109571924433e-05}, {'X': 0.6671957969665527, 'Y': 0.8298740983009338, 'Z': -0.04944615811109543}, {'X': 0.6115325689315796, 'Y': 0.7645272016525269, 'Z': -0.07133086025714874}, {'X': 0.5766611695289612, 'Y': 0.7038365602493286, 'Z': -0.09296462684869766}, {'X': 0.5576995015144348, 'Y': 0.6640596389770508, 'Z': -0.10820349305868149}, {'X': 0.651481568813324, 'Y': 0.607653021812439, 'Z': -0.002573445439338684}, {'X': 0.6133190989494324, 'Y': 0.5185168385505676, 'Z': -0.0068056327290833}, {'X': 0.5946317315101624, 'Y': 0.46814894676208496, 'Z': -0.014444256201386452}, {'X': 0.5809683799743652, 'Y': 0.42670756578445435, 'Z': -0.025890685617923737}, {'X': 0.6987793445587158, 'Y': 0.5882282853126526, 'Z': 0.008424381725490093}, {'X': 0.691112220287323, 'Y': 0.4777618646621704, 'Z': 0.013960201293230057}, {'X': 0.6890153884887695, 'Y': 0.41711390018463135, 'Z': -4.116398486075923e-05}, {'X': 0.6883865594863892, 'Y': 0.36814141273498535, 'Z': -0.012105126865208149}, {'X': 0.7410136461257935, 'Y': 0.5965107083320618, 'Z': 0.011741424910724163}, {'X': 0.7377840876579285, 'Y': 0.4935895502567291, 'Z': 0.01270019169896841}, {'X': 0.7316336035728455, 'Y': 0.4324102997779846, 'Z': 0.0038709642831236124}, {'X': 0.7224299311637878, 'Y': 0.3823017477989197, 'Z': -0.005152392201125622}, {'X': 0.7838488817214966, 'Y': 0.6252060532569885, 'Z': 0.008768915198743343}, {'X': 0.7931839823722839, 'Y': 0.5499885678291321, 'Z': 0.0011138331610709429}, {'X': 0.7981567978858948, 'Y': 0.5086934566497803, 'Z': -0.010640891268849373}, {'X': 0.7978198528289795, 'Y': 0.4707796275615692, 'Z': -0.020123375579714775}]
