[{'X': 0.4341368079185486, 'Y': 0.7184362411499023, 'Z': -5.806585613754578e-05}, {'X': 0.39133769273757935, 'Y': 0.6791672706604004, 'Z': 0.00563047593459487}, {'X': 0.3711344599723816, 'Y': 0.578001081943512, 'Z': -0.0009762889822013676}, {'X': 0.36182892322540283, 'Y': 0.5120472311973572, 'Z': -0.01696837693452835}, {'X': 0.34385472536087036, 'Y': 0.4592311978340149, 'Z': -0.034676577895879745}, {'X': 0.414065957069397, 'Y': 0.4898461103439331, 'Z': 0.007052318193018436}, {'X': 0.3716912567615509, 'Y': 0.46666109561920166, 'Z': -0.04799157381057739}, {'X': 0.36206910014152527, 'Y': 0.5251638293266296, 'Z': -0.07197008281946182}, {'X': 0.3691886067390442, 'Y': 0.5660703182220459, 'Z': -0.07301481068134308}, {'X': 0.43945249915122986, 'Y': 0.4941650331020355, 'Z': -0.011778115294873714}, {'X': 0.38737574219703674, 'Y': 0.48415204882621765, 'Z': -0.05762246996164322}, {'X': 0.3844870626926422, 'Y': 0.5675250291824341, 'Z': -0.057898566126823425}, {'X': 0.39791831374168396, 'Y': 0.5977152585983276, 'Z': -0.04008612036705017}, {'X': 0.46195051074028015, 'Y': 0.514051079750061, 'Z': -0.03997364640235901}, {'X': 0.4093622863292694, 'Y': 0.5194411873817444, 'Z': -0.07819276303052902}, {'X': 0.4092792570590973, 'Y': 0.5976890921592712, 'Z': -0.0647900253534317}, {'X': 0.42366963624954224, 'Y': 0.6252827048301697, 'Z': -0.045205794274806976}, {'X': 0.47909629344940186, 'Y': 0.5443173050880432, 'Z': -0.06830555200576782}, {'X': 0.4325960576534271, 'Y': 0.5539078712463379, 'Z': -0.08717969059944153}, {'X': 0.4278621971607208, 'Y': 0.6073199510574341, 'Z': -0.070280060172081}, {'X': 0.4420718848705292, 'Y': 0.6268856525421143, 'Z': -0.04981549456715584}]
[{'X': 0.4322907030582428, 'Y': 0.7094722986221313, 'Z': -4.302835077396594e-05}, {'X': 0.39017707109451294, 'Y': 0.6732354164123535, 'Z': 0.004791883286088705}, {'X': 0.3702709972858429, 'Y': 0.5737141966819763, 'Z': -0.00036045111482962966}, {'X': 0.36296284198760986, 'Y': 0.5096687078475952, 'Z': -0.014510688371956348}, {'X': 0.34823423624038696, 'Y': 0.4523925185203552, 'Z': -0.03011448308825493}, {'X': 0.4135504364967346, 'Y': 0.48862022161483765, 'Z': 0.006874879356473684}, {'X': 0.37208303809165955, 'Y': 0.4664251208305359, 'Z': -0.0519806332886219}, {'X': 0.36349254846572876, 'Y': 0.5318849086761475, 'Z': -0.07853684574365616}, {'X': 0.37106895446777344, 'Y': 0.5711973905563354, 'Z': -0.08123533427715302}, {'X': 0.43835288286209106, 'Y': 0.4964669346809387, 'Z': -0.01309107430279255}, {'X': 0.3866316080093384, 'Y': 0.4791233241558075, 'Z': -0.06573989242315292}, {'X': 0.3837152123451233, 'Y': 0.5653964877128601, 'Z': -0.064483642578125}, {'X': 0.39773061871528625, 'Y': 0.5937715172767639, 'Z': -0.04280165210366249}, {'X': 0.46066343784332275, 'Y': 0.517274022102356, 'Z': -0.042619556188583374}, {'X': 0.4079176187515259, 'Y': 0.5127806663513184, 'Z': -0.08767158538103104}, {'X': 0.40776920318603516, 'Y': 0.5939515829086304, 'Z': -0.07098913937807083}, {'X': 0.42376336455345154, 'Y': 0.6216548681259155, 'Z': -0.045811690390110016}, {'X': 0.4778333306312561, 'Y': 0.5475588440895081, 'Z': -0.07196681946516037}, {'X': 0.4328539967536926, 'Y': 0.5493870973587036, 'Z': -0.0941903218626976}, {'X': 0.427966445684433, 'Y': 0.603061854839325, 'Z': -0.07583889365196228}, {'X': 0.44294166564941406, 'Y': 0.622370183467865, 'Z': -0.052840735763311386}]
[{'X': 0.4366418123245239, 'Y': 0.7218623161315918, 'Z': -5.128416160005145e-05}, {'X': 0.39087703824043274, 'Y': 0.6811555624008179, 'Z': 0.007212612312287092}, {'X': 0.370165079832077, 'Y': 0.5788664817810059, 'Z': 0.0011512648779898882}, {'X': 0.36008769273757935, 'Y': 0.512218177318573, 'Z': -0.014243654906749725}, {'X': 0.34422656893730164, 'Y': 0.4582168459892273, 'Z': -0.029727134853601456}, {'X': 0.41588538885116577, 'Y': 0.4868745803833008, 'Z': 0.006102824117988348}, {'X': 0.3706403374671936, 'Y': 0.46552470326423645, 'Z': -0.046143610030412674}, {'X': 0.3632957339286804, 'Y': 0.5312662124633789, 'Z': -0.06935399770736694}, {'X': 0.37354400753974915, 'Y': 0.5704588890075684, 'Z': -0.0713190883398056}, {'X': 0.4417051672935486, 'Y': 0.49250537157058716, 'Z': -0.014512275345623493}, {'X': 0.3864271640777588, 'Y': 0.48013973236083984, 'Z': -0.05875815823674202}, {'X': 0.383717805147171, 'Y': 0.5666130185127258, 'Z': -0.058102797716856}, {'X': 0.399333655834198, 'Y': 0.5937207937240601, 'Z': -0.03964885324239731}, {'X': 0.46391913294792175, 'Y': 0.5133680701255798, 'Z': -0.043962638825178146}, {'X': 0.40843456983566284, 'Y': 0.5157314538955688, 'Z': -0.08151521533727646}, {'X': 0.40795743465423584, 'Y': 0.5947532057762146, 'Z': -0.06698012351989746}, {'X': 0.42443907260894775, 'Y': 0.619304358959198, 'Z': -0.046916231513023376}, {'X': 0.4800192713737488, 'Y': 0.5453513860702515, 'Z': -0.0735679417848587}, {'X': 0.4311765432357788, 'Y': 0.5508922934532166, 'Z': -0.09117315709590912}, {'X': 0.4266441762447357, 'Y': 0.6055583357810974, 'Z': -0.07563668489456177}, {'X': 0.44287416338920593, 'Y': 0.624861478805542, 'Z': -0.05611060559749603}]
[{'X': 0.43441224098205566, 'Y': 0.721182107925415, 'Z': -5.088522448204458e-05}, {'X': 0.39052462577819824, 'Y': 0.6822841167449951, 'Z': -2.7949747163802385e-05}, {'X': 0.3697018027305603, 'Y': 0.5794904828071594, 'Z': -0.012592232786118984}, {'X': 0.3599790036678314, 'Y': 0.5105246901512146, 'Z': -0.032767366617918015}, {'X': 0.34177905321121216, 'Y': 0.4574677348136902, 'Z': -0.054599396884441376}, {'X': 0.4128817319869995, 'Y': 0.4848518371582031, 'Z': -0.009053729474544525}, {'X': 0.3692840039730072, 'Y': 0.46869781613349915, 'Z': -0.0610293410718441}, {'X': 0.3633531928062439, 'Y': 0.5299274921417236, 'Z': -0.0795363262295723}, {'X': 0.3709728717803955, 'Y': 0.5698502063751221, 'Z': -0.07955285161733627}, {'X': 0.44096457958221436, 'Y': 0.48745444416999817, 'Z': -0.02630106918513775}, {'X': 0.386423796415329, 'Y': 0.48617884516716003, 'Z': -0.06931335479021072}, {'X': 0.38462015986442566, 'Y': 0.5678028464317322, 'Z': -0.06618991494178772}, {'X': 0.3979469835758209, 'Y': 0.5996604561805725, 'Z': -0.04813000187277794}, {'X': 0.46397140622138977, 'Y': 0.50935298204422, 'Z': -0.05201263725757599}, {'X': 0.4091540277004242, 'Y': 0.5205040574073792, 'Z': -0.08678776025772095}, {'X': 0.4087061583995819, 'Y': 0.5955551266670227, 'Z': -0.07245153933763504}, {'X': 0.42183732986450195, 'Y': 0.6258987188339233, 'Z': -0.053647104650735855}, {'X': 0.48092710971832275, 'Y': 0.5431681871414185, 'Z': -0.0791628360748291}, {'X': 0.43218570947647095, 'Y': 0.5549681186676025, 'Z': -0.09459477663040161}, {'X': 0.4262256622314453, 'Y': 0.6064940690994263, 'Z': -0.0780864730477333}, {'X': 0.43858054280281067, 'Y': 0.6287697553634644, 'Z': -0.058807242661714554}]
[{'X': 0.4343918561935425, 'Y': 0.7221875786781311, 'Z': -4.677034303313121e-05}, {'X': 0.39075374603271484, 'Y': 0.6858812570571899, 'Z': 0.002452785149216652}, {'X': 0.36981451511383057, 'Y': 0.5851370692253113, 'Z': -0.007967394776642323}, {'X': 0.3594948947429657, 'Y': 0.5194702744483948, 'Z': -0.026229077950119972}, {'X': 0.3423522114753723, 'Y': 0.4684150516986847, 'Z': -0.045991286635398865}, {'X': 0.41489648818969727, 'Y': 0.48357492685317993, 'Z': -0.005108966957777739}, {'X': 0.3672989010810852, 'Y': 0.46648091077804565, 'Z': -0.05591630935668945}, {'X': 0.36045461893081665, 'Y': 0.5302257537841797, 'Z': -0.07377592474222183}, {'X': 0.3692661225795746, 'Y': 0.5696457028388977, 'Z': -0.07441363483667374}, {'X': 0.4430845379829407, 'Y': 0.487323135137558, 'Z': -0.02468237653374672}, {'X': 0.3844257593154907, 'Y': 0.4859657883644104, 'Z': -0.06823588162660599}, {'X': 0.38287070393562317, 'Y': 0.5700986385345459, 'Z': -0.06433665007352829}, {'X': 0.39777159690856934, 'Y': 0.600271999835968, 'Z': -0.04461514204740524}, {'X': 0.46566978096961975, 'Y': 0.5098322033882141, 'Z': -0.05258981138467789}, {'X': 0.40684470534324646, 'Y': 0.5220304727554321, 'Z': -0.08849183470010757}, {'X': 0.4069167971611023, 'Y': 0.600070059299469, 'Z': -0.07382147759199142}, {'X': 0.4220142066478729, 'Y': 0.6285657286643982, 'Z': -0.05334451422095299}, {'X': 0.48125138878822327, 'Y': 0.5445290803909302, 'Z': -0.08167058229446411}, {'X': 0.430450975894928, 'Y': 0.5586037039756775, 'Z': -0.09788034111261368}, {'X': 0.42492106556892395, 'Y': 0.6128073334693909, 'Z': -0.08199147135019302}, {'X': 0.43908455967903137, 'Y': 0.6344852447509766, 'Z': -0.06292713433504105}]
[{'X': 0.4407833516597748, 'Y': 0.7309429049491882, 'Z': -4.7691915824543685e-05}, {'X': 0.3929862082004547, 'Y': 0.6904325485229492, 'Z': 0.0023718674201518297}, {'X': 0.37012001872062683, 'Y': 0.5889889001846313, 'Z': -0.009347747080028057}, {'X': 0.3597782850265503, 'Y': 0.5224580764770508, 'Z': -0.028812987729907036}, {'X': 0.347417414188385, 'Y': 0.47455033659935, 'Z': -0.04773028939962387}, {'X': 0.4122793972492218, 'Y': 0.48367801308631897, 'Z': -0.008477229624986649}, {'X': 0.36210036277770996, 'Y': 0.46656346321105957, 'Z': -0.05998814478516579}, {'X': 0.35659584403038025, 'Y': 0.5341541767120361, 'Z': -0.07499218732118607}, {'X': 0.36643853783607483, 'Y': 0.5740161538124084, 'Z': -0.0733107477426529}, {'X': 0.4420356750488281, 'Y': 0.48606765270233154, 'Z': -0.029139799997210503}, {'X': 0.3814813196659088, 'Y': 0.4915848672389984, 'Z': -0.07326513528823853}, {'X': 0.3814789354801178, 'Y': 0.578848123550415, 'Z': -0.06794142723083496}, {'X': 0.3969905376434326, 'Y': 0.6071996688842773, 'Z': -0.04671621695160866}, {'X': 0.46521079540252686, 'Y': 0.5082839727401733, 'Z': -0.05847407877445221}, {'X': 0.4055004119873047, 'Y': 0.5248007774353027, 'Z': -0.09435851871967316}, {'X': 0.40631309151649475, 'Y': 0.6047808527946472, 'Z': -0.08045550435781479}, {'X': 0.42191624641418457, 'Y': 0.6329367756843567, 'Z': -0.05991572514176369}, {'X': 0.48137691617012024, 'Y': 0.5444743037223816, 'Z': -0.08938377350568771}, {'X': 0.43017497658729553, 'Y': 0.5600774884223938, 'Z': -0.10511557757854462}, {'X': 0.4264199137687683, 'Y': 0.6153918504714966, 'Z': -0.09163635224103928}, {'X': 0.44194161891937256, 'Y': 0.6369951367378235, 'Z': -0.07394663244485855}]
[{'X': 0.43284884095191956, 'Y': 0.725656270980835, 'Z': -5.944723670836538e-05}, {'X': 0.3901013433933258, 'Y': 0.6853975057601929, 'Z': 0.0006093512056395411}, {'X': 0.36887890100479126, 'Y': 0.5825470685958862, 'Z': -0.008681471459567547}, {'X': 0.3579120337963104, 'Y': 0.5164435505867004, 'Z': -0.02458629570901394}, {'X': 0.33995968103408813, 'Y': 0.4640481472015381, 'Z': -0.041916608810424805}, {'X': 0.4155646562576294, 'Y': 0.48731058835983276, 'Z': -0.0058753760531544685}, {'X': 0.36873331665992737, 'Y': 0.4742809534072876, 'Z': -0.05747145414352417}, {'X': 0.3603670299053192, 'Y': 0.5371714234352112, 'Z': -0.07636343687772751}, {'X': 0.3677525520324707, 'Y': 0.577693521976471, 'Z': -0.07674816995859146}, {'X': 0.4421076774597168, 'Y': 0.49167394638061523, 'Z': -0.02328348532319069}, {'X': 0.38489359617233276, 'Y': 0.4913081228733063, 'Z': -0.06781838089227676}, {'X': 0.3816480338573456, 'Y': 0.5729647278785706, 'Z': -0.0637320801615715}, {'X': 0.3942757844924927, 'Y': 0.6051244139671326, 'Z': -0.04505116119980812}, {'X': 0.46380189061164856, 'Y': 0.5155696272850037, 'Z': -0.04958086833357811}, {'X': 0.4075530767440796, 'Y': 0.524357795715332, 'Z': -0.08582314103841782}, {'X': 0.4055291414260864, 'Y': 0.5990971326828003, 'Z': -0.0716952458024025}, {'X': 0.41814208030700684, 'Y': 0.6302705407142639, 'Z': -0.05214792490005493}, {'X': 0.47933295369148254, 'Y': 0.5520737767219543, 'Z': -0.07697311788797379}, {'X': 0.43139931559562683, 'Y': 0.5597290396690369, 'Z': -0.09632327407598495}, {'X': 0.4236929416656494, 'Y': 0.6100571155548096, 'Z': -0.08175607770681381}, {'X': 0.4346999526023865, 'Y': 0.6337272524833679, 'Z': -0.06353691220283508}]
[{'X': 0.43460822105407715, 'Y': 0.7236533164978027, 'Z': -4.232431456330232e-05}, {'X': 0.3899011015892029, 'Y': 0.6842207312583923, 'Z': 0.006028026342391968}, {'X': 0.36858439445495605, 'Y': 0.5835461020469666, 'Z': -0.0011467142030596733}, {'X': 0.3584681749343872, 'Y': 0.5185841917991638, 'Z': -0.01711186021566391}, {'X': 0.3435896039009094, 'Y': 0.4635776877403259, 'Z': -0.033181458711624146}, {'X': 0.4163874685764313, 'Y': 0.49164000153541565, 'Z': 0.0029286318458616734}, {'X': 0.37151652574539185, 'Y': 0.47446706891059875, 'Z': -0.048789478838443756}, {'X': 0.3628271520137787, 'Y': 0.5397459268569946, 'Z': -0.07143401354551315}, {'X': 0.371032178401947, 'Y': 0.5804139971733093, 'Z': -0.07317309081554413}, {'X': 0.441696435213089, 'Y': 0.49768757820129395, 'Z': -0.016904562711715698}, {'X': 0.3865818679332733, 'Y': 0.49113595485687256, 'Z': -0.06079015135765076}, {'X': 0.3829765319824219, 'Y': 0.5737606883049011, 'Z': -0.05806143581867218}, {'X': 0.3966071307659149, 'Y': 0.6023531556129456, 'Z': -0.040126994252204895}, {'X': 0.4631615877151489, 'Y': 0.519799530506134, 'Z': -0.0456235408782959}, {'X': 0.40817126631736755, 'Y': 0.5245457291603088, 'Z': -0.08169478923082352}, {'X': 0.4069036543369293, 'Y': 0.6003565192222595, 'Z': -0.06587719917297363}, {'X': 0.4215722978115082, 'Y': 0.6276687383651733, 'Z': -0.04566355422139168}, {'X': 0.47842633724212646, 'Y': 0.5529605746269226, 'Z': -0.07455349713563919}, {'X': 0.43108436465263367, 'Y': 0.5588932633399963, 'Z': -0.09218395501375198}, {'X': 0.42577120661735535, 'Y': 0.6109267473220825, 'Z': -0.07610317319631577}, {'X': 0.44003042578697205, 'Y': 0.6318499445915222, 'Z': -0.05708248168230057}]
[{'X': 0.4364156424999237, 'Y': 0.7241758108139038, 'Z': -5.610999505734071e-05}, {'X': 0.3915342092514038, 'Y': 0.6846466660499573, 'Z': 0.003371627302840352}, {'X': 0.37025243043899536, 'Y': 0.5815537571907043, 'Z': -0.00523997750133276}, {'X': 0.3604982793331146, 'Y': 0.5150403380393982, 'Z': -0.021182656288146973}, {'X': 0.3444538414478302, 'Y': 0.4639996290206909, 'Z': -0.037156518548727036}, {'X': 0.41561368107795715, 'Y': 0.48460501432418823, 'Z': -0.0052316212095320225}, {'X': 0.3683972656726837, 'Y': 0.46753108501434326, 'Z': -0.057358842343091965}, {'X': 0.3609362244606018, 'Y': 0.5312365293502808, 'Z': -0.07562859356403351}, {'X': 0.36950957775115967, 'Y': 0.5718284845352173, 'Z': -0.07545515894889832}, {'X': 0.443484365940094, 'Y': 0.48904258012771606, 'Z': -0.024092452600598335}, {'X': 0.38560590147972107, 'Y': 0.4886660873889923, 'Z': -0.0683978721499443}, {'X': 0.38341763615608215, 'Y': 0.5728737711906433, 'Z': -0.06419691443443298}, {'X': 0.39739957451820374, 'Y': 0.6040711998939514, 'Z': -0.04469018802046776}, {'X': 0.4661574363708496, 'Y': 0.5122424364089966, 'Z': -0.051950957626104355}, {'X': 0.40862610936164856, 'Y': 0.5233739614486694, 'Z': -0.08859850466251373}, {'X': 0.407806932926178, 'Y': 0.6001036167144775, 'Z': -0.07435835152864456}, {'X': 0.4221119284629822, 'Y': 0.6292262077331543, 'Z': -0.05471375212073326}, {'X': 0.4822646975517273, 'Y': 0.5475221276283264, 'Z': -0.0804973915219307}, {'X': 0.43296414613723755, 'Y': 0.5586841702461243, 'Z': -0.09907954186201096}, {'X': 0.4267103970050812, 'Y': 0.6109679341316223, 'Z': -0.08522459864616394}, {'X': 0.43981099128723145, 'Y': 0.6330260038375854, 'Z': -0.06749068200588226}]
[{'X': 0.43654972314834595, 'Y': 0.7212892770767212, 'Z': -5.556671749218367e-05}, {'X': 0.3933756947517395, 'Y': 0.6810436248779297, 'Z': 0.009790459647774696}, {'X': 0.3716302812099457, 'Y': 0.5801922678947449, 'Z': 0.0048781633377075195}, {'X': 0.36105743050575256, 'Y': 0.5138247013092041, 'Z': -0.010967805981636047}, {'X': 0.34825265407562256, 'Y': 0.4577546715736389, 'Z': -0.028634684160351753}, {'X': 0.41947242617607117, 'Y': 0.4946337342262268, 'Z': 0.011722274124622345}, {'X': 0.3768690526485443, 'Y': 0.470858633518219, 'Z': -0.04379747062921524}, {'X': 0.3667415678501129, 'Y': 0.5331205129623413, 'Z': -0.07103956490755081}, {'X': 0.373399019241333, 'Y': 0.5731765031814575, 'Z': -0.07439802587032318}, {'X': 0.44376340508461, 'Y': 0.501604437828064, 'Z': -0.010095620527863503}, {'X': 0.391120970249176, 'Y': 0.4855799078941345, 'Z': -0.05891646444797516}, {'X': 0.38800048828125, 'Y': 0.5694349408149719, 'Z': -0.058140840381383896}, {'X': 0.4026292860507965, 'Y': 0.597993791103363, 'Z': -0.039446309208869934}, {'X': 0.4652443826198578, 'Y': 0.5228784084320068, 'Z': -0.04112078994512558}, {'X': 0.411897212266922, 'Y': 0.5194348692893982, 'Z': -0.08175063878297806}, {'X': 0.41178926825523376, 'Y': 0.5966307520866394, 'Z': -0.06406322121620178}, {'X': 0.4282197058200836, 'Y': 0.6235522031784058, 'Z': -0.040416132658720016}, {'X': 0.4805943965911865, 'Y': 0.554469108581543, 'Z': -0.07192295044660568}, {'X': 0.4344085156917572, 'Y': 0.5545142889022827, 'Z': -0.0915304571390152}, {'X': 0.43014487624168396, 'Y': 0.6078218221664429, 'Z': -0.0732477679848671}, {'X': 0.4457134008407593, 'Y': 0.6288998126983643, 'Z': -0.051021017134189606}]
[{'X': 0.43826034665107727, 'Y': 0.7210239171981812, 'Z': -5.5244778195628896e-05}, {'X': 0.3954155147075653, 'Y': 0.6780917644500732, 'Z': 0.009555651806294918}, {'X': 0.3742780089378357, 'Y': 0.5757740139961243, 'Z': 0.0055418298579752445}, {'X': 0.3648484945297241, 'Y': 0.5091504454612732, 'Z': -0.008734355680644512}, {'X': 0.3504783809185028, 'Y': 0.4515875279903412, 'Z': -0.02576875314116478}, {'X': 0.4212567210197449, 'Y': 0.49136441946029663, 'Z': 0.0126144764944911}, {'X': 0.3814707100391388, 'Y': 0.4683172106742859, 'Z': -0.04176399111747742}, {'X': 0.3700326979160309, 'Y': 0.5293633937835693, 'Z': -0.06923545151948929}, {'X': 0.37537387013435364, 'Y': 0.5687097311019897, 'Z': -0.07367083430290222}, {'X': 0.4455319344997406, 'Y': 0.49779969453811646, 'Z': -0.008685684762895107}, {'X': 0.39559483528137207, 'Y': 0.48229727149009705, 'Z': -0.055386610329151154}, {'X': 0.3907925486564636, 'Y': 0.5653080344200134, 'Z': -0.054382432252168655}, {'X': 0.40366965532302856, 'Y': 0.5959342122077942, 'Z': -0.0371413454413414}, {'X': 0.46734046936035156, 'Y': 0.5188329219818115, 'Z': -0.039099954068660736}, {'X': 0.4155315160751343, 'Y': 0.5143222212791443, 'Z': -0.07870850712060928}, {'X': 0.41411009430885315, 'Y': 0.5919848680496216, 'Z': -0.05992625653743744}, {'X': 0.42943274974823, 'Y': 0.6222090125083923, 'Z': -0.03540040925145149}, {'X': 0.48299890756607056, 'Y': 0.5517628192901611, 'Z': -0.06972960382699966}, {'X': 0.43837031722068787, 'Y': 0.5496416687965393, 'Z': -0.08956585079431534}, {'X': 0.43253985047340393, 'Y': 0.6022055745124817, 'Z': -0.07059100270271301}, {'X': 0.4462568163871765, 'Y': 0.6250776648521423, 'Z': -0.04817609861493111}]
