[{'X': 0.8213270306587219, 'Y': 0.1115611270070076, 'Z': 1.4304654541774653e-05}, {'X': 0.7961638569831848, 'Y': 0.034470804035663605, 'Z': 0.023287128657102585}, {'X': 0.7832863926887512, 'Y': 0.008060112595558167, 'Z': 0.053865328431129456}, {'X': 0.7691081762313843, 'Y': -0.0033904537558555603, 'Z': 0.07614205777645111}, {'X': 0.7535843849182129, 'Y': -0.007404796779155731, 'Z': 0.0932784229516983}, {'X': 0.8237013220787048, 'Y': 0.05438757687807083, 'Z': 0.14829836785793304}, {'X': 0.8139583468437195, 'Y': 0.05254276469349861, 'Z': 0.1862155944108963}, {'X': 0.807807445526123, 'Y': 0.06450545787811279, 'Z': 0.18393948674201965}, {'X': 0.8009700179100037, 'Y': 0.07797235250473022, 'Z': 0.18389727175235748}, {'X': 0.8335663676261902, 'Y': 0.08640547841787338, 'Z': 0.15134857594966888}, {'X': 0.8209116458892822, 'Y': 0.07842256128787994, 'Z': 0.18613508343696594}, {'X': 0.818507730960846, 'Y': 0.09074737131595612, 'Z': 0.15813854336738586}, {'X': 0.8161906599998474, 'Y': 0.09257626533508301, 'Z': 0.14949718117713928}, {'X': 0.8379138112068176, 'Y': 0.10160478949546814, 'Z': 0.15461105108261108}, {'X': 0.8262962102890015, 'Y': 0.08982051908969879, 'Z': 0.17925766110420227}, {'X': 0.8234944343566895, 'Y': 0.10115604102611542, 'Z': 0.14530669152736664}, {'X': 0.8220594525337219, 'Y': 0.09731262922286987, 'Z': 0.13267703354358673}, {'X': 0.8407017588615417, 'Y': 0.1034577414393425, 'Z': 0.15787994861602783}, {'X': 0.8329176306724548, 'Y': 0.1002139076590538, 'Z': 0.18598197400569916}, {'X': 0.8306487202644348, 'Y': 0.09944132715463638, 'Z': 0.17977088689804077}, {'X': 0.8302006125450134, 'Y': 0.09161508083343506, 'Z': 0.18743541836738586}]
[{'X': 0.7602272629737854, 'Y': 0.24647165834903717, 'Z': -8.035107748582959e-05}, {'X': 0.6971652507781982, 'Y': 0.20171421766281128, 'Z': -0.0453307181596756}, {'X': 0.6599221229553223, 'Y': 0.10129093378782272, 'Z': -0.07795170694589615}, {'X': 0.6470133662223816, 'Y': 0.0037185000255703926, 'Z': -0.10857246071100235}, {'X': 0.6396742463111877, 'Y': -0.07767775654792786, 'Z': -0.13487645983695984}, {'X': 0.7000510096549988, 'Y': -0.00885339267551899, 'Z': -0.05989754572510719}, {'X': 0.7016523480415344, 'Y': -0.1208762377500534, 'Z': -0.09278913587331772}, {'X': 0.7032408714294434, 'Y': -0.1251734495162964, 'Z': -0.1089923232793808}, {'X': 0.7054118514060974, 'Y': -0.10076344758272171, 'Z': -0.11827248334884644}, {'X': 0.7420259714126587, 'Y': -0.013817798346281052, 'Z': -0.05387474223971367}, {'X': 0.7460198998451233, 'Y': -0.1295531690120697, 'Z': -0.07994158565998077}, {'X': 0.7425939440727234, 'Y': -0.11750443279743195, 'Z': -0.0969119444489479}, {'X': 0.7409848570823669, 'Y': -0.09204311668872833, 'Z': -0.1084214448928833}, {'X': 0.7815380096435547, 'Y': -0.005117099266499281, 'Z': -0.051378242671489716}, {'X': 0.786660373210907, 'Y': -0.11837927252054214, 'Z': -0.0734279528260231}, {'X': 0.7835015654563904, 'Y': -0.12193379551172256, 'Z': -0.08422896265983582}, {'X': 0.7820972800254822, 'Y': -0.11014711111783981, 'Z': -0.09378526359796524}, {'X': 0.8197098970413208, 'Y': 0.0132145956158638, 'Z': -0.05211026966571808}, {'X': 0.8271076083183289, 'Y': -0.09238618612289429, 'Z': -0.0720740482211113}, {'X': 0.8222514390945435, 'Y': -0.12183938920497894, 'Z': -0.08264505863189697}, {'X': 0.8167231678962708, 'Y': -0.13673122227191925, 'Z': -0.09019831568002701}]
[{'X': 0.75494784116745, 'Y': 0.3395141363143921, 'Z': -9.580139885656536e-05}, {'X': 0.6908294558525085, 'Y': 0.2908182740211487, 'Z': -0.027611102908849716}, {'X': 0.6489300727844238, 'Y': 0.18885581195354462, 'Z': -0.04797828942537308}, {'X': 0.6313926577568054, 'Y': 0.09132064878940582, 'Z': -0.07510945945978165}, {'X': 0.6133900880813599, 'Y': 0.016698770225048065, 'Z': -0.1036863923072815}, {'X': 0.6904793977737427, 'Y': 0.0550348125398159, 'Z': 0.008289523422718048}, {'X': 0.6846610903739929, 'Y': -0.05818481743335724, 'Z': -0.00847565196454525}, {'X': 0.6866499781608582, 'Y': -0.13546372950077057, 'Z': -0.024274181574583054}, {'X': 0.6893579959869385, 'Y': -0.19985051453113556, 'Z': -0.032102592289447784}, {'X': 0.7301661372184753, 'Y': 0.04412515088915825, 'Z': 0.0012788601452484727}, {'X': 0.7236462831497192, 'Y': -0.07767494022846222, 'Z': -0.011822512373328209}, {'X': 0.7251899242401123, 'Y': -0.16030175983905792, 'Z': -0.024686386808753014}, {'X': 0.729692816734314, 'Y': -0.22952641546726227, 'Z': -0.02983839251101017}, {'X': 0.7694844603538513, 'Y': 0.051447466015815735, 'Z': -0.012355765327811241}, {'X': 0.7666866779327393, 'Y': -0.06406982243061066, 'Z': -0.023567762225866318}, {'X': 0.7695732116699219, 'Y': -0.1365087479352951, 'Z': -0.030094187706708908}, {'X': 0.7717304229736328, 'Y': -0.19607265293598175, 'Z': -0.032760947942733765}, {'X': 0.8103958964347839, 'Y': 0.07807140797376633, 'Z': -0.0298486165702343}, {'X': 0.8154025673866272, 'Y': -0.021379411220550537, 'Z': -0.03952394798398018}, {'X': 0.8194960355758667, 'Y': -0.08120805025100708, 'Z': -0.04305914789438248}, {'X': 0.8207983374595642, 'Y': -0.13543421030044556, 'Z': -0.04473179578781128}]
[{'X': 0.7420908212661743, 'Y': 0.41005444526672363, 'Z': -9.28809167817235e-05}, {'X': 0.6795099377632141, 'Y': 0.3646794259548187, 'Z': -0.023321913555264473}, {'X': 0.639256477355957, 'Y': 0.25618669390678406, 'Z': -0.0366445891559124}, {'X': 0.6225269436836243, 'Y': 0.15401476621627808, 'Z': -0.05541741102933884}, {'X': 0.599494993686676, 'Y': 0.08431022614240646, 'Z': -0.07079057395458221}, {'X': 0.6787766814231873, 'Y': 0.11694015562534332, 'Z': 0.0013406150974333286}, {'X': 0.6671260595321655, 'Y': -0.00046153366565704346, 'Z': -0.018790461122989655}, {'X': 0.6660861968994141, 'Y': -0.07843656837940216, 'Z': -0.03668314218521118}, {'X': 0.6670894622802734, 'Y': -0.14491890370845795, 'Z': -0.04937218129634857}, {'X': 0.7194811701774597, 'Y': 0.10525321960449219, 'Z': -0.006566655356436968}, {'X': 0.7131350636482239, 'Y': -0.025878652930259705, 'Z': -0.022507701069116592}, {'X': 0.7128768563270569, 'Y': -0.11206349730491638, 'Z': -0.039432235062122345}, {'X': 0.7139092087745667, 'Y': -0.18744681775569916, 'Z': -0.05111903324723244}, {'X': 0.7588495016098022, 'Y': 0.11511469632387161, 'Z': -0.019147928804159164}, {'X': 0.7570991516113281, 'Y': -0.0075082480907440186, 'Z': -0.03200950846076012}, {'X': 0.7585012912750244, 'Y': -0.08540409803390503, 'Z': -0.037663254886865616}, {'X': 0.7592800259590149, 'Y': -0.1527763158082962, 'Z': -0.04120693355798721}, {'X': 0.7998738288879395, 'Y': 0.14664985239505768, 'Z': -0.035349566489458084}, {'X': 0.8059069514274597, 'Y': 0.04439295828342438, 'Z': -0.048121605068445206}, {'X': 0.8107305765151978, 'Y': -0.01942630112171173, 'Z': -0.05224429816007614}, {'X': 0.8127498030662537, 'Y': -0.07855471968650818, 'Z': -0.05498809367418289}]
[{'X': 0.7416881918907166, 'Y': 0.46596360206604004, 'Z': -8.582906593801454e-05}, {'X': 0.6776793003082275, 'Y': 0.4273282587528229, 'Z': -0.03141150251030922}, {'X': 0.6355814933776855, 'Y': 0.32344621419906616, 'Z': -0.04771929234266281}, {'X': 0.617522120475769, 'Y': 0.223798006772995, 'Z': -0.06827710568904877}, {'X': 0.5966734886169434, 'Y': 0.1486516147851944, 'Z': -0.09018468856811523}, {'X': 0.674506664276123, 'Y': 0.18463052809238434, 'Z': 0.0017835040343925357}, {'X': 0.6571521162986755, 'Y': 0.07441191375255585, 'Z': -0.022416360676288605}, {'X': 0.6514812111854553, 'Y': 0.0022296756505966187, 'Z': -0.044262807816267014}, {'X': 0.648056149482727, 'Y': -0.06276276707649231, 'Z': -0.056926287710666656}, {'X': 0.716547429561615, 'Y': 0.16954728960990906, 'Z': -0.004360405262559652}, {'X': 0.705876350402832, 'Y': 0.04955296218395233, 'Z': -0.022274117916822433}, {'X': 0.7019112706184387, 'Y': -0.02822887897491455, 'Z': -0.045493680983781815}, {'X': 0.6993089914321899, 'Y': -0.09615588188171387, 'Z': -0.06089705973863602}, {'X': 0.7563623189926147, 'Y': 0.17751148343086243, 'Z': -0.016490742564201355}, {'X': 0.7525834441184998, 'Y': 0.05911746621131897, 'Z': -0.032993800938129425}, {'X': 0.7537505626678467, 'Y': -0.013660550117492676, 'Z': -0.05079435929656029}, {'X': 0.7530864477157593, 'Y': -0.07859191298484802, 'Z': -0.06419886648654938}, {'X': 0.7965150475502014, 'Y': 0.20712849497795105, 'Z': -0.033108245581388474}, {'X': 0.8020803928375244, 'Y': 0.10817170143127441, 'Z': -0.04887387529015541}, {'X': 0.8049339056015015, 'Y': 0.04471693933010101, 'Z': -0.06172564998269081}, {'X': 0.8039162755012512, 'Y': -0.01682598888874054, 'Z': -0.07273460179567337}]
[{'X': 0.7305648922920227, 'Y': 0.5233525037765503, 'Z': -5.949570913799107e-05}, {'X': 0.6730679273605347, 'Y': 0.49234887957572937, 'Z': -0.03401757404208183}, {'X': 0.6335574984550476, 'Y': 0.3851813077926636, 'Z': -0.05298028513789177}, {'X': 0.6161184906959534, 'Y': 0.28157341480255127, 'Z': -0.07167185842990875}, {'X': 0.5937372446060181, 'Y': 0.20871815085411072, 'Z': -0.09036581218242645}, {'X': 0.674355149269104, 'Y': 0.255556583404541, 'Z': -0.024316130205988884}, {'X': 0.6603801250457764, 'Y': 0.14439421892166138, 'Z': -0.05060095712542534}, {'X': 0.653282642364502, 'Y': 0.07173848152160645, 'Z': -0.07297773659229279}, {'X': 0.6478466987609863, 'Y': 0.007053345441818237, 'Z': -0.09107954800128937}, {'X': 0.715830385684967, 'Y': 0.2398102879524231, 'Z': -0.028586778789758682}, {'X': 0.7091311812400818, 'Y': 0.10469378530979156, 'Z': -0.051311787217855453}, {'X': 0.7046639919281006, 'Y': 0.013903409242630005, 'Z': -0.07722890377044678}, {'X': 0.7022594809532166, 'Y': -0.0691554844379425, 'Z': -0.0996895432472229}, {'X': 0.7569147348403931, 'Y': 0.25030267238616943, 'Z': -0.037575896829366684}, {'X': 0.7525666952133179, 'Y': 0.11871227622032166, 'Z': -0.056485988199710846}, {'X': 0.74832683801651, 'Y': 0.033956050872802734, 'Z': -0.0786786898970604}, {'X': 0.7443337440490723, 'Y': -0.04353964328765869, 'Z': -0.09984991699457169}, {'X': 0.7983902096748352, 'Y': 0.28235316276550293, 'Z': -0.04852454364299774}, {'X': 0.8040993213653564, 'Y': 0.17860093712806702, 'Z': -0.06692032516002655}, {'X': 0.8053414821624756, 'Y': 0.11149132251739502, 'Z': -0.08262196183204651}, {'X': 0.8047025799751282, 'Y': 0.04839704930782318, 'Z': -0.09871336817741394}]
[{'X': 0.7330631017684937, 'Y': 0.5785571336746216, 'Z': -8.713606803212315e-05}, {'X': 0.6731451153755188, 'Y': 0.5484795570373535, 'Z': -0.03674229606986046}, {'X': 0.6343551874160767, 'Y': 0.44318023324012756, 'Z': -0.057029154151678085}, {'X': 0.6188783645629883, 'Y': 0.34210991859436035, 'Z': -0.07837215065956116}, {'X': 0.5975778102874756, 'Y': 0.26593825221061707, 'Z': -0.10095495730638504}, {'X': 0.6760877370834351, 'Y': 0.3122286796569824, 'Z': -0.026770083233714104}, {'X': 0.6620606780052185, 'Y': 0.19536271691322327, 'Z': -0.05056048929691315}, {'X': 0.6545625925064087, 'Y': 0.1214236319065094, 'Z': -0.0688331127166748}, {'X': 0.6494314074516296, 'Y': 0.05515679717063904, 'Z': -0.0830216333270073}, {'X': 0.7167495489120483, 'Y': 0.2986903786659241, 'Z': -0.029518254101276398}, {'X': 0.7097600698471069, 'Y': 0.16647446155548096, 'Z': -0.04682632163167}, {'X': 0.7059459090232849, 'Y': 0.08212372660636902, 'Z': -0.07234154641628265}, {'X': 0.7038659453392029, 'Y': 0.003656327724456787, 'Z': -0.09511443972587585}, {'X': 0.7560911774635315, 'Y': 0.3100660443305969, 'Z': -0.036215972155332565}, {'X': 0.753541886806488, 'Y': 0.1837732344865799, 'Z': -0.052108392119407654}, {'X': 0.7506269812583923, 'Y': 0.10603131353855133, 'Z': -0.07590906322002411}, {'X': 0.7471182346343994, 'Y': 0.03520408272743225, 'Z': -0.09747102856636047}, {'X': 0.7969963550567627, 'Y': 0.3411950469017029, 'Z': -0.04534061625599861}, {'X': 0.8035996556282043, 'Y': 0.24162396788597107, 'Z': -0.06395760178565979}, {'X': 0.8062362670898438, 'Y': 0.17956481873989105, 'Z': -0.08247347176074982}, {'X': 0.8060405254364014, 'Y': 0.12032739818096161, 'Z': -0.10129837691783905}]
[{'X': 0.7306562662124634, 'Y': 0.6200994253158569, 'Z': -5.4656968131894246e-05}, {'X': 0.6729334592819214, 'Y': 0.5953829288482666, 'Z': -0.043301958590745926}, {'X': 0.6334137916564941, 'Y': 0.4890402853488922, 'Z': -0.06212593987584114}, {'X': 0.6189584136009216, 'Y': 0.3891414701938629, 'Z': -0.08072943240404129}, {'X': 0.5970183610916138, 'Y': 0.31563106179237366, 'Z': -0.09991317987442017}, {'X': 0.6756423115730286, 'Y': 0.3655371367931366, 'Z': -0.03201668709516525}, {'X': 0.6623039841651917, 'Y': 0.24368992447853088, 'Z': -0.05564295873045921}, {'X': 0.6550439596176147, 'Y': 0.17075595259666443, 'Z': -0.07259935885667801}, {'X': 0.6513761878013611, 'Y': 0.10427454113960266, 'Z': -0.08669521659612656}, {'X': 0.7155419588088989, 'Y': 0.3545081615447998, 'Z': -0.03370247408747673}, {'X': 0.7093469500541687, 'Y': 0.21670934557914734, 'Z': -0.0512717105448246}, {'X': 0.705995500087738, 'Y': 0.1332724243402481, 'Z': -0.08010168373584747}, {'X': 0.7046011686325073, 'Y': 0.0569913387298584, 'Z': -0.10234735906124115}, {'X': 0.7540214657783508, 'Y': 0.36790090799331665, 'Z': -0.03894658014178276}, {'X': 0.7534487247467041, 'Y': 0.23593564331531525, 'Z': -0.05688541755080223}, {'X': 0.7507842779159546, 'Y': 0.15490509569644928, 'Z': -0.08877363055944443}, {'X': 0.7470459342002869, 'Y': 0.08198103308677673, 'Z': -0.11564888805150986}, {'X': 0.7935731410980225, 'Y': 0.4017692804336548, 'Z': -0.04652519151568413}, {'X': 0.8024666905403137, 'Y': 0.30281710624694824, 'Z': -0.07126238197088242}, {'X': 0.8065111041069031, 'Y': 0.2417159527540207, 'Z': -0.09611810743808746}, {'X': 0.8072279095649719, 'Y': 0.18179622292518616, 'Z': -0.11781609058380127}]
[{'X': 0.7287185192108154, 'Y': 0.6608903408050537, 'Z': -6.936513091204688e-05}, {'X': 0.6711180210113525, 'Y': 0.6376876831054688, 'Z': -0.041035883128643036}, {'X': 0.6325402855873108, 'Y': 0.5355856418609619, 'Z': -0.05952407792210579}, {'X': 0.618381917476654, 'Y': 0.4396689236164093, 'Z': -0.07843265682458878}, {'X': 0.5974057912826538, 'Y': 0.3638725280761719, 'Z': -0.09868309646844864}, {'X': 0.6765719652175903, 'Y': 0.4150451719760895, 'Z': -0.03107435628771782}, {'X': 0.6644350290298462, 'Y': 0.29430606961250305, 'Z': -0.05924633890390396}, {'X': 0.656865119934082, 'Y': 0.22095713019371033, 'Z': -0.0800289586186409}, {'X': 0.6530324816703796, 'Y': 0.15390834212303162, 'Z': -0.09470117092132568}, {'X': 0.716198742389679, 'Y': 0.40457284450531006, 'Z': -0.033937789499759674}, {'X': 0.7117410898208618, 'Y': 0.2702719569206238, 'Z': -0.05525857210159302}, {'X': 0.7088309526443481, 'Y': 0.18547172844409943, 'Z': -0.08643368631601334}, {'X': 0.7087868452072144, 'Y': 0.10739555954933167, 'Z': -0.1100931465625763}, {'X': 0.7543627023696899, 'Y': 0.41941821575164795, 'Z': -0.04075797274708748}, {'X': 0.7559267282485962, 'Y': 0.2908007800579071, 'Z': -0.06008550524711609}, {'X': 0.7542263865470886, 'Y': 0.20863127708435059, 'Z': -0.09429541230201721}, {'X': 0.7519469261169434, 'Y': 0.1343204379081726, 'Z': -0.12274059653282166}, {'X': 0.7939940094947815, 'Y': 0.4535011947154999, 'Z': -0.05020943656563759}, {'X': 0.8047267198562622, 'Y': 0.3544181287288666, 'Z': -0.07387564331293106}, {'X': 0.8082351684570312, 'Y': 0.29235148429870605, 'Z': -0.09898220747709274}, {'X': 0.8095015287399292, 'Y': 0.23207628726959229, 'Z': -0.12110143899917603}]
[{'X': 0.727723240852356, 'Y': 0.7092462778091431, 'Z': -6.810533523093909e-05}, {'X': 0.6699440479278564, 'Y': 0.6820981502532959, 'Z': -0.04196936637163162}, {'X': 0.6328344941139221, 'Y': 0.5805585384368896, 'Z': -0.06254292279481888}, {'X': 0.619771420955658, 'Y': 0.48682767152786255, 'Z': -0.08216637372970581}, {'X': 0.59905606508255, 'Y': 0.4135544002056122, 'Z': -0.10277067124843597}, {'X': 0.6758624315261841, 'Y': 0.4594707489013672, 'Z': -0.03637580946087837}, {'X': 0.6655018329620361, 'Y': 0.3406834304332733, 'Z': -0.06664242595434189}, {'X': 0.6593436598777771, 'Y': 0.26895368099212646, 'Z': -0.08977912366390228}, {'X': 0.6564776301383972, 'Y': 0.2014126181602478, 'Z': -0.10703539848327637}, {'X': 0.7157566547393799, 'Y': 0.44939324259757996, 'Z': -0.03981458768248558}, {'X': 0.7128452658653259, 'Y': 0.31935563683509827, 'Z': -0.06320377439260483}, {'X': 0.7100592851638794, 'Y': 0.23568131029605865, 'Z': -0.09489425271749496}, {'X': 0.7094864845275879, 'Y': 0.15649843215942383, 'Z': -0.1184186264872551}, {'X': 0.7537102103233337, 'Y': 0.4647064805030823, 'Z': -0.04655199870467186}, {'X': 0.7572163939476013, 'Y': 0.33819058537483215, 'Z': -0.06863033026456833}, {'X': 0.756847620010376, 'Y': 0.25400760769844055, 'Z': -0.1021450087428093}, {'X': 0.7555577158927917, 'Y': 0.17609047889709473, 'Z': -0.1292411983013153}, {'X': 0.7923072576522827, 'Y': 0.5015842914581299, 'Z': -0.05592252314090729}, {'X': 0.8051210641860962, 'Y': 0.4044319689273834, 'Z': -0.07928488403558731}, {'X': 0.8102033734321594, 'Y': 0.3429466485977173, 'Z': -0.10327795892953873}, {'X': 0.8118939995765686, 'Y': 0.28081998229026794, 'Z': -0.1238432377576828}]
[{'X': 0.723651647567749, 'Y': 0.7352442741394043, 'Z': -7.132156315492466e-05}, {'X': 0.6655447483062744, 'Y': 0.7126801609992981, 'Z': -0.0415133535861969}, {'X': 0.6300055980682373, 'Y': 0.6184672713279724, 'Z': -0.06315907835960388}, {'X': 0.6179781556129456, 'Y': 0.529289186000824, 'Z': -0.08526043593883514}, {'X': 0.5963021516799927, 'Y': 0.45407915115356445, 'Z': -0.11235525459051132}, {'X': 0.6738986372947693, 'Y': 0.5043780207633972, 'Z': -0.04710330441594124}, {'X': 0.665956437587738, 'Y': 0.38683900237083435, 'Z': -0.08022946119308472}, {'X': 0.6603778004646301, 'Y': 0.31396621465682983, 'Z': -0.10709977149963379}, {'X': 0.6565235257148743, 'Y': 0.2450290471315384, 'Z': -0.12502455711364746}, {'X': 0.7131211161613464, 'Y': 0.4968918263912201, 'Z': -0.05197716876864433}, {'X': 0.7145798802375793, 'Y': 0.37090280652046204, 'Z': -0.0787629783153534}, {'X': 0.7118663191795349, 'Y': 0.28458327054977417, 'Z': -0.11021837592124939}, {'X': 0.711529016494751, 'Y': 0.20633265376091003, 'Z': -0.13611193001270294}, {'X': 0.7512964606285095, 'Y': 0.5161794424057007, 'Z': -0.06059873849153519}, {'X': 0.7577080726623535, 'Y': 0.39481762051582336, 'Z': -0.08527126163244247}, {'X': 0.7566825151443481, 'Y': 0.30953243374824524, 'Z': -0.12014140188694}, {'X': 0.7554662823677063, 'Y': 0.23191380500793457, 'Z': -0.15008924901485443}, {'X': 0.7911124229431152, 'Y': 0.5565741062164307, 'Z': -0.07252570986747742}, {'X': 0.8047350645065308, 'Y': 0.462434321641922, 'Z': -0.09990768879652023}, {'X': 0.8074055314064026, 'Y': 0.4031533896923065, 'Z': -0.12591896951198578}, {'X': 0.8077235221862793, 'Y': 0.3427528738975525, 'Z': -0.14816035330295563}]
