[{'X': 0.6992337107658386, 'Y': 0.7273894548416138, 'Z': -5.258473538560793e-05}, {'X': 0.6472580432891846, 'Y': 0.7043501734733582, 'Z': -0.022349078208208084}, {'X': 0.6053900122642517, 'Y': 0.6534993052482605, 'Z': -0.029858309775590897}, {'X': 0.5789937973022461, 'Y': 0.6065177321434021, 'Z': -0.04165112227201462}, {'X': 0.555651068687439, 'Y': 0.5807863473892212, 'Z': -0.05265946313738823}, {'X': 0.6448636651039124, 'Y': 0.5595965385437012, 'Z': 0.00814043078571558}, {'X': 0.6258924007415771, 'Y': 0.49200618267059326, 'Z': 0.0011660229647532105}, {'X': 0.6155523657798767, 'Y': 0.45257070660591125, 'Z': -0.007590563502162695}, {'X': 0.6075244545936584, 'Y': 0.41943031549453735, 'Z': -0.01672254502773285}, {'X': 0.6790179014205933, 'Y': 0.5511407256126404, 'Z': 0.007213194854557514}, {'X': 0.6788918375968933, 'Y': 0.4791334569454193, 'Z': 0.012970552779734135}, {'X': 0.6793264746665955, 'Y': 0.43722450733184814, 'Z': 0.0020799681078642607}, {'X': 0.6797403693199158, 'Y': 0.40136706829071045, 'Z': -0.009071454405784607}, {'X': 0.7098104953765869, 'Y': 0.5605641007423401, 'Z': 0.001207171706482768}, {'X': 0.7171474099159241, 'Y': 0.49536246061325073, 'Z': -0.00016151827003341168}, {'X': 0.7208252549171448, 'Y': 0.4574015438556671, 'Z': -0.01290941797196865}, {'X': 0.7209264039993286, 'Y': 0.42373037338256836, 'Z': -0.023856038227677345}, {'X': 0.7391538023948669, 'Y': 0.5831223130226135, 'Z': -0.008593892678618431}, {'X': 0.7558825612068176, 'Y': 0.5359416604042053, 'Z': -0.019847938790917397}, {'X': 0.7655905485153198, 'Y': 0.5084596872329712, 'Z': -0.03236816078424454}, {'X': 0.7712251543998718, 'Y': 0.48151829838752747, 'Z': -0.04097449406981468}]
[{'X': 0.6960579752922058, 'Y': 0.7240111231803894, 'Z': -3.496748104225844e-05}, {'X': 0.6433596014976501, 'Y': 0.6973781585693359, 'Z': -0.02367156744003296}, {'X': 0.6022062301635742, 'Y': 0.6456044316291809, 'Z': -0.032313209027051926}, {'X': 0.5762569904327393, 'Y': 0.6000293493270874, 'Z': -0.04528959468007088}, {'X': 0.5542260408401489, 'Y': 0.5708110928535461, 'Z': -0.058321233838796616}, {'X': 0.6457250118255615, 'Y': 0.5507748126983643, 'Z': 0.007257360965013504}, {'X': 0.6263442039489746, 'Y': 0.4828219413757324, 'Z': -0.0009493553661741316}, {'X': 0.6157650947570801, 'Y': 0.44279995560646057, 'Z': -0.012681434862315655}, {'X': 0.607246458530426, 'Y': 0.40881603956222534, 'Z': -0.024092236533761024}, {'X': 0.6805821657180786, 'Y': 0.5441696047782898, 'Z': 0.006405702326446772}, {'X': 0.6829310059547424, 'Y': 0.4715418815612793, 'Z': 0.011422043666243553}, {'X': 0.6848765015602112, 'Y': 0.43057602643966675, 'Z': -0.001442645792849362}, {'X': 0.6864697337150574, 'Y': 0.39716246724128723, 'Z': -0.014696413651108742}, {'X': 0.7112552523612976, 'Y': 0.5549521446228027, 'Z': 0.00013326783664524555}, {'X': 0.7196624875068665, 'Y': 0.48917412757873535, 'Z': -0.0009693126194179058}, {'X': 0.7238811254501343, 'Y': 0.4508911669254303, 'Z': -0.015438350848853588}, {'X': 0.7247247695922852, 'Y': 0.4180801510810852, 'Z': -0.028219789266586304}, {'X': 0.7404077053070068, 'Y': 0.5782943367958069, 'Z': -0.0099221495911479}, {'X': 0.7585524916648865, 'Y': 0.5303922295570374, 'Z': -0.019375216215848923}, {'X': 0.768200159072876, 'Y': 0.5031192302703857, 'Z': -0.0316886268556118}, {'X': 0.7736091613769531, 'Y': 0.47727280855178833, 'Z': -0.04105520620942116}]
[{'X': 0.6939271688461304, 'Y': 0.7295419573783875, 'Z': -3.983514034189284e-05}, {'X': 0.6419013142585754, 'Y': 0.7016324400901794, 'Z': -0.026024436578154564}, {'X': 0.6006922125816345, 'Y': 0.6500964760780334, 'Z': -0.03962521627545357}, {'X': 0.5741251707077026, 'Y': 0.6038795709609985, 'Z': -0.0575701929628849}, {'X': 0.5511835217475891, 'Y': 0.5749865770339966, 'Z': -0.07509980350732803}, {'X': 0.6427415013313293, 'Y': 0.5513187050819397, 'Z': -0.005423071328550577}, {'X': 0.6233376860618591, 'Y': 0.4832790791988373, 'Z': -0.019472025334835052}, {'X': 0.612633228302002, 'Y': 0.44377803802490234, 'Z': -0.0346500389277935}, {'X': 0.6034470200538635, 'Y': 0.4090254306793213, 'Z': -0.047641269862651825}, {'X': 0.6780032515525818, 'Y': 0.5447332262992859, 'Z': -0.00695923063904047}, {'X': 0.6796212792396545, 'Y': 0.4706752300262451, 'Z': -0.008605029433965683}, {'X': 0.6802073121070862, 'Y': 0.4255784749984741, 'Z': -0.024122346192598343}, {'X': 0.6794434189796448, 'Y': 0.38699132204055786, 'Z': -0.03839019685983658}, {'X': 0.7086104154586792, 'Y': 0.5563896894454956, 'Z': -0.012735327705740929}, {'X': 0.718316912651062, 'Y': 0.4892062544822693, 'Z': -0.018729884177446365}, {'X': 0.7225286364555359, 'Y': 0.4481980800628662, 'Z': -0.03360390290617943}, {'X': 0.7220014333724976, 'Y': 0.41226494312286377, 'Z': -0.04543502628803253}, {'X': 0.7371940612792969, 'Y': 0.5810367465019226, 'Z': -0.02241571620106697}, {'X': 0.7540977001190186, 'Y': 0.5312708616256714, 'Z': -0.036067452281713486}, {'X': 0.7619247436523438, 'Y': 0.5016278028488159, 'Z': -0.04986324906349182}, {'X': 0.7648559212684631, 'Y': 0.47397491335868835, 'Z': -0.05870708078145981}]
[{'X': 0.6937509775161743, 'Y': 0.7155101895332336, 'Z': -2.4810677132336423e-05}, {'X': 0.6413049101829529, 'Y': 0.6925711035728455, 'Z': -0.03430991619825363}, {'X': 0.601542592048645, 'Y': 0.6429451704025269, 'Z': -0.049099817872047424}, {'X': 0.5761400461196899, 'Y': 0.597342848777771, 'Z': -0.06520513445138931}, {'X': 0.5510292053222656, 'Y': 0.5693418979644775, 'Z': -0.084549181163311}, {'X': 0.6422144770622253, 'Y': 0.5499073266983032, 'Z': -0.019350295886397362}, {'X': 0.6255168914794922, 'Y': 0.48444947600364685, 'Z': -0.03721018135547638}, {'X': 0.6162056922912598, 'Y': 0.44189634919166565, 'Z': -0.058081187307834625}, {'X': 0.6090103387832642, 'Y': 0.4055671989917755, 'Z': -0.07302326709032059}, {'X': 0.6765179634094238, 'Y': 0.5425314903259277, 'Z': -0.018948284909129143}, {'X': 0.6799416542053223, 'Y': 0.4679361879825592, 'Z': -0.02402539551258087}, {'X': 0.681414783000946, 'Y': 0.4207700490951538, 'Z': -0.04311012476682663}, {'X': 0.6824907064437866, 'Y': 0.3806230127811432, 'Z': -0.059059061110019684}, {'X': 0.7076725363731384, 'Y': 0.5530343651771545, 'Z': -0.023251445963978767}, {'X': 0.7166612148284912, 'Y': 0.486037015914917, 'Z': -0.03430606424808502}, {'X': 0.7215577363967896, 'Y': 0.44574713706970215, 'Z': -0.05313390493392944}, {'X': 0.7236100435256958, 'Y': 0.41164982318878174, 'Z': -0.06645331531763077}, {'X': 0.7377481460571289, 'Y': 0.5777320861816406, 'Z': -0.03185860440135002}, {'X': 0.756945788860321, 'Y': 0.5326918959617615, 'Z': -0.048847854137420654}, {'X': 0.7673649787902832, 'Y': 0.5041588544845581, 'Z': -0.06343263387680054}, {'X': 0.7738077044487, 'Y': 0.4786919951438904, 'Z': -0.07287373393774033}]
[{'X': 0.6749463081359863, 'Y': 0.7020502686500549, 'Z': -5.5792097555240616e-05}, {'X': 0.6349502205848694, 'Y': 0.667447030544281, 'Z': -0.011542336083948612}, {'X': 0.608074426651001, 'Y': 0.6068729758262634, 'Z': -0.0202903151512146}, {'X': 0.5946605801582336, 'Y': 0.5541204810142517, 'Z': -0.03169357031583786}, {'X': 0.5730398297309875, 'Y': 0.5255712866783142, 'Z': -0.04431301727890968}, {'X': 0.6482680439949036, 'Y': 0.5453388094902039, 'Z': -0.008511684834957123}, {'X': 0.660309374332428, 'Y': 0.4776240587234497, 'Z': -0.016206689178943634}, {'X': 0.6681972146034241, 'Y': 0.43769264221191406, 'Z': -0.02205967716872692}, {'X': 0.6738089323043823, 'Y': 0.4029240012168884, 'Z': -0.028007974848151207}, {'X': 0.6765033006668091, 'Y': 0.5508129000663757, 'Z': -0.012774650938808918}, {'X': 0.678852915763855, 'Y': 0.4974247217178345, 'Z': -0.02424032986164093}, {'X': 0.6781825423240662, 'Y': 0.47135308384895325, 'Z': -0.038744647055864334}, {'X': 0.6772918105125427, 'Y': 0.4484114944934845, 'Z': -0.04891879856586456}, {'X': 0.7022771835327148, 'Y': 0.5694522261619568, 'Z': -0.0177600160241127}, {'X': 0.7005793452262878, 'Y': 0.5395987033843994, 'Z': -0.03249090164899826}, {'X': 0.6930740475654602, 'Y': 0.559594452381134, 'Z': -0.04492746666073799}, {'X': 0.6882561445236206, 'Y': 0.5742975473403931, 'Z': -0.052024949342012405}, {'X': 0.7275076508522034, 'Y': 0.5970538258552551, 'Z': -0.023195069283246994}, {'X': 0.7368067502975464, 'Y': 0.5610207915306091, 'Z': -0.040394291281700134}, {'X': 0.7396042943000793, 'Y': 0.5507909059524536, 'Z': -0.04666655510663986}, {'X': 0.7423954606056213, 'Y': 0.54238361120224, 'Z': -0.05042193457484245}]
[{'X': 0.6825015544891357, 'Y': 0.722937285900116, 'Z': -3.980873589171097e-05}, {'X': 0.6364548206329346, 'Y': 0.6729308366775513, 'Z': -0.0029656023252755404}, {'X': 0.6092719435691833, 'Y': 0.6055502891540527, 'Z': -0.003060963936150074}, {'X': 0.592904806137085, 'Y': 0.5521372556686401, 'Z': -0.005721963942050934}, {'X': 0.5743722915649414, 'Y': 0.5273706316947937, 'Z': -0.010911231860518456}, {'X': 0.6458355784416199, 'Y': 0.560752809047699, 'Z': 0.006783351302146912}, {'X': 0.6474626660346985, 'Y': 0.48565104603767395, 'Z': -0.005436948500573635}, {'X': 0.6461902260780334, 'Y': 0.44513431191444397, 'Z': -0.010435882955789566}, {'X': 0.645666241645813, 'Y': 0.4123024344444275, 'Z': -0.013784727081656456}, {'X': 0.6734924912452698, 'Y': 0.5631979703903198, 'Z': -0.0017381731886416674}, {'X': 0.6551992297172546, 'Y': 0.5542999505996704, 'Z': -0.03301611542701721}, {'X': 0.649727463722229, 'Y': 0.5964832901954651, 'Z': -0.04392090439796448}, {'X': 0.6510245203971863, 'Y': 0.6220954656600952, 'Z': -0.042306359857320786}, {'X': 0.6974467635154724, 'Y': 0.5725805759429932, 'Z': -0.012480521574616432}, {'X': 0.6851522326469421, 'Y': 0.5523590445518494, 'Z': -0.03277285397052765}, {'X': 0.6770308017730713, 'Y': 0.5856472253799438, 'Z': -0.03341927006840706}, {'X': 0.6742089986801147, 'Y': 0.6077908873558044, 'Z': -0.029208607971668243}, {'X': 0.720757246017456, 'Y': 0.5841401219367981, 'Z': -0.025169532746076584}, {'X': 0.7296413779258728, 'Y': 0.5402388572692871, 'Z': -0.034692712128162384}, {'X': 0.7322971820831299, 'Y': 0.512679934501648, 'Z': -0.03342261165380478}, {'X': 0.7344668507575989, 'Y': 0.4888373911380768, 'Z': -0.03170483559370041}]
[{'X': 0.6788212060928345, 'Y': 0.7033352255821228, 'Z': -6.74682087264955e-05}, {'X': 0.6319200992584229, 'Y': 0.6678772568702698, 'Z': -0.0007419111207127571}, {'X': 0.6010534763336182, 'Y': 0.6090980768203735, 'Z': -0.0033448655158281326}, {'X': 0.5823006629943848, 'Y': 0.5598190426826477, 'Z': -0.01189285609871149}, {'X': 0.560242235660553, 'Y': 0.5374739170074463, 'Z': -0.02368946000933647}, {'X': 0.6365329623222351, 'Y': 0.5559335947036743, 'Z': 0.0016244755825027823}, {'X': 0.639743447303772, 'Y': 0.49190592765808105, 'Z': -0.0050743333995342255}, {'X': 0.6401285529136658, 'Y': 0.4561491012573242, 'Z': -0.007620465476065874}, {'X': 0.6388162970542908, 'Y': 0.42647403478622437, 'Z': -0.010062647052109241}, {'X': 0.6640500426292419, 'Y': 0.5585941672325134, 'Z': -0.0077285729348659515}, {'X': 0.6615915298461914, 'Y': 0.4925941228866577, 'Z': -0.020547159016132355}, {'X': 0.6570726037025452, 'Y': 0.4562447667121887, 'Z': -0.03339743986725807}, {'X': 0.6522011160850525, 'Y': 0.42413151264190674, 'Z': -0.04332692548632622}, {'X': 0.6903050541877747, 'Y': 0.569434404373169, 'Z': -0.01793941669166088}, {'X': 0.6773225665092468, 'Y': 0.536030113697052, 'Z': -0.03261028975248337}, {'X': 0.6619587540626526, 'Y': 0.5590903759002686, 'Z': -0.03689191862940788}, {'X': 0.6513437032699585, 'Y': 0.5750346183776855, 'Z': -0.03771026432514191}, {'X': 0.7164310812950134, 'Y': 0.5869770050048828, 'Z': -0.028245091438293457}, {'X': 0.7265505194664001, 'Y': 0.5452504754066467, 'Z': -0.035347193479537964}, {'X': 0.7313189506530762, 'Y': 0.5198156237602234, 'Z': -0.0396944098174572}, {'X': 0.7351226210594177, 'Y': 0.4933152198791504, 'Z': -0.04454059526324272}]
[{'X': 0.6754502654075623, 'Y': 0.7094434499740601, 'Z': -4.371814429759979e-05}, {'X': 0.6263751983642578, 'Y': 0.6693066358566284, 'Z': -0.0144093818962574}, {'X': 0.5903052687644958, 'Y': 0.6200484037399292, 'Z': -0.027874110266566277}, {'X': 0.5668845176696777, 'Y': 0.5759293437004089, 'Z': -0.04581756144762039}, {'X': 0.5457381010055542, 'Y': 0.5433439612388611, 'Z': -0.06535030156373978}, {'X': 0.6244005560874939, 'Y': 0.5612180233001709, 'Z': -0.002200652379542589}, {'X': 0.619865357875824, 'Y': 0.5171772837638855, 'Z': -0.026342665776610374}, {'X': 0.621316134929657, 'Y': 0.5170949101448059, 'Z': -0.05198102816939354}, {'X': 0.6235486268997192, 'Y': 0.532646119594574, 'Z': -0.06837812811136246}, {'X': 0.652916669845581, 'Y': 0.552933394908905, 'Z': -0.006250100210309029}, {'X': 0.6485123634338379, 'Y': 0.4908811151981354, 'Z': -0.013575984165072441}, {'X': 0.6483164429664612, 'Y': 0.46758267283439636, 'Z': -0.027859143912792206}, {'X': 0.644368052482605, 'Y': 0.45785337686538696, 'Z': -0.04140814021229744}, {'X': 0.6816227436065674, 'Y': 0.5604822635650635, 'Z': -0.016088690608739853}, {'X': 0.6814604997634888, 'Y': 0.49901676177978516, 'Z': -0.022892331704497337}, {'X': 0.6803317070007324, 'Y': 0.47656339406967163, 'Z': -0.037134718149900436}, {'X': 0.6739066243171692, 'Y': 0.4649859070777893, 'Z': -0.05106106400489807}, {'X': 0.7120406031608582, 'Y': 0.5807409882545471, 'Z': -0.027124205604195595}, {'X': 0.7234235405921936, 'Y': 0.5390013456344604, 'Z': -0.034730274230241776}, {'X': 0.7271627187728882, 'Y': 0.5203384757041931, 'Z': -0.04103541001677513}, {'X': 0.7239702343940735, 'Y': 0.5061615705490112, 'Z': -0.0459696426987648}]
[{'X': 0.6691208481788635, 'Y': 0.6976984143257141, 'Z': -4.5040254917694256e-05}, {'X': 0.6194886565208435, 'Y': 0.667215883731842, 'Z': -0.015584014356136322}, {'X': 0.5824536085128784, 'Y': 0.6247215270996094, 'Z': -0.027498923242092133}, {'X': 0.5578570365905762, 'Y': 0.5853798389434814, 'Z': -0.0419243760406971}, {'X': 0.5442628264427185, 'Y': 0.5523765087127686, 'Z': -0.05388110131025314}, {'X': 0.6192588806152344, 'Y': 0.5649546384811401, 'Z': 0.0001265079336008057}, {'X': 0.6090348958969116, 'Y': 0.5192152857780457, 'Z': -0.023634979501366615}, {'X': 0.6093637943267822, 'Y': 0.5359982252120972, 'Z': -0.04981086775660515}, {'X': 0.6124955415725708, 'Y': 0.5658177137374878, 'Z': -0.06825727224349976}, {'X': 0.6490209102630615, 'Y': 0.5549831986427307, 'Z': -0.0032971124164760113}, {'X': 0.6460668444633484, 'Y': 0.4985576272010803, 'Z': -0.014195851050317287}, {'X': 0.6436849236488342, 'Y': 0.4777577221393585, 'Z': -0.03149118646979332}, {'X': 0.639524519443512, 'Y': 0.4781200587749481, 'Z': -0.04671759530901909}, {'X': 0.6775726079940796, 'Y': 0.561032235622406, 'Z': -0.011467356234788895}, {'X': 0.6776102185249329, 'Y': 0.5058084726333618, 'Z': -0.02177080512046814}, {'X': 0.6768763065338135, 'Y': 0.48822221159935, 'Z': -0.03415059298276901}, {'X': 0.6714739203453064, 'Y': 0.4874331057071686, 'Z': -0.046866003423929214}, {'X': 0.7056072950363159, 'Y': 0.5779986381530762, 'Z': -0.02108420804142952}, {'X': 0.7178239822387695, 'Y': 0.541244626045227, 'Z': -0.02733783610165119}, {'X': 0.7234821319580078, 'Y': 0.5243063569068909, 'Z': -0.03309878706932068}, {'X': 0.7227069139480591, 'Y': 0.5145054459571838, 'Z': -0.03994382917881012}]
[{'X': 0.6689057946205139, 'Y': 0.6977943181991577, 'Z': -3.512019247864373e-05}, {'X': 0.6166775226593018, 'Y': 0.6729834675788879, 'Z': -0.015267389826476574}, {'X': 0.57895827293396, 'Y': 0.6366820335388184, 'Z': -0.028338346630334854}, {'X': 0.556411862373352, 'Y': 0.6007592678070068, 'Z': -0.04325253516435623}, {'X': 0.5428134799003601, 'Y': 0.5656606554985046, 'Z': -0.05533146485686302}, {'X': 0.6189029216766357, 'Y': 0.5719146132469177, 'Z': -0.0013365457998588681}, {'X': 0.6080358624458313, 'Y': 0.5208157300949097, 'Z': -0.025776393711566925}, {'X': 0.603826642036438, 'Y': 0.5325599908828735, 'Z': -0.053982753306627274}, {'X': 0.6028892993927002, 'Y': 0.5583118200302124, 'Z': -0.07300762832164764}, {'X': 0.6482658386230469, 'Y': 0.5623782873153687, 'Z': -0.004913768731057644}, {'X': 0.644377589225769, 'Y': 0.5067301392555237, 'Z': -0.016708148643374443}, {'X': 0.6405187249183655, 'Y': 0.4835433065891266, 'Z': -0.03674600273370743}, {'X': 0.634784996509552, 'Y': 0.476392537355423, 'Z': -0.05380845442414284}, {'X': 0.6770673394203186, 'Y': 0.5691683888435364, 'Z': -0.013340187259018421}, {'X': 0.6774229407310486, 'Y': 0.5136895775794983, 'Z': -0.020791321992874146}, {'X': 0.6759206056594849, 'Y': 0.4903654158115387, 'Z': -0.03468647971749306}, {'X': 0.6700735092163086, 'Y': 0.48012322187423706, 'Z': -0.04782162234187126}, {'X': 0.7063027024269104, 'Y': 0.586435079574585, 'Z': -0.022693460807204247}, {'X': 0.7185821533203125, 'Y': 0.5491381883621216, 'Z': -0.024805312976241112}, {'X': 0.7224241495132446, 'Y': 0.5291666984558105, 'Z': -0.030484743416309357}, {'X': 0.7196487784385681, 'Y': 0.5148401260375977, 'Z': -0.037170689553022385}]
[{'X': 0.663851797580719, 'Y': 0.7065102458000183, 'Z': -4.3771029595518485e-05}, {'X': 0.6129547357559204, 'Y': 0.6808677315711975, 'Z': -0.014898119494318962}, {'X': 0.5756025910377502, 'Y': 0.6424804329872131, 'Z': -0.026814736425876617}, {'X': 0.5551512241363525, 'Y': 0.602894127368927, 'Z': -0.04128874093294144}, {'X': 0.5431841611862183, 'Y': 0.5727787017822266, 'Z': -0.05489737167954445}, {'X': 0.6178950667381287, 'Y': 0.5648525357246399, 'Z': 0.00746086286380887}, {'X': 0.6122307181358337, 'Y': 0.5128599405288696, 'Z': -0.005473205354064703}, {'X': 0.6104698777198792, 'Y': 0.4891936480998993, 'Z': -0.024301117286086082}, {'X': 0.6110342144966125, 'Y': 0.4803778827190399, 'Z': -0.03962006792426109}, {'X': 0.6483769416809082, 'Y': 0.5587518811225891, 'Z': 0.005145182833075523}, {'X': 0.6491715312004089, 'Y': 0.5007494688034058, 'Z': 0.0037224891129881144}, {'X': 0.6508121490478516, 'Y': 0.46477046608924866, 'Z': -0.007062623277306557}, {'X': 0.6522998809814453, 'Y': 0.4352819621562958, 'Z': -0.018090611323714256}, {'X': 0.6774406433105469, 'Y': 0.5678187608718872, 'Z': -0.0018478750716894865}, {'X': 0.6844313740730286, 'Y': 0.51700359582901, 'Z': -0.002597518265247345}, {'X': 0.6885507702827454, 'Y': 0.49041125178337097, 'Z': -0.00952676497399807}, {'X': 0.6879263520240784, 'Y': 0.4698876738548279, 'Z': -0.017635731026530266}, {'X': 0.7065966725349426, 'Y': 0.5870451331138611, 'Z': -0.011477340944111347}, {'X': 0.7208325266838074, 'Y': 0.548256516456604, 'Z': -0.014161908999085426}, {'X': 0.7263291478157043, 'Y': 0.5255829691886902, 'Z': -0.01719430647790432}, {'X': 0.7255693078041077, 'Y': 0.5048813223838806, 'Z': -0.021356236189603806}]
