[{'X': 0.5098276734352112, 'Y': 0.7299927473068237, 'Z': -5.422914546215907e-05}, {'X': 0.47664234042167664, 'Y': 0.7197675108909607, 'Z': -0.02035500667989254}, {'X': 0.44525808095932007, 'Y': 0.6940398216247559, 'Z': -0.028633221983909607}, {'X': 0.4243536591529846, 'Y': 0.6666338443756104, 'Z': -0.03711166977882385}, {'X': 0.40894266963005066, 'Y': 0.6463111042976379, 'Z': -0.04157603904604912}, {'X': 0.452260285615921, 'Y': 0.6221256256103516, 'Z': -0.0007550950977019966}, {'X': 0.431599497795105, 'Y': 0.5806919932365417, 'Z': -0.007048378232866526}, {'X': 0.4195111095905304, 'Y': 0.5563990473747253, 'Z': -0.013291602954268456}, {'X': 0.4094286561012268, 'Y': 0.5355172157287598, 'Z': -0.01831638626754284}, {'X': 0.4708561897277832, 'Y': 0.609032392501831, 'Z': 0.003693674923852086}, {'X': 0.4589436948299408, 'Y': 0.5602230429649353, 'Z': 0.0037029171362519264}, {'X': 0.4529514014720917, 'Y': 0.5299584269523621, 'Z': -0.002562065375968814}, {'X': 0.4483354985713959, 'Y': 0.5040262937545776, 'Z': -0.007990345358848572}, {'X': 0.48811376094818115, 'Y': 0.608595609664917, 'Z': 0.004819836001843214}, {'X': 0.48414552211761475, 'Y': 0.5656295418739319, 'Z': 0.003064837772399187}, {'X': 0.4842126667499542, 'Y': 0.5369085073471069, 'Z': -0.003441601525992155}, {'X': 0.4824681878089905, 'Y': 0.5119361281394958, 'Z': -0.009764579124748707}, {'X': 0.5052619576454163, 'Y': 0.6153261065483093, 'Z': 0.0032674253452569246}, {'X': 0.5015482902526855, 'Y': 0.5790190696716309, 'Z': -0.0013934401795268059}, {'X': 0.5010325312614441, 'Y': 0.5579885840415955, 'Z': -0.00918794609606266}, {'X': 0.49909350275993347, 'Y': 0.5388209223747253, 'Z': -0.014677471481263638}]
[{'X': 0.5137184262275696, 'Y': 0.7333914041519165, 'Z': -4.750849257106893e-05}, {'X': 0.4788040220737457, 'Y': 0.7233217358589172, 'Z': -0.023487498983740807}, {'X': 0.4465428590774536, 'Y': 0.6959995031356812, 'Z': -0.028335638344287872}, {'X': 0.42405298352241516, 'Y': 0.6650577783584595, 'Z': -0.03290625289082527}, {'X': 0.40744802355766296, 'Y': 0.6447898745536804, 'Z': -0.03246932849287987}, {'X': 0.4512680470943451, 'Y': 0.6215957403182983, 'Z': 0.005891752894967794}, {'X': 0.4301312267780304, 'Y': 0.5771185755729675, 'Z': 0.003861437551677227}, {'X': 0.418972909450531, 'Y': 0.5517348647117615, 'Z': 0.0011638699797913432}, {'X': 0.4101810157299042, 'Y': 0.5304600596427917, 'Z': -0.0009803833672776818}, {'X': 0.4704495072364807, 'Y': 0.6079991459846497, 'Z': 0.0135223139077425}, {'X': 0.4567895531654358, 'Y': 0.5554547309875488, 'Z': 0.0195118747651577}, {'X': 0.45157015323638916, 'Y': 0.5269912481307983, 'Z': 0.01586810313165188}, {'X': 0.44880566000938416, 'Y': 0.5018656849861145, 'Z': 0.012393839657306671}, {'X': 0.4885563552379608, 'Y': 0.6068847179412842, 'Z': 0.017156628891825676}, {'X': 0.48332902789115906, 'Y': 0.5627864003181458, 'Z': 0.018188150599598885}, {'X': 0.48572272062301636, 'Y': 0.5377345085144043, 'Z': 0.01030621025711298}, {'X': 0.4867020845413208, 'Y': 0.5152966976165771, 'Z': 0.0024959761649370193}, {'X': 0.5065085291862488, 'Y': 0.6130902171134949, 'Z': 0.01775229349732399}, {'X': 0.5035510659217834, 'Y': 0.576149582862854, 'Z': 0.017020391300320625}, {'X': 0.5048081278800964, 'Y': 0.5550365447998047, 'Z': 0.009801880456507206}, {'X': 0.5049548745155334, 'Y': 0.5353893041610718, 'Z': 0.004288109950721264}]
[{'X': 0.5137184262275696, 'Y': 0.7333914041519165, 'Z': -4.750849257106893e-05}, {'X': 0.4788040220737457, 'Y': 0.7233217358589172, 'Z': -0.023487498983740807}, {'X': 0.4465428590774536, 'Y': 0.6959995031356812, 'Z': -0.028335638344287872}, {'X': 0.42405298352241516, 'Y': 0.6650577783584595, 'Z': -0.03290625289082527}, {'X': 0.40744802355766296, 'Y': 0.6447898745536804, 'Z': -0.03246932849287987}, {'X': 0.4512680470943451, 'Y': 0.6215957403182983, 'Z': 0.005891752894967794}, {'X': 0.4301312267780304, 'Y': 0.5771185755729675, 'Z': 0.003861437551677227}, {'X': 0.418972909450531, 'Y': 0.5517348647117615, 'Z': 0.0011638699797913432}, {'X': 0.4101810157299042, 'Y': 0.5304600596427917, 'Z': -0.0009803833672776818}, {'X': 0.4704495072364807, 'Y': 0.6079991459846497, 'Z': 0.0135223139077425}, {'X': 0.4567895531654358, 'Y': 0.5554547309875488, 'Z': 0.0195118747651577}, {'X': 0.45157015323638916, 'Y': 0.5269912481307983, 'Z': 0.01586810313165188}, {'X': 0.44880566000938416, 'Y': 0.5018656849861145, 'Z': 0.012393839657306671}, {'X': 0.4885563552379608, 'Y': 0.6068847179412842, 'Z': 0.017156628891825676}, {'X': 0.48332902789115906, 'Y': 0.5627864003181458, 'Z': 0.018188150599598885}, {'X': 0.48572272062301636, 'Y': 0.5377345085144043, 'Z': 0.01030621025711298}, {'X': 0.4867020845413208, 'Y': 0.5152966976165771, 'Z': 0.0024959761649370193}, {'X': 0.5065085291862488, 'Y': 0.6130902171134949, 'Z': 0.01775229349732399}, {'X': 0.5035510659217834, 'Y': 0.576149582862854, 'Z': 0.017020391300320625}, {'X': 0.5048081278800964, 'Y': 0.5550365447998047, 'Z': 0.009801880456507206}, {'X': 0.5049548745155334, 'Y': 0.5353893041610718, 'Z': 0.004288109950721264}]
[{'X': 0.5140717625617981, 'Y': 0.7332462668418884, 'Z': -5.903868077439256e-05}, {'X': 0.47834792733192444, 'Y': 0.7213795185089111, 'Z': -0.021191289648413658}, {'X': 0.4449380338191986, 'Y': 0.6943790912628174, 'Z': -0.02837660349905491}, {'X': 0.42296141386032104, 'Y': 0.6656659245491028, 'Z': -0.03583424165844917}, {'X': 0.40995970368385315, 'Y': 0.642072856426239, 'Z': -0.03702780231833458}, {'X': 0.45131513476371765, 'Y': 0.6187933683395386, 'Z': 0.0050836955197155476}, {'X': 0.42971351742744446, 'Y': 0.5736788511276245, 'Z': 0.0030982811003923416}, {'X': 0.4190080165863037, 'Y': 0.5489930510520935, 'Z': -0.000869147595949471}, {'X': 0.4110376536846161, 'Y': 0.5280484557151794, 'Z': -0.005559840239584446}, {'X': 0.4711998403072357, 'Y': 0.6063145995140076, 'Z': 0.009417790919542313}, {'X': 0.45943012833595276, 'Y': 0.5562720894813538, 'Z': 0.013508272357285023}, {'X': 0.4544209837913513, 'Y': 0.5278896689414978, 'Z': 0.008497584611177444}, {'X': 0.4519287347793579, 'Y': 0.5028904676437378, 'Z': 0.0033348677679896355}, {'X': 0.4894614517688751, 'Y': 0.6058430075645447, 'Z': 0.009843096137046814}, {'X': 0.4853408634662628, 'Y': 0.5613406300544739, 'Z': 0.010225164704024792}, {'X': 0.48533737659454346, 'Y': 0.5312627553939819, 'Z': 0.0039905342273414135}, {'X': 0.48441481590270996, 'Y': 0.5050876140594482, 'Z': -0.002897446509450674}, {'X': 0.507975161075592, 'Y': 0.6132453680038452, 'Z': 0.007297012954950333}, {'X': 0.5051358342170715, 'Y': 0.5766443014144897, 'Z': 0.0038204167503863573}, {'X': 0.5050075054168701, 'Y': 0.5546606183052063, 'Z': -0.004220709670335054}, {'X': 0.5037139654159546, 'Y': 0.5349035263061523, 'Z': -0.0101880868896842}]
[{'X': 0.5106214284896851, 'Y': 0.7330487966537476, 'Z': -4.545978663372807e-05}, {'X': 0.47657081484794617, 'Y': 0.7211689352989197, 'Z': -0.017365755513310432}, {'X': 0.44483453035354614, 'Y': 0.6941736340522766, 'Z': -0.02368311397731304}, {'X': 0.42379751801490784, 'Y': 0.6652024388313293, 'Z': -0.03162335231900215}, {'X': 0.40962010622024536, 'Y': 0.6436730027198792, 'Z': -0.03533939644694328}, {'X': 0.45478206872940063, 'Y': 0.6206957697868347, 'Z': 0.005710941273719072}, {'X': 0.43333086371421814, 'Y': 0.5785893201828003, 'Z': 0.00183678709436208}, {'X': 0.42178064584732056, 'Y': 0.5529347658157349, 'Z': -0.004845893010497093}, {'X': 0.41261768341064453, 'Y': 0.53035968542099, 'Z': -0.011416119523346424}, {'X': 0.47422125935554504, 'Y': 0.60798579454422, 'Z': 0.00800520833581686}, {'X': 0.4637548327445984, 'Y': 0.5578241348266602, 'Z': 0.009030946530401707}, {'X': 0.4583848714828491, 'Y': 0.5274720191955566, 'Z': 0.00019855579012073576}, {'X': 0.4539114832878113, 'Y': 0.5010189414024353, 'Z': -0.008151070214807987}, {'X': 0.4927767217159271, 'Y': 0.607350766658783, 'Z': 0.007236072793602943}, {'X': 0.49037879705429077, 'Y': 0.5634700655937195, 'Z': 0.0059914239682257175}, {'X': 0.49082237482070923, 'Y': 0.5375471115112305, 'Z': -0.0014839628711342812}, {'X': 0.4899398386478424, 'Y': 0.5149533152580261, 'Z': -0.008899274282157421}, {'X': 0.5107302665710449, 'Y': 0.6143237352371216, 'Z': 0.003982046153396368}, {'X': 0.5115787982940674, 'Y': 0.576104998588562, 'Z': -0.0009512192336842418}, {'X': 0.5133674144744873, 'Y': 0.553687334060669, 'Z': -0.008470611646771431}, {'X': 0.5131816267967224, 'Y': 0.5325784683227539, 'Z': -0.01471680961549282}]
[{'X': 0.5126462578773499, 'Y': 0.7312227487564087, 'Z': -6.0918653616681695e-05}, {'X': 0.4793677031993866, 'Y': 0.7209925651550293, 'Z': -0.021298084408044815}, {'X': 0.4474669396877289, 'Y': 0.6934319138526917, 'Z': -0.030264759436249733}, {'X': 0.42654067277908325, 'Y': 0.6634818315505981, 'Z': -0.03915156424045563}, {'X': 0.41287484765052795, 'Y': 0.6430256962776184, 'Z': -0.04225197061896324}, {'X': 0.4535611867904663, 'Y': 0.6204332113265991, 'Z': -0.0012374853249639273}, {'X': 0.4310109317302704, 'Y': 0.5741598010063171, 'Z': -0.004472021479159594}, {'X': 0.41893160343170166, 'Y': 0.5498323440551758, 'Z': -0.009402572177350521}, {'X': 0.409946084022522, 'Y': 0.528901219367981, 'Z': -0.015463433228433132}, {'X': 0.4732438921928406, 'Y': 0.608001708984375, 'Z': 0.002914290176704526}, {'X': 0.46086183190345764, 'Y': 0.5557015538215637, 'Z': 0.004399148281663656}, {'X': 0.45437899231910706, 'Y': 0.5265172123908997, 'Z': -0.0019537885673344135}, {'X': 0.45012950897216797, 'Y': 0.5001640915870667, 'Z': -0.008107880130410194}, {'X': 0.49186497926712036, 'Y': 0.6069384217262268, 'Z': 0.003659549169242382}, {'X': 0.4867996573448181, 'Y': 0.5615373849868774, 'Z': 0.00329806306399405}, {'X': 0.48485469818115234, 'Y': 0.533375084400177, 'Z': -0.0008779947529546916}, {'X': 0.4824048578739166, 'Y': 0.5076881647109985, 'Z': -0.006369938142597675}, {'X': 0.5106070041656494, 'Y': 0.6137934923171997, 'Z': 0.0021108149085193872}, {'X': 0.510235071182251, 'Y': 0.5738616585731506, 'Z': -0.0007546700653620064}, {'X': 0.5113936066627502, 'Y': 0.5514577031135559, 'Z': -0.004888530820608139}, {'X': 0.5108696818351746, 'Y': 0.5300933718681335, 'Z': -0.00774956913664937}]
[{'X': 0.5126462578773499, 'Y': 0.7312227487564087, 'Z': -6.0918653616681695e-05}, {'X': 0.4793677031993866, 'Y': 0.7209925651550293, 'Z': -0.021298084408044815}, {'X': 0.4474669396877289, 'Y': 0.6934319138526917, 'Z': -0.030264759436249733}, {'X': 0.42654067277908325, 'Y': 0.6634818315505981, 'Z': -0.03915156424045563}, {'X': 0.41287484765052795, 'Y': 0.6430256962776184, 'Z': -0.04225197061896324}, {'X': 0.4535611867904663, 'Y': 0.6204332113265991, 'Z': -0.0012374853249639273}, {'X': 0.4310109317302704, 'Y': 0.5741598010063171, 'Z': -0.004472021479159594}, {'X': 0.41893160343170166, 'Y': 0.5498323440551758, 'Z': -0.009402572177350521}, {'X': 0.409946084022522, 'Y': 0.528901219367981, 'Z': -0.015463433228433132}, {'X': 0.4732438921928406, 'Y': 0.608001708984375, 'Z': 0.002914290176704526}, {'X': 0.46086183190345764, 'Y': 0.5557015538215637, 'Z': 0.004399148281663656}, {'X': 0.45437899231910706, 'Y': 0.5265172123908997, 'Z': -0.0019537885673344135}, {'X': 0.45012950897216797, 'Y': 0.5001640915870667, 'Z': -0.008107880130410194}, {'X': 0.49186497926712036, 'Y': 0.6069384217262268, 'Z': 0.003659549169242382}, {'X': 0.4867996573448181, 'Y': 0.5615373849868774, 'Z': 0.00329806306399405}, {'X': 0.48485469818115234, 'Y': 0.533375084400177, 'Z': -0.0008779947529546916}, {'X': 0.4824048578739166, 'Y': 0.5076881647109985, 'Z': -0.006369938142597675}, {'X': 0.5106070041656494, 'Y': 0.6137934923171997, 'Z': 0.0021108149085193872}, {'X': 0.510235071182251, 'Y': 0.5738616585731506, 'Z': -0.0007546700653620064}, {'X': 0.5113936066627502, 'Y': 0.5514577031135559, 'Z': -0.004888530820608139}, {'X': 0.5108696818351746, 'Y': 0.5300933718681335, 'Z': -0.00774956913664937}]
[{'X': 0.5130129456520081, 'Y': 0.7321914434432983, 'Z': -5.4460077080875635e-05}, {'X': 0.4801331162452698, 'Y': 0.7196778059005737, 'Z': -0.023815883323550224}, {'X': 0.4485970139503479, 'Y': 0.692497968673706, 'Z': -0.03501582518219948}, {'X': 0.42670097947120667, 'Y': 0.6631318926811218, 'Z': -0.04660996422171593}, {'X': 0.4110839366912842, 'Y': 0.6440846920013428, 'Z': -0.05494433268904686}, {'X': 0.45255476236343384, 'Y': 0.6174790263175964, 'Z': -0.005375911481678486}, {'X': 0.4315052628517151, 'Y': 0.5733165740966797, 'Z': -0.008438547141849995}, {'X': 0.41944295167922974, 'Y': 0.5493377447128296, 'Z': -0.012661827728152275}, {'X': 0.4108622968196869, 'Y': 0.5295245051383972, 'Z': -0.016264794394373894}, {'X': 0.4721109867095947, 'Y': 0.604762077331543, 'Z': -0.00026667662314139307}, {'X': 0.460074245929718, 'Y': 0.554262101650238, 'Z': 0.0023129028268158436}, {'X': 0.4531620740890503, 'Y': 0.5253922343254089, 'Z': -0.0024560512974858284}, {'X': 0.4487299919128418, 'Y': 0.5003030896186829, 'Z': -0.007035487797111273}, {'X': 0.4910750091075897, 'Y': 0.6036024689674377, 'Z': 0.0017551269847899675}, {'X': 0.48697662353515625, 'Y': 0.5612861514091492, 'Z': 0.0005975992535240948}, {'X': 0.4850364923477173, 'Y': 0.53685063123703, 'Z': -0.005680805072188377}, {'X': 0.4830235242843628, 'Y': 0.5149540305137634, 'Z': -0.010895556770265102}, {'X': 0.5096997022628784, 'Y': 0.6101910471916199, 'Z': 0.0009958621812984347}, {'X': 0.5107181072235107, 'Y': 0.5719879865646362, 'Z': -0.001942319213412702}, {'X': 0.5124396681785583, 'Y': 0.5502197742462158, 'Z': -0.0059245312586426735}, {'X': 0.5127617716789246, 'Y': 0.5290852785110474, 'Z': -0.008235322311520576}]
[{'X': 0.5144367814064026, 'Y': 0.7349199056625366, 'Z': -5.8004894526675344e-05}, {'X': 0.4788326323032379, 'Y': 0.7219193577766418, 'Z': -0.017669280990958214}, {'X': 0.4462197422981262, 'Y': 0.6919727325439453, 'Z': -0.02562406286597252}, {'X': 0.4248511493206024, 'Y': 0.6621249318122864, 'Z': -0.03528711199760437}, {'X': 0.40976977348327637, 'Y': 0.6409368515014648, 'Z': -0.03952541947364807}, {'X': 0.45366713404655457, 'Y': 0.617654025554657, 'Z': 0.0025682535488158464}, {'X': 0.43256109952926636, 'Y': 0.5713186860084534, 'Z': -0.0005998661508783698}, {'X': 0.42148566246032715, 'Y': 0.5475480556488037, 'Z': -0.0042687370441854}, {'X': 0.41338562965393066, 'Y': 0.5280110836029053, 'Z': -0.009553847834467888}, {'X': 0.4736078381538391, 'Y': 0.6059659123420715, 'Z': 0.002785697113722563}, {'X': 0.4623488783836365, 'Y': 0.5536308884620667, 'Z': 0.004801454953849316}, {'X': 0.45600220561027527, 'Y': 0.5257667303085327, 'Z': -0.0004239276167936623}, {'X': 0.45216432213783264, 'Y': 0.5014299750328064, 'Z': -0.005014284048229456}, {'X': 0.49258527159690857, 'Y': 0.6057500839233398, 'Z': -0.00032824245863594115}, {'X': 0.48864197731018066, 'Y': 0.5588728189468384, 'Z': -0.001957791857421398}, {'X': 0.4862094819545746, 'Y': 0.5301250219345093, 'Z': -0.007744076661765575}, {'X': 0.48304736614227295, 'Y': 0.5047588348388672, 'Z': -0.013507137075066566}, {'X': 0.5119273066520691, 'Y': 0.6140453219413757, 'Z': -0.00584744568914175}, {'X': 0.5125450491905212, 'Y': 0.5738111138343811, 'Z': -0.011079412885010242}, {'X': 0.5135819315910339, 'Y': 0.5503312349319458, 'Z': -0.017845112830400467}, {'X': 0.5131142735481262, 'Y': 0.5277263522148132, 'Z': -0.022280732169747353}]
[{'X': 0.5160284042358398, 'Y': 0.7367479801177979, 'Z': -6.36949043837376e-05}, {'X': 0.47741127014160156, 'Y': 0.7202538251876831, 'Z': -0.019980918616056442}, {'X': 0.4455409646034241, 'Y': 0.6919999718666077, 'Z': -0.03039511665701866}, {'X': 0.42472025752067566, 'Y': 0.6626767516136169, 'Z': -0.04227810725569725}, {'X': 0.41048070788383484, 'Y': 0.6387431025505066, 'Z': -0.051151152700185776}, {'X': 0.4542936682701111, 'Y': 0.6171624064445496, 'Z': -0.0015584486536681652}, {'X': 0.43260934948921204, 'Y': 0.5719044804573059, 'Z': -0.0021008774638175964}, {'X': 0.4218032956123352, 'Y': 0.5475122928619385, 'Z': -0.0033595317509025335}, {'X': 0.4130735695362091, 'Y': 0.5273041129112244, 'Z': -0.005644313991069794}, {'X': 0.47584718465805054, 'Y': 0.6053040623664856, 'Z': -0.0010269329650327563}, {'X': 0.46722325682640076, 'Y': 0.5517539381980896, 'Z': 0.00037561310455203056}, {'X': 0.46099764108657837, 'Y': 0.5217065811157227, 'Z': -0.005558831617236137}, {'X': 0.45717716217041016, 'Y': 0.4976818561553955, 'Z': -0.011083672754466534}, {'X': 0.49576640129089355, 'Y': 0.6066822409629822, 'Z': -0.004662245512008667}, {'X': 0.49430209398269653, 'Y': 0.563596248626709, 'Z': -0.015193267725408077}, {'X': 0.49561750888824463, 'Y': 0.553011417388916, 'Z': -0.03560084104537964}, {'X': 0.49577152729034424, 'Y': 0.5472679734230042, 'Z': -0.049686554819345474}, {'X': 0.5148749351501465, 'Y': 0.6142292618751526, 'Z': -0.008647495880723}, {'X': 0.5177450776100159, 'Y': 0.5768111944198608, 'Z': -0.01880115270614624}, {'X': 0.5188950300216675, 'Y': 0.5516361594200134, 'Z': -0.0339818112552166}, {'X': 0.5179477334022522, 'Y': 0.5299115777015686, 'Z': -0.04564346373081207}]
[{'X': 0.5090681910514832, 'Y': 0.7403046488761902, 'Z': -7.40545365260914e-05}, {'X': 0.4770487844944, 'Y': 0.7192237377166748, 'Z': -0.015779029577970505}, {'X': 0.4489002525806427, 'Y': 0.6843188405036926, 'Z': -0.026296038180589676}, {'X': 0.43171578645706177, 'Y': 0.6541770100593567, 'Z': -0.037401046603918076}, {'X': 0.41600674390792847, 'Y': 0.6315018534660339, 'Z': -0.046652957797050476}, {'X': 0.45783892273902893, 'Y': 0.6208066344261169, 'Z': -0.015619950369000435}, {'X': 0.4411555230617523, 'Y': 0.574072003364563, 'Z': -0.026603177189826965}, {'X': 0.4320216178894043, 'Y': 0.5461872220039368, 'Z': -0.03484867885708809}, {'X': 0.4248534142971039, 'Y': 0.5254582166671753, 'Z': -0.041147176176309586}, {'X': 0.4802337884902954, 'Y': 0.6155458688735962, 'Z': -0.017278432846069336}, {'X': 0.47660526633262634, 'Y': 0.5726557970046997, 'Z': -0.02323630452156067}, {'X': 0.47653695940971375, 'Y': 0.5475746989250183, 'Z': -0.03391642868518829}, {'X': 0.4773702621459961, 'Y': 0.5288385152816772, 'Z': -0.04193464294075966}, {'X': 0.4999210834503174, 'Y': 0.622587263584137, 'Z': -0.018564563244581223}, {'X': 0.502129077911377, 'Y': 0.5887819528579712, 'Z': -0.024433139711618423}, {'X': 0.504227876663208, 'Y': 0.5757774114608765, 'Z': -0.032781049609184265}, {'X': 0.504777729511261, 'Y': 0.5655562877655029, 'Z': -0.038421664386987686}, {'X': 0.5179116725921631, 'Y': 0.6366224884986877, 'Z': -0.022595679387450218}, {'X': 0.5235793590545654, 'Y': 0.6135073900222778, 'Z': -0.03530748561024666}, {'X': 0.5244209170341492, 'Y': 0.6075112819671631, 'Z': -0.04346273094415665}, {'X': 0.5227606892585754, 'Y': 0.6026417016983032, 'Z': -0.04816083237528801}]
