[{'X': 0.6912978291511536, 'Y': 0.8489733338356018, 'Z': -0.00011288981477264315}, {'X': 0.6213074326515198, 'Y': 0.8428388237953186, 'Z': -0.0580592043697834}, {'X': 0.5595483183860779, 'Y': 0.783755362033844, 'Z': -0.08096624910831451}, {'X': 0.5244777202606201, 'Y': 0.7212785482406616, 'Z': -0.10363921523094177}, {'X': 0.5084962844848633, 'Y': 0.6740002036094666, 'Z': -0.12065675854682922}, {'X': 0.5959464311599731, 'Y': 0.6372256875038147, 'Z': -0.007922062650322914}, {'X': 0.5539580583572388, 'Y': 0.5576390027999878, 'Z': -0.017802054062485695}, {'X': 0.5327755808830261, 'Y': 0.5098358392715454, 'Z': -0.030782360583543777}, {'X': 0.5177780389785767, 'Y': 0.46928220987319946, 'Z': -0.04614332690834999}, {'X': 0.6414943337440491, 'Y': 0.6134848594665527, 'Z': 0.0021803348790854216}, {'X': 0.6256663203239441, 'Y': 0.5079445838928223, 'Z': 0.00397035526111722}, {'X': 0.6218593716621399, 'Y': 0.4478453993797302, 'Z': -0.017984561622142792}, {'X': 0.6213406324386597, 'Y': 0.39436978101730347, 'Z': -0.036491330713033676}, {'X': 0.6852948665618896, 'Y': 0.6159369349479675, 'Z': 0.00317016732878983}, {'X': 0.6754372119903564, 'Y': 0.5127547383308411, 'Z': 0.0019358254503458738}, {'X': 0.6704164147377014, 'Y': 0.4539705514907837, 'Z': -0.01650378666818142}, {'X': 0.6633877158164978, 'Y': 0.40264424681663513, 'Z': -0.03698309138417244}, {'X': 0.7323265671730042, 'Y': 0.6367788314819336, 'Z': -0.0015691840089857578}, {'X': 0.7425838708877563, 'Y': 0.5606261491775513, 'Z': -0.013487044721841812}, {'X': 0.7488729953765869, 'Y': 0.519919753074646, 'Z': -0.03023367002606392}, {'X': 0.7505738735198975, 'Y': 0.4799663722515106, 'Z': -0.0466964952647686}]
[{'X': 0.6838489770889282, 'Y': 0.8534810543060303, 'Z': -7.176271901698783e-05}, {'X': 0.6182727813720703, 'Y': 0.845765233039856, 'Z': -0.052454374730587006}, {'X': 0.5593894720077515, 'Y': 0.7855679392814636, 'Z': -0.07296682149171829}, {'X': 0.5247296690940857, 'Y': 0.7226212620735168, 'Z': -0.09439387172460556}, {'X': 0.5023479461669922, 'Y': 0.676056981086731, 'Z': -0.1137479767203331}, {'X': 0.5950392484664917, 'Y': 0.6448388695716858, 'Z': -0.008263652212917805}, {'X': 0.5579404234886169, 'Y': 0.5587015151977539, 'Z': -0.018284298479557037}, {'X': 0.5365293622016907, 'Y': 0.5139654278755188, 'Z': -0.029743647202849388}, {'X': 0.5198583006858826, 'Y': 0.476831316947937, 'Z': -0.04330308735370636}, {'X': 0.6398074626922607, 'Y': 0.6207259297370911, 'Z': -0.003321126801893115}, {'X': 0.6271593570709229, 'Y': 0.5118715167045593, 'Z': -0.006369992159307003}, {'X': 0.6231452822685242, 'Y': 0.44953471422195435, 'Z': -0.028381623327732086}, {'X': 0.621414303779602, 'Y': 0.3950708508491516, 'Z': -0.04481392353773117}, {'X': 0.6831338405609131, 'Y': 0.6232695579528809, 'Z': -0.0066731818951666355}, {'X': 0.6746301651000977, 'Y': 0.5187497735023499, 'Z': -0.01280412171036005}, {'X': 0.6702389121055603, 'Y': 0.45957326889038086, 'Z': -0.032343197613954544}, {'X': 0.6645211577415466, 'Y': 0.4077633023262024, 'Z': -0.05134975165128708}, {'X': 0.728406548500061, 'Y': 0.6456488370895386, 'Z': -0.014923606999218464}, {'X': 0.7418123483657837, 'Y': 0.5703083872795105, 'Z': -0.03168168663978577}, {'X': 0.7518892288208008, 'Y': 0.5283881425857544, 'Z': -0.05087040737271309}, {'X': 0.7570706605911255, 'Y': 0.48815786838531494, 'Z': -0.06739906221628189}]
[{'X': 0.6948551535606384, 'Y': 0.8468788266181946, 'Z': -9.299666271544993e-05}, {'X': 0.627653181552887, 'Y': 0.8366477489471436, 'Z': -0.044942330569028854}, {'X': 0.5664097666740417, 'Y': 0.7763444185256958, 'Z': -0.055007901042699814}, {'X': 0.532131016254425, 'Y': 0.7121002078056335, 'Z': -0.06783267110586166}, {'X': 0.5108014941215515, 'Y': 0.6671885251998901, 'Z': -0.07640822976827621}, {'X': 0.6030282974243164, 'Y': 0.6410788297653198, 'Z': 0.013383631594479084}, {'X': 0.5650539398193359, 'Y': 0.5547677278518677, 'Z': 0.010644732974469662}, {'X': 0.543960452079773, 'Y': 0.5087207555770874, 'Z': 0.003078189678490162}, {'X': 0.5267704129219055, 'Y': 0.4709058403968811, 'Z': -0.009076378308236599}, {'X': 0.6498280167579651, 'Y': 0.6181248426437378, 'Z': 0.01912858709692955}, {'X': 0.6382678747177124, 'Y': 0.5087733864784241, 'Z': 0.024899598211050034}, {'X': 0.6345143914222717, 'Y': 0.44533979892730713, 'Z': 0.005462406203150749}, {'X': 0.6316947937011719, 'Y': 0.3912261724472046, 'Z': -0.010033928789198399}, {'X': 0.6943512558937073, 'Y': 0.621139407157898, 'Z': 0.01590486615896225}, {'X': 0.685430109500885, 'Y': 0.5186314582824707, 'Z': 0.019195079803466797}, {'X': 0.6783720850944519, 'Y': 0.46201854944229126, 'Z': 0.003666319651529193}, {'X': 0.669086217880249, 'Y': 0.41554155945777893, 'Z': -0.013677159324288368}, {'X': 0.7411472201347351, 'Y': 0.643761157989502, 'Z': 0.007750077173113823}, {'X': 0.7529523372650146, 'Y': 0.5732846856117249, 'Z': -0.002110963687300682}, {'X': 0.7614452838897705, 'Y': 0.5348979234695435, 'Z': -0.01855413243174553}, {'X': 0.7650583386421204, 'Y': 0.4997262954711914, 'Z': -0.03414474055171013}]
[{'X': 0.6972712874412537, 'Y': 0.8579996824264526, 'Z': -0.00010327877680538222}, {'X': 0.6320770382881165, 'Y': 0.8466833829879761, 'Z': -0.05691193789243698}, {'X': 0.5751900672912598, 'Y': 0.7831335067749023, 'Z': -0.077089823782444}, {'X': 0.5422276854515076, 'Y': 0.7194483280181885, 'Z': -0.09719721227884293}, {'X': 0.5227056741714478, 'Y': 0.6761772036552429, 'Z': -0.11311258375644684}, {'X': 0.6084634065628052, 'Y': 0.6407953500747681, 'Z': -0.0047118472866714}, {'X': 0.5678671598434448, 'Y': 0.5602558255195618, 'Z': -0.014418968930840492}, {'X': 0.5452823638916016, 'Y': 0.5134125351905823, 'Z': -0.028051000088453293}, {'X': 0.5274772644042969, 'Y': 0.47229018807411194, 'Z': -0.04518497362732887}, {'X': 0.6536796689033508, 'Y': 0.6173549890518188, 'Z': 0.0038292999379336834}, {'X': 0.6397343873977661, 'Y': 0.5108785033226013, 'Z': 0.006601735018193722}, {'X': 0.6351134777069092, 'Y': 0.45044147968292236, 'Z': -0.014828875660896301}, {'X': 0.6330544352531433, 'Y': 0.3967236876487732, 'Z': -0.032700397074222565}, {'X': 0.697649359703064, 'Y': 0.621361255645752, 'Z': 0.0028312071226537228}, {'X': 0.6891676783561707, 'Y': 0.5169855356216431, 'Z': 0.0007831718539819121}, {'X': 0.6847586035728455, 'Y': 0.45672550797462463, 'Z': -0.016909847036004066}, {'X': 0.6765807271003723, 'Y': 0.40299052000045776, 'Z': -0.0358128659427166}, {'X': 0.7447973489761353, 'Y': 0.6446551084518433, 'Z': -0.0043897731229662895}, {'X': 0.755100667476654, 'Y': 0.5696836113929749, 'Z': -0.01930275373160839}, {'X': 0.7614690065383911, 'Y': 0.5294796228408813, 'Z': -0.036339014768600464}, {'X': 0.7626791000366211, 'Y': 0.49004703760147095, 'Z': -0.05100535601377487}]
[{'X': 0.7031603455543518, 'Y': 0.861115038394928, 'Z': -0.00012381783744785935}, {'X': 0.6374450325965881, 'Y': 0.8442941308021545, 'Z': -0.05921468138694763}, {'X': 0.5810312032699585, 'Y': 0.7815682291984558, 'Z': -0.08298949897289276}, {'X': 0.5554706454277039, 'Y': 0.7074052095413208, 'Z': -0.10541654378175735}, {'X': 0.5507252216339111, 'Y': 0.6516133546829224, 'Z': -0.12084349244832993}, {'X': 0.608268141746521, 'Y': 0.6439659595489502, 'Z': -0.002482654293999076}, {'X': 0.5686088800430298, 'Y': 0.5622388124465942, 'Z': -0.007005226798355579}, {'X': 0.5475999116897583, 'Y': 0.5149234533309937, 'Z': -0.01709725148975849}, {'X': 0.5305693745613098, 'Y': 0.4742077887058258, 'Z': -0.03122371807694435}, {'X': 0.6543516516685486, 'Y': 0.6180260181427002, 'Z': 0.007673121057450771}, {'X': 0.6399299502372742, 'Y': 0.5122155547142029, 'Z': 0.017905358225107193}, {'X': 0.6351763606071472, 'Y': 0.45031100511550903, 'Z': -0.0005832943134009838}, {'X': 0.6319388747215271, 'Y': 0.3952904939651489, 'Z': -0.019512828439474106}, {'X': 0.6989350318908691, 'Y': 0.6213682293891907, 'Z': 0.009039068594574928}, {'X': 0.6878083348274231, 'Y': 0.5195562839508057, 'Z': 0.013393831439316273}, {'X': 0.6842013597488403, 'Y': 0.4565559923648834, 'Z': -0.004771287087351084}, {'X': 0.676969587802887, 'Y': 0.3992345333099365, 'Z': -0.026349544525146484}, {'X': 0.746849000453949, 'Y': 0.6445834040641785, 'Z': 0.002939293161034584}, {'X': 0.7550008296966553, 'Y': 0.5683233737945557, 'Z': -0.004727035760879517}, {'X': 0.7621774673461914, 'Y': 0.5261138081550598, 'Z': -0.02139291912317276}, {'X': 0.7660375833511353, 'Y': 0.48679232597351074, 'Z': -0.03750830143690109}]
[{'X': 0.6911568641662598, 'Y': 0.8123398423194885, 'Z': -0.00012026153126498684}, {'X': 0.6301915049552917, 'Y': 0.7977504730224609, 'Z': -0.04897889867424965}, {'X': 0.583770751953125, 'Y': 0.7299929857254028, 'Z': -0.06511183828115463}, {'X': 0.5828235149383545, 'Y': 0.6629339456558228, 'Z': -0.08115014433860779}, {'X': 0.5943920016288757, 'Y': 0.6252496242523193, 'Z': -0.0853688046336174}, {'X': 0.6016930937767029, 'Y': 0.6225505471229553, 'Z': 0.0009428387857042253}, {'X': 0.5688672065734863, 'Y': 0.5420384407043457, 'Z': -0.00711853289976716}, {'X': 0.5496859550476074, 'Y': 0.5027655363082886, 'Z': -0.0197331253439188}, {'X': 0.5355233550071716, 'Y': 0.4745635688304901, 'Z': -0.037876252084970474}, {'X': 0.6451007127761841, 'Y': 0.6027013659477234, 'Z': 0.003621776355430484}, {'X': 0.6316264271736145, 'Y': 0.49988222122192383, 'Z': 0.004536659922450781}, {'X': 0.6264107823371887, 'Y': 0.44624435901641846, 'Z': -0.00884044449776411}, {'X': 0.6230816841125488, 'Y': 0.4095296859741211, 'Z': -0.024534737691283226}, {'X': 0.686924397945404, 'Y': 0.606256365776062, 'Z': -0.0031738572288304567}, {'X': 0.6762381196022034, 'Y': 0.5136173963546753, 'Z': -0.0011419946094974875}, {'X': 0.6683856844902039, 'Y': 0.46189770102500916, 'Z': -0.01195275317877531}, {'X': 0.660329282283783, 'Y': 0.42054134607315063, 'Z': -0.028722606599330902}, {'X': 0.7317986488342285, 'Y': 0.6264373064041138, 'Z': -0.01702079363167286}, {'X': 0.73035728931427, 'Y': 0.5571891665458679, 'Z': -0.024773458018898964}, {'X': 0.727641761302948, 'Y': 0.5163421630859375, 'Z': -0.03536280244588852}, {'X': 0.7244239449501038, 'Y': 0.47901734709739685, 'Z': -0.04636475816369057}]
[{'X': 0.6904945373535156, 'Y': 0.7874292135238647, 'Z': -9.385529847349972e-05}, {'X': 0.6374567747116089, 'Y': 0.7667683362960815, 'Z': -0.0291177686303854}, {'X': 0.6054807305335999, 'Y': 0.6960420608520508, 'Z': -0.03644192963838577}, {'X': 0.6260061860084534, 'Y': 0.6217540502548218, 'Z': -0.03966469690203667}, {'X': 0.6511582136154175, 'Y': 0.5826135873794556, 'Z': -0.02822728455066681}, {'X': 0.6082015633583069, 'Y': 0.625207245349884, 'Z': -0.004070252180099487}, {'X': 0.5821366310119629, 'Y': 0.5464460849761963, 'Z': -0.01888429932296276}, {'X': 0.5680813789367676, 'Y': 0.5063806176185608, 'Z': -0.030112244188785553}, {'X': 0.556985080242157, 'Y': 0.475015252828598, 'Z': -0.0415193997323513}, {'X': 0.6456320285797119, 'Y': 0.6020716428756714, 'Z': -0.008680819533765316}, {'X': 0.6334138512611389, 'Y': 0.5057521462440491, 'Z': -0.014892974868416786}, {'X': 0.6278907656669617, 'Y': 0.452424019575119, 'Z': -0.026504967361688614}, {'X': 0.6256025433540344, 'Y': 0.41785556077957153, 'Z': -0.03569270670413971}, {'X': 0.6810997128486633, 'Y': 0.6023811101913452, 'Z': -0.018223928287625313}, {'X': 0.6694002747535706, 'Y': 0.518201470375061, 'Z': -0.028011426329612732}, {'X': 0.662566602230072, 'Y': 0.46870023012161255, 'Z': -0.04382048919796944}, {'X': 0.6563858985900879, 'Y': 0.42998206615448, 'Z': -0.05678167566657066}, {'X': 0.718386173248291, 'Y': 0.621155858039856, 'Z': -0.032374024391174316}, {'X': 0.7057556509971619, 'Y': 0.5579323768615723, 'Z': -0.04986957088112831}, {'X': 0.6968499422073364, 'Y': 0.5224894285202026, 'Z': -0.06349978595972061}, {'X': 0.6869524717330933, 'Y': 0.4916357696056366, 'Z': -0.07067228108644485}]
[{'X': 0.6899309754371643, 'Y': 0.7877432703971863, 'Z': -6.686825508950278e-05}, {'X': 0.6303907632827759, 'Y': 0.7687307596206665, 'Z': -0.029377933591604233}, {'X': 0.5939732789993286, 'Y': 0.695046067237854, 'Z': -0.03317242115736008}, {'X': 0.609900176525116, 'Y': 0.6185237169265747, 'Z': -0.03528088331222534}, {'X': 0.6303865909576416, 'Y': 0.5777235627174377, 'Z': -0.01950659416615963}, {'X': 0.6073784232139587, 'Y': 0.6190047860145569, 'Z': 0.015432228334248066}, {'X': 0.5817562937736511, 'Y': 0.5413691997528076, 'Z': 0.007746517192572355}, {'X': 0.566412627696991, 'Y': 0.5042961239814758, 'Z': -0.0033592008985579014}, {'X': 0.5565550327301025, 'Y': 0.48038119077682495, 'Z': -0.01672169379889965}, {'X': 0.6446176171302795, 'Y': 0.5974019765853882, 'Z': 0.012321002781391144}, {'X': 0.6319317817687988, 'Y': 0.5034523606300354, 'Z': 0.015020674094557762}, {'X': 0.622154176235199, 'Y': 0.4506385922431946, 'Z': 0.005894027184695005}, {'X': 0.6153879761695862, 'Y': 0.4157981276512146, 'Z': -0.0032656406983733177}, {'X': 0.6796221137046814, 'Y': 0.5976872444152832, 'Z': 0.001283556455746293}, {'X': 0.6722346544265747, 'Y': 0.5141286253929138, 'Z': 0.005472738295793533}, {'X': 0.6607499122619629, 'Y': 0.4629088342189789, 'Z': -0.0034540067426860332}, {'X': 0.6506707072257996, 'Y': 0.4219703674316406, 'Z': -0.014992969110608101}, {'X': 0.7165557742118835, 'Y': 0.61537766456604, 'Z': -0.014579814858734608}, {'X': 0.7081555128097534, 'Y': 0.5532438158988953, 'Z': -0.02029438503086567}, {'X': 0.6972374320030212, 'Y': 0.5166113376617432, 'Z': -0.027497682720422745}, {'X': 0.6880273222923279, 'Y': 0.4861818552017212, 'Z': -0.03108031675219536}]
[{'X': 0.6873860955238342, 'Y': 0.7967883944511414, 'Z': -0.00011225524940527976}, {'X': 0.624765932559967, 'Y': 0.7836982011795044, 'Z': -0.038129549473524094}, {'X': 0.5787482261657715, 'Y': 0.7148752212524414, 'Z': -0.046626120805740356}, {'X': 0.5773195624351501, 'Y': 0.6420329809188843, 'Z': -0.05669919401407242}, {'X': 0.5882644057273865, 'Y': 0.5984280109405518, 'Z': -0.05564163997769356}, {'X': 0.598017156124115, 'Y': 0.6253575682640076, 'Z': 0.005971651989966631}, {'X': 0.5695967674255371, 'Y': 0.5438975095748901, 'Z': -0.0033353150356560946}, {'X': 0.5506677031517029, 'Y': 0.505314290523529, 'Z': -0.012318087741732597}, {'X': 0.5361248254776001, 'Y': 0.47571051120758057, 'Z': -0.02531636692583561}, {'X': 0.6389715075492859, 'Y': 0.6069409847259521, 'Z': 0.004386352840811014}, {'X': 0.6268038749694824, 'Y': 0.5061995387077332, 'Z': 0.002884367248043418}, {'X': 0.6206248998641968, 'Y': 0.45078420639038086, 'Z': -0.007330751977860928}, {'X': 0.6175295114517212, 'Y': 0.41137173771858215, 'Z': -0.01733587682247162}, {'X': 0.6775566339492798, 'Y': 0.6082164645195007, 'Z': -0.0055789039470255375}, {'X': 0.6705331802368164, 'Y': 0.5181487202644348, 'Z': -0.007408315781503916}, {'X': 0.6597059369087219, 'Y': 0.4655640125274658, 'Z': -0.015469401143491268}, {'X': 0.6492569446563721, 'Y': 0.4206937849521637, 'Z': -0.028308356180787086}, {'X': 0.7177194952964783, 'Y': 0.6247864961624146, 'Z': -0.02115483209490776}, {'X': 0.7149889469146729, 'Y': 0.5588905811309814, 'Z': -0.029537683352828026}, {'X': 0.7055224180221558, 'Y': 0.5189459323883057, 'Z': -0.04123799502849579}, {'X': 0.6942708492279053, 'Y': 0.48160097002983093, 'Z': -0.05029739812016487}]
[{'X': 0.6962258219718933, 'Y': 0.8255413174629211, 'Z': -0.00011651415843516588}, {'X': 0.6300044059753418, 'Y': 0.8104680180549622, 'Z': -0.03272809460759163}, {'X': 0.576092004776001, 'Y': 0.7467674612998962, 'Z': -0.04491207003593445}, {'X': 0.5701008439064026, 'Y': 0.676125168800354, 'Z': -0.05890892073512077}, {'X': 0.5904207825660706, 'Y': 0.6308563947677612, 'Z': -0.06338481605052948}, {'X': 0.600197434425354, 'Y': 0.6347697973251343, 'Z': 0.021212046965956688}, {'X': 0.5683706998825073, 'Y': 0.5520251989364624, 'Z': 0.014983829110860825}, {'X': 0.5493911504745483, 'Y': 0.5091098546981812, 'Z': 0.0035047088749706745}, {'X': 0.5363896489143372, 'Y': 0.47867411375045776, 'Z': -0.01117586251348257}, {'X': 0.6425421237945557, 'Y': 0.614501953125, 'Z': 0.01979810744524002}, {'X': 0.6307310461997986, 'Y': 0.5096226930618286, 'Z': 0.02320936508476734}, {'X': 0.6257357597351074, 'Y': 0.45261678099632263, 'Z': 0.009057552553713322}, {'X': 0.6231883764266968, 'Y': 0.4109179973602295, 'Z': -0.0038564042188227177}, {'X': 0.6813810467720032, 'Y': 0.6145263910293579, 'Z': 0.00967487320303917}, {'X': 0.6728381514549255, 'Y': 0.5172491073608398, 'Z': 0.015032697468996048}, {'X': 0.6643836498260498, 'Y': 0.4649811387062073, 'Z': 0.010953985154628754}, {'X': 0.6560431718826294, 'Y': 0.42327141761779785, 'Z': 0.002927184570580721}, {'X': 0.7217454314231873, 'Y': 0.6302004456520081, 'Z': -0.006396973039954901}, {'X': 0.7184789180755615, 'Y': 0.5600039958953857, 'Z': -0.010298136621713638}, {'X': 0.7124429941177368, 'Y': 0.5248015522956848, 'Z': -0.018838930875062943}, {'X': 0.7051540613174438, 'Y': 0.4959520995616913, 'Z': -0.024821197614073753}]
[{'X': 0.6945787668228149, 'Y': 0.8341421484947205, 'Z': -8.778402116149664e-05}, {'X': 0.6296118497848511, 'Y': 0.815604567527771, 'Z': -0.03591448813676834}, {'X': 0.5711895823478699, 'Y': 0.7479912638664246, 'Z': -0.04939150810241699}, {'X': 0.548483669757843, 'Y': 0.6709633469581604, 'Z': -0.06588403135538101}, {'X': 0.5552077889442444, 'Y': 0.6129872798919678, 'Z': -0.07487538456916809}, {'X': 0.6015212535858154, 'Y': 0.6357313394546509, 'Z': 0.028586171567440033}, {'X': 0.567500114440918, 'Y': 0.559309184551239, 'Z': 0.027334081009030342}, {'X': 0.5498166084289551, 'Y': 0.5157485008239746, 'Z': 0.01908496581017971}, {'X': 0.5364961624145508, 'Y': 0.4806995391845703, 'Z': 0.006281649693846703}, {'X': 0.6451967358589172, 'Y': 0.6141067743301392, 'Z': 0.028924396261572838}, {'X': 0.6337578296661377, 'Y': 0.5151963829994202, 'Z': 0.03807327151298523}, {'X': 0.628380298614502, 'Y': 0.459678053855896, 'Z': 0.02475408837199211}, {'X': 0.6246632933616638, 'Y': 0.41379314661026, 'Z': 0.013181822374463081}, {'X': 0.6858363151550293, 'Y': 0.6141324639320374, 'Z': 0.01971425488591194}, {'X': 0.6780797839164734, 'Y': 0.5207295417785645, 'Z': 0.02825060300529003}, {'X': 0.6687585711479187, 'Y': 0.4670010209083557, 'Z': 0.01845110021531582}, {'X': 0.657812774181366, 'Y': 0.4210667610168457, 'Z': 0.005408870987594128}, {'X': 0.7284161448478699, 'Y': 0.6309108734130859, 'Z': 0.005199481267482042}, {'X': 0.7289665341377258, 'Y': 0.5629642605781555, 'Z': 0.002090540947392583}, {'X': 0.7243217825889587, 'Y': 0.5237424373626709, 'Z': -0.009417328052222729}, {'X': 0.7154711484909058, 'Y': 0.4889991879463196, 'Z': -0.020528491586446762}]
