[{'X': 0.7898545265197754, 'Y': 0.6351926326751709, 'Z': -2.524013507354539e-05}, {'X': 0.7356622815132141, 'Y': 0.6156604290008545, 'Z': -0.011690478771924973}, {'X': 0.6933714151382446, 'Y': 0.5346962809562683, 'Z': -0.00620547030121088}, {'X': 0.670948326587677, 'Y': 0.45920100808143616, 'Z': -0.005122608505189419}, {'X': 0.6460066437721252, 'Y': 0.4162317216396332, 'Z': -0.008027222938835621}, {'X': 0.721329391002655, 'Y': 0.4234278202056885, 'Z': 0.03233341872692108}, {'X': 0.7092189788818359, 'Y': 0.33291593194007874, 'Z': 0.033470433205366135}, {'X': 0.7043923735618591, 'Y': 0.27650803327560425, 'Z': 0.024514921009540558}, {'X': 0.7031100988388062, 'Y': 0.22637170553207397, 'Z': 0.013803655281662941}, {'X': 0.7546135783195496, 'Y': 0.4044487178325653, 'Z': 0.026848940178751945}, {'X': 0.7450304627418518, 'Y': 0.2977892756462097, 'Z': 0.034783512353897095}, {'X': 0.7381417155265808, 'Y': 0.22729817032814026, 'Z': 0.01743386685848236}, {'X': 0.7358158826828003, 'Y': 0.16687443852424622, 'Z': 0.0016645774012431502}, {'X': 0.789885401725769, 'Y': 0.4046730399131775, 'Z': 0.017050310969352722}, {'X': 0.7835830450057983, 'Y': 0.3034537434577942, 'Z': 0.019790923222899437}, {'X': 0.7767776250839233, 'Y': 0.2396911084651947, 'Z': 0.0010704990709200501}, {'X': 0.7725719213485718, 'Y': 0.1840830147266388, 'Z': -0.014896814711391926}, {'X': 0.8275777101516724, 'Y': 0.4222923517227173, 'Z': 0.005724399350583553}, {'X': 0.8267000317573547, 'Y': 0.3443428874015808, 'Z': -0.002121054334565997}, {'X': 0.8233352899551392, 'Y': 0.2955262362957001, 'Z': -0.012679697945713997}, {'X': 0.8184981346130371, 'Y': 0.24904051423072815, 'Z': -0.02158544212579727}]
[{'X': 0.7896562218666077, 'Y': 0.6301591396331787, 'Z': -2.425846832920797e-05}, {'X': 0.7363373041152954, 'Y': 0.6107051372528076, 'Z': -0.017936095595359802}, {'X': 0.6947075128555298, 'Y': 0.5283274054527283, 'Z': -0.01602517068386078}, {'X': 0.6738524436950684, 'Y': 0.4526495635509491, 'Z': -0.016817592084407806}, {'X': 0.6474550366401672, 'Y': 0.41361814737319946, 'Z': -0.02138744294643402}, {'X': 0.7216501832008362, 'Y': 0.41935229301452637, 'Z': 0.018694283440709114}, {'X': 0.7096479535102844, 'Y': 0.3260899782180786, 'Z': 0.014008229598402977}, {'X': 0.7051743865013123, 'Y': 0.27017486095428467, 'Z': 0.00311112473718822}, {'X': 0.7040766477584839, 'Y': 0.21929746866226196, 'Z': -0.007663870695978403}, {'X': 0.7552929520606995, 'Y': 0.3996739387512207, 'Z': 0.014995930716395378}, {'X': 0.7468540668487549, 'Y': 0.29074424505233765, 'Z': 0.01664525456726551}, {'X': 0.7402380108833313, 'Y': 0.2198178619146347, 'Z': -0.0015333328628912568}, {'X': 0.7375490665435791, 'Y': 0.15843141078948975, 'Z': -0.0173910204321146}, {'X': 0.7902661561965942, 'Y': 0.40115469694137573, 'Z': 0.006942718755453825}, {'X': 0.7840489745140076, 'Y': 0.29643648862838745, 'Z': 0.0047778054140508175}, {'X': 0.7770671248435974, 'Y': 0.23027324676513672, 'Z': -0.014398465864360332}, {'X': 0.7724670767784119, 'Y': 0.17230215668678284, 'Z': -0.031113963574171066}, {'X': 0.8277700543403625, 'Y': 0.4200774133205414, 'Z': -0.003087384859099984}, {'X': 0.8286190629005432, 'Y': 0.3397615849971771, 'Z': -0.014130744151771069}, {'X': 0.8254060745239258, 'Y': 0.2906798720359802, 'Z': -0.025872793048620224}, {'X': 0.821418821811676, 'Y': 0.24470344185829163, 'Z': -0.035933349281549454}]
[{'X': 0.7893396019935608, 'Y': 0.651915431022644, 'Z': -3.1857885915087536e-05}, {'X': 0.7354633212089539, 'Y': 0.6281062364578247, 'Z': -0.013984035700559616}, {'X': 0.6935009956359863, 'Y': 0.5427675247192383, 'Z': -0.009777944535017014}, {'X': 0.6699759364128113, 'Y': 0.466056764125824, 'Z': -0.009086488746106625}, {'X': 0.6427823305130005, 'Y': 0.42619529366493225, 'Z': -0.010149401612579823}, {'X': 0.7210442423820496, 'Y': 0.42398929595947266, 'Z': 0.03059959039092064}, {'X': 0.7084931135177612, 'Y': 0.33369675278663635, 'Z': 0.029904337599873543}, {'X': 0.7040364146232605, 'Y': 0.2781888246536255, 'Z': 0.022000394761562347}, {'X': 0.7027525901794434, 'Y': 0.22769297659397125, 'Z': 0.012742518447339535}, {'X': 0.7541800141334534, 'Y': 0.40469759702682495, 'Z': 0.027259163558483124}, {'X': 0.745070219039917, 'Y': 0.299439936876297, 'Z': 0.03366359695792198}, {'X': 0.7388150691986084, 'Y': 0.2319364845752716, 'Z': 0.017716974020004272}, {'X': 0.7364940643310547, 'Y': 0.17330235242843628, 'Z': 0.0029005100950598717}, {'X': 0.7894259691238403, 'Y': 0.40582141280174255, 'Z': 0.01882038451731205}, {'X': 0.7835056185722351, 'Y': 0.30241721868515015, 'Z': 0.02015615813434124}, {'X': 0.7771825790405273, 'Y': 0.23929086327552795, 'Z': 0.003116557141765952}, {'X': 0.7732029557228088, 'Y': 0.18404176831245422, 'Z': -0.011557597666978836}, {'X': 0.82729572057724, 'Y': 0.42553380131721497, 'Z': 0.009122749790549278}, {'X': 0.8277257084846497, 'Y': 0.3476901650428772, 'Z': 0.0014763223007321358}, {'X': 0.8249835968017578, 'Y': 0.2989088296890259, 'Z': -0.009341474622488022}, {'X': 0.8211788535118103, 'Y': 0.2526860535144806, 'Z': -0.01822413131594658}]
[{'X': 0.7886335253715515, 'Y': 0.6465628147125244, 'Z': -3.1390325602842495e-05}, {'X': 0.7340948581695557, 'Y': 0.6237865686416626, 'Z': -0.011327938176691532}, {'X': 0.6917963624000549, 'Y': 0.5402822494506836, 'Z': -0.004506821744143963}, {'X': 0.6683531403541565, 'Y': 0.4666095972061157, 'Z': -0.0020004825200885534}, {'X': 0.6418861746788025, 'Y': 0.42841702699661255, 'Z': -0.0017342421924695373}, {'X': 0.719063937664032, 'Y': 0.4276456832885742, 'Z': 0.03518829122185707}, {'X': 0.7064328193664551, 'Y': 0.3372538685798645, 'Z': 0.03558874502778053}, {'X': 0.7013841867446899, 'Y': 0.28208422660827637, 'Z': 0.02746754325926304}, {'X': 0.6999733448028564, 'Y': 0.2326699197292328, 'Z': 0.01759244315326214}, {'X': 0.7521610856056213, 'Y': 0.4086562991142273, 'Z': 0.030269505456089973}, {'X': 0.7428097128868103, 'Y': 0.3051532506942749, 'Z': 0.03655704855918884}, {'X': 0.7353861927986145, 'Y': 0.23842771351337433, 'Z': 0.020238829776644707}, {'X': 0.7317482829093933, 'Y': 0.17952266335487366, 'Z': 0.006144734099507332}, {'X': 0.7876614928245544, 'Y': 0.40820562839508057, 'Z': 0.020731640979647636}, {'X': 0.7816823124885559, 'Y': 0.306984007358551, 'Z': 0.02144567109644413}, {'X': 0.7744808197021484, 'Y': 0.24427106976509094, 'Z': 0.003251759335398674}, {'X': 0.7690978050231934, 'Y': 0.18883347511291504, 'Z': -0.011334910988807678}, {'X': 0.8258588314056396, 'Y': 0.42562296986579895, 'Z': 0.009672270156443119}, {'X': 0.827506422996521, 'Y': 0.3485088050365448, 'Z': 0.0012451957445591688}, {'X': 0.8262384533882141, 'Y': 0.2997594475746155, 'Z': -0.009622420184314251}, {'X': 0.8236501216888428, 'Y': 0.2525538504123688, 'Z': -0.01809615269303322}]
[{'X': 0.7865153551101685, 'Y': 0.6347638368606567, 'Z': -3.3834687201306224e-05}, {'X': 0.7327744364738464, 'Y': 0.6168190836906433, 'Z': -0.012996076606214046}, {'X': 0.6917155981063843, 'Y': 0.5342478156089783, 'Z': -0.008923578076064587}, {'X': 0.6720361709594727, 'Y': 0.46017012000083923, 'Z': -0.007935097441077232}, {'X': 0.645956814289093, 'Y': 0.42143720388412476, 'Z': -0.007942370139062405}, {'X': 0.7177172303199768, 'Y': 0.4283342659473419, 'Z': 0.01980188861489296}, {'X': 0.7049750089645386, 'Y': 0.33855071663856506, 'Z': 0.008867165073752403}, {'X': 0.700221836566925, 'Y': 0.2815271019935608, 'Z': -0.004304870963096619}, {'X': 0.6978665590286255, 'Y': 0.22712156176567078, 'Z': -0.016733987256884575}, {'X': 0.751605212688446, 'Y': 0.4087558090686798, 'Z': 0.012945207767188549}, {'X': 0.7425290942192078, 'Y': 0.3058431148529053, 'Z': 0.007482469081878662}, {'X': 0.7355712056159973, 'Y': 0.2381567656993866, 'Z': -0.014851808547973633}, {'X': 0.7313967943191528, 'Y': 0.17581865191459656, 'Z': -0.03263475373387337}, {'X': 0.7875291705131531, 'Y': 0.40852704644203186, 'Z': 0.0015801341505721211}, {'X': 0.7806527614593506, 'Y': 0.30528953671455383, 'Z': -0.006997991818934679}, {'X': 0.773673951625824, 'Y': 0.24040158092975616, 'Z': -0.02785862609744072}, {'X': 0.7684393525123596, 'Y': 0.18007656931877136, 'Z': -0.04491310194134712}, {'X': 0.8265135884284973, 'Y': 0.4262327551841736, 'Z': -0.011429434642195702}, {'X': 0.828015148639679, 'Y': 0.34373894333839417, 'Z': -0.023009734228253365}, {'X': 0.8266704082489014, 'Y': 0.29218095541000366, 'Z': -0.03405003622174263}, {'X': 0.824385404586792, 'Y': 0.24160213768482208, 'Z': -0.04389949515461922}]
[{'X': 0.7871243357658386, 'Y': 0.6360855102539062, 'Z': -4.080721191712655e-05}, {'X': 0.7345349192619324, 'Y': 0.6163340210914612, 'Z': -0.015126961283385754}, {'X': 0.6948160529136658, 'Y': 0.5298113822937012, 'Z': -0.012104561552405357}, {'X': 0.6753873825073242, 'Y': 0.45804888010025024, 'Z': -0.0125319454818964}, {'X': 0.6480916738510132, 'Y': 0.4171350300312042, 'Z': -0.012945566326379776}, {'X': 0.7199028730392456, 'Y': 0.4206800162792206, 'Z': 0.027381356805562973}, {'X': 0.7083674669265747, 'Y': 0.332957923412323, 'Z': 0.02003980614244938}, {'X': 0.7055331468582153, 'Y': 0.27664098143577576, 'Z': 0.005908443126827478}, {'X': 0.7045462131500244, 'Y': 0.222361758351326, 'Z': -0.008418210782110691}, {'X': 0.755054235458374, 'Y': 0.4048766493797302, 'Z': 0.021751077845692635}, {'X': 0.7486478686332703, 'Y': 0.3112347424030304, 'Z': 0.014647715725004673}, {'X': 0.7437904477119446, 'Y': 0.25412654876708984, 'Z': -0.013034559786319733}, {'X': 0.7413904666900635, 'Y': 0.20540890097618103, 'Z': -0.03394519165158272}, {'X': 0.7910252809524536, 'Y': 0.40524107217788696, 'Z': 0.011140160262584686}, {'X': 0.7837273478507996, 'Y': 0.31043267250061035, 'Z': 0.001084612333215773}, {'X': 0.7766749262809753, 'Y': 0.2518192231655121, 'Z': -0.024329813197255135}, {'X': 0.7715215086936951, 'Y': 0.19986768066883087, 'Z': -0.04309165105223656}, {'X': 0.8291698098182678, 'Y': 0.42193594574928284, 'Z': -0.0006537461886182427}, {'X': 0.8289998769760132, 'Y': 0.34275388717651367, 'Z': -0.010946187190711498}, {'X': 0.8270236253738403, 'Y': 0.29196128249168396, 'Z': -0.022253604605793953}, {'X': 0.8237159848213196, 'Y': 0.2436397522687912, 'Z': -0.03191631659865379}]
[{'X': 0.7900609374046326, 'Y': 0.6455654501914978, 'Z': 1.2599813999258913e-05}, {'X': 0.7353846430778503, 'Y': 0.6254103183746338, 'Z': -0.008400271646678448}, {'X': 0.6963093280792236, 'Y': 0.5367045998573303, 'Z': -0.005616288632154465}, {'X': 0.671718955039978, 'Y': 0.4583783447742462, 'Z': -0.007124216761440039}, {'X': 0.6471585035324097, 'Y': 0.41668426990509033, 'Z': -0.008218612521886826}, {'X': 0.7207256555557251, 'Y': 0.42987215518951416, 'Z': 0.03798745945096016}, {'X': 0.7104822397232056, 'Y': 0.3274749219417572, 'Z': 0.05219709500670433}, {'X': 0.709962010383606, 'Y': 0.26595133543014526, 'Z': 0.05190403386950493}, {'X': 0.7139146327972412, 'Y': 0.21424643695354462, 'Z': 0.044425200670957565}, {'X': 0.7547579407691956, 'Y': 0.4201555848121643, 'Z': 0.03319762647151947}, {'X': 0.7487660646438599, 'Y': 0.3549298048019409, 'Z': 0.010562052018940449}, {'X': 0.7455878853797913, 'Y': 0.3929385840892792, 'Z': -0.02427639439702034}, {'X': 0.7462419867515564, 'Y': 0.4257282018661499, 'Z': -0.035612937062978745}, {'X': 0.7895035743713379, 'Y': 0.4139859676361084, 'Z': 0.02610345371067524}, {'X': 0.7922949194908142, 'Y': 0.32881495356559753, 'Z': 0.02612442523241043}, {'X': 0.7843136787414551, 'Y': 0.2779579162597656, 'Z': 0.010172051377594471}, {'X': 0.7758345603942871, 'Y': 0.2260202169418335, 'Z': -0.0005448280717246234}, {'X': 0.8263458013534546, 'Y': 0.4206063151359558, 'Z': 0.017839420586824417}, {'X': 0.8284932374954224, 'Y': 0.34436535835266113, 'Z': 0.015765542164444923}, {'X': 0.828685462474823, 'Y': 0.2957487404346466, 'Z': 0.009787749499082565}, {'X': 0.8265703320503235, 'Y': 0.2454160451889038, 'Z': 0.007265561260282993}]
[{'X': 0.7919183969497681, 'Y': 0.6559867858886719, 'Z': 5.505295121110976e-06}, {'X': 0.7346537709236145, 'Y': 0.6267342567443848, 'Z': 0.002732520690187812}, {'X': 0.6972544193267822, 'Y': 0.5379434823989868, 'Z': 0.012111801654100418}, {'X': 0.6711070537567139, 'Y': 0.4626505672931671, 'Z': 0.01481407880783081}, {'X': 0.6482506990432739, 'Y': 0.42392536997795105, 'Z': 0.016013408079743385}, {'X': 0.7214410305023193, 'Y': 0.4349737763404846, 'Z': 0.06259878724813461}, {'X': 0.7127975821495056, 'Y': 0.33816832304000854, 'Z': 0.07811784744262695}, {'X': 0.7130405306816101, 'Y': 0.27328795194625854, 'Z': 0.07909424602985382}, {'X': 0.7160978317260742, 'Y': 0.22113274037837982, 'Z': 0.07285212725400925}, {'X': 0.7537527680397034, 'Y': 0.4264119565486908, 'Z': 0.05207420885562897}, {'X': 0.743692934513092, 'Y': 0.35611841082572937, 'Z': 0.019700244069099426}, {'X': 0.7381386756896973, 'Y': 0.407641738653183, 'Z': -0.01811366342008114}, {'X': 0.7380856871604919, 'Y': 0.451515793800354, 'Z': -0.022305235266685486}, {'X': 0.7880749106407166, 'Y': 0.4189666211605072, 'Z': 0.03946710750460625}, {'X': 0.7908419370651245, 'Y': 0.33210453391075134, 'Z': 0.037493690848350525}, {'X': 0.7815401554107666, 'Y': 0.2942811846733093, 'Z': 0.018209153786301613}, {'X': 0.7714834213256836, 'Y': 0.2531629204750061, 'Z': 0.009401941671967506}, {'X': 0.8249930739402771, 'Y': 0.4227965474128723, 'Z': 0.026242470368742943}, {'X': 0.8273482918739319, 'Y': 0.34625929594039917, 'Z': 0.028412383049726486}, {'X': 0.8276488184928894, 'Y': 0.29852932691574097, 'Z': 0.022740403190255165}, {'X': 0.8259748816490173, 'Y': 0.25065964460372925, 'Z': 0.02200835384428501}]
[{'X': 0.790264904499054, 'Y': 0.6483221650123596, 'Z': -3.3709307899698615e-05}, {'X': 0.737304151058197, 'Y': 0.6219381093978882, 'Z': -0.0021681664511561394}, {'X': 0.7001428604125977, 'Y': 0.5321940183639526, 'Z': 0.006870931945741177}, {'X': 0.6782264113426208, 'Y': 0.46018126606941223, 'Z': 0.009735052473843098}, {'X': 0.6511163711547852, 'Y': 0.4192160367965698, 'Z': 0.010650494135916233}, {'X': 0.7217806577682495, 'Y': 0.43388500809669495, 'Z': 0.05398501455783844}, {'X': 0.7163026332855225, 'Y': 0.3474787473678589, 'Z': 0.06110837683081627}, {'X': 0.7169058918952942, 'Y': 0.286528617143631, 'Z': 0.05746724084019661}, {'X': 0.718005359172821, 'Y': 0.23609034717082977, 'Z': 0.04781385883688927}, {'X': 0.7529318928718567, 'Y': 0.42494502663612366, 'Z': 0.04371602088212967}, {'X': 0.7424366474151611, 'Y': 0.3572928309440613, 'Z': 0.0008765364182181656}, {'X': 0.7367452383041382, 'Y': 0.4231148660182953, 'Z': -0.03354847431182861}, {'X': 0.7371199131011963, 'Y': 0.47680696845054626, 'Z': -0.03476535901427269}, {'X': 0.7854232788085938, 'Y': 0.41860294342041016, 'Z': 0.03024383820593357}, {'X': 0.7848489284515381, 'Y': 0.3358408212661743, 'Z': 0.0174594447016716}, {'X': 0.7718135118484497, 'Y': 0.31641727685928345, 'Z': -0.001423655659891665}, {'X': 0.7613964676856995, 'Y': 0.2925603985786438, 'Z': -0.007801225874572992}, {'X': 0.8208590745925903, 'Y': 0.4223596751689911, 'Z': 0.01452527567744255}, {'X': 0.8228936195373535, 'Y': 0.346046507358551, 'Z': 0.012458059936761856}, {'X': 0.8211804628372192, 'Y': 0.30074822902679443, 'Z': 0.0031339144334197044}, {'X': 0.8182902336120605, 'Y': 0.2568706274032593, 'Z': -0.0006524173659272492}]
[{'X': 0.7852120399475098, 'Y': 0.656987726688385, 'Z': -5.101642454974353e-05}, {'X': 0.7379804849624634, 'Y': 0.6220544576644897, 'Z': 0.003206736408174038}, {'X': 0.7007944583892822, 'Y': 0.52644282579422, 'Z': 0.01828601397573948}, {'X': 0.6762032508850098, 'Y': 0.45513203740119934, 'Z': 0.025045379996299744}, {'X': 0.6504584550857544, 'Y': 0.41521942615509033, 'Z': 0.03207692131400108}, {'X': 0.725827693939209, 'Y': 0.44088661670684814, 'Z': 0.05611603707075119}, {'X': 0.7173769474029541, 'Y': 0.3647608757019043, 'Z': 0.0674881860613823}, {'X': 0.7141712307929993, 'Y': 0.3123375177383423, 'Z': 0.07440973073244095}, {'X': 0.7118987441062927, 'Y': 0.2653791904449463, 'Z': 0.07099847495555878}, {'X': 0.7535478472709656, 'Y': 0.4316582977771759, 'Z': 0.04254262521862984}, {'X': 0.7406578063964844, 'Y': 0.36814239621162415, 'Z': -0.004558703396469355}, {'X': 0.736540675163269, 'Y': 0.45241111516952515, 'Z': -0.029048535972833633}, {'X': 0.7392303347587585, 'Y': 0.5165063738822937, 'Z': -0.024978652596473694}, {'X': 0.7830377817153931, 'Y': 0.42547571659088135, 'Z': 0.02464796043932438}, {'X': 0.7750971913337708, 'Y': 0.34009814262390137, 'Z': 0.00035237250267528}, {'X': 0.7567473649978638, 'Y': 0.353219211101532, 'Z': -0.01308867335319519}, {'X': 0.7456892728805542, 'Y': 0.3633909821510315, 'Z': -0.012898196466267109}, {'X': 0.8168916702270508, 'Y': 0.4295474886894226, 'Z': 0.005385164637118578}, {'X': 0.8162063956260681, 'Y': 0.3503057360649109, 'Z': -0.0017843437381088734}, {'X': 0.8120826482772827, 'Y': 0.30339354276657104, 'Z': -0.013559719547629356}, {'X': 0.8080043792724609, 'Y': 0.259091854095459, 'Z': -0.019466841593384743}]
[{'X': 0.7851405143737793, 'Y': 0.6572099328041077, 'Z': -5.7628072681836784e-05}, {'X': 0.7359239459037781, 'Y': 0.6192147731781006, 'Z': 0.00805222149938345}, {'X': 0.6996272802352905, 'Y': 0.5269160866737366, 'Z': 0.025598783046007156}, {'X': 0.6767336130142212, 'Y': 0.4595535695552826, 'Z': 0.03307723626494408}, {'X': 0.6504377722740173, 'Y': 0.4187082052230835, 'Z': 0.04028032347559929}, {'X': 0.726715624332428, 'Y': 0.4435117244720459, 'Z': 0.06394491344690323}, {'X': 0.7185733318328857, 'Y': 0.3726612329483032, 'Z': 0.07043614238500595}, {'X': 0.713463306427002, 'Y': 0.3305952548980713, 'Z': 0.07029932737350464}, {'X': 0.708885669708252, 'Y': 0.2974722683429718, 'Z': 0.06509815901517868}, {'X': 0.754604697227478, 'Y': 0.4339190423488617, 'Z': 0.04930346459150314}, {'X': 0.7412943243980408, 'Y': 0.3641369938850403, 'Z': 0.006759767420589924}, {'X': 0.7363158464431763, 'Y': 0.4427438974380493, 'Z': -0.024382615461945534}, {'X': 0.73772132396698, 'Y': 0.5071998834609985, 'Z': -0.026496781036257744}, {'X': 0.7844728231430054, 'Y': 0.4281502664089203, 'Z': 0.030567292124032974}, {'X': 0.7771771550178528, 'Y': 0.3415085971355438, 'Z': 0.0070877098478376865}, {'X': 0.7616488933563232, 'Y': 0.3572128117084503, 'Z': -0.011288708075881004}, {'X': 0.7522470951080322, 'Y': 0.37149158120155334, 'Z': -0.014855816960334778}, {'X': 0.8178586959838867, 'Y': 0.43267756700515747, 'Z': 0.011970817111432552}, {'X': 0.8151448965072632, 'Y': 0.35200217366218567, 'Z': 0.005662844050675631}, {'X': 0.8082835674285889, 'Y': 0.31229689717292786, 'Z': -0.006240731105208397}, {'X': 0.8011583089828491, 'Y': 0.2796136736869812, 'Z': -0.011947008781135082}]
