[{'X': 0.8123123645782471, 'Y': 0.6535913944244385, 'Z': -0.0001024327939376235}, {'X': 0.734194815158844, 'Y': 0.6320277452468872, 'Z': -0.013561397790908813}, {'X': 0.6785978078842163, 'Y': 0.5614902377128601, 'Z': -0.009135289117693901}, {'X': 0.6490799188613892, 'Y': 0.48666173219680786, 'Z': -0.010298316366970539}, {'X': 0.6251752972602844, 'Y': 0.4329732358455658, 'Z': -0.010228783823549747}, {'X': 0.7210085391998291, 'Y': 0.4606492519378662, 'Z': 0.037776049226522446}, {'X': 0.7055974006652832, 'Y': 0.36685609817504883, 'Z': 0.04065084084868431}, {'X': 0.6986736059188843, 'Y': 0.31112754344940186, 'Z': 0.029765143990516663}, {'X': 0.6956366896629333, 'Y': 0.2606709897518158, 'Z': 0.017743319272994995}, {'X': 0.7623540759086609, 'Y': 0.44758668541908264, 'Z': 0.030623149126768112}, {'X': 0.7459904551506042, 'Y': 0.3450460731983185, 'Z': 0.035619329661130905}, {'X': 0.7380648851394653, 'Y': 0.28374743461608887, 'Z': 0.014149380847811699}, {'X': 0.7318775653839111, 'Y': 0.22979934513568878, 'Z': -0.002887814538553357}, {'X': 0.805136501789093, 'Y': 0.4494701623916626, 'Z': 0.0185240488499403}, {'X': 0.7919038534164429, 'Y': 0.35637855529785156, 'Z': 0.023292960599064827}, {'X': 0.7800161242485046, 'Y': 0.29774025082588196, 'Z': 0.0015877290861681104}, {'X': 0.768849790096283, 'Y': 0.2471284568309784, 'Z': -0.014719284139573574}, {'X': 0.8499323129653931, 'Y': 0.46481433510780334, 'Z': 0.004295095335692167}, {'X': 0.8431190848350525, 'Y': 0.3914761543273926, 'Z': -0.00150674011092633}, {'X': 0.8320703506469727, 'Y': 0.3424752652645111, 'Z': -0.01503677573055029}, {'X': 0.8171316385269165, 'Y': 0.2976047396659851, 'Z': -0.025741402059793472}]
[{'X': 0.8203988075256348, 'Y': 0.6562464237213135, 'Z': -9.484259499004111e-05}, {'X': 0.7429829239845276, 'Y': 0.6359291076660156, 'Z': -0.015050597488880157}, {'X': 0.68654865026474, 'Y': 0.5622470378875732, 'Z': -0.00703800655901432}, {'X': 0.6549354791641235, 'Y': 0.48352494835853577, 'Z': -0.00525424350053072}, {'X': 0.6290034055709839, 'Y': 0.42911967635154724, 'Z': 0.0008333519217558205}, {'X': 0.7291119694709778, 'Y': 0.4572209417819977, 'Z': 0.05201483890414238}, {'X': 0.712895393371582, 'Y': 0.3594479560852051, 'Z': 0.06087157875299454}, {'X': 0.7066048383712769, 'Y': 0.30299609899520874, 'Z': 0.055328529328107834}, {'X': 0.703516960144043, 'Y': 0.2554202079772949, 'Z': 0.0459054671227932}, {'X': 0.7705289721488953, 'Y': 0.44257497787475586, 'Z': 0.04677700996398926}, {'X': 0.7526444792747498, 'Y': 0.3363261818885803, 'Z': 0.05879947170615196}, {'X': 0.7429261207580566, 'Y': 0.2749932110309601, 'Z': 0.04332244023680687}, {'X': 0.7354739308357239, 'Y': 0.2228863537311554, 'Z': 0.029477916657924652}, {'X': 0.8130573034286499, 'Y': 0.44360533356666565, 'Z': 0.03560212254524231}, {'X': 0.7995386719703674, 'Y': 0.3461601734161377, 'Z': 0.04568424075841904}, {'X': 0.7870610356330872, 'Y': 0.2886109948158264, 'Z': 0.02967054955661297}, {'X': 0.775327205657959, 'Y': 0.24192433059215546, 'Z': 0.01651652343571186}, {'X': 0.8578592538833618, 'Y': 0.4593883752822876, 'Z': 0.021826080977916718}, {'X': 0.8516651391983032, 'Y': 0.382976233959198, 'Z': 0.01861240714788437}, {'X': 0.8402482867240906, 'Y': 0.3350926339626312, 'Z': 0.00773810176178813}, {'X': 0.8247714638710022, 'Y': 0.2937530279159546, 'Z': -0.0007375962450169027}]
[{'X': 0.8203988075256348, 'Y': 0.6562464237213135, 'Z': -9.484259499004111e-05}, {'X': 0.7429829239845276, 'Y': 0.6359291076660156, 'Z': -0.015050597488880157}, {'X': 0.68654865026474, 'Y': 0.5622470378875732, 'Z': -0.00703800655901432}, {'X': 0.6549354791641235, 'Y': 0.48352494835853577, 'Z': -0.00525424350053072}, {'X': 0.6290034055709839, 'Y': 0.42911967635154724, 'Z': 0.0008333519217558205}, {'X': 0.7291119694709778, 'Y': 0.4572209417819977, 'Z': 0.05201483890414238}, {'X': 0.712895393371582, 'Y': 0.3594479560852051, 'Z': 0.06087157875299454}, {'X': 0.7066048383712769, 'Y': 0.30299609899520874, 'Z': 0.055328529328107834}, {'X': 0.703516960144043, 'Y': 0.2554202079772949, 'Z': 0.0459054671227932}, {'X': 0.7705289721488953, 'Y': 0.44257497787475586, 'Z': 0.04677700996398926}, {'X': 0.7526444792747498, 'Y': 0.3363261818885803, 'Z': 0.05879947170615196}, {'X': 0.7429261207580566, 'Y': 0.2749932110309601, 'Z': 0.04332244023680687}, {'X': 0.7354739308357239, 'Y': 0.2228863537311554, 'Z': 0.029477916657924652}, {'X': 0.8130573034286499, 'Y': 0.44360533356666565, 'Z': 0.03560212254524231}, {'X': 0.7995386719703674, 'Y': 0.3461601734161377, 'Z': 0.04568424075841904}, {'X': 0.7870610356330872, 'Y': 0.2886109948158264, 'Z': 0.02967054955661297}, {'X': 0.775327205657959, 'Y': 0.24192433059215546, 'Z': 0.01651652343571186}, {'X': 0.8578592538833618, 'Y': 0.4593883752822876, 'Z': 0.021826080977916718}, {'X': 0.8516651391983032, 'Y': 0.382976233959198, 'Z': 0.01861240714788437}, {'X': 0.8402482867240906, 'Y': 0.3350926339626312, 'Z': 0.00773810176178813}, {'X': 0.8247714638710022, 'Y': 0.2937530279159546, 'Z': -0.0007375962450169027}]
[{'X': 0.8284332752227783, 'Y': 0.6494503617286682, 'Z': -9.603665239410475e-05}, {'X': 0.7492551803588867, 'Y': 0.6271041631698608, 'Z': -0.01880629174411297}, {'X': 0.6920088529586792, 'Y': 0.5627082586288452, 'Z': -0.011621901765465736}, {'X': 0.6580885648727417, 'Y': 0.49116671085357666, 'Z': -0.012007717974483967}, {'X': 0.639162540435791, 'Y': 0.43042823672294617, 'Z': -0.00922427885234356}, {'X': 0.7319254279136658, 'Y': 0.46247759461402893, 'Z': 0.06380138546228409}, {'X': 0.7173289060592651, 'Y': 0.36613792181015015, 'Z': 0.06949188560247421}, {'X': 0.711799681186676, 'Y': 0.309201180934906, 'Z': 0.05509128421545029}, {'X': 0.709409236907959, 'Y': 0.25813859701156616, 'Z': 0.04116232693195343}, {'X': 0.7717698216438293, 'Y': 0.44704675674438477, 'Z': 0.05976356938481331}, {'X': 0.7572046518325806, 'Y': 0.34238696098327637, 'Z': 0.07168784737586975}, {'X': 0.7517530918121338, 'Y': 0.2783777713775635, 'Z': 0.049023501574993134}, {'X': 0.7462844848632812, 'Y': 0.22087106108665466, 'Z': 0.03125183284282684}, {'X': 0.8136290311813354, 'Y': 0.4477710425853729, 'Z': 0.04837833717465401}, {'X': 0.8051275610923767, 'Y': 0.3538256287574768, 'Z': 0.05934576690196991}, {'X': 0.7947693467140198, 'Y': 0.29151225090026855, 'Z': 0.03836033120751381}, {'X': 0.7834657430648804, 'Y': 0.23742257058620453, 'Z': 0.02293863333761692}, {'X': 0.8574100732803345, 'Y': 0.4616912603378296, 'Z': 0.0326155386865139}, {'X': 0.853257417678833, 'Y': 0.3915163576602936, 'Z': 0.032201338559389114}, {'X': 0.8431699275970459, 'Y': 0.34028106927871704, 'Z': 0.023297490552067757}, {'X': 0.8285574913024902, 'Y': 0.2923344671726227, 'Z': 0.01827940344810486}]
[{'X': 0.8412279486656189, 'Y': 0.661089301109314, 'Z': -8.99526639841497e-05}, {'X': 0.7591665387153625, 'Y': 0.6357557773590088, 'Z': -0.023366136476397514}, {'X': 0.700531005859375, 'Y': 0.5614094138145447, 'Z': -0.023059364408254623}, {'X': 0.6676688194274902, 'Y': 0.4804196059703827, 'Z': -0.027338432148098946}, {'X': 0.6397266983985901, 'Y': 0.42148151993751526, 'Z': -0.027734769508242607}, {'X': 0.7418757677078247, 'Y': 0.4484168589115143, 'Z': 0.044261883944272995}, {'X': 0.7246324419975281, 'Y': 0.3507034480571747, 'Z': 0.051959358155727386}, {'X': 0.7195430994033813, 'Y': 0.2936270236968994, 'Z': 0.04536804184317589}, {'X': 0.7172556519508362, 'Y': 0.24494488537311554, 'Z': 0.036163028329610825}, {'X': 0.7851155400276184, 'Y': 0.43281009793281555, 'Z': 0.04341833293437958}, {'X': 0.7654927372932434, 'Y': 0.3273713290691376, 'Z': 0.056623801589012146}, {'X': 0.7573481202125549, 'Y': 0.2670494318008423, 'Z': 0.041026338934898376}, {'X': 0.7511069178581238, 'Y': 0.216281920671463, 'Z': 0.024847393855452538}, {'X': 0.8284769654273987, 'Y': 0.4350719153881073, 'Z': 0.03562316671013832}, {'X': 0.813296914100647, 'Y': 0.33885788917541504, 'Z': 0.045716576278209686}, {'X': 0.8022861480712891, 'Y': 0.2844744622707367, 'Z': 0.027679026126861572}, {'X': 0.7921673655509949, 'Y': 0.24065665900707245, 'Z': 0.010552288964390755}, {'X': 0.8738569617271423, 'Y': 0.4524082541465759, 'Z': 0.024316834285855293}, {'X': 0.8647023439407349, 'Y': 0.37621399760246277, 'Z': 0.022299014031887054}, {'X': 0.8536637425422668, 'Y': 0.33054620027542114, 'Z': 0.007929727435112}, {'X': 0.839361310005188, 'Y': 0.2905472218990326, 'Z': -0.004839782603085041}]
[{'X': 0.8392713665962219, 'Y': 0.6481102705001831, 'Z': -8.367434929823503e-05}, {'X': 0.7616392374038696, 'Y': 0.6268765330314636, 'Z': -0.022399121895432472}, {'X': 0.7033413052558899, 'Y': 0.5543646812438965, 'Z': -0.02168668620288372}, {'X': 0.6707645654678345, 'Y': 0.4755210876464844, 'Z': -0.027321703732013702}, {'X': 0.6441231369972229, 'Y': 0.41588348150253296, 'Z': -0.03222483769059181}, {'X': 0.745753288269043, 'Y': 0.4455667734146118, 'Z': 0.04706067219376564}, {'X': 0.7289547920227051, 'Y': 0.3497876822948456, 'Z': 0.051171544939279556}, {'X': 0.7224461436271667, 'Y': 0.29193854331970215, 'Z': 0.042491983622312546}, {'X': 0.7188027501106262, 'Y': 0.24357305467128754, 'Z': 0.032699041068553925}, {'X': 0.7883673906326294, 'Y': 0.43027597665786743, 'Z': 0.04356051981449127}, {'X': 0.7699108123779297, 'Y': 0.32514452934265137, 'Z': 0.05505145341157913}, {'X': 0.7608478665351868, 'Y': 0.26346006989479065, 'Z': 0.03833291307091713}, {'X': 0.7541319727897644, 'Y': 0.2119821161031723, 'Z': 0.023740584030747414}, {'X': 0.8322194218635559, 'Y': 0.4322497248649597, 'Z': 0.03299381583929062}, {'X': 0.8183517456054688, 'Y': 0.33529767394065857, 'Z': 0.04389193654060364}, {'X': 0.805508553981781, 'Y': 0.2783573865890503, 'Z': 0.023430824279785156}, {'X': 0.7939046621322632, 'Y': 0.2330533117055893, 'Z': 0.006855889689177275}, {'X': 0.8783490657806396, 'Y': 0.44879937171936035, 'Z': 0.018876446411013603}, {'X': 0.8708536028862, 'Y': 0.37248069047927856, 'Z': 0.01646839827299118}, {'X': 0.8588011264801025, 'Y': 0.32513725757598877, 'Z': 0.0022003392223268747}, {'X': 0.8433744311332703, 'Y': 0.28506535291671753, 'Z': -0.009690250270068645}]
[{'X': 0.8420948386192322, 'Y': 0.6437397003173828, 'Z': -0.00010261050192639232}, {'X': 0.7626684904098511, 'Y': 0.6247676610946655, 'Z': -0.02196219004690647}, {'X': 0.7030699253082275, 'Y': 0.5548920631408691, 'Z': -0.01754864864051342}, {'X': 0.670906126499176, 'Y': 0.474823534488678, 'Z': -0.01940447837114334}, {'X': 0.6441177129745483, 'Y': 0.41414326429367065, 'Z': -0.015581275336444378}, {'X': 0.7437805533409119, 'Y': 0.4478447139263153, 'Z': 0.05194150656461716}, {'X': 0.7276508808135986, 'Y': 0.34841322898864746, 'Z': 0.05945989489555359}, {'X': 0.7233851552009583, 'Y': 0.2922278642654419, 'Z': 0.0515747144818306}, {'X': 0.7226344347000122, 'Y': 0.24744398891925812, 'Z': 0.04109901189804077}, {'X': 0.7876645922660828, 'Y': 0.4307738244533539, 'Z': 0.04945739358663559}, {'X': 0.7678559422492981, 'Y': 0.3223954737186432, 'Z': 0.06318880617618561}, {'X': 0.7603426575660706, 'Y': 0.2605116367340088, 'Z': 0.048079438507556915}, {'X': 0.7553972601890564, 'Y': 0.20917721092700958, 'Z': 0.03216145932674408}, {'X': 0.8313506245613098, 'Y': 0.430568128824234, 'Z': 0.040226563811302185}, {'X': 0.8182168006896973, 'Y': 0.3340972363948822, 'Z': 0.052558429539203644}, {'X': 0.8072689175605774, 'Y': 0.27898702025413513, 'Z': 0.03879987820982933}, {'X': 0.7957283854484558, 'Y': 0.23437243700027466, 'Z': 0.02443174459040165}, {'X': 0.8770462274551392, 'Y': 0.4448167681694031, 'Z': 0.026944829151034355}, {'X': 0.870535671710968, 'Y': 0.3702673316001892, 'Z': 0.026841914281249046}, {'X': 0.8588560223579407, 'Y': 0.32653898000717163, 'Z': 0.017146211117506027}, {'X': 0.8434262275695801, 'Y': 0.2886790633201599, 'Z': 0.008850549347698689}]
[{'X': 0.8454945087432861, 'Y': 0.6458610892295837, 'Z': -0.00010194060450885445}, {'X': 0.7624003887176514, 'Y': 0.6228383779525757, 'Z': -0.017856277525424957}, {'X': 0.7026528120040894, 'Y': 0.5507928729057312, 'Z': -0.012899287976324558}, {'X': 0.6697070002555847, 'Y': 0.4704941213130951, 'Z': -0.015867238864302635}, {'X': 0.6411066055297852, 'Y': 0.41080954670906067, 'Z': -0.016001110896468163}, {'X': 0.7413488626480103, 'Y': 0.44409313797950745, 'Z': 0.04919338598847389}, {'X': 0.7246752977371216, 'Y': 0.34606412053108215, 'Z': 0.059548135846853256}, {'X': 0.7202579379081726, 'Y': 0.2886722683906555, 'Z': 0.05617204308509827}, {'X': 0.7175552845001221, 'Y': 0.23948398232460022, 'Z': 0.049096450209617615}, {'X': 0.7852703928947449, 'Y': 0.4288102686405182, 'Z': 0.0460677295923233}, {'X': 0.7658368349075317, 'Y': 0.3211463987827301, 'Z': 0.059438567608594894}, {'X': 0.7591731548309326, 'Y': 0.2583698630332947, 'Z': 0.04328979551792145}, {'X': 0.7538089156150818, 'Y': 0.20592761039733887, 'Z': 0.027898777276277542}, {'X': 0.8292697072029114, 'Y': 0.43025922775268555, 'Z': 0.035999540239572525}, {'X': 0.813831090927124, 'Y': 0.33262893557548523, 'Z': 0.047199368476867676}, {'X': 0.8035779595375061, 'Y': 0.2757788896560669, 'Z': 0.03029365837574005}, {'X': 0.7921659350395203, 'Y': 0.2285337746143341, 'Z': 0.014061431400477886}, {'X': 0.8752967119216919, 'Y': 0.4456174671649933, 'Z': 0.023559847846627235}, {'X': 0.8664670586585999, 'Y': 0.3710779845714569, 'Z': 0.022926881909370422}, {'X': 0.8563990592956543, 'Y': 0.32538625597953796, 'Z': 0.01086774654686451}, {'X': 0.8424678444862366, 'Y': 0.2832013964653015, 'Z': 0.00044379965402185917}]
[{'X': 0.8456829190254211, 'Y': 0.6442232131958008, 'Z': -7.753865793347359e-05}, {'X': 0.7624946236610413, 'Y': 0.6187396049499512, 'Z': -0.019564013928174973}, {'X': 0.7023841738700867, 'Y': 0.5458341240882874, 'Z': -0.014383206143975258}, {'X': 0.6685832142829895, 'Y': 0.4655916392803192, 'Z': -0.015950895845890045}, {'X': 0.6400556564331055, 'Y': 0.40703463554382324, 'Z': -0.01538099441677332}, {'X': 0.738068163394928, 'Y': 0.4425491392612457, 'Z': 0.04752589017152786}, {'X': 0.7218551635742188, 'Y': 0.3454187512397766, 'Z': 0.054040953516960144}, {'X': 0.7180241942405701, 'Y': 0.28772130608558655, 'Z': 0.046803396195173264}, {'X': 0.716445803642273, 'Y': 0.2378183901309967, 'Z': 0.03745125234127045}, {'X': 0.7825275659561157, 'Y': 0.4261252284049988, 'Z': 0.04535292834043503}, {'X': 0.762091875076294, 'Y': 0.32027846574783325, 'Z': 0.05360056087374687}, {'X': 0.7565515637397766, 'Y': 0.25686022639274597, 'Z': 0.0321541428565979}, {'X': 0.7533718347549438, 'Y': 0.20412246882915497, 'Z': 0.013150031678378582}, {'X': 0.8269083499908447, 'Y': 0.42692360281944275, 'Z': 0.036350641399621964}, {'X': 0.8115390539169312, 'Y': 0.3309398591518402, 'Z': 0.04160037636756897}, {'X': 0.8028411865234375, 'Y': 0.2756536304950714, 'Z': 0.021009009331464767}, {'X': 0.7940015196800232, 'Y': 0.23047123849391937, 'Z': 0.003514776472002268}, {'X': 0.8735564351081848, 'Y': 0.4413127899169922, 'Z': 0.024422967806458473}, {'X': 0.8647187352180481, 'Y': 0.3685305416584015, 'Z': 0.01919718272984028}, {'X': 0.8553124070167542, 'Y': 0.32333657145500183, 'Z': 0.004300842061638832}, {'X': 0.8426877856254578, 'Y': 0.2813965678215027, 'Z': -0.007893083617091179}]
[{'X': 0.8403146862983704, 'Y': 0.6328120231628418, 'Z': -8.849755977280438e-05}, {'X': 0.7587894201278687, 'Y': 0.6099663972854614, 'Z': -0.015570443123579025}, {'X': 0.7006049752235413, 'Y': 0.5429845452308655, 'Z': -0.007509089540690184}, {'X': 0.6700759530067444, 'Y': 0.46666428446769714, 'Z': -0.006033621728420258}, {'X': 0.6493775844573975, 'Y': 0.4085019528865814, 'Z': 0.00032990361796692014}, {'X': 0.7456204295158386, 'Y': 0.4382065236568451, 'Z': 0.06117736175656319}, {'X': 0.732711672782898, 'Y': 0.33999648690223694, 'Z': 0.06855263561010361}, {'X': 0.7305392622947693, 'Y': 0.28380605578422546, 'Z': 0.0590621717274189}, {'X': 0.7298712730407715, 'Y': 0.23727543652057648, 'Z': 0.04690179601311684}, {'X': 0.7877720594406128, 'Y': 0.42286962270736694, 'Z': 0.058639250695705414}, {'X': 0.7695959210395813, 'Y': 0.3186523914337158, 'Z': 0.06977052986621857}, {'X': 0.7627214193344116, 'Y': 0.2581031918525696, 'Z': 0.04975906386971474}, {'X': 0.7569975852966309, 'Y': 0.20619088411331177, 'Z': 0.030576685443520546}, {'X': 0.8301923274993896, 'Y': 0.42303845286369324, 'Z': 0.04937518760561943}, {'X': 0.814148485660553, 'Y': 0.3289942145347595, 'Z': 0.06000928580760956}, {'X': 0.8035329580307007, 'Y': 0.2736995220184326, 'Z': 0.044155798852443695}, {'X': 0.7926358580589294, 'Y': 0.22884337604045868, 'Z': 0.029057424515485764}, {'X': 0.874408483505249, 'Y': 0.43773701786994934, 'Z': 0.036647729575634}, {'X': 0.8659572601318359, 'Y': 0.3631739616394043, 'Z': 0.03955234959721565}, {'X': 0.8561656475067139, 'Y': 0.31659650802612305, 'Z': 0.030466606840491295}, {'X': 0.843278169631958, 'Y': 0.27492621541023254, 'Z': 0.020510606467723846}]
[{'X': 0.8463929891586304, 'Y': 0.6281877756118774, 'Z': -0.00010280514106852934}, {'X': 0.7608708739280701, 'Y': 0.5905753374099731, 'Z': 0.01454866211861372}, {'X': 0.7016937732696533, 'Y': 0.5219177007675171, 'Z': 0.019835229963064194}, {'X': 0.6705579161643982, 'Y': 0.4519325792789459, 'Z': 0.012730567716062069}, {'X': 0.6678839921951294, 'Y': 0.39361244440078735, 'Z': 0.014595916494727135}, {'X': 0.7516238689422607, 'Y': 0.44180333614349365, 'Z': 0.07068018615245819}, {'X': 0.7433922290802002, 'Y': 0.37624025344848633, 'Z': 0.06916298717260361}, {'X': 0.7511993050575256, 'Y': 0.40321895480155945, 'Z': 0.050653863698244095}, {'X': 0.7598903775215149, 'Y': 0.4348083734512329, 'Z': 0.04075269401073456}, {'X': 0.7912949323654175, 'Y': 0.42645129561424255, 'Z': 0.05786893144249916}, {'X': 0.7799056172370911, 'Y': 0.31924116611480713, 'Z': 0.08771821111440659}, {'X': 0.7749219536781311, 'Y': 0.2624436914920807, 'Z': 0.09138896316289902}, {'X': 0.7696228623390198, 'Y': 0.2144024670124054, 'Z': 0.09237747639417648}, {'X': 0.8308511972427368, 'Y': 0.4276999235153198, 'Z': 0.04249180480837822}, {'X': 0.8216632008552551, 'Y': 0.32788681983947754, 'Z': 0.06818365305662155}, {'X': 0.8103777170181274, 'Y': 0.2731773257255554, 'Z': 0.08044005185365677}, {'X': 0.7968704700469971, 'Y': 0.22855816781520844, 'Z': 0.08905423432588577}, {'X': 0.8711775541305542, 'Y': 0.4420236349105835, 'Z': 0.022862723097205162}, {'X': 0.8653085231781006, 'Y': 0.3632744550704956, 'Z': 0.04737924784421921}, {'X': 0.856598973274231, 'Y': 0.319004625082016, 'Z': 0.0644189715385437}, {'X': 0.8444388508796692, 'Y': 0.2774389088153839, 'Z': 0.07557830214500427}]
