[{'X': 0.9091467261314392, 'Y': 0.36006709933280945, 'Z': -7.184485002653673e-05}, {'X': 0.8564469218254089, 'Y': 0.3484550714492798, 'Z': -0.015619764104485512}, {'X': 0.814292311668396, 'Y': 0.3106113374233246, 'Z': -0.01758420653641224}, {'X': 0.7871543169021606, 'Y': 0.2672610878944397, 'Z': -0.02238582633435726}, {'X': 0.7737587690353394, 'Y': 0.22790776193141937, 'Z': -0.02092951536178589}, {'X': 0.8471481204032898, 'Y': 0.2270016074180603, 'Z': 0.019570667296648026}, {'X': 0.8373603820800781, 'Y': 0.1574133038520813, 'Z': 0.016158755868673325}, {'X': 0.8342225551605225, 'Y': 0.12027259916067123, 'Z': 0.006055224221199751}, {'X': 0.8322954773902893, 'Y': 0.08932481706142426, 'Z': -0.00270952470600605}, {'X': 0.8766701817512512, 'Y': 0.21593107283115387, 'Z': 0.016192283481359482}, {'X': 0.865047037601471, 'Y': 0.14098116755485535, 'Z': 0.017295805737376213}, {'X': 0.8604927062988281, 'Y': 0.10251273959875107, 'Z': 0.006292401347309351}, {'X': 0.8557910919189453, 'Y': 0.07040886580944061, 'Z': -0.0019506823737174273}, {'X': 0.906654953956604, 'Y': 0.21682249009609222, 'Z': 0.00926156248897314}, {'X': 0.8988122940063477, 'Y': 0.14921924471855164, 'Z': 0.009940399788320065}, {'X': 0.8926438093185425, 'Y': 0.11072958260774612, 'Z': 0.00017580096027813852}, {'X': 0.8851553201675415, 'Y': 0.07805995643138885, 'Z': -0.00908175390213728}, {'X': 0.9383798241615295, 'Y': 0.22881492972373962, 'Z': -0.0007698675617575645}, {'X': 0.9349061846733093, 'Y': 0.17400524020195007, 'Z': -0.0018379202811047435}, {'X': 0.927216649055481, 'Y': 0.14269143342971802, 'Z': -0.007799780927598476}, {'X': 0.9161264896392822, 'Y': 0.11642467975616455, 'Z': -0.012586992233991623}]
[{'X': 0.9149329662322998, 'Y': 0.36226803064346313, 'Z': -7.061502401484177e-05}, {'X': 0.860906183719635, 'Y': 0.35047802329063416, 'Z': -0.008718997240066528}, {'X': 0.8174629807472229, 'Y': 0.3113372325897217, 'Z': -0.003323767799884081}, {'X': 0.7916685342788696, 'Y': 0.2670215666294098, 'Z': -0.0021619575563818216}, {'X': 0.7818976640701294, 'Y': 0.2307833880186081, 'Z': 0.003932921681553125}, {'X': 0.8526877760887146, 'Y': 0.23051656782627106, 'Z': 0.03724772110581398}, {'X': 0.8413857221603394, 'Y': 0.16036131978034973, 'Z': 0.0408250167965889}, {'X': 0.8375805020332336, 'Y': 0.12208154797554016, 'Z': 0.03586414456367493}, {'X': 0.8350822925567627, 'Y': 0.09186916053295135, 'Z': 0.03051350638270378}, {'X': 0.8817662000656128, 'Y': 0.21860761940479279, 'Z': 0.03319089487195015}, {'X': 0.8703722953796387, 'Y': 0.14268459379673004, 'Z': 0.04131392389535904}, {'X': 0.8659086227416992, 'Y': 0.10050100088119507, 'Z': 0.03418337181210518}, {'X': 0.861129641532898, 'Y': 0.0665133148431778, 'Z': 0.028871208429336548}, {'X': 0.9111623764038086, 'Y': 0.2184414267539978, 'Z': 0.025842800736427307}, {'X': 0.9032048583030701, 'Y': 0.15145888924598694, 'Z': 0.03160625696182251}, {'X': 0.8964853286743164, 'Y': 0.11050843447446823, 'Z': 0.023850977420806885}, {'X': 0.8883844017982483, 'Y': 0.07882466912269592, 'Z': 0.017391933128237724}, {'X': 0.9421213865280151, 'Y': 0.2293468862771988, 'Z': 0.01581183262169361}, {'X': 0.940274178981781, 'Y': 0.17674078047275543, 'Z': 0.017047518864274025}, {'X': 0.9346585273742676, 'Y': 0.14385375380516052, 'Z': 0.013856793753802776}, {'X': 0.9259203672409058, 'Y': 0.11735206097364426, 'Z': 0.011974573135375977}]
[{'X': 0.9149329662322998, 'Y': 0.36226803064346313, 'Z': -7.061502401484177e-05}, {'X': 0.860906183719635, 'Y': 0.35047802329063416, 'Z': -0.008718997240066528}, {'X': 0.8174629807472229, 'Y': 0.3113372325897217, 'Z': -0.003323767799884081}, {'X': 0.7916685342788696, 'Y': 0.2670215666294098, 'Z': -0.0021619575563818216}, {'X': 0.7818976640701294, 'Y': 0.2307833880186081, 'Z': 0.003932921681553125}, {'X': 0.8526877760887146, 'Y': 0.23051656782627106, 'Z': 0.03724772110581398}, {'X': 0.8413857221603394, 'Y': 0.16036131978034973, 'Z': 0.0408250167965889}, {'X': 0.8375805020332336, 'Y': 0.12208154797554016, 'Z': 0.03586414456367493}, {'X': 0.8350822925567627, 'Y': 0.09186916053295135, 'Z': 0.03051350638270378}, {'X': 0.8817662000656128, 'Y': 0.21860761940479279, 'Z': 0.03319089487195015}, {'X': 0.8703722953796387, 'Y': 0.14268459379673004, 'Z': 0.04131392389535904}, {'X': 0.8659086227416992, 'Y': 0.10050100088119507, 'Z': 0.03418337181210518}, {'X': 0.861129641532898, 'Y': 0.0665133148431778, 'Z': 0.028871208429336548}, {'X': 0.9111623764038086, 'Y': 0.2184414267539978, 'Z': 0.025842800736427307}, {'X': 0.9032048583030701, 'Y': 0.15145888924598694, 'Z': 0.03160625696182251}, {'X': 0.8964853286743164, 'Y': 0.11050843447446823, 'Z': 0.023850977420806885}, {'X': 0.8883844017982483, 'Y': 0.07882466912269592, 'Z': 0.017391933128237724}, {'X': 0.9421213865280151, 'Y': 0.2293468862771988, 'Z': 0.01581183262169361}, {'X': 0.940274178981781, 'Y': 0.17674078047275543, 'Z': 0.017047518864274025}, {'X': 0.9346585273742676, 'Y': 0.14385375380516052, 'Z': 0.013856793753802776}, {'X': 0.9259203672409058, 'Y': 0.11735206097364426, 'Z': 0.011974573135375977}]
[{'X': 0.9196172952651978, 'Y': 0.3721637725830078, 'Z': -5.971617065370083e-05}, {'X': 0.8641934990882874, 'Y': 0.35570839047431946, 'Z': -0.007453578524291515}, {'X': 0.8202639222145081, 'Y': 0.3137364089488983, 'Z': -0.0003672684251796454}, {'X': 0.7944664359092712, 'Y': 0.26546674966812134, 'Z': 0.002284944523125887}, {'X': 0.7798609733581543, 'Y': 0.2285974770784378, 'Z': 0.012065465562045574}, {'X': 0.853888213634491, 'Y': 0.23441419005393982, 'Z': 0.04446037486195564}, {'X': 0.8437526822090149, 'Y': 0.16344906389713287, 'Z': 0.050765205174684525}, {'X': 0.8415948152542114, 'Y': 0.12528817355632782, 'Z': 0.04278998449444771}, {'X': 0.8398112654685974, 'Y': 0.09829883277416229, 'Z': 0.033961422741413116}, {'X': 0.8851924538612366, 'Y': 0.2209690809249878, 'Z': 0.0393775999546051}, {'X': 0.8722084760665894, 'Y': 0.1409694254398346, 'Z': 0.04714857414364815}, {'X': 0.868057370185852, 'Y': 0.10083553940057755, 'Z': 0.03955283761024475}, {'X': 0.8630016446113586, 'Y': 0.07293598353862762, 'Z': 0.03265533223748207}, {'X': 0.9154232740402222, 'Y': 0.21931388974189758, 'Z': 0.029974738135933876}, {'X': 0.9055883288383484, 'Y': 0.14837700128555298, 'Z': 0.03492773696780205}, {'X': 0.8984609246253967, 'Y': 0.11201684176921844, 'Z': 0.029985172674059868}, {'X': 0.8885663747787476, 'Y': 0.08557900786399841, 'Z': 0.02425205335021019}, {'X': 0.9470342993736267, 'Y': 0.228450208902359, 'Z': 0.018630994483828545}, {'X': 0.9445528388023376, 'Y': 0.17203104496002197, 'Z': 0.021056635305285454}, {'X': 0.9384958148002625, 'Y': 0.140132337808609, 'Z': 0.020390966907143593}, {'X': 0.9278568029403687, 'Y': 0.11424586921930313, 'Z': 0.020832091569900513}]
[{'X': 0.9228405952453613, 'Y': 0.38385725021362305, 'Z': -5.1772491133306175e-05}, {'X': 0.8648134469985962, 'Y': 0.3606415092945099, 'Z': -0.005168073810636997}, {'X': 0.8223462700843811, 'Y': 0.3192864954471588, 'Z': 0.0010074216406792402}, {'X': 0.797611653804779, 'Y': 0.2724642753601074, 'Z': 0.0021045678295195103}, {'X': 0.7850335836410522, 'Y': 0.2360067367553711, 'Z': 0.006415009032934904}, {'X': 0.8582409024238586, 'Y': 0.2362593710422516, 'Z': 0.04886443912982941}, {'X': 0.8481974601745605, 'Y': 0.16582706570625305, 'Z': 0.05547535791993141}, {'X': 0.8450448513031006, 'Y': 0.12639780342578888, 'Z': 0.05040609836578369}, {'X': 0.8428260684013367, 'Y': 0.0951017290353775, 'Z': 0.04415206238627434}, {'X': 0.8887665867805481, 'Y': 0.22488075494766235, 'Z': 0.0436382032930851}, {'X': 0.877598762512207, 'Y': 0.1476842164993286, 'Z': 0.053755760192871094}, {'X': 0.8722965717315674, 'Y': 0.10573211312294006, 'Z': 0.04803157225251198}, {'X': 0.8667834401130676, 'Y': 0.07214367389678955, 'Z': 0.04239804670214653}, {'X': 0.9185288548469543, 'Y': 0.2247285395860672, 'Z': 0.03372981399297714}, {'X': 0.9105493426322937, 'Y': 0.15464527904987335, 'Z': 0.041851870715618134}, {'X': 0.9038162231445312, 'Y': 0.1147533655166626, 'Z': 0.036944735795259476}, {'X': 0.8955073952674866, 'Y': 0.08355574309825897, 'Z': 0.03167552128434181}, {'X': 0.9498808979988098, 'Y': 0.2346215397119522, 'Z': 0.021640492603182793}, {'X': 0.9483931660652161, 'Y': 0.17891927063465118, 'Z': 0.02493361569941044}, {'X': 0.9422764182090759, 'Y': 0.14693012833595276, 'Z': 0.022822987288236618}, {'X': 0.9321679472923279, 'Y': 0.12121793627738953, 'Z': 0.021345339715480804}]
[{'X': 0.9227092266082764, 'Y': 0.38578879833221436, 'Z': -6.93660113029182e-05}, {'X': 0.865991473197937, 'Y': 0.3642979562282562, 'Z': -0.006709517911076546}, {'X': 0.8225886821746826, 'Y': 0.3224405348300934, 'Z': -0.0016374933766201138}, {'X': 0.7970209717750549, 'Y': 0.2738299071788788, 'Z': -0.0014250549720600247}, {'X': 0.784832239151001, 'Y': 0.23700830340385437, 'Z': 0.004008052870631218}, {'X': 0.8573808670043945, 'Y': 0.23954403400421143, 'Z': 0.04464717581868172}, {'X': 0.8474835157394409, 'Y': 0.16665291786193848, 'Z': 0.05260632932186127}, {'X': 0.8449746966362, 'Y': 0.12734267115592957, 'Z': 0.047589078545570374}, {'X': 0.8435894846916199, 'Y': 0.09789210557937622, 'Z': 0.04216837137937546}, {'X': 0.8882697820663452, 'Y': 0.22838248312473297, 'Z': 0.04021955654025078}, {'X': 0.876906156539917, 'Y': 0.14772242307662964, 'Z': 0.05212494730949402}, {'X': 0.8723182678222656, 'Y': 0.10530613362789154, 'Z': 0.04843994975090027}, {'X': 0.8672743439674377, 'Y': 0.07248640060424805, 'Z': 0.04487939178943634}, {'X': 0.9179137349128723, 'Y': 0.2282426953315735, 'Z': 0.03144495561718941}, {'X': 0.9110695123672485, 'Y': 0.156954824924469, 'Z': 0.040286194533109665}, {'X': 0.9047897458076477, 'Y': 0.1191362664103508, 'Z': 0.037971846759319305}, {'X': 0.8961989879608154, 'Y': 0.09004077315330505, 'Z': 0.034450944513082504}, {'X': 0.9484403133392334, 'Y': 0.2380659580230713, 'Z': 0.020173436030745506}, {'X': 0.9472625255584717, 'Y': 0.18223920464515686, 'Z': 0.02419566735625267}, {'X': 0.9413166046142578, 'Y': 0.1515234112739563, 'Z': 0.022404197603464127}, {'X': 0.9312949180603027, 'Y': 0.1266070306301117, 'Z': 0.02189638465642929}]
[{'X': 0.9238793849945068, 'Y': 0.38332414627075195, 'Z': -7.557046046713367e-05}, {'X': 0.8668913245201111, 'Y': 0.3650989830493927, 'Z': -0.011203084141016006}, {'X': 0.8221397995948792, 'Y': 0.32370275259017944, 'Z': -0.00801275297999382}, {'X': 0.7961235046386719, 'Y': 0.27419930696487427, 'Z': -0.008816540241241455}, {'X': 0.7806152105331421, 'Y': 0.2361040711402893, 'Z': -0.0033410489559173584}, {'X': 0.854800820350647, 'Y': 0.2418997883796692, 'Z': 0.03422001004219055}, {'X': 0.8443102836608887, 'Y': 0.17057961225509644, 'Z': 0.0400826521217823}, {'X': 0.8419297337532043, 'Y': 0.13155540823936462, 'Z': 0.0337667353451252}, {'X': 0.8405076861381531, 'Y': 0.102501779794693, 'Z': 0.026246212422847748}, {'X': 0.8868107199668884, 'Y': 0.22788678109645844, 'Z': 0.03092804364860058}, {'X': 0.8737106323242188, 'Y': 0.1477051079273224, 'Z': 0.04054758697748184}, {'X': 0.8696480989456177, 'Y': 0.10554962605237961, 'Z': 0.0359034538269043}, {'X': 0.8656627535820007, 'Y': 0.07426652312278748, 'Z': 0.030757183209061623}, {'X': 0.9169720411300659, 'Y': 0.22618979215621948, 'Z': 0.023406358435750008}, {'X': 0.908240795135498, 'Y': 0.15450915694236755, 'Z': 0.03039674647152424}, {'X': 0.9018781781196594, 'Y': 0.11673401296138763, 'Z': 0.0273927953094244}, {'X': 0.8935931921005249, 'Y': 0.08850359916687012, 'Z': 0.02277941070497036}, {'X': 0.9482262134552002, 'Y': 0.2355899214744568, 'Z': 0.013559936545789242}, {'X': 0.9470939040184021, 'Y': 0.17946824431419373, 'Z': 0.016823364421725273}, {'X': 0.9412277340888977, 'Y': 0.1490606963634491, 'Z': 0.015503749251365662}, {'X': 0.9314446449279785, 'Y': 0.12480278313159943, 'Z': 0.015834400430321693}]
[{'X': 0.9238793849945068, 'Y': 0.38332414627075195, 'Z': -7.557046046713367e-05}, {'X': 0.8668913245201111, 'Y': 0.3650989830493927, 'Z': -0.011203084141016006}, {'X': 0.8221397995948792, 'Y': 0.32370275259017944, 'Z': -0.00801275297999382}, {'X': 0.7961235046386719, 'Y': 0.27419930696487427, 'Z': -0.008816540241241455}, {'X': 0.7806152105331421, 'Y': 0.2361040711402893, 'Z': -0.0033410489559173584}, {'X': 0.854800820350647, 'Y': 0.2418997883796692, 'Z': 0.03422001004219055}, {'X': 0.8443102836608887, 'Y': 0.17057961225509644, 'Z': 0.0400826521217823}, {'X': 0.8419297337532043, 'Y': 0.13155540823936462, 'Z': 0.0337667353451252}, {'X': 0.8405076861381531, 'Y': 0.102501779794693, 'Z': 0.026246212422847748}, {'X': 0.8868107199668884, 'Y': 0.22788678109645844, 'Z': 0.03092804364860058}, {'X': 0.8737106323242188, 'Y': 0.1477051079273224, 'Z': 0.04054758697748184}, {'X': 0.8696480989456177, 'Y': 0.10554962605237961, 'Z': 0.0359034538269043}, {'X': 0.8656627535820007, 'Y': 0.07426652312278748, 'Z': 0.030757183209061623}, {'X': 0.9169720411300659, 'Y': 0.22618979215621948, 'Z': 0.023406358435750008}, {'X': 0.908240795135498, 'Y': 0.15450915694236755, 'Z': 0.03039674647152424}, {'X': 0.9018781781196594, 'Y': 0.11673401296138763, 'Z': 0.0273927953094244}, {'X': 0.8935931921005249, 'Y': 0.08850359916687012, 'Z': 0.02277941070497036}, {'X': 0.9482262134552002, 'Y': 0.2355899214744568, 'Z': 0.013559936545789242}, {'X': 0.9470939040184021, 'Y': 0.17946824431419373, 'Z': 0.016823364421725273}, {'X': 0.9412277340888977, 'Y': 0.1490606963634491, 'Z': 0.015503749251365662}, {'X': 0.9314446449279785, 'Y': 0.12480278313159943, 'Z': 0.015834400430321693}]
[{'X': 0.9252893924713135, 'Y': 0.38465744256973267, 'Z': -7.382025069091469e-05}, {'X': 0.8691266775131226, 'Y': 0.36748775839805603, 'Z': -0.014595691114664078}, {'X': 0.8238402009010315, 'Y': 0.32734307646751404, 'Z': -0.015443919226527214}, {'X': 0.796760082244873, 'Y': 0.2787134349346161, 'Z': -0.020760342478752136}, {'X': 0.7807161808013916, 'Y': 0.23871029913425446, 'Z': -0.021955344825983047}, {'X': 0.8559712767601013, 'Y': 0.2437104433774948, 'Z': 0.03461065888404846}, {'X': 0.8454040884971619, 'Y': 0.17108172178268433, 'Z': 0.04145744442939758}, {'X': 0.8427354097366333, 'Y': 0.13155725598335266, 'Z': 0.03628191351890564}, {'X': 0.8417702317237854, 'Y': 0.10139811038970947, 'Z': 0.029969297349452972}, {'X': 0.8868376016616821, 'Y': 0.23056353628635406, 'Z': 0.03201674669981003}, {'X': 0.874143660068512, 'Y': 0.15085947513580322, 'Z': 0.042887039482593536}, {'X': 0.8696439266204834, 'Y': 0.10787336528301239, 'Z': 0.03710794076323509}, {'X': 0.8655372858047485, 'Y': 0.07428449392318726, 'Z': 0.03055531159043312}, {'X': 0.9169664978981018, 'Y': 0.2290617674589157, 'Z': 0.024593830108642578}, {'X': 0.9082983732223511, 'Y': 0.1577019989490509, 'Z': 0.03371097519993782}, {'X': 0.9021495580673218, 'Y': 0.11962984502315521, 'Z': 0.029762035235762596}, {'X': 0.8943026065826416, 'Y': 0.09022197127342224, 'Z': 0.023701218888163567}, {'X': 0.9485915303230286, 'Y': 0.2380470484495163, 'Z': 0.0141679672524333}, {'X': 0.9461382031440735, 'Y': 0.18124449253082275, 'Z': 0.018184930086135864}, {'X': 0.9398949146270752, 'Y': 0.1505710631608963, 'Z': 0.015991635620594025}, {'X': 0.9299693703651428, 'Y': 0.12546846270561218, 'Z': 0.014141811989247799}]
[{'X': 0.9215593934059143, 'Y': 0.38479870557785034, 'Z': -7.623609417350963e-05}, {'X': 0.8667988181114197, 'Y': 0.36597657203674316, 'Z': -0.014712491072714329}, {'X': 0.8231372237205505, 'Y': 0.3251930773258209, 'Z': -0.014507421292364597}, {'X': 0.7960891127586365, 'Y': 0.2775994837284088, 'Z': -0.01797555759549141}, {'X': 0.780505895614624, 'Y': 0.24045433104038239, 'Z': -0.019066277891397476}, {'X': 0.8561787605285645, 'Y': 0.244442418217659, 'Z': 0.03012530319392681}, {'X': 0.8450067639350891, 'Y': 0.17212598025798798, 'Z': 0.033463045954704285}, {'X': 0.8413177132606506, 'Y': 0.13262565433979034, 'Z': 0.02768438681960106}, {'X': 0.839225709438324, 'Y': 0.10182890295982361, 'Z': 0.020932191982865334}, {'X': 0.8865795135498047, 'Y': 0.23154674470424652, 'Z': 0.02674694173038006}, {'X': 0.8725605607032776, 'Y': 0.15447816252708435, 'Z': 0.034166403114795685}, {'X': 0.8663038611412048, 'Y': 0.1114954948425293, 'Z': 0.026699313893914223}, {'X': 0.8603267073631287, 'Y': 0.07583506405353546, 'Z': 0.01950034126639366}, {'X': 0.9168115258216858, 'Y': 0.23075857758522034, 'Z': 0.018857503309845924}, {'X': 0.9072492122650146, 'Y': 0.16094046831130981, 'Z': 0.024606570601463318}, {'X': 0.899751603603363, 'Y': 0.12194471061229706, 'Z': 0.017614291980862617}, {'X': 0.8908273577690125, 'Y': 0.0908321887254715, 'Z': 0.01010216400027275}, {'X': 0.9488900303840637, 'Y': 0.24052971601486206, 'Z': 0.008292117156088352}, {'X': 0.9478623867034912, 'Y': 0.18598011136054993, 'Z': 0.008282938972115517}, {'X': 0.9418586492538452, 'Y': 0.1547449827194214, 'Z': 0.003143953625112772}, {'X': 0.9319866895675659, 'Y': 0.12820902466773987, 'Z': -0.0013432966079562902}]
[{'X': 0.9192100167274475, 'Y': 0.37762734293937683, 'Z': -7.09691594238393e-05}, {'X': 0.8649540543556213, 'Y': 0.36331063508987427, 'Z': -0.013896213844418526}, {'X': 0.8199073672294617, 'Y': 0.32108861207962036, 'Z': -0.011494932696223259}, {'X': 0.79264235496521, 'Y': 0.27311456203460693, 'Z': -0.012258405797183514}, {'X': 0.7776329517364502, 'Y': 0.23575548827648163, 'Z': -0.00734922057017684}, {'X': 0.8537080883979797, 'Y': 0.24260017275810242, 'Z': 0.02823569066822529}, {'X': 0.8415436744689941, 'Y': 0.16884878277778625, 'Z': 0.03086075931787491}, {'X': 0.8386238217353821, 'Y': 0.1287759393453598, 'Z': 0.02506113611161709}, {'X': 0.837382435798645, 'Y': 0.09809096902608871, 'Z': 0.01810542494058609}, {'X': 0.8843198418617249, 'Y': 0.22945533692836761, 'Z': 0.024457797408103943}, {'X': 0.8696660399436951, 'Y': 0.15085512399673462, 'Z': 0.030110279098153114}, {'X': 0.8648017048835754, 'Y': 0.10878913849592209, 'Z': 0.022268066182732582}, {'X': 0.8608487844467163, 'Y': 0.07544976472854614, 'Z': 0.01540746632963419}, {'X': 0.9152423739433289, 'Y': 0.22892028093338013, 'Z': 0.017179442569613457}, {'X': 0.9048929214477539, 'Y': 0.15781906247138977, 'Z': 0.02148713730275631}, {'X': 0.8982369899749756, 'Y': 0.12052822858095169, 'Z': 0.01562504656612873}, {'X': 0.8906192779541016, 'Y': 0.09131838381290436, 'Z': 0.008854495361447334}, {'X': 0.947844922542572, 'Y': 0.23941320180892944, 'Z': 0.007035787217319012}, {'X': 0.9451847672462463, 'Y': 0.1838453710079193, 'Z': 0.007481407839804888}, {'X': 0.9391602277755737, 'Y': 0.15219956636428833, 'Z': 0.003926753532141447}, {'X': 0.9298564791679382, 'Y': 0.12598279118537903, 'Z': 0.001189134898595512}]
