[{'X': 0.7318099141120911, 'Y': 0.2359524965286255, 'Z': -7.415680738631636e-05}, {'X': 0.6677853465080261, 'Y': 0.2009788155555725, 'Z': -0.04343317076563835}, {'X': 0.6264392137527466, 'Y': 0.10569498687982559, 'Z': -0.07359486073255539}, {'X': 0.609382152557373, 'Y': 0.016360560432076454, 'Z': -0.10195044428110123}, {'X': 0.5991507172584534, 'Y': -0.0513814352452755, 'Z': -0.1270972192287445}, {'X': 0.6592186689376831, 'Y': -0.002678350545465946, 'Z': -0.06592608988285065}, {'X': 0.6556218862533569, 'Y': -0.11015623807907104, 'Z': -0.10479286313056946}, {'X': 0.6565765142440796, 'Y': -0.10895461589097977, 'Z': -0.12409712374210358}, {'X': 0.6600826382637024, 'Y': -0.08710627257823944, 'Z': -0.13232126832008362}, {'X': 0.7003629803657532, 'Y': -0.013577052392065525, 'Z': -0.059832870960235596}, {'X': 0.6994801163673401, 'Y': -0.11838909238576889, 'Z': -0.09369927644729614}, {'X': 0.6950510740280151, 'Y': -0.09263928979635239, 'Z': -0.11744493246078491}, {'X': 0.694456160068512, 'Y': -0.06573614478111267, 'Z': -0.1334785372018814}, {'X': 0.740436315536499, 'Y': -0.01073139812797308, 'Z': -0.056697823107242584}, {'X': 0.7401360273361206, 'Y': -0.1154368445277214, 'Z': -0.08550222963094711}, {'X': 0.7356935143470764, 'Y': -0.09802663326263428, 'Z': -0.10393771529197693}, {'X': 0.7351402044296265, 'Y': -0.07339891791343689, 'Z': -0.11790420114994049}, {'X': 0.7798182368278503, 'Y': 3.454461693763733e-05, 'Z': -0.055403973907232285}, {'X': 0.7826333045959473, 'Y': -0.0960489884018898, 'Z': -0.07896099239587784}, {'X': 0.7772734761238098, 'Y': -0.11733375489711761, 'Z': -0.09057429432868958}, {'X': 0.7725846171379089, 'Y': -0.12759631872177124, 'Z': -0.09976103901863098}]
[{'X': 0.7093480229377747, 'Y': 0.3526328206062317, 'Z': -9.889085777103901e-05}, {'X': 0.6481101512908936, 'Y': 0.3240906596183777, 'Z': -0.032661326229572296}, {'X': 0.6048263311386108, 'Y': 0.23323366045951843, 'Z': -0.054684072732925415}, {'X': 0.5836837291717529, 'Y': 0.14433367550373077, 'Z': -0.07918050140142441}, {'X': 0.5615007877349854, 'Y': 0.0822838842868805, 'Z': -0.10451530665159225}, {'X': 0.6383119821548462, 'Y': 0.09886633604764938, 'Z': -0.021399982273578644}, {'X': 0.623853325843811, 'Y': -0.003956235945224762, 'Z': -0.04826420545578003}, {'X': 0.6210955381393433, 'Y': -0.07866249978542328, 'Z': -0.07098134607076645}, {'X': 0.6217100620269775, 'Y': -0.14567269384860992, 'Z': -0.08713361620903015}, {'X': 0.6747775077819824, 'Y': 0.08100228756666183, 'Z': -0.026209043338894844}, {'X': 0.6640445590019226, 'Y': -0.03297939896583557, 'Z': -0.050734132528305054}, {'X': 0.6613756418228149, 'Y': -0.11780554056167603, 'Z': -0.07163101434707642}, {'X': 0.6619370579719543, 'Y': -0.19311459362506866, 'Z': -0.08684421330690384}, {'X': 0.7112835645675659, 'Y': 0.08294321596622467, 'Z': -0.03633878752589226}, {'X': 0.7047929763793945, 'Y': -0.027491331100463867, 'Z': -0.05432003736495972}, {'X': 0.7045794725418091, 'Y': -0.102675661444664, 'Z': -0.06502725183963776}, {'X': 0.7048817873001099, 'Y': -0.16841836273670197, 'Z': -0.07447603344917297}, {'X': 0.750359833240509, 'Y': 0.10400479286909103, 'Z': -0.05039525032043457}, {'X': 0.7497103214263916, 'Y': 0.006461344659328461, 'Z': -0.0658789873123169}, {'X': 0.7515760660171509, 'Y': -0.05592133104801178, 'Z': -0.07425671815872192}, {'X': 0.7516123652458191, 'Y': -0.11326104402542114, 'Z': -0.08174123615026474}]
[{'X': 0.6965153813362122, 'Y': 0.4097096920013428, 'Z': -5.9560461522778496e-05}, {'X': 0.6351666450500488, 'Y': 0.3931185305118561, 'Z': -0.04807624965906143}, {'X': 0.591259777545929, 'Y': 0.30549871921539307, 'Z': -0.07836026698350906}, {'X': 0.5705710649490356, 'Y': 0.2177661955356598, 'Z': -0.10938601940870285}, {'X': 0.547767162322998, 'Y': 0.14957648515701294, 'Z': -0.14033208787441254}, {'X': 0.6219508051872253, 'Y': 0.16331616044044495, 'Z': -0.04256856441497803}, {'X': 0.6033649444580078, 'Y': 0.05464031547307968, 'Z': -0.07973919063806534}, {'X': 0.5957739353179932, 'Y': -0.02312473952770233, 'Z': -0.10809215158224106}, {'X': 0.5935251712799072, 'Y': -0.09307631850242615, 'Z': -0.1277375966310501}, {'X': 0.6595740914344788, 'Y': 0.1451667994260788, 'Z': -0.04434787854552269}, {'X': 0.6467218399047852, 'Y': 0.022122159600257874, 'Z': -0.08114898949861526}, {'X': 0.6417677998542786, 'Y': -0.06706137955188751, 'Z': -0.11118122190237045}, {'X': 0.6406192183494568, 'Y': -0.1458435356616974, 'Z': -0.1305326372385025}, {'X': 0.6969375610351562, 'Y': 0.1480257660150528, 'Z': -0.051934145390987396}, {'X': 0.6880666613578796, 'Y': 0.02907496690750122, 'Z': -0.07991699874401093}, {'X': 0.6855421662330627, 'Y': -0.050816357135772705, 'Z': -0.10254685580730438}, {'X': 0.6830387711524963, 'Y': -0.12443694472312927, 'Z': -0.12022150307893753}, {'X': 0.7365975975990295, 'Y': 0.1686381697654724, 'Z': -0.06384415924549103}, {'X': 0.7343641519546509, 'Y': 0.06699880957603455, 'Z': -0.08840005099773407}, {'X': 0.7329304814338684, 'Y': 0.0023415684700012207, 'Z': -0.10432706028223038}, {'X': 0.7295061349868774, 'Y': -0.060290396213531494, 'Z': -0.11627768725156784}]
[{'X': 0.6867203712463379, 'Y': 0.46975722908973694, 'Z': -8.741770579945296e-05}, {'X': 0.6305785179138184, 'Y': 0.45670396089553833, 'Z': -0.04029655456542969}, {'X': 0.5837194919586182, 'Y': 0.36987432837486267, 'Z': -0.06490395963191986}, {'X': 0.5593252182006836, 'Y': 0.2792208790779114, 'Z': -0.08961880207061768}, {'X': 0.5335605144500732, 'Y': 0.2139589637517929, 'Z': -0.11261778324842453}, {'X': 0.6113495230674744, 'Y': 0.23409438133239746, 'Z': -0.04325385391712189}, {'X': 0.588377058506012, 'Y': 0.133467435836792, 'Z': -0.07856203615665436}, {'X': 0.5766240358352661, 'Y': 0.06846226751804352, 'Z': -0.10466445982456207}, {'X': 0.5673530697822571, 'Y': 0.0087212473154068, 'Z': -0.12309994548559189}, {'X': 0.6491578221321106, 'Y': 0.21072958409786224, 'Z': -0.04655211791396141}, {'X': 0.6322465538978577, 'Y': 0.08657531440258026, 'Z': -0.07832809537649155}, {'X': 0.6235991716384888, 'Y': 0.0025993287563323975, 'Z': -0.10877804458141327}, {'X': 0.6175521612167358, 'Y': -0.07625338435173035, 'Z': -0.1335543543100357}, {'X': 0.6877079010009766, 'Y': 0.21262860298156738, 'Z': -0.05309918522834778}, {'X': 0.6739889979362488, 'Y': 0.09513282775878906, 'Z': -0.07697883248329163}, {'X': 0.6662267446517944, 'Y': 0.02005811035633087, 'Z': -0.09758463501930237}, {'X': 0.6591323614120483, 'Y': -0.049668699502944946, 'Z': -0.11647160351276398}, {'X': 0.7285237312316895, 'Y': 0.2341746687889099, 'Z': -0.06252285838127136}, {'X': 0.7241749167442322, 'Y': 0.14067547023296356, 'Z': -0.0827399343252182}, {'X': 0.7221670150756836, 'Y': 0.08236536383628845, 'Z': -0.09710334986448288}, {'X': 0.7184804677963257, 'Y': 0.026332050561904907, 'Z': -0.11105053871870041}]
[{'X': 0.6784301996231079, 'Y': 0.5173010230064392, 'Z': -7.871886191423982e-05}, {'X': 0.6221428513526917, 'Y': 0.5148202180862427, 'Z': -0.04481790214776993}, {'X': 0.5772958397865295, 'Y': 0.42932361364364624, 'Z': -0.0685284286737442}, {'X': 0.5543940663337708, 'Y': 0.34258586168289185, 'Z': -0.09076958894729614}, {'X': 0.5272921323776245, 'Y': 0.2787012755870819, 'Z': -0.11562766134738922}, {'X': 0.607122540473938, 'Y': 0.2969155013561249, 'Z': -0.036927517503499985}, {'X': 0.5839967727661133, 'Y': 0.19536343216896057, 'Z': -0.06635326892137527}, {'X': 0.5699784755706787, 'Y': 0.12738579511642456, 'Z': -0.0891173928976059}, {'X': 0.5601117610931396, 'Y': 0.06551213562488556, 'Z': -0.10658405721187592}, {'X': 0.6443644165992737, 'Y': 0.27417483925819397, 'Z': -0.03647352382540703}, {'X': 0.6265562176704407, 'Y': 0.1539147049188614, 'Z': -0.05895666033029556}, {'X': 0.6151639223098755, 'Y': 0.07316498458385468, 'Z': -0.08708654344081879}, {'X': 0.6075009107589722, 'Y': -0.004493117332458496, 'Z': -0.10986936837434769}, {'X': 0.6824583411216736, 'Y': 0.2742970585823059, 'Z': -0.04020422697067261}, {'X': 0.6681467890739441, 'Y': 0.15700718760490417, 'Z': -0.05604485794901848}, {'X': 0.6572148203849792, 'Y': 0.08366163074970245, 'Z': -0.08164525777101517}, {'X': 0.6475082039833069, 'Y': 0.014696866273880005, 'Z': -0.10500530153512955}, {'X': 0.7235947847366333, 'Y': 0.29140597581863403, 'Z': -0.04768306389451027}, {'X': 0.7197730541229248, 'Y': 0.1955634206533432, 'Z': -0.06434253603219986}, {'X': 0.7159304022789001, 'Y': 0.13593341410160065, 'Z': -0.08151985704898834}, {'X': 0.7105386257171631, 'Y': 0.07792848348617554, 'Z': -0.0991310179233551}]
[{'X': 0.6806764602661133, 'Y': 0.5898026823997498, 'Z': -9.910634980769828e-05}, {'X': 0.6212668418884277, 'Y': 0.5790082216262817, 'Z': -0.040007226169109344}, {'X': 0.5732897520065308, 'Y': 0.4887501299381256, 'Z': -0.06261211633682251}, {'X': 0.5499884486198425, 'Y': 0.39780089259147644, 'Z': -0.08726273477077484}, {'X': 0.5235257148742676, 'Y': 0.3274857997894287, 'Z': -0.11296491324901581}, {'X': 0.6036869287490845, 'Y': 0.34997057914733887, 'Z': -0.02854727767407894}, {'X': 0.5802573561668396, 'Y': 0.24099546670913696, 'Z': -0.0526169091463089}, {'X': 0.5682608485221863, 'Y': 0.1742362529039383, 'Z': -0.06970126181840897}, {'X': 0.5601216554641724, 'Y': 0.11567465960979462, 'Z': -0.08109556883573532}, {'X': 0.6411071419715881, 'Y': 0.32832247018814087, 'Z': -0.028270961716771126}, {'X': 0.6223098039627075, 'Y': 0.2006424218416214, 'Z': -0.04692907631397247}, {'X': 0.6120198369026184, 'Y': 0.12513846158981323, 'Z': -0.07331780344247818}, {'X': 0.6046830415725708, 'Y': 0.0580257773399353, 'Z': -0.0928182378411293}, {'X': 0.6781662702560425, 'Y': 0.3295912742614746, 'Z': -0.03282718360424042}, {'X': 0.665014922618866, 'Y': 0.20773397386074066, 'Z': -0.04880071431398392}, {'X': 0.654401421546936, 'Y': 0.13490115106105804, 'Z': -0.07504105567932129}, {'X': 0.6442190408706665, 'Y': 0.07058161497116089, 'Z': -0.0972776934504509}, {'X': 0.7180370688438416, 'Y': 0.3485925495624542, 'Z': -0.039471182972192764}, {'X': 0.7139899730682373, 'Y': 0.25009873509407043, 'Z': -0.05810682475566864}, {'X': 0.7104150652885437, 'Y': 0.1931186467409134, 'Z': -0.07792142778635025}, {'X': 0.7048335075378418, 'Y': 0.13891416788101196, 'Z': -0.09472454339265823}]
[{'X': 0.6777200102806091, 'Y': 0.6546652913093567, 'Z': -7.549489237135276e-05}, {'X': 0.6208397746086121, 'Y': 0.6487182974815369, 'Z': -0.03989339619874954}, {'X': 0.5733819603919983, 'Y': 0.5560248494148254, 'Z': -0.05224735289812088}, {'X': 0.5500245094299316, 'Y': 0.46958819031715393, 'Z': -0.06642292439937592}, {'X': 0.5251455903053284, 'Y': 0.4078902006149292, 'Z': -0.08046536892652512}, {'X': 0.6042229533195496, 'Y': 0.4241321384906769, 'Z': -0.015030101872980595}, {'X': 0.5806080102920532, 'Y': 0.3224093019962311, 'Z': -0.036633025854825974}, {'X': 0.5674195289611816, 'Y': 0.2548150420188904, 'Z': -0.05959990248084068}, {'X': 0.5587353706359863, 'Y': 0.19091202318668365, 'Z': -0.07909204810857773}, {'X': 0.641441285610199, 'Y': 0.40424981713294983, 'Z': -0.016370084136724472}, {'X': 0.6255892515182495, 'Y': 0.2826625108718872, 'Z': -0.02457696758210659}, {'X': 0.6141986846923828, 'Y': 0.20396019518375397, 'Z': -0.05219971016049385}, {'X': 0.6061629056930542, 'Y': 0.13018584251403809, 'Z': -0.07063575834035873}, {'X': 0.6788559556007385, 'Y': 0.40594133734703064, 'Z': -0.02219318225979805}, {'X': 0.6706782579421997, 'Y': 0.2889065146446228, 'Z': -0.033170223236083984}, {'X': 0.6597427725791931, 'Y': 0.21075916290283203, 'Z': -0.061930909752845764}, {'X': 0.6489387154579163, 'Y': 0.13905900716781616, 'Z': -0.08285897225141525}, {'X': 0.7180063128471375, 'Y': 0.42955276370048523, 'Z': -0.03211468085646629}, {'X': 0.7176133394241333, 'Y': 0.34028160572052, 'Z': -0.050037991255521774}, {'X': 0.714026689529419, 'Y': 0.28095316886901855, 'Z': -0.06960929185152054}, {'X': 0.7074411511421204, 'Y': 0.22418367862701416, 'Z': -0.08502033352851868}]
[{'X': 0.6882715225219727, 'Y': 0.7213320732116699, 'Z': -9.088037040783092e-05}, {'X': 0.6306963562965393, 'Y': 0.7098252773284912, 'Z': -0.03570976480841637}, {'X': 0.5884455442428589, 'Y': 0.6161392331123352, 'Z': -0.0549076609313488}, {'X': 0.5697110295295715, 'Y': 0.5292311310768127, 'Z': -0.07352418452501297}, {'X': 0.542858362197876, 'Y': 0.4616517722606659, 'Z': -0.09551525115966797}, {'X': 0.6222482919692993, 'Y': 0.4853751063346863, 'Z': -0.034022118896245956}, {'X': 0.60370934009552, 'Y': 0.3721339702606201, 'Z': -0.0646958276629448}, {'X': 0.5889714360237122, 'Y': 0.30385226011276245, 'Z': -0.08710648864507675}, {'X': 0.5770219564437866, 'Y': 0.24183852970600128, 'Z': -0.10165256261825562}, {'X': 0.6604702472686768, 'Y': 0.46773988008499146, 'Z': -0.040712688118219376}, {'X': 0.6478196382522583, 'Y': 0.3433893918991089, 'Z': -0.06494832038879395}, {'X': 0.635985791683197, 'Y': 0.26155227422714233, 'Z': -0.09593779593706131}, {'X': 0.6264886856079102, 'Y': 0.18757256865501404, 'Z': -0.11995363980531693}, {'X': 0.6991188526153564, 'Y': 0.47611019015312195, 'Z': -0.05103893205523491}, {'X': 0.6925991177558899, 'Y': 0.35593605041503906, 'Z': -0.0729491114616394}, {'X': 0.6827537417411804, 'Y': 0.2752210199832916, 'Z': -0.10589388012886047}, {'X': 0.6727823615074158, 'Y': 0.20275697112083435, 'Z': -0.13281238079071045}, {'X': 0.7402489185333252, 'Y': 0.5050135850906372, 'Z': -0.06370175629854202}, {'X': 0.7442551255226135, 'Y': 0.407024085521698, 'Z': -0.08755671977996826}, {'X': 0.7405876517295837, 'Y': 0.344433456659317, 'Z': -0.11161424219608307}, {'X': 0.7337866425514221, 'Y': 0.28582215309143066, 'Z': -0.13267825543880463}]
[{'X': 0.6979140639305115, 'Y': 0.7422322034835815, 'Z': -0.00010138528159586713}, {'X': 0.6408306956291199, 'Y': 0.7363072633743286, 'Z': -0.04058987647294998}, {'X': 0.599114179611206, 'Y': 0.644092857837677, 'Z': -0.062257327139377594}, {'X': 0.5812727808952332, 'Y': 0.5567681193351746, 'Z': -0.08179587125778198}, {'X': 0.5534027218818665, 'Y': 0.4870026707649231, 'Z': -0.10603273659944534}, {'X': 0.6312192678451538, 'Y': 0.5169359445571899, 'Z': -0.03272601217031479}, {'X': 0.6164100170135498, 'Y': 0.4110102653503418, 'Z': -0.062172479927539825}, {'X': 0.6041855812072754, 'Y': 0.3385098874568939, 'Z': -0.08754018694162369}, {'X': 0.5946926474571228, 'Y': 0.26999157667160034, 'Z': -0.10634636878967285}, {'X': 0.6704710125923157, 'Y': 0.49922218918800354, 'Z': -0.03678908199071884}, {'X': 0.6611343622207642, 'Y': 0.3823416829109192, 'Z': -0.05949028581380844}, {'X': 0.651404619216919, 'Y': 0.29937994480133057, 'Z': -0.08991631120443344}, {'X': 0.6427576541900635, 'Y': 0.2198735475540161, 'Z': -0.10983576625585556}, {'X': 0.7105617523193359, 'Y': 0.5081231594085693, 'Z': -0.04525328055024147}, {'X': 0.7059218883514404, 'Y': 0.388895720243454, 'Z': -0.06764096766710281}, {'X': 0.697997510433197, 'Y': 0.3067986071109772, 'Z': -0.09896306693553925}, {'X': 0.689247190952301, 'Y': 0.22946274280548096, 'Z': -0.12408022582530975}, {'X': 0.7514904737472534, 'Y': 0.5378315448760986, 'Z': -0.057171717286109924}, {'X': 0.7579716444015503, 'Y': 0.4445382058620453, 'Z': -0.08027458935976028}, {'X': 0.75681072473526, 'Y': 0.382582426071167, 'Z': -0.10162454843521118}, {'X': 0.7517485618591309, 'Y': 0.3223866820335388, 'Z': -0.11841440200805664}]
[{'X': 0.7102112174034119, 'Y': 0.7565044164657593, 'Z': -0.00012930523371323943}, {'X': 0.6569244265556335, 'Y': 0.7605355381965637, 'Z': -0.04932863265275955}, {'X': 0.619433581829071, 'Y': 0.6805016398429871, 'Z': -0.0781552717089653}, {'X': 0.600197434425354, 'Y': 0.5961235761642456, 'Z': -0.10365638881921768}, {'X': 0.5712242722511292, 'Y': 0.5290998220443726, 'Z': -0.13568103313446045}, {'X': 0.6430009007453918, 'Y': 0.5542281270027161, 'Z': -0.06401853263378143}, {'X': 0.6328492760658264, 'Y': 0.45309507846832275, 'Z': -0.10194800049066544}, {'X': 0.623869001865387, 'Y': 0.3711666762828827, 'Z': -0.13749365508556366}, {'X': 0.6163501143455505, 'Y': 0.2937404215335846, 'Z': -0.1643492430448532}, {'X': 0.6825649738311768, 'Y': 0.5364835262298584, 'Z': -0.06355110555887222}, {'X': 0.6792992353439331, 'Y': 0.4257892370223999, 'Z': -0.09513019025325775}, {'X': 0.674191951751709, 'Y': 0.3392988443374634, 'Z': -0.1281198412179947}, {'X': 0.6701423525810242, 'Y': 0.2618142366409302, 'Z': -0.15292535722255707}, {'X': 0.7244023084640503, 'Y': 0.5502609610557556, 'Z': -0.06703122705221176}, {'X': 0.7272765040397644, 'Y': 0.4354526996612549, 'Z': -0.09429056197404861}, {'X': 0.7239023447036743, 'Y': 0.351154625415802, 'Z': -0.12524305284023285}, {'X': 0.7197260856628418, 'Y': 0.2743809223175049, 'Z': -0.15208998322486877}, {'X': 0.7642159461975098, 'Y': 0.5848979353904724, 'Z': -0.07574760168790817}, {'X': 0.772861897945404, 'Y': 0.5119709968566895, 'Z': -0.10369683057069778}, {'X': 0.779569685459137, 'Y': 0.4537079930305481, 'Z': -0.1309901773929596}, {'X': 0.7841529846191406, 'Y': 0.3919658958911896, 'Z': -0.1551409661769867}]
[{'X': 0.7306836843490601, 'Y': 0.8092072606086731, 'Z': -6.756735092494637e-05}, {'X': 0.6721235513687134, 'Y': 0.7978312969207764, 'Z': -0.047775231301784515}, {'X': 0.6324203610420227, 'Y': 0.7031587362289429, 'Z': -0.0716681256890297}, {'X': 0.6162342429161072, 'Y': 0.6150343418121338, 'Z': -0.09343104064464569}, {'X': 0.5883277654647827, 'Y': 0.5460834503173828, 'Z': -0.11796561628580093}, {'X': 0.6665881276130676, 'Y': 0.577704906463623, 'Z': -0.05156504735350609}, {'X': 0.6518037915229797, 'Y': 0.46507927775382996, 'Z': -0.08894961327314377}, {'X': 0.6404845118522644, 'Y': 0.3936978876590729, 'Z': -0.11654520779848099}, {'X': 0.6326588988304138, 'Y': 0.32654377818107605, 'Z': -0.1356259137392044}, {'X': 0.7065979242324829, 'Y': 0.5638648867607117, 'Z': -0.05546463653445244}, {'X': 0.6985892057418823, 'Y': 0.44259071350097656, 'Z': -0.08716849237680435}, {'X': 0.6914596557617188, 'Y': 0.3576951324939728, 'Z': -0.12400639802217484}, {'X': 0.6870266199111938, 'Y': 0.2782083749771118, 'Z': -0.15083394944667816}, {'X': 0.7469680309295654, 'Y': 0.5764955282211304, 'Z': -0.06272273510694504}, {'X': 0.7456300854682922, 'Y': 0.45591509342193604, 'Z': -0.09109346568584442}, {'X': 0.7400888800621033, 'Y': 0.3730834424495697, 'Z': -0.12875869870185852}, {'X': 0.7345592379570007, 'Y': 0.2966889441013336, 'Z': -0.1594999134540558}, {'X': 0.7887474298477173, 'Y': 0.6092886328697205, 'Z': -0.07357422262430191}, {'X': 0.7976604104042053, 'Y': 0.5154257416725159, 'Z': -0.1001569926738739}, {'X': 0.7989530563354492, 'Y': 0.45378291606903076, 'Z': -0.12422650307416916}, {'X': 0.7972711324691772, 'Y': 0.39278677105903625, 'Z': -0.1452418565750122}]
