[{'X': 0.7442282438278198, 'Y': 0.699055016040802, 'Z': -5.584541577263735e-05}, {'X': 0.6882827877998352, 'Y': 0.6703876256942749, 'Z': -0.034502722322940826}, {'X': 0.6489721536636353, 'Y': 0.5780521035194397, 'Z': -0.04280702769756317}, {'X': 0.6317086219787598, 'Y': 0.4859895706176758, 'Z': -0.05159181356430054}, {'X': 0.6100349426269531, 'Y': 0.42253977060317993, 'Z': -0.060594476759433746}, {'X': 0.6695171594619751, 'Y': 0.4636809527873993, 'Z': 0.00526780728250742}, {'X': 0.6490573287010193, 'Y': 0.3611367344856262, 'Z': -0.003527033841237426}, {'X': 0.6393839120864868, 'Y': 0.29548272490501404, 'Z': -0.021514106541872025}, {'X': 0.6350752115249634, 'Y': 0.23478008806705475, 'Z': -0.03821348026394844}, {'X': 0.7043473720550537, 'Y': 0.44341063499450684, 'Z': 0.007788078859448433}, {'X': 0.688310444355011, 'Y': 0.3298739790916443, 'Z': 0.009292405098676682}, {'X': 0.6792768239974976, 'Y': 0.25826722383499146, 'Z': -0.015085801482200623}, {'X': 0.6749410033226013, 'Y': 0.19545897841453552, 'Z': -0.035409994423389435}, {'X': 0.7405887842178345, 'Y': 0.4430576264858246, 'Z': 0.0038367717061191797}, {'X': 0.7316688299179077, 'Y': 0.334011971950531, 'Z': 0.002603196306154132}, {'X': 0.721399188041687, 'Y': 0.26165154576301575, 'Z': -0.02407708577811718}, {'X': 0.7139748334884644, 'Y': 0.19880244135856628, 'Z': -0.04406512901186943}, {'X': 0.7791816592216492, 'Y': 0.4631890654563904, 'Z': -0.0035100411623716354}, {'X': 0.7789825201034546, 'Y': 0.381842702627182, 'Z': -0.013359575532376766}, {'X': 0.7759189009666443, 'Y': 0.32593071460723877, 'Z': -0.02955520898103714}, {'X': 0.7711334824562073, 'Y': 0.2721327543258667, 'Z': -0.043948136270046234}]
[{'X': 0.7441830635070801, 'Y': 0.6923370957374573, 'Z': -4.0612590964883566e-05}, {'X': 0.6880258321762085, 'Y': 0.6669744253158569, 'Z': -0.02387780137360096}, {'X': 0.6497832536697388, 'Y': 0.574766218662262, 'Z': -0.028457602486014366}, {'X': 0.6338348984718323, 'Y': 0.4842621386051178, 'Z': -0.03522290661931038}, {'X': 0.61332106590271, 'Y': 0.4221908152103424, 'Z': -0.04468846321105957}, {'X': 0.6699998378753662, 'Y': 0.4603494703769684, 'Z': 0.014492117799818516}, {'X': 0.649148166179657, 'Y': 0.3617137372493744, 'Z': 0.0046662865206599236}, {'X': 0.639305830001831, 'Y': 0.2968111038208008, 'Z': -0.013588376343250275}, {'X': 0.6346440315246582, 'Y': 0.23548276722431183, 'Z': -0.029091961681842804}, {'X': 0.7055171728134155, 'Y': 0.44080522656440735, 'Z': 0.012578043155372143}, {'X': 0.6911283731460571, 'Y': 0.330477237701416, 'Z': 0.01478781457990408}, {'X': 0.6813634634017944, 'Y': 0.2567944824695587, 'Z': -0.007220734842121601}, {'X': 0.675519585609436, 'Y': 0.19226229190826416, 'Z': -0.02441820688545704}, {'X': 0.7429607510566711, 'Y': 0.44124835729599, 'Z': 0.00493727158755064}, {'X': 0.7353476881980896, 'Y': 0.3354456424713135, 'Z': 0.0043027703650295734}, {'X': 0.7240930795669556, 'Y': 0.2648894488811493, 'Z': -0.020122738555073738}, {'X': 0.714919924736023, 'Y': 0.20419442653656006, 'Z': -0.03793507069349289}, {'X': 0.7823571562767029, 'Y': 0.46207383275032043, 'Z': -0.004991339985281229}, {'X': 0.7824056148529053, 'Y': 0.37819281220436096, 'Z': -0.014837214723229408}, {'X': 0.7782915830612183, 'Y': 0.3208886384963989, 'Z': -0.029364662244915962}, {'X': 0.7724018096923828, 'Y': 0.26634448766708374, 'Z': -0.040204424411058426}]
[{'X': 0.7455829381942749, 'Y': 0.7056804299354553, 'Z': -3.792695497395471e-05}, {'X': 0.6885347962379456, 'Y': 0.670832097530365, 'Z': -0.025367489084601402}, {'X': 0.6500555276870728, 'Y': 0.5739043951034546, 'Z': -0.03025437332689762}, {'X': 0.6355251669883728, 'Y': 0.4787048399448395, 'Z': -0.036543022841215134}, {'X': 0.61505526304245, 'Y': 0.4185987412929535, 'Z': -0.04451224207878113}, {'X': 0.6727976202964783, 'Y': 0.45717254281044006, 'Z': 0.009694819338619709}, {'X': 0.6518308520317078, 'Y': 0.35714656114578247, 'Z': -0.00026928973966278136}, {'X': 0.6429035663604736, 'Y': 0.29356127977371216, 'Z': -0.014779716730117798}, {'X': 0.6383110880851746, 'Y': 0.23363710939884186, 'Z': -0.027957474812865257}, {'X': 0.7080404758453369, 'Y': 0.435685396194458, 'Z': 0.007736326660960913}, {'X': 0.6944189667701721, 'Y': 0.324957013130188, 'Z': 0.007824297994375229}, {'X': 0.6853683590888977, 'Y': 0.2535291016101837, 'Z': -0.012193284928798676}, {'X': 0.6805771589279175, 'Y': 0.19195324182510376, 'Z': -0.029081877321004868}, {'X': 0.7438441514968872, 'Y': 0.4388633072376251, 'Z': -0.000665732251945883}, {'X': 0.7356739044189453, 'Y': 0.3330470323562622, 'Z': -0.006080974824726582}, {'X': 0.7258703708648682, 'Y': 0.2643855810165405, 'Z': -0.028669925406575203}, {'X': 0.7172545790672302, 'Y': 0.20642584562301636, 'Z': -0.04593897983431816}, {'X': 0.7819620370864868, 'Y': 0.4646136462688446, 'Z': -0.01066953968256712}, {'X': 0.7827665209770203, 'Y': 0.38475894927978516, 'Z': -0.02635471522808075}, {'X': 0.7789601683616638, 'Y': 0.3350781798362732, 'Z': -0.04284748062491417}, {'X': 0.7720335125923157, 'Y': 0.28990602493286133, 'Z': -0.05571461468935013}]
[{'X': 0.7429986000061035, 'Y': 0.7046916484832764, 'Z': -7.968374120537192e-05}, {'X': 0.6881109476089478, 'Y': 0.6727350354194641, 'Z': -0.0320245623588562}, {'X': 0.6482433080673218, 'Y': 0.5755574107170105, 'Z': -0.03308863192796707}, {'X': 0.6328569650650024, 'Y': 0.4805983006954193, 'Z': -0.03644135966897011}, {'X': 0.6118813753128052, 'Y': 0.42158883810043335, 'Z': -0.04175107553601265}, {'X': 0.6689818501472473, 'Y': 0.4610315263271332, 'Z': 0.011158866807818413}, {'X': 0.6470973491668701, 'Y': 0.36249563097953796, 'Z': 0.004129309672862291}, {'X': 0.6381139755249023, 'Y': 0.2974362373352051, 'Z': -0.007983350194990635}, {'X': 0.6345809102058411, 'Y': 0.24074006080627441, 'Z': -0.01902877911925316}, {'X': 0.7048824429512024, 'Y': 0.44026339054107666, 'Z': 0.013440055772662163}, {'X': 0.6890931725502014, 'Y': 0.3368948698043823, 'Z': 0.009754388593137264}, {'X': 0.679724931716919, 'Y': 0.2678133249282837, 'Z': -0.011866871267557144}, {'X': 0.6739351153373718, 'Y': 0.21916449069976807, 'Z': -0.029176199808716774}, {'X': 0.7405295968055725, 'Y': 0.44241392612457275, 'Z': 0.006718790158629417}, {'X': 0.737568736076355, 'Y': 0.33981165289878845, 'Z': -0.012057177722454071}, {'X': 0.7299862504005432, 'Y': 0.3061603009700775, 'Z': -0.049980808049440384}, {'X': 0.7221047282218933, 'Y': 0.2972482442855835, 'Z': -0.07155751436948776}, {'X': 0.7775591015815735, 'Y': 0.4633534252643585, 'Z': -0.001743904547765851}, {'X': 0.7778627872467041, 'Y': 0.3886750340461731, 'Z': -0.036640651524066925}, {'X': 0.769818127155304, 'Y': 0.3737689256668091, 'Z': -0.07596109807491302}, {'X': 0.7605482935905457, 'Y': 0.38297003507614136, 'Z': -0.10047372430562973}]
[{'X': 0.7431855797767639, 'Y': 0.7030708193778992, 'Z': -0.00011662525503197685}, {'X': 0.6874594688415527, 'Y': 0.6694524884223938, 'Z': -0.023753227666020393}, {'X': 0.646721601486206, 'Y': 0.5661526322364807, 'Z': -0.017774280160665512}, {'X': 0.6301738619804382, 'Y': 0.47038841247558594, 'Z': -0.017960993573069572}, {'X': 0.6123892068862915, 'Y': 0.41256359219551086, 'Z': -0.021365471184253693}, {'X': 0.6676963567733765, 'Y': 0.4529651403427124, 'Z': 0.043037764728069305}, {'X': 0.6482836008071899, 'Y': 0.35349422693252563, 'Z': 0.04588522017002106}, {'X': 0.6396018862724304, 'Y': 0.2870696187019348, 'Z': 0.040141429752111435}, {'X': 0.6356450319290161, 'Y': 0.23668141663074493, 'Z': 0.0345485657453537}, {'X': 0.703949511051178, 'Y': 0.4336208701133728, 'Z': 0.041374776512384415}, {'X': 0.6941813826560974, 'Y': 0.32841283082962036, 'Z': 0.04475931450724602}, {'X': 0.685045599937439, 'Y': 0.2645423412322998, 'Z': 0.026632215827703476}, {'X': 0.6796793341636658, 'Y': 0.23160551488399506, 'Z': 0.013167922385036945}, {'X': 0.7396934628486633, 'Y': 0.43487289547920227, 'Z': 0.02906983718276024}, {'X': 0.7390117049217224, 'Y': 0.331319659948349, 'Z': 0.01091176550835371}, {'X': 0.7296514511108398, 'Y': 0.3176127076148987, 'Z': -0.03067801147699356}, {'X': 0.7218028903007507, 'Y': 0.32996395230293274, 'Z': -0.050481848418712616}, {'X': 0.777162492275238, 'Y': 0.45220744609832764, 'Z': 0.016156671568751335}, {'X': 0.776479184627533, 'Y': 0.38314613699913025, 'Z': -0.02537188120186329}, {'X': 0.7671030163764954, 'Y': 0.38913610577583313, 'Z': -0.0687999427318573}, {'X': 0.758110523223877, 'Y': 0.41388168931007385, 'Z': -0.09494712948799133}]
[{'X': 0.7427395582199097, 'Y': 0.7148280143737793, 'Z': -0.00010502096120035276}, {'X': 0.6871610283851624, 'Y': 0.674526035785675, 'Z': -0.023160215467214584}, {'X': 0.6482730507850647, 'Y': 0.5681939125061035, 'Z': -0.01999981515109539}, {'X': 0.6315820217132568, 'Y': 0.47025054693222046, 'Z': -0.022157367318868637}, {'X': 0.6131467223167419, 'Y': 0.40950721502304077, 'Z': -0.029004596173763275}, {'X': 0.6680110096931458, 'Y': 0.4500369727611542, 'Z': 0.037889111787080765}, {'X': 0.6503804922103882, 'Y': 0.3522220253944397, 'Z': 0.03819199651479721}, {'X': 0.6421823501586914, 'Y': 0.2861759662628174, 'Z': 0.029317181557416916}, {'X': 0.6379117369651794, 'Y': 0.23496316373348236, 'Z': 0.02221047319471836}, {'X': 0.704615592956543, 'Y': 0.4316710829734802, 'Z': 0.03593127802014351}, {'X': 0.6975584030151367, 'Y': 0.3270242214202881, 'Z': 0.03368547186255455}, {'X': 0.6885913014411926, 'Y': 0.26839321851730347, 'Z': 0.011841117404401302}, {'X': 0.6815356016159058, 'Y': 0.2387385070323944, 'Z': -0.0027725084219127893}, {'X': 0.7406611442565918, 'Y': 0.433890163898468, 'Z': 0.022621793672442436}, {'X': 0.7430530786514282, 'Y': 0.32906806468963623, 'Z': -8.176512346835807e-05}, {'X': 0.7333011627197266, 'Y': 0.3338295817375183, 'Z': -0.04337025433778763}, {'X': 0.7236869931221008, 'Y': 0.36313003301620483, 'Z': -0.06276845186948776}, {'X': 0.7788358926773071, 'Y': 0.45319733023643494, 'Z': 0.009293342009186745}, {'X': 0.7800047993659973, 'Y': 0.3815018832683563, 'Z': -0.030218983069062233}, {'X': 0.7677050828933716, 'Y': 0.3940327763557434, 'Z': -0.07194262742996216}, {'X': 0.755890429019928, 'Y': 0.424696147441864, 'Z': -0.09662840515375137}]
[{'X': 0.7455942630767822, 'Y': 0.7238292694091797, 'Z': -6.0415739426389337e-05}, {'X': 0.6874119639396667, 'Y': 0.6738428473472595, 'Z': -0.017587274312973022}, {'X': 0.6491808295249939, 'Y': 0.5643088817596436, 'Z': -0.015795275568962097}, {'X': 0.6322706937789917, 'Y': 0.469034343957901, 'Z': -0.01821831427514553}, {'X': 0.616432785987854, 'Y': 0.41285860538482666, 'Z': -0.020420826971530914}, {'X': 0.6717663407325745, 'Y': 0.44844064116477966, 'Z': 0.04307113587856293}, {'X': 0.6536602973937988, 'Y': 0.35330843925476074, 'Z': 0.04337136074900627}, {'X': 0.6468904614448547, 'Y': 0.289227157831192, 'Z': 0.03319760411977768}, {'X': 0.6432231664657593, 'Y': 0.23723867535591125, 'Z': 0.02423887327313423}, {'X': 0.7076873183250427, 'Y': 0.4332548677921295, 'Z': 0.037078604102134705}, {'X': 0.6998576521873474, 'Y': 0.3302594721317291, 'Z': 0.03248080983757973}, {'X': 0.6909009218215942, 'Y': 0.2721567749977112, 'Z': 0.012856477871537209}, {'X': 0.6840613484382629, 'Y': 0.24333742260932922, 'Z': 0.0015923132887110114}, {'X': 0.7429239749908447, 'Y': 0.44256681203842163, 'Z': 0.020969899371266365}, {'X': 0.7456915378570557, 'Y': 0.33544081449508667, 'Z': -0.01101908553391695}, {'X': 0.7404701113700867, 'Y': 0.3607470393180847, 'Z': -0.05304410681128502}, {'X': 0.7347442507743835, 'Y': 0.4047880172729492, 'Z': -0.06787361949682236}, {'X': 0.7798184752464294, 'Y': 0.4672240614891052, 'Z': 0.006755081005394459}, {'X': 0.778895378112793, 'Y': 0.38990166783332825, 'Z': -0.039279691874980927}, {'X': 0.7696450352668762, 'Y': 0.41763609647750854, 'Z': -0.07930882275104523}, {'X': 0.7610456943511963, 'Y': 0.46105918288230896, 'Z': -0.10154769569635391}]
[{'X': 0.7446137070655823, 'Y': 0.7254552245140076, 'Z': -8.788950071902946e-05}, {'X': 0.6882734298706055, 'Y': 0.680126428604126, 'Z': -0.032743051648139954}, {'X': 0.6503006219863892, 'Y': 0.5683141350746155, 'Z': -0.03831742703914642}, {'X': 0.633624255657196, 'Y': 0.4742935597896576, 'Z': -0.0453604981303215}, {'X': 0.6146725416183472, 'Y': 0.41345667839050293, 'Z': -0.05392829328775406}, {'X': 0.6686744093894958, 'Y': 0.44989725947380066, 'Z': 0.018067406490445137}, {'X': 0.6517829895019531, 'Y': 0.35624754428863525, 'Z': 0.006120995152741671}, {'X': 0.643831729888916, 'Y': 0.2902194559574127, 'Z': -0.01261842530220747}, {'X': 0.6396715044975281, 'Y': 0.23953422904014587, 'Z': -0.02654268592596054}, {'X': 0.7063121199607849, 'Y': 0.4406297206878662, 'Z': 0.016511095687747}, {'X': 0.70389324426651, 'Y': 0.3361079692840576, 'Z': -0.009155613370239735}, {'X': 0.6981948018074036, 'Y': 0.3004985749721527, 'Z': -0.04559541866183281}, {'X': 0.6939745545387268, 'Y': 0.3020557761192322, 'Z': -0.06609085202217102}, {'X': 0.743009090423584, 'Y': 0.454370379447937, 'Z': 0.005163850262761116}, {'X': 0.7514455914497375, 'Y': 0.3487752079963684, 'Z': -0.0372677743434906}, {'X': 0.7446637153625488, 'Y': 0.3776247799396515, 'Z': -0.08434221893548965}, {'X': 0.7359347939491272, 'Y': 0.429757297039032, 'Z': -0.10115569084882736}, {'X': 0.7795089483261108, 'Y': 0.48545417189598083, 'Z': -0.005717730149626732}, {'X': 0.7857205867767334, 'Y': 0.4165496230125427, 'Z': -0.05655163154006004}, {'X': 0.7759360671043396, 'Y': 0.4480478763580322, 'Z': -0.0985783040523529}, {'X': 0.7639564871788025, 'Y': 0.49444884061813354, 'Z': -0.12226148694753647}]
[{'X': 0.7387625575065613, 'Y': 0.7238509654998779, 'Z': -9.397209214512259e-05}, {'X': 0.6835223436355591, 'Y': 0.675886869430542, 'Z': -0.029308322817087173}, {'X': 0.6503562331199646, 'Y': 0.5648801326751709, 'Z': -0.03945823386311531}, {'X': 0.6373063325881958, 'Y': 0.47428831458091736, 'Z': -0.049146562814712524}, {'X': 0.6145267486572266, 'Y': 0.41625335812568665, 'Z': -0.06076446548104286}, {'X': 0.6688713431358337, 'Y': 0.45594143867492676, 'Z': -0.014340383931994438}, {'X': 0.6508298516273499, 'Y': 0.36077383160591125, 'Z': -0.04601148143410683}, {'X': 0.6419281363487244, 'Y': 0.29613572359085083, 'Z': -0.0778726190328598}, {'X': 0.6397552490234375, 'Y': 0.25176334381103516, 'Z': -0.10242143273353577}, {'X': 0.7057668566703796, 'Y': 0.45409104228019714, 'Z': -0.023563096299767494}, {'X': 0.7007610201835632, 'Y': 0.3455841541290283, 'Z': -0.07596926391124725}, {'X': 0.692966639995575, 'Y': 0.34124621748924255, 'Z': -0.12194418162107468}, {'X': 0.6922620534896851, 'Y': 0.3734094500541687, 'Z': -0.14764244854450226}, {'X': 0.7423110604286194, 'Y': 0.4757091999053955, 'Z': -0.039712049067020416}, {'X': 0.7464850544929504, 'Y': 0.3692520260810852, 'Z': -0.09878503531217575}, {'X': 0.7341711521148682, 'Y': 0.4086776375770569, 'Z': -0.1406751275062561}, {'X': 0.7260482311248779, 'Y': 0.46707403659820557, 'Z': -0.15292271971702576}, {'X': 0.7786178588867188, 'Y': 0.5183565020561218, 'Z': -0.05547778680920601}, {'X': 0.7822824716567993, 'Y': 0.4596138298511505, 'Z': -0.11481662094593048}, {'X': 0.7684624791145325, 'Y': 0.4981740713119507, 'Z': -0.15121038258075714}, {'X': 0.7566171884536743, 'Y': 0.5452263355255127, 'Z': -0.16842061281204224}]
[{'X': 0.7371581196784973, 'Y': 0.7319372892379761, 'Z': -8.566711039748043e-05}, {'X': 0.6810281872749329, 'Y': 0.6816943287849426, 'Z': -0.020854143425822258}, {'X': 0.6477763056755066, 'Y': 0.5685635209083557, 'Z': -0.033220138400793076}, {'X': 0.6349025964736938, 'Y': 0.4766218364238739, 'Z': -0.04801832139492035}, {'X': 0.6171219944953918, 'Y': 0.41633158922195435, 'Z': -0.06802719086408615}, {'X': 0.6690070033073425, 'Y': 0.46154603362083435, 'Z': -0.021669579669833183}, {'X': 0.650971531867981, 'Y': 0.36029812693595886, 'Z': -0.05260268971323967}, {'X': 0.6413916349411011, 'Y': 0.29747462272644043, 'Z': -0.08142180740833282}, {'X': 0.639419436454773, 'Y': 0.25516897439956665, 'Z': -0.10443750023841858}, {'X': 0.7059821486473083, 'Y': 0.46174922585487366, 'Z': -0.036030471324920654}, {'X': 0.6967536807060242, 'Y': 0.34895363450050354, 'Z': -0.08744969964027405}, {'X': 0.6845996379852295, 'Y': 0.3559759557247162, 'Z': -0.13042210042476654}, {'X': 0.6807969808578491, 'Y': 0.39224737882614136, 'Z': -0.1571742594242096}, {'X': 0.743057906627655, 'Y': 0.4854200482368469, 'Z': -0.054928023368120193}, {'X': 0.7410984635353088, 'Y': 0.3818938434123993, 'Z': -0.10889199376106262}, {'X': 0.7231966257095337, 'Y': 0.4366101026535034, 'Z': -0.14398927986621857}, {'X': 0.7138041257858276, 'Y': 0.49852052330970764, 'Z': -0.1555873602628708}, {'X': 0.7796086668968201, 'Y': 0.5296943783760071, 'Z': -0.07317162305116653}, {'X': 0.7751963138580322, 'Y': 0.47597748041152954, 'Z': -0.12598884105682373}, {'X': 0.758430004119873, 'Y': 0.5259948372840881, 'Z': -0.15193834900856018}, {'X': 0.7476058602333069, 'Y': 0.5758040547370911, 'Z': -0.16301727294921875}]
[{'X': 0.7391718626022339, 'Y': 0.7368077635765076, 'Z': -6.979148020036519e-05}, {'X': 0.6814723014831543, 'Y': 0.6872697472572327, 'Z': -0.02534535340964794}, {'X': 0.6480779647827148, 'Y': 0.5705233812332153, 'Z': -0.0401209220290184}, {'X': 0.6368058323860168, 'Y': 0.47999006509780884, 'Z': -0.057292476296424866}, {'X': 0.6212520599365234, 'Y': 0.4200609624385834, 'Z': -0.08019688725471497}, {'X': 0.6676977872848511, 'Y': 0.45933976769447327, 'Z': -0.04007004573941231}, {'X': 0.6510762572288513, 'Y': 0.35696014761924744, 'Z': -0.07529629021883011}, {'X': 0.6415634751319885, 'Y': 0.2948712706565857, 'Z': -0.10648281872272491}, {'X': 0.6388522982597351, 'Y': 0.2510957717895508, 'Z': -0.13039100170135498}, {'X': 0.7058421969413757, 'Y': 0.4620223641395569, 'Z': -0.05450400710105896}, {'X': 0.6976428031921387, 'Y': 0.3536871075630188, 'Z': -0.1129467785358429}, {'X': 0.6841084957122803, 'Y': 0.36512184143066406, 'Z': -0.15927983820438385}, {'X': 0.6770496964454651, 'Y': 0.40248945355415344, 'Z': -0.1894494891166687}, {'X': 0.7438170909881592, 'Y': 0.4901107847690582, 'Z': -0.07193879038095474}, {'X': 0.7410047054290771, 'Y': 0.39771783351898193, 'Z': -0.13303138315677643}, {'X': 0.7191567420959473, 'Y': 0.45752179622650146, 'Z': -0.17199614644050598}, {'X': 0.7058578729629517, 'Y': 0.5208554267883301, 'Z': -0.18666432797908783}, {'X': 0.780900239944458, 'Y': 0.5389464497566223, 'Z': -0.08912573754787445}, {'X': 0.7728252410888672, 'Y': 0.4924679398536682, 'Z': -0.1451617330312729}, {'X': 0.7540726661682129, 'Y': 0.5418151617050171, 'Z': -0.1738874912261963}, {'X': 0.7427747249603271, 'Y': 0.5895933508872986, 'Z': -0.1878652274608612}]
