[{'X': 0.6186809539794922, 'Y': 0.827722430229187, 'Z': -7.038978219497949e-05}, {'X': 0.5653101205825806, 'Y': 0.8091723322868347, 'Z': 0.013108589686453342}, {'X': 0.5355050563812256, 'Y': 0.7451841831207275, 'Z': 0.02098703384399414}, {'X': 0.519005298614502, 'Y': 0.6951281428337097, 'Z': 0.022133469581604004}, {'X': 0.4992443323135376, 'Y': 0.6724584102630615, 'Z': 0.020446160808205605}, {'X': 0.570125162601471, 'Y': 0.6153370141983032, 'Z': 0.033275146037340164}, {'X': 0.5653277635574341, 'Y': 0.5243269205093384, 'Z': 0.035287488251924515}, {'X': 0.5578548908233643, 'Y': 0.46673810482025146, 'Z': 0.024640604853630066}, {'X': 0.5486751794815063, 'Y': 0.4204156696796417, 'Z': 0.012202557176351547}, {'X': 0.5990205407142639, 'Y': 0.601447582244873, 'Z': 0.014056289568543434}, {'X': 0.5937034487724304, 'Y': 0.5034887790679932, 'Z': 0.015143027529120445}, {'X': 0.5825958251953125, 'Y': 0.4348209500312805, 'Z': -0.001103850663639605}, {'X': 0.5704727172851562, 'Y': 0.3810952603816986, 'Z': -0.01521560549736023}, {'X': 0.6273415088653564, 'Y': 0.6054596304893494, 'Z': -0.007267830893397331}, {'X': 0.6231893301010132, 'Y': 0.5063402652740479, 'Z': -0.009379486553370953}, {'X': 0.614036500453949, 'Y': 0.44172561168670654, 'Z': -0.021087268367409706}, {'X': 0.6031201481819153, 'Y': 0.38899314403533936, 'Z': -0.03317798301577568}, {'X': 0.6580392718315125, 'Y': 0.6287072896957397, 'Z': -0.029109645634889603}, {'X': 0.6692342758178711, 'Y': 0.5446686744689941, 'Z': -0.03589172288775444}, {'X': 0.6722568273544312, 'Y': 0.4862363338470459, 'Z': -0.0447625070810318}, {'X': 0.6701287627220154, 'Y': 0.42929792404174805, 'Z': -0.05093027278780937}]
[{'X': 0.6209282279014587, 'Y': 0.8250313997268677, 'Z': -5.90222334722057e-05}, {'X': 0.5658916234970093, 'Y': 0.803090512752533, 'Z': 0.022405626252293587}, {'X': 0.5359542965888977, 'Y': 0.7403400540351868, 'Z': 0.037557706236839294}, {'X': 0.5188015699386597, 'Y': 0.690136194229126, 'Z': 0.04337689280509949}, {'X': 0.5008065104484558, 'Y': 0.6662291884422302, 'Z': 0.045666713267564774}, {'X': 0.5707617402076721, 'Y': 0.6094076037406921, 'Z': 0.05653582513332367}, {'X': 0.5638604164123535, 'Y': 0.5197652578353882, 'Z': 0.06534292548894882}, {'X': 0.557398796081543, 'Y': 0.4624396562576294, 'Z': 0.0579676628112793}, {'X': 0.5514296293258667, 'Y': 0.42015814781188965, 'Z': 0.05063306540250778}, {'X': 0.597836971282959, 'Y': 0.5971971154212952, 'Z': 0.03395087644457817}, {'X': 0.59040367603302, 'Y': 0.49597248435020447, 'Z': 0.042821794748306274}, {'X': 0.5805880427360535, 'Y': 0.4302653670310974, 'Z': 0.030805015936493874}, {'X': 0.5721714496612549, 'Y': 0.38236966729164124, 'Z': 0.019262924790382385}, {'X': 0.6253615617752075, 'Y': 0.5999277830123901, 'Z': 0.00942709669470787}, {'X': 0.6203098297119141, 'Y': 0.498630553483963, 'Z': 0.012156595475971699}, {'X': 0.6123720407485962, 'Y': 0.43331626057624817, 'Z': 0.0033147321082651615}, {'X': 0.6035293936729431, 'Y': 0.3824295103549957, 'Z': -0.005271944683045149}, {'X': 0.655520498752594, 'Y': 0.6192682981491089, 'Z': -0.016282793134450912}, {'X': 0.666638195514679, 'Y': 0.5365413427352905, 'Z': -0.019679557532072067}, {'X': 0.6697583794593811, 'Y': 0.4807816445827484, 'Z': -0.023866398259997368}, {'X': 0.6689073443412781, 'Y': 0.42925065755844116, 'Z': -0.02596364915370941}]
[{'X': 0.6204561591148376, 'Y': 0.8235418796539307, 'Z': -5.375956607167609e-05}, {'X': 0.5666739344596863, 'Y': 0.805474042892456, 'Z': 0.01341693103313446}, {'X': 0.5360851287841797, 'Y': 0.7452859878540039, 'Z': 0.020069502294063568}, {'X': 0.5169941782951355, 'Y': 0.6957974433898926, 'Z': 0.017795754596590996}, {'X': 0.497940331697464, 'Y': 0.6691071391105652, 'Z': 0.011159425601363182}, {'X': 0.5704383850097656, 'Y': 0.6106705069541931, 'Z': 0.04021046683192253}, {'X': 0.5631119012832642, 'Y': 0.5211434960365295, 'Z': 0.04470936581492424}, {'X': 0.5562835931777954, 'Y': 0.4640684127807617, 'Z': 0.03455384448170662}, {'X': 0.5502320528030396, 'Y': 0.4181903898715973, 'Z': 0.02440907433629036}, {'X': 0.5981239676475525, 'Y': 0.5974283814430237, 'Z': 0.019935153424739838}, {'X': 0.5891290903091431, 'Y': 0.49777138233184814, 'Z': 0.023597465828061104}, {'X': 0.5775963068008423, 'Y': 0.4329027533531189, 'Z': 0.009035961702466011}, {'X': 0.5679249167442322, 'Y': 0.38314926624298096, 'Z': -0.0040281242690980434}, {'X': 0.6255587935447693, 'Y': 0.6008957624435425, 'Z': -0.0028976136818528175}, {'X': 0.6194819211959839, 'Y': 0.5009594559669495, 'Z': -0.0038844330701977015}, {'X': 0.6105926632881165, 'Y': 0.4363388419151306, 'Z': -0.014717579819262028}, {'X': 0.6004337072372437, 'Y': 0.3838655650615692, 'Z': -0.026800818741321564}, {'X': 0.655879020690918, 'Y': 0.6230536103248596, 'Z': -0.027184372767806053}, {'X': 0.6663292646408081, 'Y': 0.539061963558197, 'Z': -0.033491652458906174}, {'X': 0.6690943241119385, 'Y': 0.481756329536438, 'Z': -0.041343022137880325}, {'X': 0.6674458980560303, 'Y': 0.4281195402145386, 'Z': -0.04697855934500694}]
[{'X': 0.6171393394470215, 'Y': 0.8221219182014465, 'Z': -6.43390667391941e-05}, {'X': 0.5626144409179688, 'Y': 0.8054179549217224, 'Z': 0.013445243239402771}, {'X': 0.5333327054977417, 'Y': 0.7428598999977112, 'Z': 0.02334440127015114}, {'X': 0.5170632004737854, 'Y': 0.6924428939819336, 'Z': 0.02552889473736286}, {'X': 0.5001015663146973, 'Y': 0.6673553586006165, 'Z': 0.025390781462192535}, {'X': 0.5694266557693481, 'Y': 0.6113680601119995, 'Z': 0.043268509209156036}, {'X': 0.5623733997344971, 'Y': 0.5236071348190308, 'Z': 0.0481482595205307}, {'X': 0.5555865168571472, 'Y': 0.4679971933364868, 'Z': 0.03849327191710472}, {'X': 0.5489826202392578, 'Y': 0.424221396446228, 'Z': 0.028490465134382248}, {'X': 0.5964118838310242, 'Y': 0.5971745848655701, 'Z': 0.0231020450592041}, {'X': 0.5874682664871216, 'Y': 0.49912112951278687, 'Z': 0.026815496385097504}, {'X': 0.575864851474762, 'Y': 0.4359990060329437, 'Z': 0.012060599401593208}, {'X': 0.5655185580253601, 'Y': 0.38741472363471985, 'Z': -0.001586663769558072}, {'X': 0.6236135363578796, 'Y': 0.6000655889511108, 'Z': -0.00015408862964250147}, {'X': 0.6171610951423645, 'Y': 0.5007916688919067, 'Z': -0.0019253927748650312}, {'X': 0.6083542108535767, 'Y': 0.4376223385334015, 'Z': -0.013870309107005596}, {'X': 0.5982316136360168, 'Y': 0.38544347882270813, 'Z': -0.02552765980362892}, {'X': 0.6538165807723999, 'Y': 0.6213347911834717, 'Z': -0.02454381249845028}, {'X': 0.6638301014900208, 'Y': 0.5386145114898682, 'Z': -0.03180577605962753}, {'X': 0.6661649942398071, 'Y': 0.48320046067237854, 'Z': -0.039667464792728424}, {'X': 0.6638543009757996, 'Y': 0.4308975040912628, 'Z': -0.04489101469516754}]
[{'X': 0.6195135712623596, 'Y': 0.8259559869766235, 'Z': -6.48552886559628e-05}, {'X': 0.5644142627716064, 'Y': 0.8092079162597656, 'Z': 0.01399662159383297}, {'X': 0.5344142317771912, 'Y': 0.7448073029518127, 'Z': 0.026893464848399162}, {'X': 0.5178448557853699, 'Y': 0.6936075091362, 'Z': 0.03230103477835655}, {'X': 0.5000591278076172, 'Y': 0.6726065874099731, 'Z': 0.03521355241537094}, {'X': 0.5690971612930298, 'Y': 0.6151378154754639, 'Z': 0.049267955124378204}, {'X': 0.5612740516662598, 'Y': 0.5272274613380432, 'Z': 0.055516015738248825}, {'X': 0.5547400712966919, 'Y': 0.47136759757995605, 'Z': 0.04695504531264305}, {'X': 0.5485932230949402, 'Y': 0.42837029695510864, 'Z': 0.03767949715256691}, {'X': 0.5961644053459167, 'Y': 0.5998386740684509, 'Z': 0.03007238730788231}, {'X': 0.587077260017395, 'Y': 0.5010890364646912, 'Z': 0.03709535300731659}, {'X': 0.576073408126831, 'Y': 0.4368857145309448, 'Z': 0.022716611623764038}, {'X': 0.5668488144874573, 'Y': 0.38859328627586365, 'Z': 0.009544091299176216}, {'X': 0.6238787770271301, 'Y': 0.6013364195823669, 'Z': 0.007566953077912331}, {'X': 0.6172415614128113, 'Y': 0.5021060705184937, 'Z': 0.00800926424562931}, {'X': 0.6081368327140808, 'Y': 0.43939757347106934, 'Z': -0.003576610004529357}, {'X': 0.5984647274017334, 'Y': 0.38844701647758484, 'Z': -0.013477342203259468}, {'X': 0.6546363234519958, 'Y': 0.6204543709754944, 'Z': -0.016086982563138008}, {'X': 0.6637719869613647, 'Y': 0.5384286642074585, 'Z': -0.02251591347157955}, {'X': 0.6656637191772461, 'Y': 0.48383569717407227, 'Z': -0.029770223423838615}, {'X': 0.6632993221282959, 'Y': 0.4328029155731201, 'Z': -0.03417809307575226}]
[{'X': 0.6162794232368469, 'Y': 0.8245360851287842, 'Z': -6.425264291465282e-05}, {'X': 0.5637388825416565, 'Y': 0.8090660572052002, 'Z': 0.014159424230456352}, {'X': 0.5348308086395264, 'Y': 0.7453442811965942, 'Z': 0.025083282962441444}, {'X': 0.5173197984695435, 'Y': 0.6951717138290405, 'Z': 0.02858860418200493}, {'X': 0.49745702743530273, 'Y': 0.6738668084144592, 'Z': 0.02953600510954857}, {'X': 0.5702076554298401, 'Y': 0.6187435984611511, 'Z': 0.040147919207811356}, {'X': 0.5642346143722534, 'Y': 0.5307828187942505, 'Z': 0.04454788193106651}, {'X': 0.5567391514778137, 'Y': 0.47391632199287415, 'Z': 0.03529972583055496}, {'X': 0.5484920740127563, 'Y': 0.42905235290527344, 'Z': 0.025066614151000977}, {'X': 0.5972681045532227, 'Y': 0.60346919298172, 'Z': 0.021516138687729836}, {'X': 0.5904050469398499, 'Y': 0.5071761608123779, 'Z': 0.025495875626802444}, {'X': 0.578823447227478, 'Y': 0.43912795186042786, 'Z': 0.010118478909134865}, {'X': 0.5679631233215332, 'Y': 0.3865235149860382, 'Z': -0.0027338156942278147}, {'X': 0.624380886554718, 'Y': 0.6055480241775513, 'Z': 0.0004525301919784397}, {'X': 0.6189078688621521, 'Y': 0.5083276033401489, 'Z': 0.0005992663209326565}, {'X': 0.6099303364753723, 'Y': 0.4448320269584656, 'Z': -0.010443744249641895}, {'X': 0.6001911163330078, 'Y': 0.392894983291626, 'Z': -0.021218350157141685}, {'X': 0.6541025638580322, 'Y': 0.6266146302223206, 'Z': -0.021068420261144638}, {'X': 0.6648117303848267, 'Y': 0.5441668033599854, 'Z': -0.02675526961684227}, {'X': 0.6677099466323853, 'Y': 0.4874532222747803, 'Z': -0.03487362712621689}, {'X': 0.6659094095230103, 'Y': 0.4338986575603485, 'Z': -0.04018162190914154}]
[{'X': 0.621226966381073, 'Y': 0.8479052782058716, 'Z': -6.104519707150757e-05}, {'X': 0.5658748745918274, 'Y': 0.8158732652664185, 'Z': 0.018462954089045525}, {'X': 0.5350451469421387, 'Y': 0.7461841702461243, 'Z': 0.03279499337077141}, {'X': 0.5179057717323303, 'Y': 0.6943816542625427, 'Z': 0.0387166291475296}, {'X': 0.4996036887168884, 'Y': 0.6798115968704224, 'Z': 0.040242716670036316}, {'X': 0.568202018737793, 'Y': 0.623522162437439, 'Z': 0.05225793644785881}, {'X': 0.5618329048156738, 'Y': 0.5366561412811279, 'Z': 0.06024513021111488}, {'X': 0.5550212264060974, 'Y': 0.4794468283653259, 'Z': 0.05384501442313194}, {'X': 0.5483063459396362, 'Y': 0.4344351291656494, 'Z': 0.04531241953372955}, {'X': 0.5976241827011108, 'Y': 0.60638028383255, 'Z': 0.03395689278841019}, {'X': 0.5898146033287048, 'Y': 0.5095784664154053, 'Z': 0.04645641893148422}, {'X': 0.5787124037742615, 'Y': 0.442249596118927, 'Z': 0.03803207725286484}, {'X': 0.567961573600769, 'Y': 0.3915696144104004, 'Z': 0.030209042131900787}, {'X': 0.6256913542747498, 'Y': 0.6070492267608643, 'Z': 0.012499856762588024}, {'X': 0.6208220720291138, 'Y': 0.5079730153083801, 'Z': 0.01834687776863575}, {'X': 0.6106814742088318, 'Y': 0.4452090263366699, 'Z': 0.009802456945180893}, {'X': 0.5990662574768066, 'Y': 0.3957362174987793, 'Z': 0.0033296141773462296}, {'X': 0.655840277671814, 'Y': 0.6276758909225464, 'Z': -0.008707682602107525}, {'X': 0.6671160459518433, 'Y': 0.5443759560585022, 'Z': -0.010956409387290478}, {'X': 0.6711224913597107, 'Y': 0.48685401678085327, 'Z': -0.01739594154059887}, {'X': 0.6697555184364319, 'Y': 0.4320540130138397, 'Z': -0.021223122254014015}]
[{'X': 0.6143801212310791, 'Y': 0.8263578414916992, 'Z': -6.667990237474442e-05}, {'X': 0.562777578830719, 'Y': 0.808957576751709, 'Z': 0.006253208499401808}, {'X': 0.5335415005683899, 'Y': 0.7456965446472168, 'Z': 0.011018314398825169}, {'X': 0.5169638395309448, 'Y': 0.700602650642395, 'Z': 0.012871906161308289}, {'X': 0.501775860786438, 'Y': 0.6839797496795654, 'Z': 0.016393117606639862}, {'X': 0.5692508816719055, 'Y': 0.6198302507400513, 'Z': 0.02809949778020382}, {'X': 0.5640152096748352, 'Y': 0.5373390913009644, 'Z': 0.029344720765948296}, {'X': 0.5577877759933472, 'Y': 0.4806557893753052, 'Z': 0.02481507882475853}, {'X': 0.5506070852279663, 'Y': 0.4360511898994446, 'Z': 0.01644146628677845}, {'X': 0.5993331670761108, 'Y': 0.6050629615783691, 'Z': 0.012369947507977486}, {'X': 0.5909050703048706, 'Y': 0.5180954933166504, 'Z': 0.006603155750781298}, {'X': 0.5784090161323547, 'Y': 0.45102646946907043, 'Z': -0.013878444209694862}, {'X': 0.5651849508285522, 'Y': 0.3926210105419159, 'Z': -0.03319737687706947}, {'X': 0.6290448307991028, 'Y': 0.608311116695404, 'Z': -0.004881114233285189}, {'X': 0.6243615746498108, 'Y': 0.5216456055641174, 'Z': -0.013714736327528954}, {'X': 0.6106507778167725, 'Y': 0.4849499464035034, 'Z': -0.025419769808650017}, {'X': 0.5960657596588135, 'Y': 0.461609423160553, 'Z': -0.032133352011442184}, {'X': 0.6595054268836975, 'Y': 0.6281216740608215, 'Z': -0.02367846481502056}, {'X': 0.668685793876648, 'Y': 0.5409330725669861, 'Z': -0.027552610263228416}, {'X': 0.6696310639381409, 'Y': 0.4782460331916809, 'Z': -0.036545198410749435}, {'X': 0.6640124320983887, 'Y': 0.4128856658935547, 'Z': -0.045000724494457245}]
[{'X': 0.6209251880645752, 'Y': 0.8553622364997864, 'Z': -3.688241122290492e-05}, {'X': 0.567550778388977, 'Y': 0.8178861737251282, 'Z': 0.017251450568437576}, {'X': 0.5378945469856262, 'Y': 0.7472429275512695, 'Z': 0.023621805012226105}, {'X': 0.5193976759910583, 'Y': 0.6973257064819336, 'Z': 0.02033691667020321}, {'X': 0.5039299726486206, 'Y': 0.6783601641654968, 'Z': 0.014100998640060425}, {'X': 0.5735524892807007, 'Y': 0.616862416267395, 'Z': 0.04074343293905258}, {'X': 0.5681936144828796, 'Y': 0.532001256942749, 'Z': 0.04442062973976135}, {'X': 0.5614619255065918, 'Y': 0.4774462580680847, 'Z': 0.04107000678777695}, {'X': 0.5564748048782349, 'Y': 0.433942586183548, 'Z': 0.03492072969675064}, {'X': 0.6014056205749512, 'Y': 0.6050397753715515, 'Z': 0.016685083508491516}, {'X': 0.5890125632286072, 'Y': 0.5105323791503906, 'Z': 0.009831462055444717}, {'X': 0.5725165605545044, 'Y': 0.44736456871032715, 'Z': -0.009356840513646603}, {'X': 0.5570360422134399, 'Y': 0.39132243394851685, 'Z': -0.028086300939321518}, {'X': 0.6289977431297302, 'Y': 0.6098969578742981, 'Z': -0.009214102290570736}, {'X': 0.6189960241317749, 'Y': 0.5213873982429504, 'Z': -0.023905012756586075}, {'X': 0.5973343253135681, 'Y': 0.49867233633995056, 'Z': -0.04695295915007591}, {'X': 0.5759590864181519, 'Y': 0.4913483262062073, 'Z': -0.05941281467676163}, {'X': 0.6588925719261169, 'Y': 0.6280174851417542, 'Z': -0.03530286252498627}, {'X': 0.6657395958900452, 'Y': 0.5395473837852478, 'Z': -0.04282539710402489}, {'X': 0.6673294305801392, 'Y': 0.47976768016815186, 'Z': -0.05533907189965248}, {'X': 0.6622483134269714, 'Y': 0.4152449071407318, 'Z': -0.06481078267097473}]
[{'X': 0.6246260404586792, 'Y': 0.8613351583480835, 'Z': -5.402787064667791e-05}, {'X': 0.5717589855194092, 'Y': 0.8212682604789734, 'Z': 0.020184537395834923}, {'X': 0.5400230288505554, 'Y': 0.7470177412033081, 'Z': 0.033881351351737976}, {'X': 0.5237792730331421, 'Y': 0.6979710459709167, 'Z': 0.03595095872879028}, {'X': 0.5162548422813416, 'Y': 0.6790781021118164, 'Z': 0.036884408444166183}, {'X': 0.5757550597190857, 'Y': 0.622607946395874, 'Z': 0.05086153745651245}, {'X': 0.5736074447631836, 'Y': 0.52492356300354, 'Z': 0.05541457608342171}, {'X': 0.5644208788871765, 'Y': 0.4713209271430969, 'Z': 0.05324883386492729}, {'X': 0.5542594790458679, 'Y': 0.4315870404243469, 'Z': 0.048264000564813614}, {'X': 0.5999761819839478, 'Y': 0.6130475401878357, 'Z': 0.02458268776535988}, {'X': 0.5898634791374207, 'Y': 0.5259292125701904, 'Z': 0.011486935429275036}, {'X': 0.568289577960968, 'Y': 0.49838829040527344, 'Z': -0.011541694402694702}, {'X': 0.5505316257476807, 'Y': 0.4892444908618927, 'Z': -0.02761869877576828}, {'X': 0.6245008707046509, 'Y': 0.616554856300354, 'Z': -0.004645689390599728}, {'X': 0.6157127618789673, 'Y': 0.5250920057296753, 'Z': -0.014689965173602104}, {'X': 0.5884490609169006, 'Y': 0.48974674940109253, 'Z': -0.027678232640028}, {'X': 0.5622289776802063, 'Y': 0.47305798530578613, 'Z': -0.03597190976142883}, {'X': 0.6525743007659912, 'Y': 0.6321126818656921, 'Z': -0.03591885790228844}, {'X': 0.6609160900115967, 'Y': 0.5373874306678772, 'Z': -0.0420931912958622}, {'X': 0.6629898548126221, 'Y': 0.47924160957336426, 'Z': -0.04810161516070366}, {'X': 0.6588979959487915, 'Y': 0.4189632534980774, 'Z': -0.05293715000152588}]
[{'X': 0.6272237300872803, 'Y': 0.859613299369812, 'Z': -2.709314321691636e-05}, {'X': 0.5734462141990662, 'Y': 0.8177014589309692, 'Z': 0.025105327367782593}, {'X': 0.5394275188446045, 'Y': 0.746478259563446, 'Z': 0.03906852751970291}, {'X': 0.5208584070205688, 'Y': 0.696429967880249, 'Z': 0.04182690754532814}, {'X': 0.5142783522605896, 'Y': 0.6811054348945618, 'Z': 0.04208419844508171}, {'X': 0.5727527737617493, 'Y': 0.6128877401351929, 'Z': 0.06228431686758995}, {'X': 0.5656875967979431, 'Y': 0.5342079401016235, 'Z': 0.07116314023733139}, {'X': 0.5543981790542603, 'Y': 0.49645987153053284, 'Z': 0.06941772997379303}, {'X': 0.544773519039154, 'Y': 0.47272491455078125, 'Z': 0.0677638128399849}, {'X': 0.5958097577095032, 'Y': 0.5997623205184937, 'Z': 0.036922160536050797}, {'X': 0.5846133828163147, 'Y': 0.5033342838287354, 'Z': 0.043501049280166626}, {'X': 0.5675182938575745, 'Y': 0.4554395079612732, 'Z': 0.03650695085525513}, {'X': 0.5518821477890015, 'Y': 0.4183761477470398, 'Z': 0.02901427447795868}, {'X': 0.6206814050674438, 'Y': 0.6029475927352905, 'Z': 0.006911048665642738}, {'X': 0.6100150942802429, 'Y': 0.5148558020591736, 'Z': 0.004903670400381088}, {'X': 0.5868387818336487, 'Y': 0.48216283321380615, 'Z': -0.008068283088505268}, {'X': 0.5640847086906433, 'Y': 0.4644200801849365, 'Z': -0.017210353165864944}, {'X': 0.6497211456298828, 'Y': 0.6191294193267822, 'Z': -0.02351103536784649}, {'X': 0.6592706441879272, 'Y': 0.5348084568977356, 'Z': -0.02702435851097107}, {'X': 0.6621211171150208, 'Y': 0.47823941707611084, 'Z': -0.0350615568459034}, {'X': 0.6592063903808594, 'Y': 0.41688454151153564, 'Z': -0.041865598410367966}]
