[{'X': 0.7507691979408264, 'Y': 0.8694573044776917, 'Z': -3.41613485943526e-05}, {'X': 0.6698715686798096, 'Y': 0.8333253860473633, 'Z': 0.025367842987179756}, {'X': 0.6150211095809937, 'Y': 0.7407693266868591, 'Z': 0.031128153204917908}, {'X': 0.5802487730979919, 'Y': 0.6526071429252625, 'Z': 0.032979488372802734}, {'X': 0.5430518388748169, 'Y': 0.6074209809303284, 'Z': 0.03839797526597977}, {'X': 0.6552667021751404, 'Y': 0.5797373056411743, 'Z': 0.00962816271930933}, {'X': 0.6325199604034424, 'Y': 0.4472956657409668, 'Z': 0.014900850132107735}, {'X': 0.6214369535446167, 'Y': 0.3701744079589844, 'Z': 0.02063973806798458}, {'X': 0.6106541752815247, 'Y': 0.3074212372303009, 'Z': 0.023599285632371902}, {'X': 0.7001651525497437, 'Y': 0.5582923293113708, 'Z': 0.0006280767265707254}, {'X': 0.6750330328941345, 'Y': 0.4029598534107208, 'Z': 0.001513390801846981}, {'X': 0.6614011526107788, 'Y': 0.31316784024238586, 'Z': -0.0014863645192235708}, {'X': 0.6512109637260437, 'Y': 0.24155783653259277, 'Z': -0.005597015377134085}, {'X': 0.7463861703872681, 'Y': 0.5644822716712952, 'Z': -0.002756975358352065}, {'X': 0.7275896072387695, 'Y': 0.41931068897247314, 'Z': 0.0014448434812948108}, {'X': 0.7128375172615051, 'Y': 0.3340637981891632, 'Z': 0.002150506479665637}, {'X': 0.6989700198173523, 'Y': 0.26810023188591003, 'Z': 0.0024455226957798004}, {'X': 0.7930739521980286, 'Y': 0.5943899750709534, 'Z': -0.0007642466225661337}, {'X': 0.7860504388809204, 'Y': 0.4926021695137024, 'Z': -0.0013768902281299233}, {'X': 0.7772520780563354, 'Y': 0.4418568015098572, 'Z': -0.0042339107021689415}, {'X': 0.764610767364502, 'Y': 0.4051722288131714, 'Z': -0.005105683114379644}]
[{'X': 0.7612887024879456, 'Y': 0.8491436243057251, 'Z': -1.693566628091503e-05}, {'X': 0.6795598864555359, 'Y': 0.8165386915206909, 'Z': 0.01457647979259491}, {'X': 0.6204996109008789, 'Y': 0.728245735168457, 'Z': 0.01608661748468876}, {'X': 0.5838229656219482, 'Y': 0.6417645215988159, 'Z': 0.012010561302304268}, {'X': 0.5480872392654419, 'Y': 0.5934571623802185, 'Z': 0.009239104576408863}, {'X': 0.6548935174942017, 'Y': 0.5614249110221863, 'Z': 0.012344970367848873}, {'X': 0.6326675415039062, 'Y': 0.4294416308403015, 'Z': 0.014459341764450073}, {'X': 0.6226546764373779, 'Y': 0.35113781690597534, 'Z': 0.01692093349993229}, {'X': 0.6143710017204285, 'Y': 0.2857682406902313, 'Z': 0.019578304141759872}, {'X': 0.6982173919677734, 'Y': 0.5390433669090271, 'Z': 0.004538777284324169}, {'X': 0.6771382689476013, 'Y': 0.38734331727027893, 'Z': 0.006463746540248394}, {'X': 0.6658363938331604, 'Y': 0.30016374588012695, 'Z': 0.0008439358789473772}, {'X': 0.6565793752670288, 'Y': 0.2288324534893036, 'Z': -0.004376968368887901}, {'X': 0.7431108355522156, 'Y': 0.5449624061584473, 'Z': 9.047034836839885e-05}, {'X': 0.7287245988845825, 'Y': 0.40492478013038635, 'Z': 0.00411199638620019}, {'X': 0.7159151434898376, 'Y': 0.3256756067276001, 'Z': 0.00045021955156698823}, {'X': 0.7036797404289246, 'Y': 0.26626887917518616, 'Z': -0.0028061845805495977}, {'X': 0.7888741493225098, 'Y': 0.5730397701263428, 'Z': -0.001774887554347515}, {'X': 0.7858121991157532, 'Y': 0.476008802652359, 'Z': -0.0006956986617296934}, {'X': 0.7786572575569153, 'Y': 0.4274446666240692, 'Z': -0.005197914317250252}, {'X': 0.7677471041679382, 'Y': 0.39305251836776733, 'Z': -0.007494260556995869}]
[{'X': 0.7549052238464355, 'Y': 0.8316553831100464, 'Z': -1.7058298908523284e-05}, {'X': 0.6766871213912964, 'Y': 0.8061454892158508, 'Z': 0.029714534059166908}, {'X': 0.621660590171814, 'Y': 0.718967854976654, 'Z': 0.04073049873113632}, {'X': 0.5833606123924255, 'Y': 0.6346319317817688, 'Z': 0.047657281160354614}, {'X': 0.5462669134140015, 'Y': 0.5916514992713928, 'Z': 0.0574847050011158}, {'X': 0.6578389406204224, 'Y': 0.5567677021026611, 'Z': 0.02164260856807232}, {'X': 0.6346735954284668, 'Y': 0.4223162829875946, 'Z': 0.03164435923099518}, {'X': 0.6236780881881714, 'Y': 0.34410732984542847, 'Z': 0.037736523896455765}, {'X': 0.6142742037773132, 'Y': 0.2835389971733093, 'Z': 0.04089953005313873}, {'X': 0.7011662721633911, 'Y': 0.5329915881156921, 'Z': 0.013434926979243755}, {'X': 0.6775527596473694, 'Y': 0.38457953929901123, 'Z': 0.018231550231575966}, {'X': 0.6637380719184875, 'Y': 0.2936843931674957, 'Z': 0.016064874827861786}, {'X': 0.6543134450912476, 'Y': 0.22534656524658203, 'Z': 0.012001588940620422}, {'X': 0.7475222945213318, 'Y': 0.5386561751365662, 'Z': 0.011136791668832302}, {'X': 0.7299086451530457, 'Y': 0.39457643032073975, 'Z': 0.018003057688474655}, {'X': 0.7152602672576904, 'Y': 0.30748024582862854, 'Z': 0.016610756516456604}, {'X': 0.702279269695282, 'Y': 0.24178552627563477, 'Z': 0.01692822203040123}, {'X': 0.7943317890167236, 'Y': 0.5692548155784607, 'Z': 0.015608126297593117}, {'X': 0.7884780764579773, 'Y': 0.47007012367248535, 'Z': 0.020647071301937103}, {'X': 0.7818421125411987, 'Y': 0.41939717531204224, 'Z': 0.020768212154507637}, {'X': 0.7723179459571838, 'Y': 0.3842933475971222, 'Z': 0.02160058729350567}]
[{'X': 0.756964921951294, 'Y': 0.8130866289138794, 'Z': -3.206123074050993e-05}, {'X': 0.6808850765228271, 'Y': 0.7903386950492859, 'Z': 0.013929104432463646}, {'X': 0.6246097087860107, 'Y': 0.7082280516624451, 'Z': 0.0141576724126935}, {'X': 0.5869879126548767, 'Y': 0.624389111995697, 'Z': 0.012590560130774975}, {'X': 0.5495301485061646, 'Y': 0.5817723274230957, 'Z': 0.011995176784694195}, {'X': 0.6598585247993469, 'Y': 0.5426416397094727, 'Z': -0.008838992565870285}, {'X': 0.6364291906356812, 'Y': 0.41068631410598755, 'Z': -0.0111671332269907}, {'X': 0.6242713332176208, 'Y': 0.3321351110935211, 'Z': -0.012198115698993206}, {'X': 0.6137431263923645, 'Y': 0.2688263952732086, 'Z': -0.013937260024249554}, {'X': 0.704495370388031, 'Y': 0.5184522271156311, 'Z': -0.014259221963584423}, {'X': 0.6797608733177185, 'Y': 0.3736122250556946, 'Z': -0.01660098321735859}, {'X': 0.6643250584602356, 'Y': 0.2834726870059967, 'Z': -0.02490430884063244}, {'X': 0.6530582904815674, 'Y': 0.21422669291496277, 'Z': -0.03660059720277786}, {'X': 0.7514088749885559, 'Y': 0.5248969793319702, 'Z': -0.01487103383988142}, {'X': 0.7329594492912292, 'Y': 0.3869531452655792, 'Z': -0.016231274232268333}, {'X': 0.7183201909065247, 'Y': 0.30069154500961304, 'Z': -0.02355159819126129}, {'X': 0.7049161791801453, 'Y': 0.23356056213378906, 'Z': -0.02958456054329872}, {'X': 0.7986819744110107, 'Y': 0.5553703904151917, 'Z': -0.010641869157552719}, {'X': 0.7920322418212891, 'Y': 0.4560236930847168, 'Z': -0.011470513418316841}, {'X': 0.7842974066734314, 'Y': 0.4004915654659271, 'Z': -0.017571525648236275}, {'X': 0.772728681564331, 'Y': 0.3584202826023102, 'Z': -0.024662598967552185}]
[{'X': 0.7590811848640442, 'Y': 0.800075888633728, 'Z': -3.216432378394529e-05}, {'X': 0.6808395981788635, 'Y': 0.7756777405738831, 'Z': 0.03156796842813492}, {'X': 0.624932587146759, 'Y': 0.6934316754341125, 'Z': 0.04112726077437401}, {'X': 0.5857219696044922, 'Y': 0.6136518716812134, 'Z': 0.047456804662942886}, {'X': 0.5473971366882324, 'Y': 0.5776734352111816, 'Z': 0.0563640221953392}, {'X': 0.66031813621521, 'Y': 0.5318451523780823, 'Z': 0.015333790332078934}, {'X': 0.6352571249008179, 'Y': 0.4009028673171997, 'Z': 0.020198147743940353}, {'X': 0.6233566403388977, 'Y': 0.3240245580673218, 'Z': 0.02324529178440571}, {'X': 0.6144630908966064, 'Y': 0.2649957239627838, 'Z': 0.02676365338265896}, {'X': 0.7038357257843018, 'Y': 0.5079714059829712, 'Z': 0.007345248479396105}, {'X': 0.6787729263305664, 'Y': 0.35922154784202576, 'Z': 0.009217250160872936}, {'X': 0.6638586521148682, 'Y': 0.26948776841163635, 'Z': 0.00819823332130909}, {'X': 0.6544510126113892, 'Y': 0.20115244388580322, 'Z': 0.005584729369729757}, {'X': 0.7494023442268372, 'Y': 0.5115914344787598, 'Z': 0.005914830602705479}, {'X': 0.7311562299728394, 'Y': 0.3696737587451935, 'Z': 0.010644935071468353}, {'X': 0.7157872915267944, 'Y': 0.2845005691051483, 'Z': 0.009732521139085293}, {'X': 0.7035072445869446, 'Y': 0.21848809719085693, 'Z': 0.011024067178368568}, {'X': 0.7951119542121887, 'Y': 0.5380154848098755, 'Z': 0.010869245044887066}, {'X': 0.7874854207038879, 'Y': 0.439329594373703, 'Z': 0.01838742196559906}, {'X': 0.779134213924408, 'Y': 0.38893961906433105, 'Z': 0.019460473209619522}, {'X': 0.7691291570663452, 'Y': 0.35272881388664246, 'Z': 0.020588189363479614}]
[{'X': 0.7599956393241882, 'Y': 0.8126195669174194, 'Z': -3.0415136279771104e-05}, {'X': 0.681913435459137, 'Y': 0.779220461845398, 'Z': 0.04150697588920593}, {'X': 0.6267611384391785, 'Y': 0.6937648057937622, 'Z': 0.05537530034780502}, {'X': 0.5883100032806396, 'Y': 0.6135172247886658, 'Z': 0.06564663350582123}, {'X': 0.552619457244873, 'Y': 0.5772168636322021, 'Z': 0.07911817729473114}, {'X': 0.6593917012214661, 'Y': 0.5329544544219971, 'Z': 0.03032366931438446}, {'X': 0.6329872012138367, 'Y': 0.3979034721851349, 'Z': 0.04257221519947052}, {'X': 0.6209191083908081, 'Y': 0.32088610529899597, 'Z': 0.05024021491408348}, {'X': 0.6114979386329651, 'Y': 0.26317769289016724, 'Z': 0.05610796436667442}, {'X': 0.7035807967185974, 'Y': 0.5072878003120422, 'Z': 0.020693883299827576}, {'X': 0.6794952154159546, 'Y': 0.35335013270378113, 'Z': 0.026673829182982445}, {'X': 0.665496289730072, 'Y': 0.26436612010002136, 'Z': 0.03013358637690544}, {'X': 0.6570184826850891, 'Y': 0.1948336958885193, 'Z': 0.03334300220012665}, {'X': 0.7501627206802368, 'Y': 0.509044885635376, 'Z': 0.018485097214579582}, {'X': 0.7329733967781067, 'Y': 0.36114197969436646, 'Z': 0.028106918558478355}, {'X': 0.71739661693573, 'Y': 0.27600356936454773, 'Z': 0.03573017194867134}, {'X': 0.7042216062545776, 'Y': 0.21148237586021423, 'Z': 0.045379042625427246}, {'X': 0.796601414680481, 'Y': 0.5355745553970337, 'Z': 0.02405250258743763}, {'X': 0.790153443813324, 'Y': 0.43464723229408264, 'Z': 0.03499913588166237}, {'X': 0.7838844060897827, 'Y': 0.3835121691226959, 'Z': 0.04223790392279625}, {'X': 0.7741640210151672, 'Y': 0.3476579189300537, 'Z': 0.04985744506120682}]
[{'X': 0.7537952065467834, 'Y': 0.7629414796829224, 'Z': -4.716321200248785e-05}, {'X': 0.6819556951522827, 'Y': 0.7452675104141235, 'Z': 0.013724932447075844}, {'X': 0.6304502487182617, 'Y': 0.6694360375404358, 'Z': 0.018121592700481415}, {'X': 0.5930999517440796, 'Y': 0.5915257930755615, 'Z': 0.019738931208848953}, {'X': 0.5580414533615112, 'Y': 0.5527200698852539, 'Z': 0.02306303195655346}, {'X': 0.6654502153396606, 'Y': 0.5151391625404358, 'Z': 0.005762859247624874}, {'X': 0.6405493021011353, 'Y': 0.38904690742492676, 'Z': -0.000873411598149687}, {'X': 0.6269640922546387, 'Y': 0.31147170066833496, 'Z': -0.011929357424378395}, {'X': 0.6157329678535461, 'Y': 0.2488996684551239, 'Z': -0.022578837350010872}, {'X': 0.7064222693443298, 'Y': 0.4909292161464691, 'Z': -0.0036443837452679873}, {'X': 0.6856223344802856, 'Y': 0.35343337059020996, 'Z': -0.011104126460850239}, {'X': 0.6705483794212341, 'Y': 0.25913116335868835, 'Z': -0.0317695178091526}, {'X': 0.6586360931396484, 'Y': 0.18646425008773804, 'Z': -0.0509357675909996}, {'X': 0.750471293926239, 'Y': 0.4978569746017456, 'Z': -0.010091442614793777}, {'X': 0.737381100654602, 'Y': 0.35999464988708496, 'Z': -0.017060047015547752}, {'X': 0.7247412800788879, 'Y': 0.269391804933548, 'Z': -0.03507696092128754}, {'X': 0.7116605043411255, 'Y': 0.19766733050346375, 'Z': -0.04665548354387283}, {'X': 0.7955684661865234, 'Y': 0.5302358269691467, 'Z': -0.011838571168482304}, {'X': 0.7956970930099487, 'Y': 0.4324162006378174, 'Z': -0.019131973385810852}, {'X': 0.791617214679718, 'Y': 0.3762701749801636, 'Z': -0.028262818232178688}, {'X': 0.7810275554656982, 'Y': 0.32991737127304077, 'Z': -0.03606263920664787}]
[{'X': 0.758394718170166, 'Y': 0.7624815106391907, 'Z': -5.739828338846564e-05}, {'X': 0.6821659207344055, 'Y': 0.7420694828033447, 'Z': 0.03286925330758095}, {'X': 0.6300168037414551, 'Y': 0.6649088263511658, 'Z': 0.04671071469783783}, {'X': 0.591129720211029, 'Y': 0.5885990858078003, 'Z': 0.05706540867686272}, {'X': 0.5573487281799316, 'Y': 0.5537706017494202, 'Z': 0.0696401372551918}, {'X': 0.66600102186203, 'Y': 0.5089796781539917, 'Z': 0.024002641439437866}, {'X': 0.6404967308044434, 'Y': 0.38193827867507935, 'Z': 0.03254406526684761}, {'X': 0.6280130743980408, 'Y': 0.3052804172039032, 'Z': 0.034244246780872345}, {'X': 0.6189129948616028, 'Y': 0.24604827165603638, 'Z': 0.03367343917489052}, {'X': 0.7086042165756226, 'Y': 0.4846116900444031, 'Z': 0.015788841992616653}, {'X': 0.6865536570549011, 'Y': 0.34433311223983765, 'Z': 0.020377805456519127}, {'X': 0.6715846061706543, 'Y': 0.2529984712600708, 'Z': 0.012636887840926647}, {'X': 0.6615033745765686, 'Y': 0.1851121485233307, 'Z': 0.004603396635502577}, {'X': 0.753328263759613, 'Y': 0.48874908685684204, 'Z': 0.013474945910274982}, {'X': 0.7386934757232666, 'Y': 0.34969964623451233, 'Z': 0.018194830045104027}, {'X': 0.7253770232200623, 'Y': 0.26045045256614685, 'Z': 0.012552897445857525}, {'X': 0.7140733003616333, 'Y': 0.19184809923171997, 'Z': 0.011000524275004864}, {'X': 0.7978838682174683, 'Y': 0.5168629288673401, 'Z': 0.01793602481484413}, {'X': 0.7946191430091858, 'Y': 0.416642963886261, 'Z': 0.02470201626420021}, {'X': 0.7886092662811279, 'Y': 0.36114001274108887, 'Z': 0.026063112542033195}, {'X': 0.7786127924919128, 'Y': 0.31819990277290344, 'Z': 0.0274491086602211}]
[{'X': 0.752311646938324, 'Y': 0.7391311526298523, 'Z': -9.507985669188201e-05}, {'X': 0.6802794337272644, 'Y': 0.7330421805381775, 'Z': 0.025182297453284264}, {'X': 0.6294631361961365, 'Y': 0.6519492268562317, 'Z': 0.04141677916049957}, {'X': 0.5937016606330872, 'Y': 0.5809794664382935, 'Z': 0.051225218921899796}, {'X': 0.5616495609283447, 'Y': 0.5530861616134644, 'Z': 0.06236664578318596}, {'X': 0.6643707156181335, 'Y': 0.4988172948360443, 'Z': 0.03362884372472763}, {'X': 0.640466034412384, 'Y': 0.37846019864082336, 'Z': 0.041540440171957016}, {'X': 0.6300297975540161, 'Y': 0.3020826578140259, 'Z': 0.04447506368160248}, {'X': 0.6217076182365417, 'Y': 0.24267064034938812, 'Z': 0.04387379065155983}, {'X': 0.7064804434776306, 'Y': 0.4695436358451843, 'Z': 0.024158690124750137}, {'X': 0.6842705607414246, 'Y': 0.33252522349357605, 'Z': 0.03084399178624153}, {'X': 0.6705690026283264, 'Y': 0.24443119764328003, 'Z': 0.0252209585160017}, {'X': 0.6628578305244446, 'Y': 0.18106085062026978, 'Z': 0.022610142827033997}, {'X': 0.7504010200500488, 'Y': 0.46827322244644165, 'Z': 0.01769961416721344}, {'X': 0.7330155372619629, 'Y': 0.33233898878097534, 'Z': 0.022456150501966476}, {'X': 0.720633864402771, 'Y': 0.2486794888973236, 'Z': 0.02149767428636551}, {'X': 0.7090816497802734, 'Y': 0.18820491433143616, 'Z': 0.02217300981283188}, {'X': 0.7949995398521423, 'Y': 0.4911877512931824, 'Z': 0.014704701490700245}, {'X': 0.7852065563201904, 'Y': 0.3960258960723877, 'Z': 0.01202278770506382}, {'X': 0.772789716720581, 'Y': 0.37320762872695923, 'Z': 0.013287544250488281}, {'X': 0.7581402063369751, 'Y': 0.37843990325927734, 'Z': 0.017901543527841568}]
[{'X': 0.7653384208679199, 'Y': 0.7484224438667297, 'Z': -9.258604404749349e-05}, {'X': 0.6883751749992371, 'Y': 0.7346624732017517, 'Z': 0.023260898888111115}, {'X': 0.6316077709197998, 'Y': 0.6482241153717041, 'Z': 0.04712202772498131}, {'X': 0.5931212902069092, 'Y': 0.5750865340232849, 'Z': 0.06445743888616562}, {'X': 0.5646064877510071, 'Y': 0.5394856333732605, 'Z': 0.08156324923038483}, {'X': 0.6658050417900085, 'Y': 0.49928510189056396, 'Z': 0.06003885343670845}, {'X': 0.6415332555770874, 'Y': 0.38701754808425903, 'Z': 0.07597681134939194}, {'X': 0.6311541795730591, 'Y': 0.3126332759857178, 'Z': 0.08202114701271057}, {'X': 0.6231498718261719, 'Y': 0.251233845949173, 'Z': 0.08499366044998169}, {'X': 0.7061389088630676, 'Y': 0.46272873878479004, 'Z': 0.04847220331430435}, {'X': 0.6859743595123291, 'Y': 0.33499640226364136, 'Z': 0.06543512642383575}, {'X': 0.6721588373184204, 'Y': 0.24940946698188782, 'Z': 0.06619945168495178}, {'X': 0.6648679375648499, 'Y': 0.18551930785179138, 'Z': 0.07189905643463135}, {'X': 0.7479665875434875, 'Y': 0.455472856760025, 'Z': 0.037228234112262726}, {'X': 0.7368279695510864, 'Y': 0.3334910273551941, 'Z': 0.051632948219776154}, {'X': 0.7253248691558838, 'Y': 0.26455676555633545, 'Z': 0.053143665194511414}, {'X': 0.7128576636314392, 'Y': 0.2091335654258728, 'Z': 0.055309273302555084}, {'X': 0.7915348410606384, 'Y': 0.47273480892181396, 'Z': 0.027352334931492805}, {'X': 0.7812404632568359, 'Y': 0.4287653863430023, 'Z': 0.020245082676410675}, {'X': 0.7739080786705017, 'Y': 0.4637407064437866, 'Z': 0.011585931293666363}, {'X': 0.7666517496109009, 'Y': 0.5019655227661133, 'Z': 0.012656732462346554}]
[{'X': 0.7509642243385315, 'Y': 0.7361196279525757, 'Z': -0.0001037796973832883}, {'X': 0.6854943633079529, 'Y': 0.7276890277862549, 'Z': -0.004610356409102678}, {'X': 0.6303603053092957, 'Y': 0.6437270641326904, 'Z': 0.003836028277873993}, {'X': 0.5957038402557373, 'Y': 0.5724308490753174, 'Z': 0.005037850700318813}, {'X': 0.5652114748954773, 'Y': 0.5399701595306396, 'Z': 0.0012664825189858675}, {'X': 0.6682382225990295, 'Y': 0.49686554074287415, 'Z': 0.02552093379199505}, {'X': 0.6505975127220154, 'Y': 0.3849226236343384, 'Z': 0.0307611096650362}, {'X': 0.6390531063079834, 'Y': 0.31828129291534424, 'Z': 0.02831980213522911}, {'X': 0.6285008788108826, 'Y': 0.26311415433883667, 'Z': 0.023277856409549713}, {'X': 0.7075909376144409, 'Y': 0.4796893000602722, 'Z': 0.004569231066852808}, {'X': 0.69183349609375, 'Y': 0.34522175788879395, 'Z': 0.002425015438348055}, {'X': 0.6755426526069641, 'Y': 0.2585802674293518, 'Z': -0.00944634061306715}, {'X': 0.6649512052536011, 'Y': 0.19134926795959473, 'Z': -0.0195807795971632}, {'X': 0.7478005290031433, 'Y': 0.496847927570343, 'Z': -0.02093425951898098}, {'X': 0.7371435761451721, 'Y': 0.38128605484962463, 'Z': -0.05030534416437149}, {'X': 0.717673122882843, 'Y': 0.3425183892250061, 'Z': -0.08141571283340454}, {'X': 0.7028101682662964, 'Y': 0.3161444664001465, 'Z': -0.09383194148540497}, {'X': 0.7881494164466858, 'Y': 0.5312471985816956, 'Z': -0.044095344841480255}, {'X': 0.7696326971054077, 'Y': 0.48099350929260254, 'Z': -0.10693605244159698}, {'X': 0.7503128051757812, 'Y': 0.5197811722755432, 'Z': -0.13942483067512512}, {'X': 0.7363671660423279, 'Y': 0.5629164576530457, 'Z': -0.14843477308750153}]
