[{'X': 0.5953192710876465, 'Y': 0.6875101327896118, 'Z': -1.0738963283074554e-05}, {'X': 0.5576320886611938, 'Y': 0.6936049461364746, 'Z': 0.0141278812661767}, {'X': 0.5332663059234619, 'Y': 0.6554431915283203, 'Z': 0.025786595419049263}, {'X': 0.5238436460494995, 'Y': 0.6202778816223145, 'Z': 0.0278719924390316}, {'X': 0.5211739540100098, 'Y': 0.5901156663894653, 'Z': 0.032977331429719925}, {'X': 0.5433903932571411, 'Y': 0.599419355392456, 'Z': 0.058482587337493896}, {'X': 0.5247758030891418, 'Y': 0.5697386264801025, 'Z': 0.04784290865063667}, {'X': 0.5090072751045227, 'Y': 0.5819777250289917, 'Z': 0.03222891688346863}, {'X': 0.49798280000686646, 'Y': 0.6039668321609497, 'Z': 0.019104069098830223}, {'X': 0.5551972985267639, 'Y': 0.5849884152412415, 'Z': 0.04342088848352432}, {'X': 0.52925705909729, 'Y': 0.5536543726921082, 'Z': 0.02842424251139164}, {'X': 0.5119547247886658, 'Y': 0.5852303504943848, 'Z': 0.004479485563933849}, {'X': 0.5036184787750244, 'Y': 0.6221528649330139, 'Z': -0.008473691530525684}, {'X': 0.5700172781944275, 'Y': 0.5749872326850891, 'Z': 0.02471214160323143}, {'X': 0.5415716171264648, 'Y': 0.5490399599075317, 'Z': 0.00783618912100792}, {'X': 0.5290669202804565, 'Y': 0.5897020101547241, 'Z': -0.0100982915610075}, {'X': 0.5264010429382324, 'Y': 0.628429114818573, 'Z': -0.016807574778795242}, {'X': 0.5858413577079773, 'Y': 0.5667994618415833, 'Z': 0.006464944686740637}, {'X': 0.5577002167701721, 'Y': 0.5501846075057983, 'Z': -0.007556474767625332}, {'X': 0.5449210405349731, 'Y': 0.5798365473747253, 'Z': -0.01661301963031292}, {'X': 0.5403035283088684, 'Y': 0.6087937951087952, 'Z': -0.020663559436798096}]
[{'X': 0.5916622281074524, 'Y': 0.6897400617599487, 'Z': -4.14515534430393e-06}, {'X': 0.5557704567909241, 'Y': 0.6919499039649963, 'Z': 0.01096995547413826}, {'X': 0.5314741730690002, 'Y': 0.6484255790710449, 'Z': 0.02051352709531784}, {'X': 0.5218707323074341, 'Y': 0.6096554398536682, 'Z': 0.020557250827550888}, {'X': 0.5156218409538269, 'Y': 0.5776718258857727, 'Z': 0.02252584509551525}, {'X': 0.5414382219314575, 'Y': 0.5992116928100586, 'Z': 0.05210505425930023}, {'X': 0.5224239826202393, 'Y': 0.5730534791946411, 'Z': 0.03781529888510704}, {'X': 0.5074569582939148, 'Y': 0.5875051617622375, 'Z': 0.020781705155968666}, {'X': 0.4964825510978699, 'Y': 0.6094933152198792, 'Z': 0.008035666309297085}, {'X': 0.5532706379890442, 'Y': 0.5838879346847534, 'Z': 0.038286324590444565}, {'X': 0.5269123315811157, 'Y': 0.5549108982086182, 'Z': 0.021163983270525932}, {'X': 0.5108266472816467, 'Y': 0.589013934135437, 'Z': -0.0031503308564424515}, {'X': 0.5029636025428772, 'Y': 0.6267151832580566, 'Z': -0.015413643792271614}, {'X': 0.5683446526527405, 'Y': 0.5744608640670776, 'Z': 0.020828237757086754}, {'X': 0.5394860506057739, 'Y': 0.5495777130126953, 'Z': 0.0016297819092869759}, {'X': 0.5272104740142822, 'Y': 0.5911217927932739, 'Z': -0.016281507909297943}, {'X': 0.524267315864563, 'Y': 0.631333589553833, 'Z': -0.022487927228212357}, {'X': 0.5846697688102722, 'Y': 0.5674946904182434, 'Z': 0.003395810490474105}, {'X': 0.5571048259735107, 'Y': 0.5536822080612183, 'Z': -0.011726797558367252}, {'X': 0.5447216629981995, 'Y': 0.5844361186027527, 'Z': -0.020593520253896713}, {'X': 0.5400151610374451, 'Y': 0.6154946684837341, 'Z': -0.02380562014877796}]
[{'X': 0.5851791501045227, 'Y': 0.6904570460319519, 'Z': -8.62642718857387e-06}, {'X': 0.5520105361938477, 'Y': 0.6918314695358276, 'Z': 0.011778467334806919}, {'X': 0.5279790163040161, 'Y': 0.6493595838546753, 'Z': 0.024402230978012085}, {'X': 0.5204789638519287, 'Y': 0.6107654571533203, 'Z': 0.027617095038294792}, {'X': 0.5161746740341187, 'Y': 0.5781726241111755, 'Z': 0.03437592089176178}, {'X': 0.5410301685333252, 'Y': 0.6067707538604736, 'Z': 0.06040804833173752}, {'X': 0.5228459239006042, 'Y': 0.5813946723937988, 'Z': 0.046746328473091125}, {'X': 0.5076475143432617, 'Y': 0.595344603061676, 'Z': 0.029315711930394173}, {'X': 0.49668169021606445, 'Y': 0.6170617938041687, 'Z': 0.01665765605866909}, {'X': 0.5522138476371765, 'Y': 0.5899268388748169, 'Z': 0.047110747545957565}, {'X': 0.5274132490158081, 'Y': 0.5613023638725281, 'Z': 0.029361693188548088}, {'X': 0.5114702582359314, 'Y': 0.5960015058517456, 'Z': 0.003654510946944356}, {'X': 0.5060350894927979, 'Y': 0.6352352499961853, 'Z': -0.008339714258909225}, {'X': 0.5672300457954407, 'Y': 0.5778375864028931, 'Z': 0.029178809374570847}, {'X': 0.5376814007759094, 'Y': 0.5496276021003723, 'Z': 0.008488844148814678}, {'X': 0.5266782641410828, 'Y': 0.5935797691345215, 'Z': -0.00979185663163662}, {'X': 0.5267468094825745, 'Y': 0.6341285109519958, 'Z': -0.01375260017812252}, {'X': 0.5830746293067932, 'Y': 0.5666176080703735, 'Z': 0.012084280140697956}, {'X': 0.5551244020462036, 'Y': 0.550446629524231, 'Z': -0.004172039218246937}, {'X': 0.5447900891304016, 'Y': 0.5842043161392212, 'Z': -0.012619610875844955}, {'X': 0.5437931418418884, 'Y': 0.6147294640541077, 'Z': -0.013687617145478725}]
[{'X': 0.5919382572174072, 'Y': 0.6875449419021606, 'Z': -1.218368470290443e-05}, {'X': 0.5561559200286865, 'Y': 0.6906141638755798, 'Z': 0.014872449450194836}, {'X': 0.5326293706893921, 'Y': 0.6495876312255859, 'Z': 0.027210278436541557}, {'X': 0.5238932967185974, 'Y': 0.6136795282363892, 'Z': 0.029571833088994026}, {'X': 0.5195958018302917, 'Y': 0.5871621370315552, 'Z': 0.03427356109023094}, {'X': 0.5431563258171082, 'Y': 0.60211181640625, 'Z': 0.05799295753240585}, {'X': 0.5236989855766296, 'Y': 0.574866771697998, 'Z': 0.04416780173778534}, {'X': 0.5079485177993774, 'Y': 0.5912452340126038, 'Z': 0.02566300705075264}, {'X': 0.4969143271446228, 'Y': 0.6168851852416992, 'Z': 0.011470758356153965}, {'X': 0.5556166768074036, 'Y': 0.5867694020271301, 'Z': 0.042693495750427246}, {'X': 0.5287243127822876, 'Y': 0.5592455863952637, 'Z': 0.02688453160226345}, {'X': 0.5112313032150269, 'Y': 0.5930429697036743, 'Z': 0.001609071739949286}, {'X': 0.5033391118049622, 'Y': 0.6319425106048584, 'Z': -0.011581541039049625}, {'X': 0.5708397626876831, 'Y': 0.5761789679527283, 'Z': 0.02386130578815937}, {'X': 0.5402214527130127, 'Y': 0.5467400550842285, 'Z': 0.00718633783981204}, {'X': 0.5254070162773132, 'Y': 0.5865595936775208, 'Z': -0.01114201731979847}, {'X': 0.5207909345626831, 'Y': 0.6258484125137329, 'Z': -0.017840828746557236}, {'X': 0.5864973664283752, 'Y': 0.567330002784729, 'Z': 0.005556055810302496}, {'X': 0.5568875670433044, 'Y': 0.5492467880249023, 'Z': -0.008244075812399387}, {'X': 0.5435497760772705, 'Y': 0.5810108780860901, 'Z': -0.0167235117405653}, {'X': 0.5383352637290955, 'Y': 0.6116185784339905, 'Z': -0.02051663026213646}]
[{'X': 0.5955092906951904, 'Y': 0.6813212037086487, 'Z': -3.657834213299793e-06}, {'X': 0.5551814436912537, 'Y': 0.6867700219154358, 'Z': 0.016024261713027954}, {'X': 0.5292962193489075, 'Y': 0.6483027935028076, 'Z': 0.03165976703166962}, {'X': 0.5205062031745911, 'Y': 0.6105986833572388, 'Z': 0.03744685649871826}, {'X': 0.5179746747016907, 'Y': 0.5799696445465088, 'Z': 0.04611801356077194}, {'X': 0.5433456897735596, 'Y': 0.5994647741317749, 'Z': 0.06532076001167297}, {'X': 0.5232582688331604, 'Y': 0.5669346451759338, 'Z': 0.05335406959056854}, {'X': 0.5055829882621765, 'Y': 0.5780866146087646, 'Z': 0.034798379987478256}, {'X': 0.49357736110687256, 'Y': 0.6004747748374939, 'Z': 0.020183347165584564}, {'X': 0.5566533207893372, 'Y': 0.5832010507583618, 'Z': 0.05029214918613434}, {'X': 0.5298910737037659, 'Y': 0.5517797470092773, 'Z': 0.03469673544168472}, {'X': 0.5108739137649536, 'Y': 0.5832831263542175, 'Z': 0.00810982845723629}, {'X': 0.5022884011268616, 'Y': 0.6206744909286499, 'Z': -0.005413924343883991}, {'X': 0.573172926902771, 'Y': 0.5715031623840332, 'Z': 0.031139284372329712}, {'X': 0.5428714752197266, 'Y': 0.539284884929657, 'Z': 0.015145678073167801}, {'X': 0.5274497270584106, 'Y': 0.5785036683082581, 'Z': -0.004627290181815624}, {'X': 0.5226699113845825, 'Y': 0.6165971159934998, 'Z': -0.011133682914078236}, {'X': 0.5911389589309692, 'Y': 0.5607498288154602, 'Z': 0.012586916796863079}, {'X': 0.5629670023918152, 'Y': 0.5376057624816895, 'Z': -0.0014085965231060982}, {'X': 0.5492161512374878, 'Y': 0.5671431422233582, 'Z': -0.011899248696863651}, {'X': 0.5439419746398926, 'Y': 0.5970351099967957, 'Z': -0.016029059886932373}]
[{'X': 0.5965404510498047, 'Y': 0.6626019477844238, 'Z': 6.751361524948152e-06}, {'X': 0.5593776106834412, 'Y': 0.6665744781494141, 'Z': 0.0017398725030943751}, {'X': 0.5328795909881592, 'Y': 0.6348760724067688, 'Z': 0.0034680261742323637}, {'X': 0.5201725959777832, 'Y': 0.607051432132721, 'Z': -0.001640111906453967}, {'X': 0.5086013078689575, 'Y': 0.5861547589302063, 'Z': -0.005397226195782423}, {'X': 0.5414633750915527, 'Y': 0.5748308897018433, 'Z': 0.021852701902389526}, {'X': 0.5203234553337097, 'Y': 0.5482040643692017, 'Z': -0.002182705793529749}, {'X': 0.5030912756919861, 'Y': 0.5674383640289307, 'Z': -0.02520471252501011}, {'X': 0.49106529355049133, 'Y': 0.5961955785751343, 'Z': -0.0393814742565155}, {'X': 0.5561096668243408, 'Y': 0.5628257989883423, 'Z': 0.009438659064471722}, {'X': 0.5290676951408386, 'Y': 0.5379317402839661, 'Z': -0.018840305507183075}, {'X': 0.5110045075416565, 'Y': 0.5730151534080505, 'Z': -0.04526541009545326}, {'X': 0.5006661415100098, 'Y': 0.613322377204895, 'Z': -0.057985469698905945}, {'X': 0.5739620327949524, 'Y': 0.5582522749900818, 'Z': -0.005257002543658018}, {'X': 0.5465583801269531, 'Y': 0.5299649834632874, 'Z': -0.02883487567305565}, {'X': 0.5304356813430786, 'Y': 0.5662089586257935, 'Z': -0.04706833139061928}, {'X': 0.5225911736488342, 'Y': 0.6052688956260681, 'Z': -0.05339093506336212}, {'X': 0.5937598943710327, 'Y': 0.5566391944885254, 'Z': -0.0215311236679554}, {'X': 0.5720384120941162, 'Y': 0.5373328328132629, 'Z': -0.04114833474159241}, {'X': 0.5566987991333008, 'Y': 0.5621349811553955, 'Z': -0.04991099610924721}, {'X': 0.5466483235359192, 'Y': 0.5897579789161682, 'Z': -0.05518801882863045}]
[{'X': 0.5918660163879395, 'Y': 0.6751194000244141, 'Z': -6.028331426932709e-06}, {'X': 0.5507227182388306, 'Y': 0.6847440600395203, 'Z': 0.011447768658399582}, {'X': 0.5227118730545044, 'Y': 0.6475197672843933, 'Z': 0.023351475596427917}, {'X': 0.5093645453453064, 'Y': 0.6131564974784851, 'Z': 0.025490181520581245}, {'X': 0.4992492198944092, 'Y': 0.5845988988876343, 'Z': 0.028657300397753716}, {'X': 0.5412787795066833, 'Y': 0.5952885746955872, 'Z': 0.05731076002120972}, {'X': 0.5190387964248657, 'Y': 0.5642495155334473, 'Z': 0.045084018260240555}, {'X': 0.49905914068222046, 'Y': 0.5727910399436951, 'Z': 0.0221905168145895}, {'X': 0.48344963788986206, 'Y': 0.5915641188621521, 'Z': 0.004775839392095804}, {'X': 0.5572644472122192, 'Y': 0.5816032886505127, 'Z': 0.04405512660741806}, {'X': 0.530316948890686, 'Y': 0.5487834811210632, 'Z': 0.026549628004431725}, {'X': 0.5074763298034668, 'Y': 0.5663675665855408, 'Z': -0.00534980371594429}, {'X': 0.4932405352592468, 'Y': 0.5935454368591309, 'Z': -0.024568410590291023}, {'X': 0.5758848190307617, 'Y': 0.5696755647659302, 'Z': 0.02745906077325344}, {'X': 0.5459968447685242, 'Y': 0.5325005650520325, 'Z': 0.01256093755364418}, {'X': 0.5247279405593872, 'Y': 0.5590035915374756, 'Z': -0.010933809913694859}, {'X': 0.5127917528152466, 'Y': 0.5909966230392456, 'Z': -0.023943431675434113}, {'X': 0.5966016054153442, 'Y': 0.5576940774917603, 'Z': 0.010842492803931236}, {'X': 0.5726457238197327, 'Y': 0.528123140335083, 'Z': -0.0017818731721490622}, {'X': 0.5537359118461609, 'Y': 0.5481510758399963, 'Z': -0.01215443480759859}, {'X': 0.5404654741287231, 'Y': 0.5743862390518188, 'Z': -0.019714921712875366}]
[{'X': 0.592890739440918, 'Y': 0.6961337327957153, 'Z': -1.6814989066915587e-05}, {'X': 0.5512828230857849, 'Y': 0.708187997341156, 'Z': 0.001439229235984385}, {'X': 0.5182076692581177, 'Y': 0.6626383662223816, 'Z': 0.0051006413996219635}, {'X': 0.5000383853912354, 'Y': 0.6201937198638916, 'Z': 0.0015323245897889137}, {'X': 0.4822196364402771, 'Y': 0.5799452662467957, 'Z': -0.01067732647061348}, {'X': 0.5392311215400696, 'Y': 0.5959262251853943, 'Z': 0.047560494393110275}, {'X': 0.5183516144752502, 'Y': 0.5579788088798523, 'Z': 0.036977849900722504}, {'X': 0.49677518010139465, 'Y': 0.5500514507293701, 'Z': 0.010100546292960644}, {'X': 0.4793102741241455, 'Y': 0.5565372109413147, 'Z': -0.011284771375358105}, {'X': 0.5555610060691833, 'Y': 0.5772705674171448, 'Z': 0.036360692232847214}, {'X': 0.5320029854774475, 'Y': 0.530935525894165, 'Z': 0.024638693779706955}, {'X': 0.5065984725952148, 'Y': 0.5312120914459229, 'Z': -0.010862275026738644}, {'X': 0.48748838901519775, 'Y': 0.548160195350647, 'Z': -0.038014475256204605}, {'X': 0.5745177865028381, 'Y': 0.5656821131706238, 'Z': 0.021379845216870308}, {'X': 0.5527042746543884, 'Y': 0.5126724243164062, 'Z': 0.01175001822412014}, {'X': 0.5258741974830627, 'Y': 0.5190861821174622, 'Z': -0.015549221076071262}, {'X': 0.505422830581665, 'Y': 0.5440362691879272, 'Z': -0.03571285307407379}, {'X': 0.5951874852180481, 'Y': 0.5566027164459229, 'Z': 0.005429203622043133}, {'X': 0.575485110282898, 'Y': 0.5140691995620728, 'Z': -0.004309711046516895}, {'X': 0.5546035170555115, 'Y': 0.515570878982544, 'Z': -0.01637178100645542}, {'X': 0.5360579490661621, 'Y': 0.5337921977043152, 'Z': -0.02708219550549984}]
[{'X': 0.598802387714386, 'Y': 0.6935596466064453, 'Z': -4.177336813881993e-05}, {'X': 0.5586074590682983, 'Y': 0.707446277141571, 'Z': -0.009369440376758575}, {'X': 0.5269457697868347, 'Y': 0.6639389991760254, 'Z': -0.013059938326478004}, {'X': 0.5052534341812134, 'Y': 0.6229628920555115, 'Z': -0.020232781767845154}, {'X': 0.4796985387802124, 'Y': 0.596907377243042, 'Z': -0.031735267490148544}, {'X': 0.5348314642906189, 'Y': 0.563681960105896, 'Z': 0.023504173383116722}, {'X': 0.5115540027618408, 'Y': 0.5153520703315735, 'Z': 0.019620541483163834}, {'X': 0.49194079637527466, 'Y': 0.4849030375480652, 'Z': 0.007222489919513464}, {'X': 0.4718344807624817, 'Y': 0.46289193630218506, 'Z': -0.005581401288509369}, {'X': 0.5542084574699402, 'Y': 0.5407757759094238, 'Z': 0.014347703196108341}, {'X': 0.536232590675354, 'Y': 0.48030364513397217, 'Z': 0.012503202073276043}, {'X': 0.5169271230697632, 'Y': 0.4418933391571045, 'Z': -0.0036853875499218702}, {'X': 0.4981118440628052, 'Y': 0.4186089336872101, 'Z': -0.016880104318261147}, {'X': 0.5770512819290161, 'Y': 0.5358889102935791, 'Z': 0.0019866125658154488}, {'X': 0.5665403604507446, 'Y': 0.47194981575012207, 'Z': -0.0029987634625285864}, {'X': 0.5486851930618286, 'Y': 0.44202345609664917, 'Z': -0.016996752470731735}, {'X': 0.5307664275169373, 'Y': 0.4289259910583496, 'Z': -0.029727907851338387}, {'X': 0.6037315726280212, 'Y': 0.5444300174713135, 'Z': -0.013861272484064102}, {'X': 0.5983139872550964, 'Y': 0.49055173993110657, 'Z': -0.022824104875326157}, {'X': 0.5854489207267761, 'Y': 0.468478798866272, 'Z': -0.031336136162281036}, {'X': 0.5702253580093384, 'Y': 0.4606335163116455, 'Z': -0.03742180019617081}]
[{'X': 0.607926070690155, 'Y': 0.6820384860038757, 'Z': 1.0800868039950728e-05}, {'X': 0.5656753778457642, 'Y': 0.7001156210899353, 'Z': -0.011868836358189583}, {'X': 0.5330068469047546, 'Y': 0.6697779893875122, 'Z': -0.020996758714318275}, {'X': 0.5095800757408142, 'Y': 0.6322143077850342, 'Z': -0.032330941408872604}, {'X': 0.4846072793006897, 'Y': 0.6069692373275757, 'Z': -0.046012718230485916}, {'X': 0.5361990332603455, 'Y': 0.5602710247039795, 'Z': -0.0019485880620777607}, {'X': 0.507819652557373, 'Y': 0.49561989307403564, 'Z': -0.011316808871924877}, {'X': 0.48813825845718384, 'Y': 0.4577081799507141, 'Z': -0.02353978157043457}, {'X': 0.469129741191864, 'Y': 0.4287163019180298, 'Z': -0.03369347006082535}, {'X': 0.5591561794281006, 'Y': 0.5359224677085876, 'Z': -0.007322437595576048}, {'X': 0.5369078516960144, 'Y': 0.4594658613204956, 'Z': -0.012755920179188251}, {'X': 0.5200251936912537, 'Y': 0.4087659418582916, 'Z': -0.02429632656276226}, {'X': 0.5041886568069458, 'Y': 0.37129199504852295, 'Z': -0.03452316299080849}, {'X': 0.5845804810523987, 'Y': 0.5316686034202576, 'Z': -0.013759646564722061}, {'X': 0.5673348903656006, 'Y': 0.4553433656692505, 'Z': -0.02066469006240368}, {'X': 0.5485963821411133, 'Y': 0.40854817628860474, 'Z': -0.031139550730586052}, {'X': 0.5303228497505188, 'Y': 0.3766629099845886, 'Z': -0.04155636578798294}, {'X': 0.6130711436271667, 'Y': 0.5394213795661926, 'Z': -0.023612260818481445}, {'X': 0.6024689674377441, 'Y': 0.47754979133605957, 'Z': -0.033560611307621}, {'X': 0.5882740616798401, 'Y': 0.44272100925445557, 'Z': -0.03958122059702873}, {'X': 0.5715858340263367, 'Y': 0.415448933839798, 'Z': -0.04421474039554596}]
[{'X': 0.6013591289520264, 'Y': 0.654956042766571, 'Z': 1.2069840522599407e-05}, {'X': 0.5620786547660828, 'Y': 0.6771796941757202, 'Z': 0.0021231449209153652}, {'X': 0.537530243396759, 'Y': 0.6552107334136963, 'Z': 0.003605321515351534}, {'X': 0.5216985940933228, 'Y': 0.6270633935928345, 'Z': 0.0040808445774018764}, {'X': 0.5093950629234314, 'Y': 0.6099373698234558, 'Z': 0.003384064882993698}, {'X': 0.5390663743019104, 'Y': 0.5569066405296326, 'Z': 0.0018411828204989433}, {'X': 0.5159419775009155, 'Y': 0.4912269115447998, 'Z': 0.0002968554326798767}, {'X': 0.5000706315040588, 'Y': 0.44921475648880005, 'Z': -0.007521630264818668}, {'X': 0.48293519020080566, 'Y': 0.41750603914260864, 'Z': -0.01591058075428009}, {'X': 0.5623065233230591, 'Y': 0.5315560102462769, 'Z': -0.0040767197497189045}, {'X': 0.5424879789352417, 'Y': 0.457789808511734, 'Z': -0.013277895748615265}, {'X': 0.5238202810287476, 'Y': 0.40245509147644043, 'Z': -0.030715981498360634}, {'X': 0.5049861669540405, 'Y': 0.36047762632369995, 'Z': -0.047629568725824356}, {'X': 0.5892800092697144, 'Y': 0.5253093242645264, 'Z': -0.008433351293206215}, {'X': 0.5732612013816833, 'Y': 0.44809186458587646, 'Z': -0.01787988655269146}, {'X': 0.5559876561164856, 'Y': 0.39479783177375793, 'Z': -0.03315180912613869}, {'X': 0.5378775000572205, 'Y': 0.3539765477180481, 'Z': -0.047752745449543}, {'X': 0.6198612451553345, 'Y': 0.5313752293586731, 'Z': -0.011982413940131664}, {'X': 0.613782525062561, 'Y': 0.46881628036499023, 'Z': -0.021627185866236687}, {'X': 0.6055484414100647, 'Y': 0.43037065863609314, 'Z': -0.03161931782960892}, {'X': 0.5922976136207581, 'Y': 0.39668887853622437, 'Z': -0.04057357832789421}]
