[{'X': 0.7789411544799805, 'Y': 0.8569226264953613, 'Z': -7.80436021159403e-05}, {'X': 0.6944735050201416, 'Y': 0.812764048576355, 'Z': -0.018509499728679657}, {'X': 0.6413182616233826, 'Y': 0.702833354473114, 'Z': -0.017669644206762314}, {'X': 0.615146815776825, 'Y': 0.6031122207641602, 'Z': -0.023436563089489937}, {'X': 0.5848345160484314, 'Y': 0.5428971648216248, 'Z': -0.0255273450165987}, {'X': 0.6983066201210022, 'Y': 0.5761553049087524, 'Z': 0.016066603362560272}, {'X': 0.6897769570350647, 'Y': 0.44948235154151917, 'Z': 0.012683159671723843}, {'X': 0.6919346451759338, 'Y': 0.3778500556945801, 'Z': 0.006397742312401533}, {'X': 0.6954753994941711, 'Y': 0.3174940347671509, 'Z': -0.0028329945635050535}, {'X': 0.7506729364395142, 'Y': 0.5684065818786621, 'Z': 0.0013033992145210505}, {'X': 0.7384172677993774, 'Y': 0.4232823848724365, 'Z': -0.005045298952609301}, {'X': 0.738243043422699, 'Y': 0.34116843342781067, 'Z': -0.02684631384909153}, {'X': 0.7404541373252869, 'Y': 0.27788224816322327, 'Z': -0.04395405203104019}, {'X': 0.7994993329048157, 'Y': 0.5814688801765442, 'Z': -0.01805759221315384}, {'X': 0.7914158701896667, 'Y': 0.44838425517082214, 'Z': -0.027167998254299164}, {'X': 0.7880443930625916, 'Y': 0.37455475330352783, 'Z': -0.04644477739930153}, {'X': 0.7838805317878723, 'Y': 0.3157450556755066, 'Z': -0.062401823699474335}, {'X': 0.8487830758094788, 'Y': 0.6159312725067139, 'Z': -0.03873293474316597}, {'X': 0.8442041873931885, 'Y': 0.5128185153007507, 'Z': -0.05440240353345871}, {'X': 0.8404102325439453, 'Y': 0.4518921971321106, 'Z': -0.07205424457788467}, {'X': 0.8324612379074097, 'Y': 0.39428654313087463, 'Z': -0.08457193523645401}]
[{'X': 0.7792791128158569, 'Y': 0.8598988056182861, 'Z': -8.965194137999788e-05}, {'X': 0.6933150291442871, 'Y': 0.8151130676269531, 'Z': -0.008798878639936447}, {'X': 0.6414077877998352, 'Y': 0.7040298581123352, 'Z': -0.0030389309395104647}, {'X': 0.6176296472549438, 'Y': 0.6041978597640991, 'Z': -0.006855394225567579}, {'X': 0.5869067907333374, 'Y': 0.5434888005256653, 'Z': -0.005922503303736448}, {'X': 0.6987647414207458, 'Y': 0.5790759325027466, 'Z': 0.024135107174515724}, {'X': 0.6893993616104126, 'Y': 0.4523933529853821, 'Z': 0.02052818238735199}, {'X': 0.690792977809906, 'Y': 0.38110360503196716, 'Z': 0.016484767198562622}, {'X': 0.6932467818260193, 'Y': 0.32074081897735596, 'Z': 0.009191464632749557}, {'X': 0.7496426105499268, 'Y': 0.5706432461738586, 'Z': 0.0041229212656617165}, {'X': 0.7385492920875549, 'Y': 0.4266517162322998, 'Z': -0.0042627127841115}, {'X': 0.7384791970252991, 'Y': 0.34476393461227417, 'Z': -0.026785247027873993}, {'X': 0.7400664687156677, 'Y': 0.2813713252544403, 'Z': -0.04195437207818031}, {'X': 0.7976556420326233, 'Y': 0.5834844708442688, 'Z': -0.020419200882315636}, {'X': 0.7890822291374207, 'Y': 0.45140066742897034, 'Z': -0.03150840476155281}, {'X': 0.7846541404724121, 'Y': 0.375894695520401, 'Z': -0.05113578587770462}, {'X': 0.7793535590171814, 'Y': 0.3157830834388733, 'Z': -0.06710293889045715}, {'X': 0.8462969064712524, 'Y': 0.617472767829895, 'Z': -0.045022670179605484}, {'X': 0.8398962616920471, 'Y': 0.5150790214538574, 'Z': -0.06509123742580414}, {'X': 0.8357054591178894, 'Y': 0.4530929923057556, 'Z': -0.08685329556465149}, {'X': 0.8272504210472107, 'Y': 0.3937690258026123, 'Z': -0.10122021287679672}]
[{'X': 0.7820498943328857, 'Y': 0.8588911294937134, 'Z': -8.404691470786929e-05}, {'X': 0.6968713998794556, 'Y': 0.816270112991333, 'Z': -0.015777304768562317}, {'X': 0.6422983407974243, 'Y': 0.7048620581626892, 'Z': -0.014425002969801426}, {'X': 0.6152990460395813, 'Y': 0.603464663028717, 'Z': -0.020790649577975273}, {'X': 0.5844578742980957, 'Y': 0.540852963924408, 'Z': -0.024141080677509308}, {'X': 0.6991119980812073, 'Y': 0.5771328806877136, 'Z': 0.02106265164911747}, {'X': 0.6902981996536255, 'Y': 0.4518563747406006, 'Z': 0.016580021008849144}, {'X': 0.6929859519004822, 'Y': 0.3801169991493225, 'Z': 0.008890163153409958}, {'X': 0.6968396902084351, 'Y': 0.31918320059776306, 'Z': -0.00044166951556690037}, {'X': 0.7506130933761597, 'Y': 0.5683371424674988, 'Z': 0.005976817570626736}, {'X': 0.7387615442276001, 'Y': 0.4237865209579468, 'Z': 0.0011850526789203286}, {'X': 0.7393954396247864, 'Y': 0.34155765175819397, 'Z': -0.01876218430697918}, {'X': 0.7413215041160583, 'Y': 0.2781082093715668, 'Z': -0.03396095708012581}, {'X': 0.7990450859069824, 'Y': 0.5806167125701904, 'Z': -0.014031547121703625}, {'X': 0.7896652221679688, 'Y': 0.4466189742088318, 'Z': -0.021997636184096336}, {'X': 0.785858690738678, 'Y': 0.37240365147590637, 'Z': -0.03943227604031563}, {'X': 0.7812374830245972, 'Y': 0.3134321868419647, 'Z': -0.05419626086950302}, {'X': 0.8481774926185608, 'Y': 0.6149863600730896, 'Z': -0.0349888950586319}, {'X': 0.841469943523407, 'Y': 0.5130082368850708, 'Z': -0.0505954883992672}, {'X': 0.8370533585548401, 'Y': 0.453167587518692, 'Z': -0.06846285611391068}, {'X': 0.8287848234176636, 'Y': 0.3971203863620758, 'Z': -0.08150677382946014}]
[{'X': 0.7820498943328857, 'Y': 0.8588911294937134, 'Z': -8.404691470786929e-05}, {'X': 0.6968713998794556, 'Y': 0.816270112991333, 'Z': -0.015777304768562317}, {'X': 0.6422983407974243, 'Y': 0.7048620581626892, 'Z': -0.014425002969801426}, {'X': 0.6152990460395813, 'Y': 0.603464663028717, 'Z': -0.020790649577975273}, {'X': 0.5844578742980957, 'Y': 0.540852963924408, 'Z': -0.024141080677509308}, {'X': 0.6991119980812073, 'Y': 0.5771328806877136, 'Z': 0.02106265164911747}, {'X': 0.6902981996536255, 'Y': 0.4518563747406006, 'Z': 0.016580021008849144}, {'X': 0.6929859519004822, 'Y': 0.3801169991493225, 'Z': 0.008890163153409958}, {'X': 0.6968396902084351, 'Y': 0.31918320059776306, 'Z': -0.00044166951556690037}, {'X': 0.7506130933761597, 'Y': 0.5683371424674988, 'Z': 0.005976817570626736}, {'X': 0.7387615442276001, 'Y': 0.4237865209579468, 'Z': 0.0011850526789203286}, {'X': 0.7393954396247864, 'Y': 0.34155765175819397, 'Z': -0.01876218430697918}, {'X': 0.7413215041160583, 'Y': 0.2781082093715668, 'Z': -0.03396095708012581}, {'X': 0.7990450859069824, 'Y': 0.5806167125701904, 'Z': -0.014031547121703625}, {'X': 0.7896652221679688, 'Y': 0.4466189742088318, 'Z': -0.021997636184096336}, {'X': 0.785858690738678, 'Y': 0.37240365147590637, 'Z': -0.03943227604031563}, {'X': 0.7812374830245972, 'Y': 0.3134321868419647, 'Z': -0.05419626086950302}, {'X': 0.8481774926185608, 'Y': 0.6149863600730896, 'Z': -0.0349888950586319}, {'X': 0.841469943523407, 'Y': 0.5130082368850708, 'Z': -0.0505954883992672}, {'X': 0.8370533585548401, 'Y': 0.453167587518692, 'Z': -0.06846285611391068}, {'X': 0.8287848234176636, 'Y': 0.3971203863620758, 'Z': -0.08150677382946014}]
[{'X': 0.7837397456169128, 'Y': 0.8633625507354736, 'Z': -7.609365275129676e-05}, {'X': 0.6956647634506226, 'Y': 0.8155079483985901, 'Z': -0.014703190885484219}, {'X': 0.6415248513221741, 'Y': 0.7047159671783447, 'Z': -0.01268524955958128}, {'X': 0.6151930689811707, 'Y': 0.6024720072746277, 'Z': -0.019201794639229774}, {'X': 0.5842879414558411, 'Y': 0.5389838814735413, 'Z': -0.02230110391974449}, {'X': 0.698392927646637, 'Y': 0.5762516260147095, 'Z': 0.028973594307899475}, {'X': 0.6893641352653503, 'Y': 0.4532824158668518, 'Z': 0.02284909226000309}, {'X': 0.6920247673988342, 'Y': 0.38253310322761536, 'Z': 0.014247742481529713}, {'X': 0.6955219507217407, 'Y': 0.32150664925575256, 'Z': 0.004827209282666445}, {'X': 0.7499092817306519, 'Y': 0.5673744082450867, 'Z': 0.012321293354034424}, {'X': 0.7382478713989258, 'Y': 0.42470985651016235, 'Z': 0.00536698754876852}, {'X': 0.7389664053916931, 'Y': 0.34453248977661133, 'Z': -0.016792839393019676}, {'X': 0.7413209080696106, 'Y': 0.2812865972518921, 'Z': -0.03249098360538483}, {'X': 0.7981667518615723, 'Y': 0.5801903009414673, 'Z': -0.01016987208276987}, {'X': 0.7903947234153748, 'Y': 0.4489002227783203, 'Z': -0.019433321431279182}, {'X': 0.7873570919036865, 'Y': 0.3776075839996338, 'Z': -0.038248416036367416}, {'X': 0.7830290794372559, 'Y': 0.3203434944152832, 'Z': -0.05399500951170921}, {'X': 0.847711443901062, 'Y': 0.615094780921936, 'Z': -0.033632706850767136}, {'X': 0.8411293625831604, 'Y': 0.5156430602073669, 'Z': -0.05125989392399788}, {'X': 0.8370204567909241, 'Y': 0.45650267601013184, 'Z': -0.07085978984832764}, {'X': 0.8288317918777466, 'Y': 0.3990127444267273, 'Z': -0.08414942771196365}]
[{'X': 0.7825515866279602, 'Y': 0.8632411956787109, 'Z': -7.176791405072436e-05}, {'X': 0.6960517764091492, 'Y': 0.8200265169143677, 'Z': -0.015071896836161613}, {'X': 0.6425377130508423, 'Y': 0.7053242921829224, 'Z': -0.012201185338199139}, {'X': 0.6170656681060791, 'Y': 0.6018399000167847, 'Z': -0.016917988657951355}, {'X': 0.5850238800048828, 'Y': 0.5384148359298706, 'Z': -0.018242157995700836}, {'X': 0.7008132338523865, 'Y': 0.5777029395103455, 'Z': 0.026573382318019867}, {'X': 0.6910706758499146, 'Y': 0.4530138075351715, 'Z': 0.023053856566548347}, {'X': 0.6933004260063171, 'Y': 0.38111674785614014, 'Z': 0.016301611438393593}, {'X': 0.6970576047897339, 'Y': 0.31945377588272095, 'Z': 0.007654483895748854}, {'X': 0.7520004510879517, 'Y': 0.5687370896339417, 'Z': 0.011134384199976921}, {'X': 0.7400121092796326, 'Y': 0.4241902828216553, 'Z': 0.007530549541115761}, {'X': 0.740824818611145, 'Y': 0.3419802188873291, 'Z': -0.011460073292255402}, {'X': 0.7432670593261719, 'Y': 0.27737200260162354, 'Z': -0.026541419327259064}, {'X': 0.8002139925956726, 'Y': 0.580863356590271, 'Z': -0.009645756334066391}, {'X': 0.7904995679855347, 'Y': 0.44705450534820557, 'Z': -0.01777002401649952}, {'X': 0.7864620685577393, 'Y': 0.37351083755493164, 'Z': -0.0358496718108654}, {'X': 0.7819631695747375, 'Y': 0.3145987391471863, 'Z': -0.05058635398745537}, {'X': 0.8492984771728516, 'Y': 0.6157154440879822, 'Z': -0.031468573957681656}, {'X': 0.8424121141433716, 'Y': 0.5154547691345215, 'Z': -0.047808848321437836}, {'X': 0.837674081325531, 'Y': 0.4562242031097412, 'Z': -0.06668764352798462}, {'X': 0.8290331959724426, 'Y': 0.3998251259326935, 'Z': -0.08067072927951813}]
[{'X': 0.7842634916305542, 'Y': 0.8634757995605469, 'Z': -6.0966624005232006e-05}, {'X': 0.6986196637153625, 'Y': 0.8168079853057861, 'Z': -0.014138933271169662}, {'X': 0.6461447477340698, 'Y': 0.702921986579895, 'Z': -0.012221014127135277}, {'X': 0.6211796998977661, 'Y': 0.5993697047233582, 'Z': -0.01931932382285595}, {'X': 0.5903561115264893, 'Y': 0.5341058969497681, 'Z': -0.020743973553180695}, {'X': 0.7014830112457275, 'Y': 0.5782136917114258, 'Z': 0.024085242301225662}, {'X': 0.6914342641830444, 'Y': 0.4526865482330322, 'Z': 0.01829606108367443}, {'X': 0.69222491979599, 'Y': 0.3809633255004883, 'Z': 0.01437786128371954}, {'X': 0.6936067342758179, 'Y': 0.31854069232940674, 'Z': 0.008245028555393219}, {'X': 0.7525049448013306, 'Y': 0.5693821310997009, 'Z': 0.0053773499093949795}, {'X': 0.7412270307540894, 'Y': 0.42382508516311646, 'Z': -0.003970154095441103}, {'X': 0.7409749627113342, 'Y': 0.34396928548812866, 'Z': -0.026095718145370483}, {'X': 0.7422902584075928, 'Y': 0.2804892659187317, 'Z': -0.04062407463788986}, {'X': 0.7999895215034485, 'Y': 0.5809739232063293, 'Z': -0.018673792481422424}, {'X': 0.7922536730766296, 'Y': 0.4476259648799896, 'Z': -0.03152111545205116}, {'X': 0.7877922654151917, 'Y': 0.3752540349960327, 'Z': -0.051424309611320496}, {'X': 0.7813583016395569, 'Y': 0.3169269263744354, 'Z': -0.06859122961759567}, {'X': 0.8487222194671631, 'Y': 0.6138414144515991, 'Z': -0.04328904673457146}, {'X': 0.8420979976654053, 'Y': 0.5127109289169312, 'Z': -0.06461632996797562}, {'X': 0.8380941152572632, 'Y': 0.4524567723274231, 'Z': -0.08765116333961487}, {'X': 0.8290417194366455, 'Y': 0.3932228982448578, 'Z': -0.1032576784491539}]
[{'X': 0.7726344466209412, 'Y': 0.8574376106262207, 'Z': -6.885067705297843e-05}, {'X': 0.6960061192512512, 'Y': 0.8025316596031189, 'Z': 0.008161159232258797}, {'X': 0.6549773812294006, 'Y': 0.6965440511703491, 'Z': 0.010833480395376682}, {'X': 0.6330193877220154, 'Y': 0.6056702136993408, 'Z': 0.0034660305827856064}, {'X': 0.6059660315513611, 'Y': 0.541002094745636, 'Z': -0.002231582999229431}, {'X': 0.7126058340072632, 'Y': 0.5786105394363403, 'Z': 0.040494196116924286}, {'X': 0.7028388977050781, 'Y': 0.46532362699508667, 'Z': 0.028473416343331337}, {'X': 0.6979665160179138, 'Y': 0.39567339420318604, 'Z': 0.011946062557399273}, {'X': 0.6965470910072327, 'Y': 0.3339456021785736, 'Z': -0.002947272500023246}, {'X': 0.7541401386260986, 'Y': 0.5721283555030823, 'Z': 0.011651227250695229}, {'X': 0.74330735206604, 'Y': 0.4442732036113739, 'Z': 0.002772844862192869}, {'X': 0.7368118762969971, 'Y': 0.3641134798526764, 'Z': -0.02247428707778454}, {'X': 0.7325078248977661, 'Y': 0.29578858613967896, 'Z': -0.044003501534461975}, {'X': 0.7970698475837708, 'Y': 0.5873771905899048, 'Z': -0.02262130193412304}, {'X': 0.7895623445510864, 'Y': 0.4657893776893616, 'Z': -0.03278689831495285}, {'X': 0.7823386788368225, 'Y': 0.3912663459777832, 'Z': -0.05587031692266464}, {'X': 0.7764092683792114, 'Y': 0.3276253938674927, 'Z': -0.07470967620611191}, {'X': 0.8427934050559998, 'Y': 0.6258905529975891, 'Z': -0.055167049169540405}, {'X': 0.8389335870742798, 'Y': 0.5280177593231201, 'Z': -0.0727793499827385}, {'X': 0.8327324986457825, 'Y': 0.4676237106323242, 'Z': -0.09541716426610947}, {'X': 0.8256945013999939, 'Y': 0.4085298180580139, 'Z': -0.1137877106666565}]
[{'X': 0.7726344466209412, 'Y': 0.8574376106262207, 'Z': -6.885067705297843e-05}, {'X': 0.6960061192512512, 'Y': 0.8025316596031189, 'Z': 0.008161159232258797}, {'X': 0.6549773812294006, 'Y': 0.6965440511703491, 'Z': 0.010833480395376682}, {'X': 0.6330193877220154, 'Y': 0.6056702136993408, 'Z': 0.0034660305827856064}, {'X': 0.6059660315513611, 'Y': 0.541002094745636, 'Z': -0.002231582999229431}, {'X': 0.7126058340072632, 'Y': 0.5786105394363403, 'Z': 0.040494196116924286}, {'X': 0.7028388977050781, 'Y': 0.46532362699508667, 'Z': 0.028473416343331337}, {'X': 0.6979665160179138, 'Y': 0.39567339420318604, 'Z': 0.011946062557399273}, {'X': 0.6965470910072327, 'Y': 0.3339456021785736, 'Z': -0.002947272500023246}, {'X': 0.7541401386260986, 'Y': 0.5721283555030823, 'Z': 0.011651227250695229}, {'X': 0.74330735206604, 'Y': 0.4442732036113739, 'Z': 0.002772844862192869}, {'X': 0.7368118762969971, 'Y': 0.3641134798526764, 'Z': -0.02247428707778454}, {'X': 0.7325078248977661, 'Y': 0.29578858613967896, 'Z': -0.044003501534461975}, {'X': 0.7970698475837708, 'Y': 0.5873771905899048, 'Z': -0.02262130193412304}, {'X': 0.7895623445510864, 'Y': 0.4657893776893616, 'Z': -0.03278689831495285}, {'X': 0.7823386788368225, 'Y': 0.3912663459777832, 'Z': -0.05587031692266464}, {'X': 0.7764092683792114, 'Y': 0.3276253938674927, 'Z': -0.07470967620611191}, {'X': 0.8427934050559998, 'Y': 0.6258905529975891, 'Z': -0.055167049169540405}, {'X': 0.8389335870742798, 'Y': 0.5280177593231201, 'Z': -0.0727793499827385}, {'X': 0.8327324986457825, 'Y': 0.4676237106323242, 'Z': -0.09541716426610947}, {'X': 0.8256945013999939, 'Y': 0.4085298180580139, 'Z': -0.1137877106666565}]
[{'X': 0.7700108289718628, 'Y': 0.8497443199157715, 'Z': -8.62894012243487e-05}, {'X': 0.7044535279273987, 'Y': 0.7851877808570862, 'Z': 0.021687399595975876}, {'X': 0.6630926728248596, 'Y': 0.6700547337532043, 'Z': 0.026676613837480545}, {'X': 0.6380005478858948, 'Y': 0.5877488255500793, 'Z': 0.017666125670075417}, {'X': 0.6178741455078125, 'Y': 0.5211640000343323, 'Z': 0.009262721054255962}, {'X': 0.7114145159721375, 'Y': 0.5809680819511414, 'Z': 0.040871761739254}, {'X': 0.6903756856918335, 'Y': 0.5225074291229248, 'Z': -0.0014692987315356731}, {'X': 0.68152916431427, 'Y': 0.5815375447273254, 'Z': -0.03723735734820366}, {'X': 0.6844627857208252, 'Y': 0.6310912370681763, 'Z': -0.05004437267780304}, {'X': 0.7457267045974731, 'Y': 0.570860743522644, 'Z': 0.00017058815865311772}, {'X': 0.7343329191207886, 'Y': 0.44569313526153564, 'Z': -0.007636002264916897}, {'X': 0.7228145003318787, 'Y': 0.38061630725860596, 'Z': -0.02443215623497963}, {'X': 0.712287187576294, 'Y': 0.3248143494129181, 'Z': -0.034066129475831985}, {'X': 0.7836954593658447, 'Y': 0.5878078937530518, 'Z': -0.04374612867832184}, {'X': 0.7756860256195068, 'Y': 0.45576655864715576, 'Z': -0.06042987108230591}, {'X': 0.7626252770423889, 'Y': 0.39031660556793213, 'Z': -0.07532663643360138}, {'X': 0.751715898513794, 'Y': 0.33599355816841125, 'Z': -0.07767210155725479}, {'X': 0.8246287703514099, 'Y': 0.6278668642044067, 'Z': -0.08798808604478836}, {'X': 0.8257888555526733, 'Y': 0.5262908339500427, 'Z': -0.10054871439933777}, {'X': 0.8184047341346741, 'Y': 0.4658297300338745, 'Z': -0.10744962841272354}, {'X': 0.8087807297706604, 'Y': 0.4062947630882263, 'Z': -0.10922928899526596}]
[{'X': 0.7734024524688721, 'Y': 0.854930579662323, 'Z': -0.00010259386181132868}, {'X': 0.7063535451889038, 'Y': 0.7960765361785889, 'Z': 0.00977087952196598}, {'X': 0.662468671798706, 'Y': 0.6882398128509521, 'Z': 0.004963302053511143}, {'X': 0.6380705833435059, 'Y': 0.6064165830612183, 'Z': -0.01348918303847313}, {'X': 0.6231268048286438, 'Y': 0.5349713563919067, 'Z': -0.028525926172733307}, {'X': 0.7070533633232117, 'Y': 0.606619119644165, 'Z': 0.04362313449382782}, {'X': 0.6799402832984924, 'Y': 0.5412531495094299, 'Z': -0.007518624421209097}, {'X': 0.6741839051246643, 'Y': 0.5977040529251099, 'Z': -0.05290893465280533}, {'X': 0.6818583011627197, 'Y': 0.6466014981269836, 'Z': -0.06924375891685486}, {'X': 0.7427916526794434, 'Y': 0.5917665362358093, 'Z': 0.01248033158481121}, {'X': 0.7254961729049683, 'Y': 0.47523248195648193, 'Z': 0.006380952429026365}, {'X': 0.7132054567337036, 'Y': 0.41457027196884155, 'Z': -0.009917095303535461}, {'X': 0.7043849229812622, 'Y': 0.3605859875679016, 'Z': -0.018038563430309296}, {'X': 0.7822738289833069, 'Y': 0.6007542610168457, 'Z': -0.02475675567984581}, {'X': 0.7687883973121643, 'Y': 0.47836336493492126, 'Z': -0.03337977081537247}, {'X': 0.7531432509422302, 'Y': 0.41760241985321045, 'Z': -0.042459629476070404}, {'X': 0.7401763796806335, 'Y': 0.3630676865577698, 'Z': -0.042471256107091904}, {'X': 0.8240531086921692, 'Y': 0.6299051642417908, 'Z': -0.06433268636465073}, {'X': 0.8176533579826355, 'Y': 0.5331861972808838, 'Z': -0.0691918134689331}, {'X': 0.8059946894645691, 'Y': 0.4775429368019104, 'Z': -0.069058857858181}, {'X': 0.7928550243377686, 'Y': 0.4207034111022949, 'Z': -0.06513616442680359}]
