[{'X': 0.796199381351471, 'Y': 0.8010371923446655, 'Z': -0.00011619822907960042}, {'X': 0.7235201001167297, 'Y': 0.7531338334083557, 'Z': -0.006597285158932209}, {'X': 0.6880677342414856, 'Y': 0.6530822515487671, 'Z': 0.011866631917655468}, {'X': 0.6747523546218872, 'Y': 0.5612578988075256, 'Z': 0.022357681766152382}, {'X': 0.6537741422653198, 'Y': 0.5059542059898376, 'Z': 0.04001222178339958}, {'X': 0.7225000858306885, 'Y': 0.5807684659957886, 'Z': 0.035684291273355484}, {'X': 0.713442325592041, 'Y': 0.47734493017196655, 'Z': 0.035892944782972336}, {'X': 0.7142025828361511, 'Y': 0.41724318265914917, 'Z': 0.03460203856229782}, {'X': 0.715519905090332, 'Y': 0.36457961797714233, 'Z': 0.02839135192334652}, {'X': 0.7636975646018982, 'Y': 0.5699718594551086, 'Z': 0.0257448498159647}, {'X': 0.7560736536979675, 'Y': 0.45163097977638245, 'Z': 0.025502413511276245}, {'X': 0.7560718655586243, 'Y': 0.38990285992622375, 'Z': 0.005586364772170782}, {'X': 0.7578168511390686, 'Y': 0.34017860889434814, 'Z': -0.00967707671225071}, {'X': 0.8039141893386841, 'Y': 0.576449453830719, 'Z': 0.011578594334423542}, {'X': 0.7996823787689209, 'Y': 0.46950778365135193, 'Z': 0.00894089974462986}, {'X': 0.7990480065345764, 'Y': 0.41054391860961914, 'Z': -0.007120220456272364}, {'X': 0.7976359128952026, 'Y': 0.36067402362823486, 'Z': -0.02152719721198082}, {'X': 0.845284104347229, 'Y': 0.5998893976211548, 'Z': -0.0036487719044089317}, {'X': 0.8403428196907043, 'Y': 0.5181179046630859, 'Z': -0.015218403190374374}, {'X': 0.8385113477706909, 'Y': 0.46904391050338745, 'Z': -0.029058439657092094}, {'X': 0.8353868126869202, 'Y': 0.41780877113342285, 'Z': -0.03804532065987587}]
[{'X': 0.7923471331596375, 'Y': 0.7986214756965637, 'Z': -0.00011835878831334412}, {'X': 0.7199000120162964, 'Y': 0.7519434690475464, 'Z': -0.0003410979697946459}, {'X': 0.68658047914505, 'Y': 0.6525049805641174, 'Z': 0.022310344502329826}, {'X': 0.6741935014724731, 'Y': 0.5610223412513733, 'Z': 0.037350770086050034}, {'X': 0.6543640494346619, 'Y': 0.5070159435272217, 'Z': 0.057681843638420105}, {'X': 0.7200230360031128, 'Y': 0.5795351266860962, 'Z': 0.0469939261674881}, {'X': 0.7108063697814941, 'Y': 0.47665855288505554, 'Z': 0.05448288470506668}, {'X': 0.7114171981811523, 'Y': 0.41498804092407227, 'Z': 0.058832962065935135}, {'X': 0.7137101888656616, 'Y': 0.3623647093772888, 'Z': 0.05604977905750275}, {'X': 0.7616301774978638, 'Y': 0.5685059428215027, 'Z': 0.03454400971531868}, {'X': 0.7551940083503723, 'Y': 0.44870227575302124, 'Z': 0.03472971171140671}, {'X': 0.7559574842453003, 'Y': 0.38473474979400635, 'Z': 0.014399011619389057}, {'X': 0.7590689063072205, 'Y': 0.3362124264240265, 'Z': 0.00011476935469545424}, {'X': 0.8032803535461426, 'Y': 0.575358510017395, 'Z': 0.01801716722548008}, {'X': 0.7983385324478149, 'Y': 0.4668689966201782, 'Z': 0.016101697459816933}, {'X': 0.7959674596786499, 'Y': 0.4053637981414795, 'Z': -0.0016254524234682322}, {'X': 0.794079065322876, 'Y': 0.3550218343734741, 'Z': -0.01502152532339096}, {'X': 0.8458616733551025, 'Y': 0.5993053317070007, 'Z': 0.0020558494143188}, {'X': 0.8415431380271912, 'Y': 0.5166746377944946, 'Z': -0.00903012603521347}, {'X': 0.8392035961151123, 'Y': 0.4654830992221832, 'Z': -0.024121511727571487}, {'X': 0.8350262641906738, 'Y': 0.4151652455329895, 'Z': -0.03238861262798309}]
[{'X': 0.7923471331596375, 'Y': 0.7986214756965637, 'Z': -0.00011835878831334412}, {'X': 0.7199000120162964, 'Y': 0.7519434690475464, 'Z': -0.0003410979697946459}, {'X': 0.68658047914505, 'Y': 0.6525049805641174, 'Z': 0.022310344502329826}, {'X': 0.6741935014724731, 'Y': 0.5610223412513733, 'Z': 0.037350770086050034}, {'X': 0.6543640494346619, 'Y': 0.5070159435272217, 'Z': 0.057681843638420105}, {'X': 0.7200230360031128, 'Y': 0.5795351266860962, 'Z': 0.0469939261674881}, {'X': 0.7108063697814941, 'Y': 0.47665855288505554, 'Z': 0.05448288470506668}, {'X': 0.7114171981811523, 'Y': 0.41498804092407227, 'Z': 0.058832962065935135}, {'X': 0.7137101888656616, 'Y': 0.3623647093772888, 'Z': 0.05604977905750275}, {'X': 0.7616301774978638, 'Y': 0.5685059428215027, 'Z': 0.03454400971531868}, {'X': 0.7551940083503723, 'Y': 0.44870227575302124, 'Z': 0.03472971171140671}, {'X': 0.7559574842453003, 'Y': 0.38473474979400635, 'Z': 0.014399011619389057}, {'X': 0.7590689063072205, 'Y': 0.3362124264240265, 'Z': 0.00011476935469545424}, {'X': 0.8032803535461426, 'Y': 0.575358510017395, 'Z': 0.01801716722548008}, {'X': 0.7983385324478149, 'Y': 0.4668689966201782, 'Z': 0.016101697459816933}, {'X': 0.7959674596786499, 'Y': 0.4053637981414795, 'Z': -0.0016254524234682322}, {'X': 0.794079065322876, 'Y': 0.3550218343734741, 'Z': -0.01502152532339096}, {'X': 0.8458616733551025, 'Y': 0.5993053317070007, 'Z': 0.0020558494143188}, {'X': 0.8415431380271912, 'Y': 0.5166746377944946, 'Z': -0.00903012603521347}, {'X': 0.8392035961151123, 'Y': 0.4654830992221832, 'Z': -0.024121511727571487}, {'X': 0.8350262641906738, 'Y': 0.4151652455329895, 'Z': -0.03238861262798309}]
[{'X': 0.7948960065841675, 'Y': 0.7998959422111511, 'Z': -0.00010775205737445503}, {'X': 0.723060131072998, 'Y': 0.7531007528305054, 'Z': -0.007769840769469738}, {'X': 0.688140869140625, 'Y': 0.6529328227043152, 'Z': 0.00801070500165224}, {'X': 0.6750540733337402, 'Y': 0.5622351765632629, 'Z': 0.015133324079215527}, {'X': 0.6536960601806641, 'Y': 0.505898118019104, 'Z': 0.027757568284869194}, {'X': 0.723027229309082, 'Y': 0.5790615677833557, 'Z': 0.03592705726623535}, {'X': 0.713916003704071, 'Y': 0.4774690270423889, 'Z': 0.03697745501995087}, {'X': 0.7141416668891907, 'Y': 0.4186110496520996, 'Z': 0.03552748262882233}, {'X': 0.715458333492279, 'Y': 0.36583513021469116, 'Z': 0.029187781736254692}, {'X': 0.763779878616333, 'Y': 0.5698651075363159, 'Z': 0.024558810517191887}, {'X': 0.7568086981773376, 'Y': 0.452379435300827, 'Z': 0.02614090032875538}, {'X': 0.7564671635627747, 'Y': 0.3903425931930542, 'Z': 0.0057195150293409824}, {'X': 0.7584517598152161, 'Y': 0.3393317461013794, 'Z': -0.009975955821573734}, {'X': 0.8036311864852905, 'Y': 0.5769889950752258, 'Z': 0.00864727608859539}, {'X': 0.7994704842567444, 'Y': 0.47008684277534485, 'Z': 0.006310651544481516}, {'X': 0.7976679801940918, 'Y': 0.408408522605896, 'Z': -0.011925208382308483}, {'X': 0.7964335083961487, 'Y': 0.35479044914245605, 'Z': -0.0280744768679142}, {'X': 0.8450376987457275, 'Y': 0.6006267070770264, 'Z': -0.008061687462031841}, {'X': 0.8408637046813965, 'Y': 0.5188231468200684, 'Z': -0.021064849570393562}, {'X': 0.8387291431427002, 'Y': 0.4698241055011749, 'Z': -0.036642152816057205}, {'X': 0.8355976939201355, 'Y': 0.41878384351730347, 'Z': -0.04700637608766556}]
[{'X': 0.7923345565795898, 'Y': 0.8008503913879395, 'Z': -8.822400559438393e-05}, {'X': 0.7204267978668213, 'Y': 0.753061830997467, 'Z': 0.003054568311199546}, {'X': 0.6872600317001343, 'Y': 0.654248833656311, 'Z': 0.02423025853931904}, {'X': 0.674087643623352, 'Y': 0.5635936260223389, 'Z': 0.03628925979137421}, {'X': 0.6517741680145264, 'Y': 0.509141206741333, 'Z': 0.05360144004225731}, {'X': 0.7199384570121765, 'Y': 0.5793054699897766, 'Z': 0.042685870081186295}, {'X': 0.7113835215568542, 'Y': 0.4739907681941986, 'Z': 0.04777790978550911}, {'X': 0.7112436890602112, 'Y': 0.41287803649902344, 'Z': 0.05227125436067581}, {'X': 0.7125570178031921, 'Y': 0.36071521043777466, 'Z': 0.04932299628853798}, {'X': 0.7609450221061707, 'Y': 0.5692620277404785, 'Z': 0.026631545275449753}, {'X': 0.755756676197052, 'Y': 0.4493207037448883, 'Z': 0.023965030908584595}, {'X': 0.7567095756530762, 'Y': 0.3861047923564911, 'Z': 0.004011260811239481}, {'X': 0.7596386671066284, 'Y': 0.3382473587989807, 'Z': -0.010164841078221798}, {'X': 0.8015400767326355, 'Y': 0.5769112706184387, 'Z': 0.006840221583843231}, {'X': 0.798011839389801, 'Y': 0.46863240003585815, 'Z': 0.0013677878305315971}, {'X': 0.795764684677124, 'Y': 0.40593865513801575, 'Z': -0.016494641080498695}, {'X': 0.793586790561676, 'Y': 0.3543723225593567, 'Z': -0.03057286888360977}, {'X': 0.8433145880699158, 'Y': 0.6016741991043091, 'Z': -0.012111605145037174}, {'X': 0.8390944004058838, 'Y': 0.5186570286750793, 'Z': -0.028300106525421143}, {'X': 0.8375301957130432, 'Y': 0.46712684631347656, 'Z': -0.046343013644218445}, {'X': 0.833796501159668, 'Y': 0.415006548166275, 'Z': -0.057089950889348984}]
[{'X': 0.792709469795227, 'Y': 0.8011489510536194, 'Z': -0.0001156427024397999}, {'X': 0.7214836478233337, 'Y': 0.7520877122879028, 'Z': -0.0014026040444150567}, {'X': 0.6858729720115662, 'Y': 0.6515192985534668, 'Z': 0.018794821575284004}, {'X': 0.6720812916755676, 'Y': 0.5591968297958374, 'Z': 0.03214419260621071}, {'X': 0.6499990224838257, 'Y': 0.5067052841186523, 'Z': 0.05196842551231384}, {'X': 0.7189287543296814, 'Y': 0.5794200301170349, 'Z': 0.03948189690709114}, {'X': 0.7092001438140869, 'Y': 0.47300198674201965, 'Z': 0.04341347515583038}, {'X': 0.7098333835601807, 'Y': 0.41242021322250366, 'Z': 0.04725125804543495}, {'X': 0.711913526058197, 'Y': 0.36071354150772095, 'Z': 0.04384707286953926}, {'X': 0.760566771030426, 'Y': 0.5689970850944519, 'Z': 0.027038415893912315}, {'X': 0.7530772089958191, 'Y': 0.44683656096458435, 'Z': 0.022456472739577293}, {'X': 0.7552420496940613, 'Y': 0.3857232928276062, 'Z': 0.0023696867283433676}, {'X': 0.7597103714942932, 'Y': 0.33908215165138245, 'Z': -0.011699153110384941}, {'X': 0.8018441200256348, 'Y': 0.5761032700538635, 'Z': 0.010925923474133015}, {'X': 0.7963529825210571, 'Y': 0.4669196903705597, 'Z': 0.005557847674936056}, {'X': 0.7955612540245056, 'Y': 0.40742066502571106, 'Z': -0.010679449886083603}, {'X': 0.7941465973854065, 'Y': 0.35791829228401184, 'Z': -0.02415701560676098}, {'X': 0.8440393805503845, 'Y': 0.599993109703064, 'Z': -0.004881478380411863}, {'X': 0.8384738564491272, 'Y': 0.517059326171875, 'Z': -0.01793125830590725}, {'X': 0.8374741673469543, 'Y': 0.46627113223075867, 'Z': -0.03198513016104698}, {'X': 0.8347843289375305, 'Y': 0.41409832239151, 'Z': -0.040231380611658096}]
[{'X': 0.790400505065918, 'Y': 0.8003177642822266, 'Z': -9.80370823526755e-05}, {'X': 0.7181876301765442, 'Y': 0.7511230111122131, 'Z': 0.00023559032706543803}, {'X': 0.6845864057540894, 'Y': 0.6530562043190002, 'Z': 0.020360564813017845}, {'X': 0.6709617376327515, 'Y': 0.5627152919769287, 'Z': 0.03312785550951958}, {'X': 0.6525824666023254, 'Y': 0.5070522427558899, 'Z': 0.051340386271476746}, {'X': 0.7195756435394287, 'Y': 0.5812193155288696, 'Z': 0.04361863061785698}, {'X': 0.7096680402755737, 'Y': 0.47687283158302307, 'Z': 0.047558292746543884}, {'X': 0.709348201751709, 'Y': 0.41609466075897217, 'Z': 0.04996802285313606}, {'X': 0.710376501083374, 'Y': 0.3638923764228821, 'Z': 0.04599810764193535}, {'X': 0.7610377073287964, 'Y': 0.571459174156189, 'Z': 0.028890864923596382}, {'X': 0.7549950480461121, 'Y': 0.44993510842323303, 'Z': 0.02596220187842846}, {'X': 0.7549285888671875, 'Y': 0.38548266887664795, 'Z': 0.004456660710275173}, {'X': 0.7572153210639954, 'Y': 0.3362044095993042, 'Z': -0.011147101409733295}, {'X': 0.8022828698158264, 'Y': 0.5794959664344788, 'Z': 0.010436785407364368}, {'X': 0.7974773645401001, 'Y': 0.46977269649505615, 'Z': 0.005864203441888094}, {'X': 0.7940335273742676, 'Y': 0.4071115553379059, 'Z': -0.013183261267840862}, {'X': 0.7909634709358215, 'Y': 0.35557278990745544, 'Z': -0.027896439656615257}, {'X': 0.8443953990936279, 'Y': 0.6044620275497437, 'Z': -0.00755017576739192}, {'X': 0.8398669362068176, 'Y': 0.5200060606002808, 'Z': -0.01981932856142521}, {'X': 0.8368680477142334, 'Y': 0.46757039427757263, 'Z': -0.035963211208581924}, {'X': 0.8316097259521484, 'Y': 0.41643571853637695, 'Z': -0.04552553966641426}]
[{'X': 0.7919952273368835, 'Y': 0.8014277219772339, 'Z': -0.00010319850116502494}, {'X': 0.7187789678573608, 'Y': 0.752082347869873, 'Z': 0.006839289329946041}, {'X': 0.6862282752990723, 'Y': 0.6534715294837952, 'Z': 0.028479011729359627}, {'X': 0.6772327423095703, 'Y': 0.5649774074554443, 'Z': 0.04164266213774681}, {'X': 0.6618372797966003, 'Y': 0.5068632960319519, 'Z': 0.05975271016359329}, {'X': 0.7220801115036011, 'Y': 0.577443540096283, 'Z': 0.05486221984028816}, {'X': 0.7158333659172058, 'Y': 0.47471898794174194, 'Z': 0.05923231318593025}, {'X': 0.7173437476158142, 'Y': 0.4163607954978943, 'Z': 0.06139872968196869}, {'X': 0.7205027341842651, 'Y': 0.37022536993026733, 'Z': 0.05928175523877144}, {'X': 0.7619600892066956, 'Y': 0.5688588619232178, 'Z': 0.03811415657401085}, {'X': 0.7563921213150024, 'Y': 0.45145171880722046, 'Z': 0.04238039255142212}, {'X': 0.7581159472465515, 'Y': 0.38667649030685425, 'Z': 0.02765323780477047}, {'X': 0.7616310715675354, 'Y': 0.336637407541275, 'Z': 0.014250797219574451}, {'X': 0.802237868309021, 'Y': 0.5776761770248413, 'Z': 0.017084607854485512}, {'X': 0.7966988682746887, 'Y': 0.47181135416030884, 'Z': 0.018587173894047737}, {'X': 0.7955889701843262, 'Y': 0.40888482332229614, 'Z': 0.004787484183907509}, {'X': 0.7956166863441467, 'Y': 0.3570084869861603, 'Z': -0.007865839637815952}, {'X': 0.8447162508964539, 'Y': 0.6026269197463989, 'Z': -0.0034636068157851696}, {'X': 0.8398311138153076, 'Y': 0.5200074911117554, 'Z': -0.010382086038589478}, {'X': 0.8374708890914917, 'Y': 0.46893832087516785, 'Z': -0.0214659683406353}, {'X': 0.834285318851471, 'Y': 0.4192676842212677, 'Z': -0.03069763071835041}]
[{'X': 0.7919952273368835, 'Y': 0.8014277219772339, 'Z': -0.00010319850116502494}, {'X': 0.7187789678573608, 'Y': 0.752082347869873, 'Z': 0.006839289329946041}, {'X': 0.6862282752990723, 'Y': 0.6534715294837952, 'Z': 0.028479011729359627}, {'X': 0.6772327423095703, 'Y': 0.5649774074554443, 'Z': 0.04164266213774681}, {'X': 0.6618372797966003, 'Y': 0.5068632960319519, 'Z': 0.05975271016359329}, {'X': 0.7220801115036011, 'Y': 0.577443540096283, 'Z': 0.05486221984028816}, {'X': 0.7158333659172058, 'Y': 0.47471898794174194, 'Z': 0.05923231318593025}, {'X': 0.7173437476158142, 'Y': 0.4163607954978943, 'Z': 0.06139872968196869}, {'X': 0.7205027341842651, 'Y': 0.37022536993026733, 'Z': 0.05928175523877144}, {'X': 0.7619600892066956, 'Y': 0.5688588619232178, 'Z': 0.03811415657401085}, {'X': 0.7563921213150024, 'Y': 0.45145171880722046, 'Z': 0.04238039255142212}, {'X': 0.7581159472465515, 'Y': 0.38667649030685425, 'Z': 0.02765323780477047}, {'X': 0.7616310715675354, 'Y': 0.336637407541275, 'Z': 0.014250797219574451}, {'X': 0.802237868309021, 'Y': 0.5776761770248413, 'Z': 0.017084607854485512}, {'X': 0.7966988682746887, 'Y': 0.47181135416030884, 'Z': 0.018587173894047737}, {'X': 0.7955889701843262, 'Y': 0.40888482332229614, 'Z': 0.004787484183907509}, {'X': 0.7956166863441467, 'Y': 0.3570084869861603, 'Z': -0.007865839637815952}, {'X': 0.8447162508964539, 'Y': 0.6026269197463989, 'Z': -0.0034636068157851696}, {'X': 0.8398311138153076, 'Y': 0.5200074911117554, 'Z': -0.010382086038589478}, {'X': 0.8374708890914917, 'Y': 0.46893832087516785, 'Z': -0.0214659683406353}, {'X': 0.834285318851471, 'Y': 0.4192676842212677, 'Z': -0.03069763071835041}]
[{'X': 0.7847909927368164, 'Y': 0.8099367618560791, 'Z': -7.957039633765817e-05}, {'X': 0.7251012325286865, 'Y': 0.7460045218467712, 'Z': 0.0005315244197845459}, {'X': 0.687933087348938, 'Y': 0.6409037113189697, 'Z': 0.003755764337256551}, {'X': 0.6744565367698669, 'Y': 0.562795102596283, 'Z': -0.00714461924508214}, {'X': 0.6780447363853455, 'Y': 0.5109487771987915, 'Z': -0.018354948610067368}, {'X': 0.7222875356674194, 'Y': 0.5834549069404602, 'Z': 0.038682013750076294}, {'X': 0.7100687026977539, 'Y': 0.519560694694519, 'Z': 0.017743179574608803}, {'X': 0.7112792730331421, 'Y': 0.5662357807159424, 'Z': -0.0021544236224144697}, {'X': 0.717039942741394, 'Y': 0.6063047051429749, 'Z': -0.00952902901917696}, {'X': 0.7589438557624817, 'Y': 0.5738765597343445, 'Z': 0.018902570009231567}, {'X': 0.7566541433334351, 'Y': 0.45135119557380676, 'Z': 0.029155133292078972}, {'X': 0.7563061714172363, 'Y': 0.39363938570022583, 'Z': 0.024693714454770088}, {'X': 0.7514287233352661, 'Y': 0.34756481647491455, 'Z': 0.02094077691435814}, {'X': 0.7975234985351562, 'Y': 0.5832753777503967, 'Z': -0.005213051103055477}, {'X': 0.7965701222419739, 'Y': 0.469218373298645, 'Z': 0.003956674598157406}, {'X': 0.7948981523513794, 'Y': 0.4106348752975464, 'Z': 0.0050090826116502285}, {'X': 0.7890191078186035, 'Y': 0.3642183840274811, 'Z': 0.004204973112791777}, {'X': 0.8365909457206726, 'Y': 0.6088428497314453, 'Z': -0.03425973653793335}, {'X': 0.8386021256446838, 'Y': 0.5221881866455078, 'Z': -0.02910030633211136}, {'X': 0.8354851007461548, 'Y': 0.47493964433670044, 'Z': -0.02505955472588539}, {'X': 0.8284714818000793, 'Y': 0.42960357666015625, 'Z': -0.022433890029788017}]
[{'X': 0.784534752368927, 'Y': 0.8231852054595947, 'Z': -0.0001039712515193969}, {'X': 0.7227771878242493, 'Y': 0.7584535479545593, 'Z': 0.00798699539154768}, {'X': 0.6832169890403748, 'Y': 0.6572040319442749, 'Z': 0.007858840748667717}, {'X': 0.6670933365821838, 'Y': 0.575109601020813, 'Z': -0.00819295272231102}, {'X': 0.6675509214401245, 'Y': 0.510521650314331, 'Z': -0.023319754749536514}, {'X': 0.7251301407814026, 'Y': 0.5921385884284973, 'Z': 0.050477296113967896}, {'X': 0.7086806893348694, 'Y': 0.5214734673500061, 'Z': 0.020433392375707626}, {'X': 0.705024778842926, 'Y': 0.5634903311729431, 'Z': -0.015058707445859909}, {'X': 0.7103289365768433, 'Y': 0.6040111780166626, 'Z': -0.031227000057697296}, {'X': 0.7612939476966858, 'Y': 0.5794716477394104, 'Z': 0.02436921000480652}, {'X': 0.7554290890693665, 'Y': 0.46090251207351685, 'Z': 0.03408406674861908}, {'X': 0.7507181763648987, 'Y': 0.39662885665893555, 'Z': 0.020004143938422203}, {'X': 0.7463206648826599, 'Y': 0.3461255431175232, 'Z': 0.010022074915468693}, {'X': 0.79944908618927, 'Y': 0.5876453518867493, 'Z': -0.0067893704399466515}, {'X': 0.7946422100067139, 'Y': 0.47078195214271545, 'Z': -0.002621108666062355}, {'X': 0.7866051197052002, 'Y': 0.4067920744419098, 'Z': -0.01062670350074768}, {'X': 0.7789759039878845, 'Y': 0.3558345437049866, 'Z': -0.014928867109119892}, {'X': 0.8389686942100525, 'Y': 0.6129505038261414, 'Z': -0.040846481919288635}, {'X': 0.8393311500549316, 'Y': 0.5217326879501343, 'Z': -0.03931877762079239}, {'X': 0.8325509428977966, 'Y': 0.4701175093650818, 'Z': -0.03941144794225693}, {'X': 0.8235601186752319, 'Y': 0.42166611552238464, 'Z': -0.03685590252280235}]
