[{'X': 0.24175524711608887, 'Y': 0.6933708190917969, 'Z': -5.307614992489107e-05}, {'X': 0.2067050039768219, 'Y': 0.6569007635116577, 'Z': -0.020591862499713898}, {'X': 0.18676239252090454, 'Y': 0.6022588610649109, 'Z': -0.02876737155020237}, {'X': 0.19576460123062134, 'Y': 0.5519373416900635, 'Z': -0.038746897131204605}, {'X': 0.2153896540403366, 'Y': 0.5286116600036621, 'Z': -0.04546815901994705}, {'X': 0.20442765951156616, 'Y': 0.5408194661140442, 'Z': 0.01855940744280815}, {'X': 0.20295141637325287, 'Y': 0.49171286821365356, 'Z': 0.015268244780600071}, {'X': 0.2066321074962616, 'Y': 0.4633735120296478, 'Z': 0.006868297234177589}, {'X': 0.21142271161079407, 'Y': 0.43646541237831116, 'Z': -5.952941864961758e-05}, {'X': 0.22952978312969208, 'Y': 0.5389261841773987, 'Z': 0.01819782145321369}, {'X': 0.2275293469429016, 'Y': 0.4860127568244934, 'Z': 0.02458803541958332}, {'X': 0.22911867499351501, 'Y': 0.45441532135009766, 'Z': 0.015094287693500519}, {'X': 0.23221039772033691, 'Y': 0.4288041591644287, 'Z': 0.005765800829976797}, {'X': 0.25124236941337585, 'Y': 0.5478941202163696, 'Z': 0.012491569854319096}, {'X': 0.25173184275627136, 'Y': 0.4982351064682007, 'Z': 0.015046139247715473}, {'X': 0.2515288293361664, 'Y': 0.4671231806278229, 'Z': 0.0018149387324228883}, {'X': 0.2517937421798706, 'Y': 0.44142723083496094, 'Z': -0.00953980814665556}, {'X': 0.27426794171333313, 'Y': 0.5675649046897888, 'Z': 0.0020141710992902517}, {'X': 0.2737202048301697, 'Y': 0.5291478633880615, 'Z': 0.001549936248920858}, {'X': 0.27289101481437683, 'Y': 0.5040078163146973, 'Z': -0.004850179422646761}, {'X': 0.271375834941864, 'Y': 0.47888022661209106, 'Z': -0.012132889591157436}]
[{'X': 0.24352706968784332, 'Y': 0.6944650411605835, 'Z': -6.062626562197693e-05}, {'X': 0.20738603174686432, 'Y': 0.6574631929397583, 'Z': -0.023304209113121033}, {'X': 0.18806931376457214, 'Y': 0.6015870571136475, 'Z': -0.03050495684146881}, {'X': 0.2002151608467102, 'Y': 0.5504095554351807, 'Z': -0.03816378116607666}, {'X': 0.2228001356124878, 'Y': 0.5273239612579346, 'Z': -0.041122984141111374}, {'X': 0.20202530920505524, 'Y': 0.5414057970046997, 'Z': 0.016286391764879227}, {'X': 0.20337925851345062, 'Y': 0.4894753098487854, 'Z': 0.011795555241405964}, {'X': 0.20782312750816345, 'Y': 0.4608840048313141, 'Z': 0.005011428147554398}, {'X': 0.21199434995651245, 'Y': 0.43601882457733154, 'Z': -0.0002237447479274124}, {'X': 0.2284425050020218, 'Y': 0.5387330055236816, 'Z': 0.01858406886458397}, {'X': 0.22865210473537445, 'Y': 0.4843735098838806, 'Z': 0.02433374524116516}, {'X': 0.2307329624891281, 'Y': 0.4521348476409912, 'Z': 0.0159798301756382}, {'X': 0.2329193502664566, 'Y': 0.4291161298751831, 'Z': 0.008208751678466797}, {'X': 0.2506100833415985, 'Y': 0.5470083951950073, 'Z': 0.015324736014008522}, {'X': 0.2525978088378906, 'Y': 0.49779266119003296, 'Z': 0.017477581277489662}, {'X': 0.25231316685676575, 'Y': 0.466848760843277, 'Z': 0.006068469025194645}, {'X': 0.25199460983276367, 'Y': 0.4434056282043457, 'Z': -0.00475840549916029}, {'X': 0.27336809039115906, 'Y': 0.5654497146606445, 'Z': 0.007261426653712988}, {'X': 0.27423444390296936, 'Y': 0.5265905857086182, 'Z': 0.005606012884527445}, {'X': 0.27349478006362915, 'Y': 0.5007915496826172, 'Z': -0.0010838187299668789}, {'X': 0.2715979218482971, 'Y': 0.4759862720966339, 'Z': -0.008585323579609394}]
[{'X': 0.2467486709356308, 'Y': 0.6970937252044678, 'Z': -5.960665657767095e-05}, {'X': 0.2089175581932068, 'Y': 0.6578707695007324, 'Z': -0.022776121273636818}, {'X': 0.19111081957817078, 'Y': 0.6011550426483154, 'Z': -0.02799946255981922}, {'X': 0.20379263162612915, 'Y': 0.5498300194740295, 'Z': -0.03427876904606819}, {'X': 0.22496362030506134, 'Y': 0.5237327218055725, 'Z': -0.03566277399659157}, {'X': 0.2055366039276123, 'Y': 0.543817400932312, 'Z': 0.022763989865779877}, {'X': 0.20618793368339539, 'Y': 0.49283477663993835, 'Z': 0.021069340407848358}, {'X': 0.2106357365846634, 'Y': 0.46404731273651123, 'Z': 0.015147834084928036}, {'X': 0.21538928151130676, 'Y': 0.4383932650089264, 'Z': 0.010307952761650085}, {'X': 0.23232805728912354, 'Y': 0.541657567024231, 'Z': 0.02718593180179596}, {'X': 0.23153959214687347, 'Y': 0.4879975914955139, 'Z': 0.037307754158973694}, {'X': 0.23359742760658264, 'Y': 0.45641815662384033, 'Z': 0.029155587777495384}, {'X': 0.23685796558856964, 'Y': 0.4317794442176819, 'Z': 0.021804120391607285}, {'X': 0.2544046640396118, 'Y': 0.5496955513954163, 'Z': 0.02608843892812729}, {'X': 0.25546371936798096, 'Y': 0.5004090666770935, 'Z': 0.03190581128001213}, {'X': 0.2554236650466919, 'Y': 0.47037625312805176, 'Z': 0.02136569656431675}, {'X': 0.2558766305446625, 'Y': 0.44617438316345215, 'Z': 0.010749537497758865}, {'X': 0.27644893527030945, 'Y': 0.5672339200973511, 'Z': 0.0204151663929224}, {'X': 0.2766130268573761, 'Y': 0.5294085144996643, 'Z': 0.021926745772361755}, {'X': 0.27570605278015137, 'Y': 0.5047195553779602, 'Z': 0.015658585354685783}, {'X': 0.2740175724029541, 'Y': 0.47941821813583374, 'Z': 0.008828775957226753}]
[{'X': 0.24555720388889313, 'Y': 0.6963000297546387, 'Z': -6.50441215839237e-05}, {'X': 0.209772527217865, 'Y': 0.6583579182624817, 'Z': -0.01830245740711689}, {'X': 0.1903330236673355, 'Y': 0.6015723347663879, 'Z': -0.024806760251522064}, {'X': 0.20546697080135345, 'Y': 0.5508443117141724, 'Z': -0.033412687480449677}, {'X': 0.2314489334821701, 'Y': 0.5297233462333679, 'Z': -0.03703513741493225}, {'X': 0.20481762290000916, 'Y': 0.5428875088691711, 'Z': 0.02069409005343914}, {'X': 0.20708756148815155, 'Y': 0.4910774230957031, 'Z': 0.016904538497328758}, {'X': 0.21136245131492615, 'Y': 0.46235227584838867, 'Z': 0.010482675395905972}, {'X': 0.21497076749801636, 'Y': 0.4375172257423401, 'Z': 0.005144917406141758}, {'X': 0.23098596930503845, 'Y': 0.5395489931106567, 'Z': 0.02027824893593788}, {'X': 0.23200765252113342, 'Y': 0.48589807748794556, 'Z': 0.027596797794103622}, {'X': 0.23411183059215546, 'Y': 0.45407864451408386, 'Z': 0.022063564509153366}, {'X': 0.23701012134552002, 'Y': 0.4301905632019043, 'Z': 0.01656833291053772}, {'X': 0.25303831696510315, 'Y': 0.5474767088890076, 'Z': 0.014619812369346619}, {'X': 0.2560039162635803, 'Y': 0.4989745318889618, 'Z': 0.01898619532585144}, {'X': 0.25649186968803406, 'Y': 0.46846750378608704, 'Z': 0.011225299909710884}, {'X': 0.2570582926273346, 'Y': 0.443955659866333, 'Z': 0.0028893882408738136}, {'X': 0.27579429745674133, 'Y': 0.5666788220405579, 'Z': 0.004065917804837227}, {'X': 0.27729934453964233, 'Y': 0.5281665325164795, 'Z': 0.004483351483941078}, {'X': 0.27676481008529663, 'Y': 0.5024555921554565, 'Z': -0.0004820768372155726}, {'X': 0.2750941514968872, 'Y': 0.4773586094379425, 'Z': -0.006255375221371651}]
[{'X': 0.24498437345027924, 'Y': 0.6924638152122498, 'Z': -5.439497545012273e-05}, {'X': 0.21078629791736603, 'Y': 0.6566628813743591, 'Z': -0.01926358975470066}, {'X': 0.1911815106868744, 'Y': 0.601902186870575, 'Z': -0.027723189443349838}, {'X': 0.20222559571266174, 'Y': 0.551491916179657, 'Z': -0.03785037249326706}, {'X': 0.22562599182128906, 'Y': 0.5304900407791138, 'Z': -0.045637618750333786}, {'X': 0.2097415030002594, 'Y': 0.5419487953186035, 'Z': 0.017029210925102234}, {'X': 0.21032768487930298, 'Y': 0.4920816421508789, 'Z': 0.012994837947189808}, {'X': 0.213904470205307, 'Y': 0.4629279673099518, 'Z': 0.005325025878846645}, {'X': 0.21797630190849304, 'Y': 0.4359353184700012, 'Z': -0.001006948295980692}, {'X': 0.23499460518360138, 'Y': 0.5402134656906128, 'Z': 0.016438167542219162}, {'X': 0.23423533141613007, 'Y': 0.4873797595500946, 'Z': 0.022760551422834396}, {'X': 0.23565605282783508, 'Y': 0.4544636011123657, 'Z': 0.014522004872560501}, {'X': 0.2380160689353943, 'Y': 0.42867690324783325, 'Z': 0.0057967426255345345}, {'X': 0.25649434328079224, 'Y': 0.5485919713973999, 'Z': 0.01134712714701891}, {'X': 0.2569839358329773, 'Y': 0.4990340769290924, 'Z': 0.014688425697386265}, {'X': 0.2567453980445862, 'Y': 0.4677135944366455, 'Z': 0.0036392665933817625}, {'X': 0.2570376694202423, 'Y': 0.44318586587905884, 'Z': -0.0066545638255774975}, {'X': 0.278951495885849, 'Y': 0.5669651627540588, 'Z': 0.0016511171124875546}, {'X': 0.27860066294670105, 'Y': 0.527471125125885, 'Z': 0.0010889212135225534}, {'X': 0.2780551314353943, 'Y': 0.50136798620224, 'Z': -0.0048436555080115795}, {'X': 0.2769656777381897, 'Y': 0.47625118494033813, 'Z': -0.011826627887785435}]
[{'X': 0.2477550059556961, 'Y': 0.7006709575653076, 'Z': -5.263723141979426e-05}, {'X': 0.21228407323360443, 'Y': 0.6584500074386597, 'Z': -0.01679750345647335}, {'X': 0.19325308501720428, 'Y': 0.6014900803565979, 'Z': -0.021442042663693428}, {'X': 0.2052118480205536, 'Y': 0.5501114726066589, 'Z': -0.028162773698568344}, {'X': 0.22950293123722076, 'Y': 0.5302777290344238, 'Z': -0.03147881105542183}, {'X': 0.20902571082115173, 'Y': 0.543686032295227, 'Z': 0.027732111513614655}, {'X': 0.21018122136592865, 'Y': 0.49344807863235474, 'Z': 0.026560433208942413}, {'X': 0.21320194005966187, 'Y': 0.46403712034225464, 'Z': 0.020167332142591476}, {'X': 0.21643508970737457, 'Y': 0.4383237659931183, 'Z': 0.014829558320343494}, {'X': 0.23479297757148743, 'Y': 0.5415707230567932, 'Z': 0.02847796119749546}, {'X': 0.23450471460819244, 'Y': 0.4880167841911316, 'Z': 0.0402446873486042}, {'X': 0.23551158607006073, 'Y': 0.4546057879924774, 'Z': 0.035069700330495834}, {'X': 0.2372184842824936, 'Y': 0.4280330538749695, 'Z': 0.027546310797333717}, {'X': 0.256954550743103, 'Y': 0.5488559007644653, 'Z': 0.0236508846282959}, {'X': 0.2584337890148163, 'Y': 0.499506413936615, 'Z': 0.0312841571867466}, {'X': 0.25784724950790405, 'Y': 0.4685577154159546, 'Z': 0.02359328232705593}, {'X': 0.25735530257225037, 'Y': 0.4438539147377014, 'Z': 0.01515501644462347}, {'X': 0.28007176518440247, 'Y': 0.566032350063324, 'Z': 0.014496630057692528}, {'X': 0.2806379795074463, 'Y': 0.5275357365608215, 'Z': 0.018532684072852135}, {'X': 0.2801516056060791, 'Y': 0.5018153190612793, 'Z': 0.016518471762537956}, {'X': 0.2783127427101135, 'Y': 0.47611749172210693, 'Z': 0.011781495064496994}]
[{'X': 0.24749045073986053, 'Y': 0.698433518409729, 'Z': -5.182476888876408e-05}, {'X': 0.2112184762954712, 'Y': 0.6576793193817139, 'Z': -0.017460940405726433}, {'X': 0.19105258584022522, 'Y': 0.5999689102172852, 'Z': -0.023650480434298515}, {'X': 0.2035565823316574, 'Y': 0.5482163429260254, 'Z': -0.031963903456926346}, {'X': 0.2298649400472641, 'Y': 0.5279349684715271, 'Z': -0.03617582842707634}, {'X': 0.2072673738002777, 'Y': 0.5408716797828674, 'Z': 0.025175271555781364}, {'X': 0.2086641937494278, 'Y': 0.4902023673057556, 'Z': 0.022313203662633896}, {'X': 0.21280866861343384, 'Y': 0.4615750014781952, 'Z': 0.01560990046709776}, {'X': 0.21704263985157013, 'Y': 0.4373634159564972, 'Z': 0.010248270817101002}, {'X': 0.23328353464603424, 'Y': 0.538701593875885, 'Z': 0.02511392906308174}, {'X': 0.2340698391199112, 'Y': 0.4859285354614258, 'Z': 0.03369927778840065}, {'X': 0.2357054203748703, 'Y': 0.4532543122768402, 'Z': 0.027665987610816956}, {'X': 0.23806029558181763, 'Y': 0.43021130561828613, 'Z': 0.02073429338634014}, {'X': 0.2551286220550537, 'Y': 0.5472824573516846, 'Z': 0.019438859075307846}, {'X': 0.25771090388298035, 'Y': 0.49956902861595154, 'Z': 0.025098035112023354}, {'X': 0.25752025842666626, 'Y': 0.4687625765800476, 'Z': 0.01723613031208515}, {'X': 0.2578323483467102, 'Y': 0.44605061411857605, 'Z': 0.007950789295136929}, {'X': 0.2775263488292694, 'Y': 0.5666221380233765, 'Z': 0.009220459498465061}, {'X': 0.279619038105011, 'Y': 0.528780460357666, 'Z': 0.01148305181413889}, {'X': 0.27955272793769836, 'Y': 0.5027855634689331, 'Z': 0.007669176906347275}, {'X': 0.27835842967033386, 'Y': 0.4778384566307068, 'Z': 0.0013750558719038963}]
[{'X': 0.24738048017024994, 'Y': 0.6966898441314697, 'Z': -5.4668525990564376e-05}, {'X': 0.21224422752857208, 'Y': 0.659246563911438, 'Z': -0.019647084176540375}, {'X': 0.19376523792743683, 'Y': 0.6019749641418457, 'Z': -0.026153044775128365}, {'X': 0.20611214637756348, 'Y': 0.5511478781700134, 'Z': -0.03470885381102562}, {'X': 0.22870948910713196, 'Y': 0.530371367931366, 'Z': -0.03973226249217987}, {'X': 0.21106016635894775, 'Y': 0.5413711667060852, 'Z': 0.023234067484736443}, {'X': 0.2113904505968094, 'Y': 0.4932585060596466, 'Z': 0.020210297778248787}, {'X': 0.21422621607780457, 'Y': 0.4655359387397766, 'Z': 0.01274891197681427}, {'X': 0.2174178510904312, 'Y': 0.4399123191833496, 'Z': 0.006655300501734018}, {'X': 0.2360931783914566, 'Y': 0.5394850969314575, 'Z': 0.02308906614780426}, {'X': 0.23574770987033844, 'Y': 0.48784759640693665, 'Z': 0.03078126162290573}, {'X': 0.23651772737503052, 'Y': 0.45653820037841797, 'Z': 0.02224639803171158}, {'X': 0.23802028596401215, 'Y': 0.43205922842025757, 'Z': 0.013839833438396454}, {'X': 0.2575182020664215, 'Y': 0.5479296445846558, 'Z': 0.01746266707777977}, {'X': 0.25882983207702637, 'Y': 0.4992845058441162, 'Z': 0.02168441005051136}, {'X': 0.25773337483406067, 'Y': 0.46892574429512024, 'Z': 0.00973219983279705}, {'X': 0.2573707699775696, 'Y': 0.4448213577270508, 'Z': -0.0012141279876232147}, {'X': 0.2797168493270874, 'Y': 0.5667833685874939, 'Z': 0.007209436502307653}, {'X': 0.2800576388835907, 'Y': 0.5291378498077393, 'Z': 0.0067201643250882626}, {'X': 0.2794172465801239, 'Y': 0.5031909942626953, 'Z': -1.5105758393474389e-05}, {'X': 0.2782553434371948, 'Y': 0.47700366377830505, 'Z': -0.00736227398738265}]
[{'X': 0.2489069700241089, 'Y': 0.6945339441299438, 'Z': -6.167192623252049e-05}, {'X': 0.21247969567775726, 'Y': 0.6571496725082397, 'Z': -0.017458472400903702}, {'X': 0.19130268692970276, 'Y': 0.6021871566772461, 'Z': -0.023945186287164688}, {'X': 0.20168116688728333, 'Y': 0.5504757165908813, 'Z': -0.03305907920002937}, {'X': 0.22445939481258392, 'Y': 0.5269652605056763, 'Z': -0.03866506740450859}, {'X': 0.2085030972957611, 'Y': 0.54178786277771, 'Z': 0.01980643719434738}, {'X': 0.21068058907985687, 'Y': 0.49165797233581543, 'Z': 0.01763906329870224}, {'X': 0.21441949903964996, 'Y': 0.4627540111541748, 'Z': 0.01188716385513544}, {'X': 0.21754509210586548, 'Y': 0.4377463161945343, 'Z': 0.006534793879836798}, {'X': 0.2343078851699829, 'Y': 0.5395302176475525, 'Z': 0.019057439640164375}, {'X': 0.23417627811431885, 'Y': 0.48636120557785034, 'Z': 0.02732461877167225}, {'X': 0.23548048734664917, 'Y': 0.45309123396873474, 'Z': 0.020643752068281174}, {'X': 0.2373386025428772, 'Y': 0.42681044340133667, 'Z': 0.013222618028521538}, {'X': 0.2565920352935791, 'Y': 0.5475960969924927, 'Z': 0.013707350939512253}, {'X': 0.2572067975997925, 'Y': 0.49905529618263245, 'Z': 0.018867330625653267}, {'X': 0.2576085329055786, 'Y': 0.46769842505455017, 'Z': 0.009325246326625347}, {'X': 0.258139431476593, 'Y': 0.4422162175178528, 'Z': -0.0018384511349722743}, {'X': 0.27957794070243835, 'Y': 0.5664599537849426, 'Z': 0.004291235469281673}, {'X': 0.27949222922325134, 'Y': 0.5278513431549072, 'Z': 0.004351962823420763}, {'X': 0.27864933013916016, 'Y': 0.5018574595451355, 'Z': -0.001736849662847817}, {'X': 0.27661797404289246, 'Y': 0.47632718086242676, 'Z': -0.009683874435722828}]
[{'X': 0.251099556684494, 'Y': 0.6949851512908936, 'Z': -6.509517697850242e-05}, {'X': 0.21358570456504822, 'Y': 0.6569119095802307, 'Z': -0.0200406014919281}, {'X': 0.1924840658903122, 'Y': 0.601520836353302, 'Z': -0.02813233993947506}, {'X': 0.2023979127407074, 'Y': 0.549983561038971, 'Z': -0.038658685982227325}, {'X': 0.2256823182106018, 'Y': 0.5250177383422852, 'Z': -0.0445767417550087}, {'X': 0.20972833037376404, 'Y': 0.5396067500114441, 'Z': 0.019776199012994766}, {'X': 0.21101832389831543, 'Y': 0.48677754402160645, 'Z': 0.015379543416202068}, {'X': 0.21421056985855103, 'Y': 0.45827507972717285, 'Z': 0.007931874133646488}, {'X': 0.21669669449329376, 'Y': 0.4334062933921814, 'Z': 0.002049120608717203}, {'X': 0.23574736714363098, 'Y': 0.5375754833221436, 'Z': 0.020210029557347298}, {'X': 0.23579919338226318, 'Y': 0.48264408111572266, 'Z': 0.027339695021510124}, {'X': 0.2367703765630722, 'Y': 0.4515036344528198, 'Z': 0.021208101883530617}, {'X': 0.2380276769399643, 'Y': 0.4269479513168335, 'Z': 0.015231610275804996}, {'X': 0.257480263710022, 'Y': 0.545499324798584, 'Z': 0.015538908541202545}, {'X': 0.259441077709198, 'Y': 0.49569544196128845, 'Z': 0.020488742738962173}, {'X': 0.25901612639427185, 'Y': 0.4657476544380188, 'Z': 0.011562446132302284}, {'X': 0.25826600193977356, 'Y': 0.44062119722366333, 'Z': 0.0017487694276496768}, {'X': 0.27962151169776917, 'Y': 0.5644840598106384, 'Z': 0.006387567613273859}, {'X': 0.2803461253643036, 'Y': 0.5263909101486206, 'Z': 0.007069602143019438}, {'X': 0.27951133251190186, 'Y': 0.5009731650352478, 'Z': 0.0010692219948396087}, {'X': 0.2774457335472107, 'Y': 0.47519057989120483, 'Z': -0.005757212173193693}]
[{'X': 0.25000667572021484, 'Y': 0.6920970678329468, 'Z': -5.386767952586524e-05}, {'X': 0.2143341600894928, 'Y': 0.6544021368026733, 'Z': -0.016061998903751373}, {'X': 0.19386513531208038, 'Y': 0.5976179242134094, 'Z': -0.02099066786468029}, {'X': 0.20662936568260193, 'Y': 0.5459834337234497, 'Z': -0.02844318188726902}, {'X': 0.23217454552650452, 'Y': 0.5250533223152161, 'Z': -0.030964886769652367}, {'X': 0.21038395166397095, 'Y': 0.5415965914726257, 'Z': 0.022387491539120674}, {'X': 0.21134355664253235, 'Y': 0.4888727068901062, 'Z': 0.01797322742640972}, {'X': 0.21416784822940826, 'Y': 0.46016761660575867, 'Z': 0.011952536180615425}, {'X': 0.216302290558815, 'Y': 0.4349999725818634, 'Z': 0.006917561404407024}, {'X': 0.2356586456298828, 'Y': 0.5377197861671448, 'Z': 0.020784398540854454}, {'X': 0.23575885593891144, 'Y': 0.4833168089389801, 'Z': 0.026434341445565224}, {'X': 0.23637492954730988, 'Y': 0.45106273889541626, 'Z': 0.019901832565665245}, {'X': 0.2377726286649704, 'Y': 0.4260276257991791, 'Z': 0.012974209152162075}, {'X': 0.25713062286376953, 'Y': 0.5444331765174866, 'Z': 0.014026198536157608}, {'X': 0.25917455554008484, 'Y': 0.4955243170261383, 'Z': 0.018122781068086624}, {'X': 0.2587982714176178, 'Y': 0.4647447466850281, 'Z': 0.011010316200554371}, {'X': 0.2586314380168915, 'Y': 0.43936872482299805, 'Z': 0.0020875167101621628}, {'X': 0.27946749329566956, 'Y': 0.5628159642219543, 'Z': 0.0027863653376698494}, {'X': 0.28030356764793396, 'Y': 0.5237402319908142, 'Z': 0.003021759446710348}, {'X': 0.2797209918498993, 'Y': 0.4977673292160034, 'Z': -0.0023553182836622}, {'X': 0.2780795395374298, 'Y': 0.4720897972583771, 'Z': -0.00829420704394579}]
