[{'X': 0.7176927328109741, 'Y': 0.913440465927124, 'Z': -7.8111159382388e-05}, {'X': 0.6122658848762512, 'Y': 0.8578459620475769, 'Z': 0.009792143478989601}, {'X': 0.564183235168457, 'Y': 0.7079445719718933, 'Z': 0.032070521265268326}, {'X': 0.5517448782920837, 'Y': 0.5851460695266724, 'Z': 0.03735437989234924}, {'X': 0.5294288396835327, 'Y': 0.5083906650543213, 'Z': 0.04932985082268715}, {'X': 0.6348409652709961, 'Y': 0.5391764640808105, 'Z': 0.06975218653678894}, {'X': 0.6351661682128906, 'Y': 0.3824968636035919, 'Z': 0.07919663190841675}, {'X': 0.6384714841842651, 'Y': 0.2952997088432312, 'Z': 0.09224256128072739}, {'X': 0.6430827379226685, 'Y': 0.22583919763565063, 'Z': 0.0972047746181488}, {'X': 0.6925938725471497, 'Y': 0.5307202339172363, 'Z': 0.035862475633621216}, {'X': 0.6974657773971558, 'Y': 0.3573148846626282, 'Z': 0.04960545152425766}, {'X': 0.6973105669021606, 'Y': 0.2606656551361084, 'Z': 0.0414070263504982}, {'X': 0.6999213099479675, 'Y': 0.1853000521659851, 'Z': 0.03818387910723686}, {'X': 0.7452790141105652, 'Y': 0.551536500453949, 'Z': -0.0027680674102157354}, {'X': 0.7541274428367615, 'Y': 0.39357611536979675, 'Z': -0.0031926988158375025}, {'X': 0.7550978660583496, 'Y': 0.30077484250068665, 'Z': -0.01681600883603096}, {'X': 0.7538098096847534, 'Y': 0.22296026349067688, 'Z': -0.03256329149007797}, {'X': 0.7993948459625244, 'Y': 0.5992249250411987, 'Z': -0.04302350431680679}, {'X': 0.802761435508728, 'Y': 0.4680890738964081, 'Z': -0.06188631430268288}, {'X': 0.8022065162658691, 'Y': 0.38995712995529175, 'Z': -0.08432772010564804}, {'X': 0.7989012002944946, 'Y': 0.3105660080909729, 'Z': -0.09862548857927322}]
[{'X': 0.7214323878288269, 'Y': 0.9201602935791016, 'Z': -0.00012414410593919456}, {'X': 0.6152505874633789, 'Y': 0.8505195379257202, 'Z': -0.014253251254558563}, {'X': 0.562058687210083, 'Y': 0.7043534517288208, 'Z': -0.009088304825127125}, {'X': 0.5456982254981995, 'Y': 0.5827232003211975, 'Z': -0.018132589757442474}, {'X': 0.5223871469497681, 'Y': 0.4962993860244751, 'Z': -0.020385688170790672}, {'X': 0.6390206217765808, 'Y': 0.5382428765296936, 'Z': 0.05594500154256821}, {'X': 0.6370392441749573, 'Y': 0.38285622000694275, 'Z': 0.058673981577157974}, {'X': 0.6381514072418213, 'Y': 0.29572194814682007, 'Z': 0.061957091093063354}, {'X': 0.6400318145751953, 'Y': 0.22357088327407837, 'Z': 0.06141745299100876}, {'X': 0.6978846788406372, 'Y': 0.534294068813324, 'Z': 0.03142678365111351}, {'X': 0.698383629322052, 'Y': 0.35973769426345825, 'Z': 0.03951165825128555}, {'X': 0.6986553072929382, 'Y': 0.26420772075653076, 'Z': 0.024386033415794373}, {'X': 0.7015631794929504, 'Y': 0.18799260258674622, 'Z': 0.01784982718527317}, {'X': 0.7506824135780334, 'Y': 0.5547569990158081, 'Z': 0.000699362950399518}, {'X': 0.7569582462310791, 'Y': 0.3981734812259674, 'Z': -0.0012166239321231842}, {'X': 0.7575050592422485, 'Y': 0.307049036026001, 'Z': -0.019438445568084717}, {'X': 0.7562968730926514, 'Y': 0.23223382234573364, 'Z': -0.037072889506816864}, {'X': 0.8035539388656616, 'Y': 0.6000957489013672, 'Z': -0.033791132271289825}, {'X': 0.8059660196304321, 'Y': 0.4730675518512726, 'Z': -0.050844404846429825}, {'X': 0.807479202747345, 'Y': 0.3965710997581482, 'Z': -0.07250381261110306}, {'X': 0.8058810234069824, 'Y': 0.32066741585731506, 'Z': -0.08808930218219757}]
[{'X': 0.7162855863571167, 'Y': 0.9069911241531372, 'Z': -9.240634244633839e-05}, {'X': 0.6112181544303894, 'Y': 0.8533248901367188, 'Z': 3.645757169579156e-05}, {'X': 0.5612300634384155, 'Y': 0.7051323652267456, 'Z': 0.017137901857495308}, {'X': 0.548014760017395, 'Y': 0.5819711089134216, 'Z': 0.01813674345612526}, {'X': 0.5262695550918579, 'Y': 0.5036532878875732, 'Z': 0.026592370122671127}, {'X': 0.6344837546348572, 'Y': 0.5378280878067017, 'Z': 0.06502757966518402}, {'X': 0.6339263319969177, 'Y': 0.384620726108551, 'Z': 0.0754336565732956}, {'X': 0.6363973021507263, 'Y': 0.2995593547821045, 'Z': 0.08681876212358475}, {'X': 0.6404475569725037, 'Y': 0.2312612533569336, 'Z': 0.09075307846069336}, {'X': 0.6926985383033752, 'Y': 0.5293381214141846, 'Z': 0.0363537035882473}, {'X': 0.6970044374465942, 'Y': 0.35824301838874817, 'Z': 0.05295232683420181}, {'X': 0.69672691822052, 'Y': 0.2628993093967438, 'Z': 0.04554954916238785}, {'X': 0.6996948719024658, 'Y': 0.1873762607574463, 'Z': 0.04255993664264679}, {'X': 0.7457603812217712, 'Y': 0.5488243103027344, 'Z': 0.0021198901813477278}, {'X': 0.7544388175010681, 'Y': 0.3940213620662689, 'Z': 0.005798665340989828}, {'X': 0.7551483511924744, 'Y': 0.3041893243789673, 'Z': -0.005177660379558802}, {'X': 0.7535526156425476, 'Y': 0.2281118631362915, 'Z': -0.020850392058491707}, {'X': 0.8000714182853699, 'Y': 0.5941033959388733, 'Z': -0.035001229494810104}, {'X': 0.8040265440940857, 'Y': 0.4677068293094635, 'Z': -0.04980098083615303}, {'X': 0.8040552139282227, 'Y': 0.3935529887676239, 'Z': -0.06881752610206604}, {'X': 0.8008651733398438, 'Y': 0.3169412314891815, 'Z': -0.08166489005088806}]
[{'X': 0.7195544242858887, 'Y': 0.917041003704071, 'Z': -5.018595402361825e-05}, {'X': 0.6123316884040833, 'Y': 0.8567319512367249, 'Z': -0.0017883982509374619}, {'X': 0.5621193051338196, 'Y': 0.7083668112754822, 'Z': 0.013063132762908936}, {'X': 0.5497788190841675, 'Y': 0.5865121483802795, 'Z': 0.010917488485574722}, {'X': 0.5282521843910217, 'Y': 0.5063884854316711, 'Z': 0.015821736305952072}, {'X': 0.6352750658988953, 'Y': 0.541301965713501, 'Z': 0.06411164253950119}, {'X': 0.637067973613739, 'Y': 0.3850419521331787, 'Z': 0.06882814317941666}, {'X': 0.6418225765228271, 'Y': 0.29724252223968506, 'Z': 0.0779227539896965}, {'X': 0.6467732191085815, 'Y': 0.2256561815738678, 'Z': 0.08085523545742035}, {'X': 0.6937560439109802, 'Y': 0.5338380932807922, 'Z': 0.03363554924726486}, {'X': 0.6996868848800659, 'Y': 0.35920441150665283, 'Z': 0.04324513301253319}, {'X': 0.7010276913642883, 'Y': 0.26217859983444214, 'Z': 0.03148864209651947}, {'X': 0.7029049396514893, 'Y': 0.18521520495414734, 'Z': 0.026251478120684624}, {'X': 0.7473164796829224, 'Y': 0.5548840165138245, 'Z': -0.0028475860599428415}, {'X': 0.755706787109375, 'Y': 0.39730194211006165, 'Z': -0.005978232715278864}, {'X': 0.7573623061180115, 'Y': 0.3063369393348694, 'Z': -0.021664535626769066}, {'X': 0.754659116268158, 'Y': 0.22974655032157898, 'Z': -0.038934845477342606}, {'X': 0.8024893999099731, 'Y': 0.6019842624664307, 'Z': -0.04170089587569237}, {'X': 0.8043198585510254, 'Y': 0.4747161567211151, 'Z': -0.062076468020677567}, {'X': 0.8040774464607239, 'Y': 0.3987034559249878, 'Z': -0.08283457905054092}, {'X': 0.8000068068504333, 'Y': 0.3212135434150696, 'Z': -0.09728137403726578}]
[{'X': 0.7230857014656067, 'Y': 0.9005727171897888, 'Z': -9.411956853000447e-05}, {'X': 0.6130668520927429, 'Y': 0.8404719829559326, 'Z': -0.0015291277086362243}, {'X': 0.5613388419151306, 'Y': 0.6998723149299622, 'Z': 0.012823572382330894}, {'X': 0.545264720916748, 'Y': 0.5814690589904785, 'Z': 0.01042245700955391}, {'X': 0.5222225785255432, 'Y': 0.49912673234939575, 'Z': 0.01468242984265089}, {'X': 0.6346543431282043, 'Y': 0.5365949869155884, 'Z': 0.07246417552232742}, {'X': 0.6347784996032715, 'Y': 0.38692671060562134, 'Z': 0.08524195104837418}, {'X': 0.6382862329483032, 'Y': 0.3005921244621277, 'Z': 0.09345488995313644}, {'X': 0.6430128216743469, 'Y': 0.2309764325618744, 'Z': 0.0932992473244667}, {'X': 0.6923191547393799, 'Y': 0.5319985747337341, 'Z': 0.043873295187950134}, {'X': 0.6956965327262878, 'Y': 0.3621114492416382, 'Z': 0.06154201179742813}, {'X': 0.6970630288124084, 'Y': 0.26652467250823975, 'Z': 0.050519395619630814}, {'X': 0.7012312412261963, 'Y': 0.19167590141296387, 'Z': 0.04543178901076317}, {'X': 0.7453274726867676, 'Y': 0.5506306290626526, 'Z': 0.009957689791917801}, {'X': 0.751926064491272, 'Y': 0.39582929015159607, 'Z': 0.015407285653054714}, {'X': 0.7528582215309143, 'Y': 0.30466228723526, 'Z': 0.0028710297774523497}, {'X': 0.7527584433555603, 'Y': 0.229281485080719, 'Z': -0.012176265940070152}, {'X': 0.7994028925895691, 'Y': 0.5915335416793823, 'Z': -0.027306590229272842}, {'X': 0.8034648299217224, 'Y': 0.4669889211654663, 'Z': -0.041594233363866806}, {'X': 0.8042111396789551, 'Y': 0.39284026622772217, 'Z': -0.05902403965592384}, {'X': 0.8023590445518494, 'Y': 0.3184405565261841, 'Z': -0.06979619711637497}]
[{'X': 0.7201154828071594, 'Y': 0.9055064916610718, 'Z': -0.00010233408102067187}, {'X': 0.6141147017478943, 'Y': 0.852855920791626, 'Z': 0.0016824670601636171}, {'X': 0.5637975335121155, 'Y': 0.7092894315719604, 'Z': 0.017501115798950195}, {'X': 0.5498492121696472, 'Y': 0.5882980227470398, 'Z': 0.017290707677602768}, {'X': 0.5286821722984314, 'Y': 0.507944643497467, 'Z': 0.023780765011906624}, {'X': 0.6329197883605957, 'Y': 0.540048360824585, 'Z': 0.07204367220401764}, {'X': 0.6324160099029541, 'Y': 0.389850378036499, 'Z': 0.08385688811540604}, {'X': 0.6355878114700317, 'Y': 0.305336594581604, 'Z': 0.09404154866933823}, {'X': 0.6405206918716431, 'Y': 0.23830801248550415, 'Z': 0.09694069623947144}, {'X': 0.6905890703201294, 'Y': 0.5311825275421143, 'Z': 0.041682351380586624}, {'X': 0.6942430138587952, 'Y': 0.3622278571128845, 'Z': 0.06036592647433281}, {'X': 0.694808840751648, 'Y': 0.2688991129398346, 'Z': 0.050625141710042953}, {'X': 0.6987593770027161, 'Y': 0.19758158922195435, 'Z': 0.04713272303342819}, {'X': 0.7436904311180115, 'Y': 0.5498343706130981, 'Z': 0.0069581735879182816}, {'X': 0.752354085445404, 'Y': 0.3948707580566406, 'Z': 0.010333008132874966}, {'X': 0.7546334862709045, 'Y': 0.305403470993042, 'Z': -0.0028560287319123745}, {'X': 0.756019115447998, 'Y': 0.23205101490020752, 'Z': -0.018076054751873016}, {'X': 0.7983149886131287, 'Y': 0.5941146612167358, 'Z': -0.03087714873254299}, {'X': 0.8034388422966003, 'Y': 0.46768075227737427, 'Z': -0.04557625576853752}, {'X': 0.804843008518219, 'Y': 0.392828106880188, 'Z': -0.06502437591552734}, {'X': 0.8036201000213623, 'Y': 0.31786662340164185, 'Z': -0.07724954932928085}]
[{'X': 0.7211650013923645, 'Y': 0.9056349992752075, 'Z': -0.00010177218064200133}, {'X': 0.6129982471466064, 'Y': 0.8469953536987305, 'Z': 0.0006491415551863611}, {'X': 0.5629131197929382, 'Y': 0.7037851214408875, 'Z': 0.01611987128853798}, {'X': 0.5490583777427673, 'Y': 0.5842034816741943, 'Z': 0.016156714409589767}, {'X': 0.5272346138954163, 'Y': 0.5026295185089111, 'Z': 0.023656394332647324}, {'X': 0.6351376175880432, 'Y': 0.5385913848876953, 'Z': 0.07265790551900864}, {'X': 0.6323025226593018, 'Y': 0.3890193700790405, 'Z': 0.08803213387727737}, {'X': 0.6332573294639587, 'Y': 0.3026305139064789, 'Z': 0.0998014509677887}, {'X': 0.6362026333808899, 'Y': 0.2329893410205841, 'Z': 0.10246027261018753}, {'X': 0.6936783790588379, 'Y': 0.532989501953125, 'Z': 0.04375521093606949}, {'X': 0.6956558227539062, 'Y': 0.3626808524131775, 'Z': 0.06197284534573555}, {'X': 0.6961621046066284, 'Y': 0.26824599504470825, 'Z': 0.05212000384926796}, {'X': 0.6997348666191101, 'Y': 0.1950979232788086, 'Z': 0.046811047941446304}, {'X': 0.74687260389328, 'Y': 0.551462709903717, 'Z': 0.010494719259440899}, {'X': 0.7532954216003418, 'Y': 0.3957131803035736, 'Z': 0.01657227985560894}, {'X': 0.7540363073348999, 'Y': 0.30542898178100586, 'Z': 0.004998254589736462}, {'X': 0.7538215517997742, 'Y': 0.2318868339061737, 'Z': -0.00975610688328743}, {'X': 0.8012582063674927, 'Y': 0.5934778451919556, 'Z': -0.02530672587454319}, {'X': 0.8051706552505493, 'Y': 0.4671398401260376, 'Z': -0.03641557693481445}, {'X': 0.8070005178451538, 'Y': 0.39177405834198, 'Z': -0.0526118241250515}, {'X': 0.807265043258667, 'Y': 0.3170131742954254, 'Z': -0.06267869472503662}]
[{'X': 0.7135108709335327, 'Y': 0.9153821468353271, 'Z': -7.015712617430836e-05}, {'X': 0.6099196076393127, 'Y': 0.8533214330673218, 'Z': -0.0003896044217981398}, {'X': 0.563063383102417, 'Y': 0.706928551197052, 'Z': 0.012918380089104176}, {'X': 0.5523693561553955, 'Y': 0.5884984135627747, 'Z': 0.010128697380423546}, {'X': 0.5311309695243835, 'Y': 0.5104089975357056, 'Z': 0.014347574673593044}, {'X': 0.636787474155426, 'Y': 0.5338169932365417, 'Z': 0.06241157650947571}, {'X': 0.6360281705856323, 'Y': 0.3789408504962921, 'Z': 0.06870798766613007}, {'X': 0.6376245021820068, 'Y': 0.29367971420288086, 'Z': 0.07612943649291992}, {'X': 0.6409005522727966, 'Y': 0.22495868802070618, 'Z': 0.07839507609605789}, {'X': 0.693848192691803, 'Y': 0.5296393632888794, 'Z': 0.031510550528764725}, {'X': 0.7000604867935181, 'Y': 0.3559788465499878, 'Z': 0.041435398161411285}, {'X': 0.7005133032798767, 'Y': 0.26257747411727905, 'Z': 0.02772582694888115}, {'X': 0.7022997140884399, 'Y': 0.19359731674194336, 'Z': 0.021923435851931572}, {'X': 0.7455739974975586, 'Y': 0.5508787631988525, 'Z': -0.0039041207637637854}, {'X': 0.7565401792526245, 'Y': 0.39349091053009033, 'Z': -0.006200557108968496}, {'X': 0.757267951965332, 'Y': 0.30365175008773804, 'Z': -0.02421770803630352}, {'X': 0.7552147507667542, 'Y': 0.23123952746391296, 'Z': -0.04200509190559387}, {'X': 0.7980360984802246, 'Y': 0.5991511940956116, 'Z': -0.041233278810977936}, {'X': 0.8060265779495239, 'Y': 0.4747998118400574, 'Z': -0.06017690524458885}, {'X': 0.8081445097923279, 'Y': 0.39884883165359497, 'Z': -0.08294521272182465}, {'X': 0.8068503141403198, 'Y': 0.3229084312915802, 'Z': -0.09842897951602936}]
[{'X': 0.7237516045570374, 'Y': 0.9193288087844849, 'Z': -0.0001041027790051885}, {'X': 0.614912211894989, 'Y': 0.8543003797531128, 'Z': 0.0023151158820837736}, {'X': 0.563768744468689, 'Y': 0.7069329023361206, 'Z': 0.02341197244822979}, {'X': 0.550041675567627, 'Y': 0.5859705209732056, 'Z': 0.02850220911204815}, {'X': 0.5283724069595337, 'Y': 0.5061209797859192, 'Z': 0.04103346914052963}, {'X': 0.6348026990890503, 'Y': 0.542831301689148, 'Z': 0.07945176959037781}, {'X': 0.635068416595459, 'Y': 0.39414218068122864, 'Z': 0.0862533301115036}, {'X': 0.6387208104133606, 'Y': 0.3091145157814026, 'Z': 0.09160178899765015}, {'X': 0.6431817412376404, 'Y': 0.2392650842666626, 'Z': 0.0932254046201706}, {'X': 0.6931319236755371, 'Y': 0.5335931777954102, 'Z': 0.05203231796622276}, {'X': 0.6972208619117737, 'Y': 0.3654203414916992, 'Z': 0.06777756661176682}, {'X': 0.697928786277771, 'Y': 0.27073031663894653, 'Z': 0.058714620769023895}, {'X': 0.7000728845596313, 'Y': 0.19378989934921265, 'Z': 0.05443199723958969}, {'X': 0.7469354867935181, 'Y': 0.5516034960746765, 'Z': 0.01805715635418892}, {'X': 0.7536736726760864, 'Y': 0.3978220522403717, 'Z': 0.02020890638232231}, {'X': 0.7540436387062073, 'Y': 0.308145672082901, 'Z': 0.009262391366064548}, {'X': 0.7524709105491638, 'Y': 0.23120668530464172, 'Z': -0.004493411164730787}, {'X': 0.8020474910736084, 'Y': 0.5941552519798279, 'Z': -0.0187851395457983}, {'X': 0.8016491532325745, 'Y': 0.46852201223373413, 'Z': -0.03513036295771599}, {'X': 0.799784779548645, 'Y': 0.3938761353492737, 'Z': -0.05268942564725876}, {'X': 0.7953910827636719, 'Y': 0.3181232511997223, 'Z': -0.0647701695561409}]
[{'X': 0.7241528630256653, 'Y': 0.9266545176506042, 'Z': -8.648754737805575e-05}, {'X': 0.6161554455757141, 'Y': 0.856643795967102, 'Z': 0.0038159817922860384}, {'X': 0.5658697485923767, 'Y': 0.7082095146179199, 'Z': 0.022375505417585373}, {'X': 0.5503137111663818, 'Y': 0.5889938473701477, 'Z': 0.023788075894117355}, {'X': 0.523658037185669, 'Y': 0.5044046640396118, 'Z': 0.029721450060606003}, {'X': 0.6375064849853516, 'Y': 0.5419882535934448, 'Z': 0.07902419567108154}, {'X': 0.63868248462677, 'Y': 0.3934932053089142, 'Z': 0.08590588718652725}, {'X': 0.6422919631004333, 'Y': 0.30721205472946167, 'Z': 0.09017530083656311}, {'X': 0.6468220353126526, 'Y': 0.23618221282958984, 'Z': 0.09221737831830978}, {'X': 0.6949059963226318, 'Y': 0.5344412922859192, 'Z': 0.04869581013917923}, {'X': 0.69969242811203, 'Y': 0.36468881368637085, 'Z': 0.06387554854154587}, {'X': 0.6994900703430176, 'Y': 0.2695252299308777, 'Z': 0.054060209542512894}, {'X': 0.7018306851387024, 'Y': 0.19426298141479492, 'Z': 0.050068099051713943}, {'X': 0.7474145889282227, 'Y': 0.551028847694397, 'Z': 0.012161063961684704}, {'X': 0.7556487321853638, 'Y': 0.3934548497200012, 'Z': 0.014738847501575947}, {'X': 0.7557085752487183, 'Y': 0.3018319308757782, 'Z': 0.0021334972698241472}, {'X': 0.7547522187232971, 'Y': 0.22555378079414368, 'Z': -0.01298165787011385}, {'X': 0.8003939390182495, 'Y': 0.5926578640937805, 'Z': -0.026905270293354988}, {'X': 0.8006234765052795, 'Y': 0.46338894963264465, 'Z': -0.0415918231010437}, {'X': 0.7993914484977722, 'Y': 0.3868839144706726, 'Z': -0.05978875607252121}, {'X': 0.7970725893974304, 'Y': 0.31060200929641724, 'Z': -0.07301164418458939}]
[{'X': 0.7188692092895508, 'Y': 0.9080164432525635, 'Z': -0.00010940942593151703}, {'X': 0.6138944625854492, 'Y': 0.8525121212005615, 'Z': -0.005469200201332569}, {'X': 0.5631059408187866, 'Y': 0.7052088379859924, 'Z': 0.0067315539345145226}, {'X': 0.5487216114997864, 'Y': 0.5827184319496155, 'Z': 0.0033801256213337183}, {'X': 0.526460587978363, 'Y': 0.501051127910614, 'Z': 0.007506536319851875}, {'X': 0.6369829177856445, 'Y': 0.5408919453620911, 'Z': 0.06610126048326492}, {'X': 0.6352343559265137, 'Y': 0.39272773265838623, 'Z': 0.07406559586524963}, {'X': 0.6390095353126526, 'Y': 0.30819016695022583, 'Z': 0.08022905141115189}, {'X': 0.6447523832321167, 'Y': 0.23910781741142273, 'Z': 0.08110944926738739}, {'X': 0.694811224937439, 'Y': 0.5325421094894409, 'Z': 0.04024587571620941}, {'X': 0.6958377957344055, 'Y': 0.3650246858596802, 'Z': 0.056649498641490936}, {'X': 0.6969621777534485, 'Y': 0.2724125385284424, 'Z': 0.04760412499308586}, {'X': 0.7019959092140198, 'Y': 0.19978806376457214, 'Z': 0.04431059956550598}, {'X': 0.747489333152771, 'Y': 0.5506302714347839, 'Z': 0.008863536641001701}, {'X': 0.7542312741279602, 'Y': 0.3958407938480377, 'Z': 0.013065761886537075}, {'X': 0.7562458515167236, 'Y': 0.3061109185218811, 'Z': 0.0004183197452221066}, {'X': 0.7581565380096436, 'Y': 0.23181238770484924, 'Z': -0.014465054497122765}, {'X': 0.8009432554244995, 'Y': 0.59459388256073, 'Z': -0.02608565427362919}, {'X': 0.8038158416748047, 'Y': 0.46593666076660156, 'Z': -0.03914526477456093}, {'X': 0.8052149415016174, 'Y': 0.3906669020652771, 'Z': -0.057946205139160156}, {'X': 0.8046838641166687, 'Y': 0.3162394165992737, 'Z': -0.07072160392999649}]
